The United States of America, Exposure to risk (period 5x1), 	Last modified: 17 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1933           0            971181.32      1003854.39      1975035.71
  1933         1-4           4303444.54      4413708.81      8717153.35
  1933         5-9           5971745.19      6188442.69     12160187.88
  1933        10-14          6135069.75      6213071.18     12348140.93
  1933        15-19          5846030.40      5822722.69     11668753.08
  1933        20-24          5636891.10      5509443.75     11146334.85
  1933        25-29          5232540.77      5086845.90     10319386.66
  1933        30-34          4740364.71      4690976.64      9431341.35
  1933        35-39          4453537.67      4529295.21      8982832.88
  1933        40-44          4179474.22      4395576.96      8575051.18
  1933        45-49          3542752.07      3835053.54      7377805.61
  1933        50-54          3023273.79      3279736.59      6303010.38
  1933        55-59          2500103.14      2689326.01      5189429.14
  1933        60-64          1975328.46      2090055.78      4065384.24
  1933        65-69          1503353.89      1556607.40      3059961.29
  1933        70-74          1047700.54      1049737.89      2097438.43
  1933        75-79           662062.40       637108.07      1299170.47
  1933        80-84           333597.86       286807.59       620405.46
  1933        85-89           130973.26       100532.48       231505.75
  1933        90-94            37399.22        24752.47        62151.69
  1933        95-99             8420.91         4829.70        13250.61
  1933       100-104            1770.25          946.59         2716.83
  1933       105-109             219.07          107.05          326.12
  1933       110+                 15.77            6.26           22.03
  1934           0            934954.71       968210.98      1903165.69
  1934         1-4           4184410.72      4278797.53      8463208.25
  1934         5-9           5876781.95      6104880.63     11981662.58
  1934        10-14          6160109.82      6244978.21     12405088.03
  1934        15-19          5879553.94      5852947.41     11732501.35
  1934        20-24          5677754.74      5558549.57     11236304.30
  1934        25-29          5296501.33      5148406.75     10444908.07
  1934        30-34          4819695.61      4752940.09      9572635.70
  1934        35-39          4453178.99      4504426.91      8957605.90
  1934        40-44          4247784.04      4435233.29      8683017.33
  1934        45-49          3624164.27      3908644.53      7532808.79
  1934        50-54          3076813.12      3330064.70      6406877.81
  1934        55-59          2566929.51      2751573.82      5318503.33
  1934        60-64          2036093.34      2142923.24      4179016.58
  1934        65-69          1550862.44      1600945.18      3151807.62
  1934        70-74          1072703.76      1068248.59      2140952.35
  1934        75-79           688043.76       658415.21      1346458.98
  1934        80-84           344921.58       296632.27       641553.85
  1934        85-89           135471.32       103626.20       239097.52
  1934        90-94            38252.08        25536.61        63788.69
  1934        95-99             8585.63         5012.27        13597.90
  1934       100-104            1771.56          920.91         2692.46
  1934       105-109             221.24           97.30          318.55
  1934       110+                 16.96            4.57           21.53
  1935           0            959215.64       995809.40      1955025.04
