The United States of America, Life tables (period 1x10), Males	Last modified: 17 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1933-1939        0      0.06799  0.06470  0.25  100000    6470   95148  5933542  59.34
1933-1939        1      0.00914  0.00910  0.50   93530     851   93105  5838395  62.42
1933-1939        2      0.00430  0.00429  0.50   92679     397   92481  5745290  61.99
1933-1939        3      0.00299  0.00298  0.50   92282     275   92145  5652809  61.26
1933-1939        4      0.00233  0.00233  0.50   92007     214   91900  5560664  60.44
1933-1939        5      0.00195  0.00195  0.50   91793     179   91703  5468765  59.58
1933-1939        6      0.00177  0.00177  0.50   91614     162   91533  5377062  58.69
1933-1939        7      0.00162  0.00162  0.50   91452     148   91378  5285529  57.80
1933-1939        8      0.00150  0.00150  0.50   91304     137   91235  5194151  56.89
1933-1939        9      0.00141  0.00141  0.50   91167     128   91103  5102916  55.97
1933-1939       10      0.00134  0.00134  0.50   91039     122   90977  5011813  55.05
1933-1939       11      0.00133  0.00133  0.50   90916     121   90856  4920836  54.12
1933-1939       12      0.00139  0.00139  0.50   90795     126   90732  4829980  53.20
1933-1939       13      0.00151  0.00150  0.50   90669     136   90601  4739248  52.27
1933-1939       14      0.00169  0.00169  0.50   90533     153   90456  4648647  51.35
1933-1939       15      0.00192  0.00192  0.50   90380     174   90293  4558191  50.43
1933-1939       16      0.00217  0.00217  0.50   90206     195   90109  4467898  49.53
1933-1939       17      0.00240  0.00240  0.50   90011     216   89903  4377789  48.64
1933-1939       18      0.00263  0.00263  0.50   89795     236   89677  4287887  47.75
1933-1939       19      0.00284  0.00284  0.50   89559     254   89432  4198210  46.88
1933-1939       20      0.00304  0.00303  0.50   89304     271   89169  4108778  46.01
1933-1939       21      0.00320  0.00319  0.50   89034     284   88892  4019609  45.15
1933-1939       22      0.00333  0.00332  0.50   88750     295   88602  3930718  44.29
1933-1939       23      0.00343  0.00342  0.50   88455     303   88303  3842116  43.44
1933-1939       24      0.00351  0.00350  0.50   88152     308   87998  3753812  42.58
1933-1939       25      0.00356  0.00356  0.50   87843     312   87687  3665815  41.73
1933-1939       26      0.00363  0.00362  0.50   87531     317   87373  3578127  40.88
1933-1939       27      0.00371  0.00370  0.50   87214     323   87053  3490755  40.03
1933-1939       28      0.00380  0.00380  0.50   86891     330   86726  3403702  39.17
1933-1939       29      0.00391  0.00390  0.50   86561     338   86392  3316976  38.32
1933-1939       30      0.00403  0.00403  0.50   86223     347   86050  3230584  37.47
1933-1939       31      0.00419  0.00418  0.50   85876     359   85696  3144534  36.62
1933-1939       32      0.00439  0.00438  0.50   85517     375   85329  3058838  35.77
1933-1939       33      0.00464  0.00463  0.50   85142     394   84945  2973508  34.92
1933-1939       34      0.00493  0.00492  0.50   84748     417   84540  2888563  34.08
