PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
AUS,1,f,0,1,C,3,4,1911,30,O,56584,.,.,.,0
AUS,1,f,1,1,C,3,4,1911,30,O,52670,.,.,.,0
AUS,1,f,2,1,C,3,4,1911,30,O,59878,.,.,.,0
AUS,1,f,3,1,C,3,4,1911,30,O,40388,.,.,.,0
AUS,1,f,4,1,C,3,4,1911,30,O,48702,.,.,.,0
AUS,1,f,5,1,C,3,4,1911,30,O,47304,.,.,.,0
AUS,1,f,6,1,C,3,4,1911,30,O,46388,.,.,.,0
AUS,1,f,7,1,C,3,4,1911,30,O,43504,.,.,.,0
AUS,1,f,8,1,C,3,4,1911,30,O,43932,.,.,.,0
AUS,1,f,9,1,C,3,4,1911,30,O,42532,.,.,.,0
AUS,1,f,10,1,C,3,4,1911,30,O,44139,.,.,.,0
AUS,1,f,11,1,C,3,4,1911,30,O,44152,.,.,.,0
AUS,1,f,12,1,C,3,4,1911,30,O,40940,.,.,.,0
AUS,1,f,13,1,C,3,4,1911,30,O,41026,.,.,.,0
AUS,1,f,14,1,C,3,4,1911,30,O,42100,.,.,.,0
AUS,1,f,15,1,C,3,4,1911,30,O,43438,.,.,.,0
AUS,1,f,16,1,C,3,4,1911,30,O,43794,.,.,.,0
AUS,1,f,17,1,C,3,4,1911,30,O,44724,.,.,.,0
AUS,1,f,18,1,C,3,4,1911,30,O,45467,.,.,.,0
AUS,1,f,19,1,C,3,4,1911,30,O,44282,.,.,.,0
AUS,1,f,20,1,C,3,4,1911,30,O,45488,.,.,.,0
AUS,1,f,21,1,C,3,4,1911,30,O,42376,.,.,.,0
AUS,1,f,22,1,C,3,4,1911,30,O,45145,.,.,.,0
AUS,1,f,23,1,C,3,4,1911,30,O,43119,.,.,.,0
AUS,1,f,24,1,C,3,4,1911,30,O,41963,.,.,.,0
AUS,1,f,25,1,C,3,4,1911,30,O,40282,.,.,.,0
AUS,1,f,26,1,C,3,4,1911,30,O,40060,.,.,.,0
AUS,1,f,27,1,C,3,4,1911,30,O,37184,.,.,.,0
AUS,1,f,28,1,C,3,4,1911,30,O,36709,.,.,.,0
AUS,1,f,29,1,C,3,4,1911,30,O,34219,.,.,.,0
AUS,1,f,30,1,C,3,4,1911,30,O,35711,.,.,.,0
AUS,1,f,31,1,C,3,4,1911,30,O,33025,.,.,.,0
AUS,1,f,32,1,C,3,4,1911,30,O,31146,.,.,.,0
AUS,1,f,33,1,C,3,4,1911,30,O,29575,.,.,.,0
AUS,1,f,34,1,C,3,4,1911,30,O,30384,.,.,.,0
AUS,1,f,35,1,C,3,4,1911,30,O,29396,.,.,.,0
AUS,1,f,36,1,C,3,4,1911,30,O,28058,.,.,.,0
AUS,1,f,37,1,C,3,4,1911,30,O,26424,.,.,.,0
AUS,1,f,38,1,C,3,4,1911,30,O,29551,.,.,.,0
AUS,1,f,39,1,C,3,4,1911,30,O,26131,.,.,.,0
AUS,1,f,40,1,C,3,4,1911,30,O,27662,.,.,.,0
AUS,1,f,41,1,C,3,4,1911,30,O,25151,.,.,.,0
AUS,1,f,42,1,C,3,4,1911,30,O,25458,.,.,.,0
AUS,1,f,43,1,C,3,4,1911,30,O,23220,.,.,.,0
AUS,1,f,44,1,C,3,4,1911,30,O,23160,.,.,.,0
AUS,1,f,45,1,C,3,4,1911,30,O,22867,.,.,.,0
AUS,1,f,46,1,C,3,4,1911,30,O,22522,.,.,.,0
AUS,1,f,47,1,C,3,4,1911,30,O,21780,.,.,.,0
AUS,1,f,48,1,C,3,4,1911,30,O,21777,.,.,.,0
AUS,1,f,49,1,C,3,4,1911,30,O,19591,.,.,.,0
AUS,1,f,50,1,C,3,4,1911,30,O,20467,.,.,.,0
AUS,1,f,51,1,C,3,4,1911,30,O,17176,.,.,.,0
AUS,1,f,52,1,C,3,4,1911,30,O,16283,.,.,.,0
AUS,1,f,53,1,C,3,4,1911,30,O,15671,.,.,.,0
AUS,1,f,54,1,C,3,4,1911,30,O,15190,.,.,.,0
AUS,1,f,55,1,C,3,4,1911,30,O,13577,.,.,.,0
AUS,1,f,56,1,C,3,4,1911,30,O,12639,.,.,.,0
AUS,1,f,57,1,C,3,4,1911,30,O,10579,.,.,.,0
AUS,1,f,58,1,C,3,4,1911,30,O,10259,.,.,.,0
AUS,1,f,59,1,C,3,4,1911,30,O,9869,.,.,.,0
