Australia, Life tables (period 1x10), Females	Last modified: 14 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1929        0      0.05089  0.04901  0.24  100000    4901   96296  6466473  64.66
1921-1929        1      0.00966  0.00962  0.50   95099     915   94642  6370177  66.98
1921-1929        2      0.00413  0.00412  0.50   94185     388   93991  6275534  66.63
1921-1929        3      0.00289  0.00289  0.50   93796     271   93661  6181544  65.90
1921-1929        4      0.00219  0.00219  0.50   93525     205   93423  6087883  65.09
1921-1929        5      0.00177  0.00177  0.50   93320     165   93238  5994460  64.24
1921-1929        6      0.00167  0.00167  0.50   93155     155   93078  5901222  63.35
1921-1929        7      0.00149  0.00149  0.50   93000     138   92931  5808145  62.45
1921-1929        8      0.00119  0.00119  0.50   92862     111   92807  5715214  61.55
1921-1929        9      0.00113  0.00113  0.50   92751     104   92699  5622407  60.62
1921-1929       10      0.00104  0.00104  0.50   92647      97   92599  5529708  59.69
1921-1929       11      0.00107  0.00107  0.50   92550      99   92501  5437109  58.75
1921-1929       12      0.00104  0.00104  0.50   92451      96   92403  5344608  57.81
1921-1929       13      0.00110  0.00110  0.50   92355     102   92305  5252205  56.87
1921-1929       14      0.00127  0.00127  0.50   92254     117   92195  5159900  55.93
1921-1929       15      0.00129  0.00129  0.50   92137     119   92077  5067705  55.00
1921-1929       16      0.00145  0.00145  0.50   92017     134   91951  4975628  54.07
1921-1929       17      0.00163  0.00163  0.50   91884     150   91809  4883678  53.15
1921-1929       18      0.00198  0.00197  0.50   91734     181   91643  4791869  52.24
1921-1929       19      0.00234  0.00233  0.50   91553     214   91446  4700225  51.34
1921-1929       20      0.00244  0.00244  0.50   91339     222   91228  4608779  50.46
1921-1929       21      0.00262  0.00262  0.50   91117     239   90997  4517551  49.58
1921-1929       22      0.00275  0.00275  0.50   90878     250   90753  4426554  48.71
1921-1929       23      0.00303  0.00302  0.50   90628     274   90491  4335801  47.84
1921-1929       24      0.00318  0.00318  0.50   90354     287   90211  4245310  46.99
1921-1929       25      0.00322  0.00321  0.50   90067     289   89922  4155099  46.13
1921-1929       26      0.00328  0.00328  0.50   89778     294   89631  4065177  45.28
1921-1929       27      0.00329  0.00328  0.50   89483     294   89337  3975546  44.43
1921-1929       28      0.00352  0.00352  0.50   89190     314   89033  3886210  43.57
1921-1929       29      0.00352  0.00352  0.50   88876     312   88720  3797177  42.72
1921-1929       30      0.00375  0.00374  0.50   88564     331   88398  3708457  41.87
1921-1929       31      0.00319  0.00319  0.50   88232     281   88091  3620059  41.03
1921-1929       32      0.00390  0.00389  0.50   87951     342   87780  3531968  40.16
1921-1929       33      0.00385  0.00384  0.50   87609     336   87440  3444188  39.31
1921-1929       34      0.00408  0.00407  0.50   87272     355   87094  3356748  38.46
1921-1929       35      0.00429  0.00428  0.50   86917     372   86731  3269653  37.62
1921-1929       36      0.00449  0.00448  0.50   86545     388   86351  3182923  36.78
1921-1929       37      0.00442  0.00441  0.50   86157     380   85967  3096572  35.94
1921-1929       38      0.00500  0.00499  0.50   85777     428   85563  3010605  35.10
1921-1929       39      0.00501  0.00500  0.50   85349     426   85136  2925042  34.27
1921-1929       40      0.00508  0.00507  0.50   84923     431   84707  2839906  33.44
1921-1929       41      0.00436  0.00435  0.50   84492     367   84308  2755199  32.61
1921-1929       42      0.00564  0.00562  0.50   84124     473   83888  2670891  31.75
1921-1929       43      0.00537  0.00536  0.50   83651     448   83427  2587003  30.93
1921-1929       44      0.00552  0.00550  0.50   83204     458   82975  2503575  30.09
1921-1929       45      0.00634  0.00632  0.50   82746     523   82484  2420601  29.25
1921-1929       46      0.00600  0.00598  0.50   82223     492   81977  2338116  28.44
1921-1929       47      0.00655  0.00653  0.50   81731     533   81464  2256139  27.60
1921-1929       48      0.00733  0.00731  0.50   81198     593   80901  2174675  26.78
1921-1929       49      0.00763  0.00760  0.50   80604     613   80298  2093774  25.98
1921-1929       50      0.00840  0.00836  0.50   79992     669   79657  2013476  25.17
1921-1929       51      0.00724  0.00721  0.50   79323     572   79037  1933818  24.38
1921-1929       52      0.00997  0.00992  0.50   78751     781   78360  1854781  23.55
1921-1929       53      0.00957  0.00952  0.50   77969     742   77598  1776421  22.78
1921-1929       54      0.01052  0.01046  0.50   77227     808   76823  1698823  22.00
1921-1929       55      0.01026  0.01020  0.50   76419     780   76029  1622000  21.23
1921-1929       56      0.01236  0.01228  0.50   75639     929   75175  1545971  20.44
1921-1929       57      0.01182  0.01176  0.50   74711     878   74271  1470796  19.69
1921-1929       58      0.01451  0.01441  0.50   73832    1064   73300  1396524  18.91
1921-1929       59      0.01469  0.01459  0.50   72769    1061   72238  1323224  18.18
1921-1929       60      0.01694  0.01679  0.50   71707    1204   71105  1250986  17.45
1921-1929       61      0.01501  0.01490  0.50   70503    1051   69978  1179881  16.74
1921-1929       62      0.01931  0.01913  0.50   69452    1329   68788  1109903  15.98
1921-1929       63      0.02241  0.02216  0.50   68124    1510   67369  1041116  15.28
1921-1929       64      0.02349  0.02322  0.50   66614    1546   65841   973747  14.62
1921-1929       65      0.02836  0.02797  0.50   65067    1820   64158   907906  13.95
1921-1929       66      0.02609  0.02576  0.50   63248    1629   62433   843748  13.34
1921-1929       67      0.02980  0.02936  0.50   61619    1809   60714   781315  12.68
1921-1929       68      0.03471  0.03412  0.50   59810    2041   58789   720601  12.05
1921-1929       69      0.03505  0.03444  0.50   57769    1990   56774   661812  11.46
1921-1929       70      0.04213  0.04126  0.50   55779    2301   54629   605038  10.85
1921-1929       71      0.03768  0.03698  0.50   53478    1978   52489   550409  10.29
1921-1929       72      0.05084  0.04958  0.50   51500    2553   50224   497920   9.67
1921-1929       73      0.05703  0.05545  0.50   48947    2714   47590   447696   9.15
1921-1929       74      0.06241  0.06052  0.50   46233    2798   44834   400107   8.65
1921-1929       75      0.07129  0.06883  0.50   43435    2990   41940   355273   8.18
1921-1929       76      0.07888  0.07588  0.50   40445    3069   38910   313333   7.75
1921-1929       77      0.07666  0.07383  0.50   37376    2759   35996   274423   7.34
1921-1929       78      0.09893  0.09427  0.50   34616    3263   32985   238427   6.89
1921-1929       79      0.09671  0.09225  0.50   31353    2892   29907   205442   6.55
1921-1929       80      0.11253  0.10653  0.50   28461    3032   26945   175535   6.17
1921-1929       81      0.09795  0.09337  0.50   25429    2374   24242   148590   5.84
1921-1929       82      0.12580  0.11835  0.50   23054    2729   21690   124349   5.39
1921-1929       83      0.13910  0.13006  0.50   20326    2644   19004   102659   5.05
1921-1929       84      0.16281  0.15055  0.50   17682    2662   16351    83655   4.73
1921-1929       85      0.17395  0.16003  0.50   15020    2404   13818    67303   4.48
1921-1929       86      0.19768  0.17990  0.50   12617    2270   11482    53485   4.24
1921-1929       87      0.21058  0.19052  0.50   10347    1971    9361    42003   4.06
1921-1929       88      0.22471  0.20202  0.50    8376    1692    7530    32642   3.90
1921-1929       89      0.21296  0.19247  0.50    6684    1286    6040    25113   3.76
1921-1929       90      0.25581  0.22680  0.50    5397    1224    4785    19072   3.53
1921-1929       91      0.22742  0.20420  0.50    4173     852    3747    14287   3.42
1921-1929       92      0.25045  0.22258  0.50    3321     739    2951    10540   3.17
1921-1929       93      0.29161  0.25451  0.50    2582     657    2253     7589   2.94
1921-1929       94      0.28772  0.25153  0.50    1925     484    1683     5336   2.77
1921-1929       95      0.35167  0.29908  0.50    1441     431    1225     3653   2.54
1921-1929       96      0.37496  0.31576  0.50    1010     319     850     2428   2.40
1921-1929       97      0.39884  0.33253  0.50     691     230     576     1577   2.28
1921-1929       98      0.42321  0.34929  0.50     461     161     381     1001   2.17
1921-1929       99      0.44795  0.36598  0.50     300     110     245      621   2.07
1921-1929      100      0.47296  0.38251  0.50     190      73     154      376   1.97
1921-1929      101      0.49811  0.39879  0.50     117      47      94      222   1.89
1921-1929      102      0.52326  0.41475  0.50      71      29      56      128   1.81
1921-1929      103      0.54830  0.43033  0.50      41      18      32       72   1.74
1921-1929      104      0.57310  0.44545  0.50      24      10      18       39   1.67
1921-1929      105      0.59753  0.46008  0.50      13       6      10       21   1.61
1921-1929      106      0.62149  0.47415  0.50       7       3       5       11   1.55
1921-1929      107      0.64487  0.48764  0.50       4       2       3        6   1.51
1921-1929      108      0.66758  0.50051  0.50       2       1       1        3   1.46
1921-1929      109      0.68953  0.51275  0.50       1       0       1        1   1.43
1921-1929      110+     0.71067  1.00000  1.41       0       0       1        1   1.41
1930-1939        0      0.03710  0.03602  0.19  100000    3602   97085  6742089  67.42
1930-1939        1      0.00657  0.00655  0.50   96398     631   96083  6645004  68.93
1930-1939        2      0.00330  0.00329  0.50   95767     315   95610  6548922  68.38
1930-1939        3      0.00225  0.00225  0.50   95452     215   95345  6453312  67.61
1930-1939        4      0.00193  0.00193  0.50   95237     184   95145  6357968  66.76
1930-1939        5      0.00150  0.00150  0.50   95054     142   94982  6262822  65.89
1930-1939        6      0.00137  0.00137  0.50   94911     130   94846  6167840  64.99
1930-1939        7      0.00110  0.00110  0.50   94781     104   94729  6072994  64.07
1930-1939        8      0.00100  0.00100  0.50   94677      94   94630  5978264  63.14
