PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
AUT,1,1947,1947,1,m,0,1,RR,1,O,5746,.,.,.,1
AUT,1,1947,1947,1,m,1,1,RR,1,O,378,.,.,.,1
AUT,1,1947,1947,1,m,2,1,RR,1,O,239,.,.,.,1
AUT,1,1947,1947,1,m,3,1,RR,1,O,185,.,.,.,1
AUT,1,1947,1947,1,m,4,1,RR,1,O,152,.,.,.,1
AUT,1,1947,1947,1,m,5,1,RR,1,O,121,.,.,.,1
AUT,1,1947,1947,1,m,6,1,RR,1,O,99,.,.,.,1
AUT,1,1947,1947,1,m,7,1,RR,1,O,115,.,.,.,1
AUT,1,1947,1947,1,m,8,1,RR,1,O,86,.,.,.,1
AUT,1,1947,1947,1,m,9,1,RR,1,O,47,.,.,.,1
AUT,1,1947,1947,1,m,10,1,RR,1,O,59,.,.,.,1
AUT,1,1947,1947,1,m,11,1,RR,1,O,72,.,.,.,1
AUT,1,1947,1947,1,m,12,1,RR,1,O,47,.,.,.,1
AUT,1,1947,1947,1,m,13,1,RR,1,O,51,.,.,.,1
AUT,1,1947,1947,1,m,14,1,RR,1,O,72,.,.,.,1
AUT,1,1947,1947,1,m,15,1,RR,1,O,86,.,.,.,1
AUT,1,1947,1947,1,m,16,1,RR,1,O,84,.,.,.,1
AUT,1,1947,1947,1,m,17,1,RR,1,O,124,.,.,.,1
AUT,1,1947,1947,1,m,18,1,RR,1,O,134,.,.,.,1
AUT,1,1947,1947,1,m,19,1,RR,1,O,163,.,.,.,1
AUT,1,1947,1947,1,m,20,1,RR,1,O,163,.,.,.,1
AUT,1,1947,1947,1,m,21,1,RR,1,O,153,.,.,.,1
AUT,1,1947,1947,1,m,22,1,RR,1,O,182,.,.,.,1
AUT,1,1947,1947,1,m,23,1,RR,1,O,182,.,.,.,1
AUT,1,1947,1947,1,m,24,1,RR,1,O,169,.,.,.,1
AUT,1,1947,1947,1,m,25,1,RR,1,O,161,.,.,.,1
AUT,1,1947,1947,1,m,26,1,RR,1,O,155,.,.,.,1
AUT,1,1947,1947,1,m,27,1,RR,1,O,157,.,.,.,1
AUT,1,1947,1947,1,m,28,1,RR,1,O,102,.,.,.,1
AUT,1,1947,1947,1,m,29,1,RR,1,O,84,.,.,.,1
AUT,1,1947,1947,1,m,30,1,RR,1,O,107,.,.,.,1
AUT,1,1947,1947,1,m,31,1,RR,1,O,104,.,.,.,1
AUT,1,1947,1947,1,m,32,1,RR,1,O,156,.,.,.,1
AUT,1,1947,1947,1,m,33,1,RR,1,O,151,.,.,.,1
AUT,1,1947,1947,1,m,34,1,RR,1,O,195,.,.,.,1
AUT,1,1947,1947,1,m,35,1,RR,1,O,162,.,.,.,1
AUT,1,1947,1947,1,m,36,1,RR,1,O,214,.,.,.,1
AUT,1,1947,1947,1,m,37,1,RR,1,O,223,.,.,.,1
AUT,1,1947,1947,1,m,38,1,RR,1,O,258,.,.,.,1
AUT,1,1947,1947,1,m,39,1,RR,1,O,246,.,.,.,1
AUT,1,1947,1947,1,m,40,1,RR,1,O,257,.,.,.,1
AUT,1,1947,1947,1,m,41,1,RR,1,O,260,.,.,.,1
AUT,1,1947,1947,1,m,42,1,RR,1,O,305,.,.,.,1
AUT,1,1947,1947,1,m,43,1,RR,1,O,318,.,.,.,1
AUT,1,1947,1947,1,m,44,1,RR,1,O,337,.,.,.,1
AUT,1,1947,1947,1,m,45,1,RR,1,O,381,.,.,.,1
AUT,1,1947,1947,1,m,46,1,RR,1,O,414,.,.,.,1
AUT,1,1947,1947,1,m,47,1,RR,1,O,416,.,.,.,1
AUT,1,1947,1947,1,m,48,1,RR,1,O,460,.,.,.,1
AUT,1,1947,1947,1,m,49,1,RR,1,O,430,.,.,.,1
AUT,1,1947,1947,1,m,50,1,RR,1,O,495,.,.,.,1
AUT,1,1947,1947,1,m,51,1,RR,1,O,478,.,.,.,1
AUT,1,1947,1947,1,m,52,1,RR,1,O,538,.,.,.,1
AUT,1,1947,1947,1,m,53,1,RR,1,O,497,.,.,.,1
AUT,1,1947,1947,1,m,54,1,RR,1,O,477,.,.,.,1
AUT,1,1947,1947,1,m,55,1,RR,1,O,576,.,.,.,1
AUT,1,1947,1947,1,m,56,1,RR,1,O,633,.,.,.,1
AUT,1,1947,1947,1,m,57,1,RR,1,O,608,.,.,.,1
AUT,1,1947,1947,1,m,58,1,RR,1,O,638,.,.,.,1
AUT,1,1947,1947,1,m,59,1,RR,1,O,683,.,.,.,1
AUT,1,1947,1947,1,m,60,1,RR,1,O,742,.,.,.,1
AUT,1,1947,1947,1,m,61,1,RR,1,O,766,.,.,.,1
AUT,1,1947,1947,1,m,62,1,RR,1,O,824,.,.,.,1
AUT,1,1947,1947,1,m,63,1,RR,1,O,834,.,.,.,1
AUT,1,1947,1947,1,m,64,1,RR,1,O,903,.,.,.,1
AUT,1,1947,1947,1,m,65,1,RR,1,O,940,.,.,.,1
AUT,1,1947,1947,1,m,66,1,RR,1,O,970,.,.,.,1
AUT,1,1947,1947,1,m,67,1,RR,1,O,987,.,.,.,1
AUT,1,1947,1947,1,m,68,1,RR,1,O,1090,.,.,.,1
AUT,1,1947,1947,1,m,69,1,RR,1,O,1126,.,.,.,1
AUT,1,1947,1947,1,m,70,1,RR,1,O,1135,.,.,.,1
AUT,1,1947,1947,1,m,71,1,RR,1,O,1126,.,.,.,1
AUT,1,1947,1947,1,m,72,1,RR,1,O,1146,.,.,.,1
AUT,1,1947,1947,1,m,73,1,RR,1,O,1181,.,.,.,1
AUT,1,1947,1947,1,m,74,1,RR,1,O,1041,.,.,.,1
AUT,1,1947,1947,1,m,75,1,RR,1,O,1151,.,.,.,1
AUT,1,1947,1947,1,m,76,1,RR,1,O,1117,.,.,.,1
AUT,1,1947,1947,1,m,77,1,RR,1,O,1091,.,.,.,1
AUT,1,1947,1947,1,m,78,1,RR,1,O,1011,.,.,.,1
AUT,1,1947,1947,1,m,79,1,RR,1,O,967,.,.,.,1
AUT,1,1947,1947,1,m,80,1,RR,1,O,899,.,.,.,1
AUT,1,1947,1947,1,m,81,1,RR,1,O,768,.,.,.,1
AUT,1,1947,1947,1,m,82,1,RR,1,O,751,.,.,.,1
AUT,1,1947,1947,1,m,83,1,RR,1,O,662,.,.,.,1
AUT,1,1947,1947,1,m,84,1,RR,1,O,543,.,.,.,1
AUT,1,1947,1947,1,m,85,1,RR,1,O,480,.,.,.,1
AUT,1,1947,1947,1,m,86,1,RR,1,O,385,.,.,.,1
AUT,1,1947,1947,1,m,87,1,RR,1,O,320,.,.,.,1
AUT,1,1947,1947,1,m,88,1,RR,1,O,239,.,.,.,1
AUT,1,1947,1947,1,m,89,1,RR,1,O,177,.,.,.,1
