PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
BEL,10,f,1830,1830,64,O,64033,.,.,.,0
BEL,10,m,1830,1830,64,O,67643,.,.,.,0
BEL,10,f,1831,1831,64,O,65679,.,.,.,0
BEL,10,m,1831,1831,64,O,69371,.,.,.,0
BEL,10,f,1832,1832,64,O,62776,.,.,.,0
BEL,10,m,1832,1832,64,O,66294,.,.,.,0
BEL,10,f,1833,1833,64,O,67024,.,.,.,0
BEL,10,m,1833,1833,64,O,70768,.,.,.,0
BEL,10,f,1834,1834,64,O,67988,.,.,.,0
BEL,10,m,1834,1834,64,O,71774,.,.,.,0
BEL,10,f,1835,1835,64,O,69529,.,.,.,0
BEL,10,m,1835,1835,64,O,73388,.,.,.,0
BEL,10,f,1836,1836,64,O,70158,.,.,.,0
BEL,10,m,1836,1836,64,O,74040,.,.,.,0
BEL,10,f,1837,1837,64,O,69410,.,.,.,0
BEL,10,m,1837,1837,64,O,73238,.,.,.,0
BEL,10,f,1838,1838,64,O,74049,.,.,.,0
BEL,10,m,1838,1838,64,O,78121,.,.,.,0
BEL,10,f,1839,1839,64,O,66197,.,.,.,0
BEL,10,m,1839,1839,64,O,69825,.,.,.,0
BEL,10,f,1840,1840,3,O,67043,18,.,.,1
BEL,10,m,1840,1840,3,O,71099,18,.,.,1
BEL,10,f,1841,1841,3,O,67459,18,.,.,1
BEL,10,m,1841,1841,3,O,70676,18,.,.,1
BEL,10,f,1842,1842,3,O,65512,18,.,.,1
BEL,10,m,1842,1842,3,O,69515,18,.,.,1
BEL,10,f,1843,1843,3,O,64665,18,.,.,1
BEL,10,m,1843,1843,3,O,68246,18,.,.,1
BEL,10,f,1844,1844,3,O,65382,18,.,.,1
BEL,10,m,1844,1844,3,O,68594,18,.,.,1
BEL,10,f,1845,1845,3,O,66607,18,.,.,1
BEL,10,m,1845,1845,3,O,70405,18,.,.,1
BEL,10,f,1846,1846,3,O,58387,18,.,.,1
BEL,10,m,1846,1846,3,O,61223,18,.,.,1
BEL,10,f,1847,1847,3,O,57567,18,.,.,1
BEL,10,m,1847,1847,3,O,60539,18,.,.,1
BEL,10,f,1848,1848,3,O,58431,18,.,.,1
BEL,10,m,1848,1848,3,O,61952,18,.,.,1
BEL,10,f,1849,1849,3,O,65012,18,.,.,1
BEL,10,m,1849,1849,3,O,68093,18,.,.,1
BEL,10,f,1850,1850,3,O,64176,18,.,.,1
BEL,10,m,1850,1850,3,O,67240,18,.,.,1
BEL,10,f,1851,1851,3,O,65509,18,.,.,1
BEL,10,m,1851,1851,3,O,68739,18,.,.,1
BEL,10,f,1852,1852,3,O,65163,18,.,.,1
BEL,10,m,1852,1852,3,O,69234,18,.,.,1
BEL,10,f,1853,1853,3,O,62158,18,.,.,1
BEL,10,m,1853,1853,3,O,65570,18,.,.,1
BEL,10,f,1854,1854,3,O,64429,18,.,.,1
BEL,10,m,1854,1854,3,O,67408,18,.,.,1
BEL,10,f,1855,1855,3,O,61325,18,.,.,1
BEL,10,m,1855,1855,3,O,64630,18,.,.,1
BEL,10,f,1856,1856,3,O,65339,18,.,.,1
BEL,10,m,1856,1856,3,O,68848,18,.,.,1
BEL,10,f,1857,1857,3,O,69922,18,.,.,1
BEL,10,m,1857,1857,3,O,73369,18,.,.,1
BEL,10,f,1858,1858,3,O,70782,18,.,.,1
BEL,10,m,1858,1858,3,O,74292,18,.,.,1
BEL,10,f,1859,1859,3,O,73287,18,.,.,1
BEL,10,m,1859,1859,3,O,76525,18,.,.,1
BEL,10,f,1860,1860,3,O,70300,18,.,.,1
BEL,10,m,1860,1860,3,O,74368,18,.,.,1
BEL,10,f,1861,1861,3,O,71759,18,.,.,1
BEL,10,m,1861,1861,3,O,75674,18,.,.,1
BEL,10,f,1862,1862,3,O,70700,18,.,.,1
BEL,10,m,1862,1862,3,O,74868,18,.,.,1
BEL,10,f,1863,1863,3,O,75739,18,.,.,1
BEL,10,m,1863,1863,3,O,79825,18,.,.,1
BEL,10,f,1864,1864,3,O,75850,18,.,.,1
BEL,10,m,1864,1864,3,O,80022,18,.,.,1
BEL,10,f,1865,1865,3,O,76381,18,.,.,1
BEL,10,m,1865,1865,3,O,79942,18,.,.,1
BEL,10,f,1866,1866,3,O,77388,18,.,.,1
BEL,10,m,1866,1866,3,O,80622,18,.,.,1
BEL,10,f,1867,1867,3,O,76401,18,.,.,1
BEL,10,m,1867,1867,3,O,80748,18,.,.,1
BEL,10,f,1868,1868,3,O,76198,18,.,.,1
BEL,10,m,1868,1868,3,O,79936,18,.,.,1
BEL,10,f,1869,1869,3,O,77362,18,.,.,1
BEL,10,m,1869,1869,3,O,81325,18,.,.,1
BEL,10,f,1870,1870,3,O,80202,18,.,.,1
BEL,10,m,1870,1870,3,O,84370,18,.,.,1
BEL,10,f,1871,1871,3,O,77589,18,.,.,1
BEL,10,m,1871,1871,3,O,81171,18,.,.,1
BEL,10,f,1872,1872,3,O,81627,18,.,.,1
BEL,10,m,1872,1872,3,O,85750,18,.,.,1
BEL,10,f,1873,1873,3,O,83580,18,.,.,1
BEL,10,m,1873,1873,3,O,87128,18,.,.,1
BEL,10,f,1874,1874,3,O,84753,18,.,.,1
BEL,10,m,1874,1874,3,O,89225,18,.,.,1
BEL,10,f,1875,1875,3,O,85795,18,.,.,1
BEL,10,m,1875,1875,3,O,89757,18,.,.,1
BEL,10,f,1876,1876,3,O,86476,18,.,.,1
BEL,10,m,1876,1876,3,O,90439,18,.,.,1
BEL,10,f,1877,1877,3,O,85499,18,.,.,1
BEL,10,m,1877,1877,3,O,89578,18,.,.,1
BEL,10,f,1878,1878,3,O,84397,18,.,.,1
BEL,10,m,1878,1878,3,O,88333,18,.,.,1
BEL,10,f,1879,1879,3,O,85302,18,.,.,1
BEL,10,m,1879,1879,3,O,89339,18,.,.,1
BEL,10,f,1880,1880,3,O,84082,18,.,.,1
BEL,10,m,1880,1880,3,O,87782,18,.,.,1
BEL,10,f,1881,1881,3,O,86027,18,.,.,1
BEL,10,m,1881,1881,3,O,89384,18,.,.,1
BEL,10,f,1882,1882,3,O,85715,18,.,.,1
BEL,10,m,1882,1882,3,O,90630,18,.,.,1
BEL,10,f,1883,1883,3,O,85322,18,.,.,1
BEL,10,m,1883,1883,3,O,89162,18,.,.,1
BEL,10,f,1884,1884,3,O,86314,18,.,.,1
BEL,10,m,1884,1884,3,O,90407,18,.,.,1
BEL,10,f,1885,1885,3,O,85736,18,.,.,1
BEL,10,m,1885,1885,3,O,89307,18,.,.,1
BEL,10,f,1886,1886,3,O,85773,20,.,.,1
BEL,130,f,1886,1886,38,O,630,34,.,.,0
BEL,130,m,1886,1886,38,O,860,34,.,.,0
BEL,10,m,1886,1886,3,O,89318,20,.,.,1
BEL,130,f,1887,1887,38,O,628,34,.,.,0
BEL,10,f,1887,1887,3,O,85645,20,.,.,1
BEL,10,m,1887,1887,3,O,89821,20,.,.,1
BEL,130,m,1887,1887,38,O,848,34,.,.,0
