PopName,Area,Year,YearReg,Month,Vital,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
BEL,10,1900,1900,1,1,68,O,16943,.,.,.,1
BEL,10,1900,1900,2,1,68,O,16415,.,.,.,1
BEL,10,1900,1900,3,1,68,O,17860,.,.,.,1
BEL,10,1900,1900,4,1,68,O,16837,.,.,.,1
BEL,10,1900,1900,5,1,68,O,16744,.,.,.,1
BEL,10,1900,1900,6,1,68,O,15711,.,.,.,1
BEL,10,1900,1900,7,1,68,O,16624,.,.,.,1
BEL,10,1900,1900,8,1,68,O,16077,.,.,.,1
BEL,10,1900,1900,9,1,68,O,16004,.,.,.,1
BEL,10,1900,1900,10,1,68,O,15821,.,.,.,1
BEL,10,1900,1900,11,1,68,O,14834,.,.,.,1
BEL,10,1900,1900,12,1,68,O,15484,.,.,.,1
BEL,10,1900,1900,TOT,1,68,O,195354,.,.,.,1
BEL,10,1901,1901,1,1,68,O,17378,.,.,.,1
BEL,10,1901,1901,2,1,68,O,16951,.,.,.,1
BEL,10,1901,1901,3,1,68,O,18364,.,.,.,1
BEL,10,1901,1901,4,1,68,O,17524,.,.,.,1
BEL,10,1901,1901,5,1,68,O,17248,.,.,.,1
BEL,10,1901,1901,6,1,68,O,16292,.,.,.,1
BEL,10,1901,1901,7,1,68,O,16643,.,.,.,1
BEL,10,1901,1901,8,1,68,O,16310,.,.,.,1
BEL,10,1901,1901,9,1,68,O,16647,.,.,.,1
BEL,10,1901,1901,10,1,68,O,16296,.,.,.,1
BEL,10,1901,1901,11,1,68,O,15816,.,.,.,1
BEL,10,1901,1901,12,1,68,O,16139,.,.,.,1
BEL,10,1901,1901,TOT,1,68,O,201608,.,.,.,1
BEL,10,1902,1902,1,1,68,O,16862,.,.,.,1
BEL,10,1902,1902,2,1,68,O,16493,.,.,.,1
BEL,10,1902,1902,3,1,68,O,18166,.,.,.,1
BEL,10,1902,1902,4,1,68,O,17014,.,.,.,1
BEL,10,1902,1902,5,1,68,O,16894,.,.,.,1
BEL,10,1902,1902,6,1,68,O,16055,.,.,.,1
BEL,10,1902,1902,7,1,68,O,15682,.,.,.,1
BEL,10,1902,1902,8,1,68,O,16221,.,.,.,1
BEL,10,1902,1902,9,1,68,O,16104,.,.,.,1
BEL,10,1902,1902,10,1,68,O,16245,.,.,.,1
BEL,10,1902,1902,11,1,68,O,15459,.,.,.,1
BEL,10,1902,1902,12,1,68,O,16194,.,.,.,1
BEL,10,1902,1902,TOT,1,68,O,197389,.,.,.,1
BEL,10,1903,1903,1,1,68,O,16739,.,.,.,1
BEL,10,1903,1903,2,1,68,O,15585,.,.,.,1
BEL,10,1903,1903,3,1,68,O,17598,.,.,.,1
BEL,10,1903,1903,4,1,68,O,16429,.,.,.,1
BEL,10,1903,1903,5,1,68,O,17296,.,.,.,1
BEL,10,1903,1903,6,1,68,O,16372,.,.,.,1
BEL,10,1903,1903,7,1,68,O,15963,.,.,.,1
BEL,10,1903,1903,8,1,68,O,15963,.,.,.,1
BEL,10,1903,1903,9,1,68,O,15692,.,.,.,1
BEL,10,1903,1903,10,1,68,O,15476,.,.,.,1
BEL,10,1903,1903,11,1,68,O,15078,.,.,.,1
BEL,10,1903,1903,12,1,68,O,15531,.,.,.,1
BEL,10,1903,1903,TOT,1,68,O,193722,.,.,.,1
BEL,10,1904,1904,1,1,68,O,16294,.,.,.,1
BEL,10,1904,1904,2,1,68,O,15911,.,.,.,1
BEL,10,1904,1904,3,1,68,O,17188,.,.,.,1
BEL,10,1904,1904,4,1,68,O,16519,.,.,.,1
BEL,10,1904,1904,5,1,68,O,16740,.,.,.,1
BEL,10,1904,1904,6,1,68,O,15649,.,.,.,1
BEL,10,1904,1904,7,1,68,O,16004,.,.,.,1
BEL,10,1904,1904,8,1,68,O,16032,.,.,.,1
BEL,10,1904,1904,9,1,68,O,16061,.,.,.,1
BEL,10,1904,1904,10,1,68,O,15852,.,.,.,1
BEL,10,1904,1904,11,1,68,O,15156,.,.,.,1
BEL,10,1904,1904,12,1,68,O,15799,.,.,.,1
BEL,10,1904,1904,TOT,1,68,O,193205,.,.,.,1
BEL,10,1905,1905,1,1,68,O,17103,.,.,.,1
BEL,10,1905,1905,2,1,68,O,15924,.,.,.,1
BEL,10,1905,1905,3,1,68,O,17212,.,.,.,1
BEL,10,1905,1905,4,1,68,O,16046,.,.,.,1
BEL,10,1905,1905,5,1,68,O,16405,.,.,.,1
BEL,10,1905,1905,6,1,68,O,15640,.,.,.,1
BEL,10,1905,1905,7,1,68,O,15554,.,.,.,1
BEL,10,1905,1905,8,1,68,O,15570,.,.,.,1
BEL,10,1905,1905,9,1,68,O,15107,.,.,.,1
BEL,10,1905,1905,10,1,68,O,14812,.,.,.,1
BEL,10,1905,1905,11,1,68,O,14361,.,.,.,1
BEL,10,1905,1905,12,1,68,O,15073,.,.,.,1
BEL,10,1905,1905,TOT,1,68,O,188807,.,.,.,1
BEL,10,1906,1906,1,1,68,O,16212,.,.,.,1
BEL,10,1906,1906,2,1,68,O,15499,.,.,.,1
BEL,10,1906,1906,3,1,68,O,17302,.,.,.,1
BEL,10,1906,1906,4,1,68,O,16118,.,.,.,1
BEL,10,1906,1906,5,1,68,O,16377,.,.,.,1
BEL,10,1906,1906,6,1,68,O,15172,.,.,.,1
BEL,10,1906,1906,7,1,68,O,15140,.,.,.,1
BEL,10,1906,1906,8,1,68,O,15518,.,.,.,1
BEL,10,1906,1906,9,1,68,O,15390,.,.,.,1
BEL,10,1906,1906,10,1,68,O,15353,.,.,.,1
BEL,10,1906,1906,11,1,68,O,14444,.,.,.,1
BEL,10,1906,1906,12,1,68,O,15229,.,.,.,1
BEL,10,1906,1906,TOT,1,68,O,187754,.,.,.,1
BEL,10,1907,1907,1,1,68,O,16483,.,.,.,1
BEL,10,1907,1907,2,1,68,O,15425,.,.,.,1
BEL,10,1907,1907,3,1,68,O,16761,.,.,.,1
BEL,10,1907,1907,4,1,68,O,15976,.,.,.,1
BEL,10,1907,1907,5,1,68,O,16065,.,.,.,1
BEL,10,1907,1907,6,1,68,O,15261,.,.,.,1
BEL,10,1907,1907,7,1,68,O,15527,.,.,.,1
BEL,10,1907,1907,8,1,68,O,15817,.,.,.,1
BEL,10,1907,1907,9,1,68,O,15071,.,.,.,1
BEL,10,1907,1907,10,1,68,O,14651,.,.,.,1
BEL,10,1907,1907,11,1,68,O,14081,.,.,.,1
BEL,10,1907,1907,12,1,68,O,15492,.,.,.,1
BEL,10,1907,1907,TOT,1,68,O,186610,.,.,.,1
BEL,10,1908,1908,1,1,68,O,16607,.,.,.,1
BEL,10,1908,1908,2,1,68,O,15840,.,.,.,1
BEL,10,1908,1908,3,1,68,O,16642,.,.,.,1
BEL,10,1908,1908,4,1,68,O,16086,.,.,.,1
BEL,10,1908,1908,5,1,68,O,16587,.,.,.,1
BEL,10,1908,1908,6,1,68,O,15573,.,.,.,1
BEL,10,1908,1908,7,1,68,O,15241,.,.,.,1
BEL,10,1908,1908,8,1,68,O,15095,.,.,.,1
BEL,10,1908,1908,9,1,68,O,15066,.,.,.,1
BEL,10,1908,1908,10,1,68,O,14738,.,.,.,1
BEL,10,1908,1908,11,1,68,O,13868,.,.,.,1
BEL,10,1908,1908,12,1,68,O,14020,.,.,.,1
BEL,10,1908,1908,TOT,1,68,O,185363,.,.,.,1
BEL,10,1909,1909,1,1,68,O,15390,.,.,.,1
BEL,10,1909,1909,2,1,68,O,14921,.,.,.,1
BEL,10,1909,1909,3,1,68,O,16374,.,.,.,1
BEL,10,1909,1909,4,1,68,O,15471,.,.,.,1
BEL,10,1909,1909,5,1,68,O,15455,.,.,.,1
BEL,10,1909,1909,6,1,68,O,14911,.,.,.,1
BEL,10,1909,1909,7,1,68,O,14286,.,.,.,1
BEL,10,1909,1909,8,1,68,O,14645,.,.,.,1
BEL,10,1909,1909,9,1,68,O,14324,.,.,.,1
BEL,10,1909,1909,10,1,68,O,14327,.,.,.,1
BEL,10,1909,1909,11,1,68,O,13830,.,.,.,1
BEL,10,1909,1909,12,1,68,O,13936,.,.,.,1
BEL,10,1909,1909,TOT,1,68,O,177870,.,.,.,1
BEL,10,1910,1910,1,1,68,O,15417,.,.,.,1
BEL,10,1910,1910,2,1,68,O,14520,.,.,.,1
BEL,10,1910,1910,3,1,68,O,15708,.,.,.,1
BEL,10,1910,1910,4,1,68,O,15133,.,.,.,1
BEL,10,1910,1910,5,1,68,O,15424,.,.,.,1
BEL,10,1910,1910,6,1,68,O,14955,.,.,.,1
BEL,10,1910,1910,7,1,68,O,14642,.,.,.,1
BEL,10,1910,1910,8,1,68,O,14677,.,.,.,1
BEL,10,1910,1910,9,1,68,O,14313,.,.,.,1
BEL,10,1910,1910,10,1,68,O,14670,.,.,.,1
BEL,10,1910,1910,11,1,68,O,14019,.,.,.,1
BEL,10,1910,1910,12,1,68,O,14386,.,.,.,1
BEL,10,1910,1910,TOT,1,68,O,177864,.,.,.,1
BEL,10,1911,1911,1,1,68,O,15135,.,.,.,1
BEL,10,1911,1911,2,1,68,O,14286,.,.,.,1
BEL,10,1911,1911,3,1,68,O,15365,.,.,.,1
BEL,10,1911,1911,4,1,68,O,14718,.,.,.,1
BEL,10,1911,1911,5,1,68,O,15288,.,.,.,1
BEL,10,1911,1911,6,1,68,O,14334,.,.,.,1
BEL,10,1911,1911,7,1,68,O,14554,.,.,.,1
BEL,10,1911,1911,8,1,68,O,14258,.,.,.,1
BEL,10,1911,1911,9,1,68,O,13696,.,.,.,1
