Belgium, Exposure to risk (period 5x10), 	Last modified: 25 Sep 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1849        0            511011.28       526283.80      1037295.08
1841-1849      1-4           1785896.73      1814781.81      3600678.54
1841-1849      5-9           2046288.04      2102801.24      4149089.28
1841-1849     10-14          1859931.35      1924547.57      3784478.91
1841-1849     15-19          1776478.64      1811853.35      3588331.99
1841-1849     20-24          1678526.13      1699256.53      3377782.65
1841-1849     25-29          1471747.29      1485788.84      2957536.13
1841-1849     30-34          1341030.68      1358216.26      2699246.94
1841-1849     35-39          1255196.79      1289787.89      2544984.68
1841-1849     40-44          1162696.58      1215306.26      2378002.84
1841-1849     45-49          1055098.89      1057630.90      2112729.79
1841-1849     50-54           876496.12       767936.81      1644432.92
1841-1849     55-59           747580.73       612334.47      1359915.20
1841-1849     60-64           626559.28       539763.96      1166323.24
1841-1849     65-69           487910.05       431333.21       919243.26
1841-1849     70-74           338367.85       301093.18       639461.02
1841-1849     75-79           212882.27       186374.92       399257.19
1841-1849     80-84            99887.73        82332.35       182220.08
1841-1849     85-89            35413.84        26587.13        62000.97
1841-1849     90-94             8980.01         5922.92        14902.92
1841-1849     95-99             1388.50          903.50         2292.00
1841-1849    100-104             104.40           48.06          152.47
1841-1849    105-109               0.00            0.00            0.00
1841-1849    110+                  0.00            0.00            0.00
1850-1859        0            604932.57       621894.66      1226827.23
1850-1859      1-4           1921399.91      1940673.58      3862073.49
1850-1859      5-9           2217041.34      2252272.67      4469314.00
1850-1859     10-14          2178009.66      2240189.70      4418199.36
1850-1859     15-19          2060063.16      2143165.05      4203228.22
1850-1859     20-24          1880939.12      1957419.73      3838358.85
1850-1859     25-29          1757950.92      1802600.07      3560550.99
1850-1859     30-34          1615287.53      1651448.97      3266736.49
1850-1859     35-39          1454235.69      1486797.37      2941033.05
1850-1859     40-44          1333893.38      1362839.51      2696732.89
1850-1859     45-49          1216448.47      1253763.06      2470211.53
1850-1859     50-54          1108801.55      1145637.97      2254439.51
1850-1859     55-59           938810.88       915780.92      1854591.81
1850-1859     60-64           743702.50       635502.08      1379204.57
1850-1859     65-69           579536.52       460766.93      1040303.45
1850-1859     70-74           407375.88       333846.76       741222.64
1850-1859     75-79           241878.74       198959.60       440838.34
1850-1859     80-84           108907.98        84336.98       193244.96
1850-1859     85-89            36297.66        26597.00        62894.65
1850-1859     90-94             8153.80         5315.91        13469.71
1850-1859     95-99             1278.67          686.12         1964.78
1850-1859    100-104              50.94           23.34           74.28
