Belgium,  Exposures (Lexis triangle)	Last modified: 25 Sep 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1841    0      1841    31297.72    32461.66    63759.39
 1841    0      1840    29708.43    30486.57    60194.99
 1841    1      1840    27898.67    28337.42    56236.09
 1841    1      1839    27173.86    27726.79    54900.64
 1841    2      1839    26229.16    26787.74    53016.90
 1841    2      1838    25251.60    25733.96    50985.56
 1841    3      1838    24688.82    25195.35    49884.17
 1841    3      1837    24061.75    24311.36    48373.11
 1841    4      1837    23710.85    23983.62    47694.47
 1841    4      1836    23303.23    23878.19    47181.42
 1841    5      1836    23056.58    23648.07    46704.65
 1841    5      1835    22056.32    22625.55    44681.86
 1841    6      1835    21857.38    22452.98    44310.36
 1841    6      1834    22193.17    22858.32    45051.49
 1841    7      1834    22020.35    22722.08    44742.42
 1841    7      1833    21043.24    21774.97    42818.21
 1841    8      1833    20902.58    21664.51    42567.09
 1841    8      1832    21322.64    22129.34    43451.97
 1841    9      1832    21203.75    22027.51    43231.26
 1841    9      1831    20690.93    21642.42    42333.36
 1841   10      1831    20584.75    21549.06    42133.81
 1841   10      1830    20715.70    22005.53    42721.23
 1841   11      1830    20618.36    21924.70    42543.05
 1841   11      1829    20433.67    20755.69    41189.36
 1841   12      1829    20342.88    20685.80    41028.68
 1841   12      1828    20678.89    19544.19    40223.08
 1841   13      1828    20588.92    19479.78    40068.70
 1841   13      1827    19041.45    18694.11    37735.56
 1841   14      1827    18946.56    18629.71    37576.27
 1841   14      1826    20799.38    20080.58    40879.96
 1841   15      1826    20694.60    20011.74    40706.34
 1841   15      1825    20044.48    20810.39    40854.87
 1841   16      1825    19929.03    20732.63    40661.66
 1841   16      1824    20948.15    21249.41    42197.56
 1841   17      1824    20825.36    21161.93    41987.29
 1841   17      1823    20577.54    20785.12    41362.65
 1841   18      1823    20451.67    20686.90    41138.56
 1841   18      1822    20573.47    20530.55    41104.02
 1841   19      1822    20448.78    20420.59    40869.37
 1841   19      1821    19552.92    20007.89    39560.80
 1841   20      1821    19432.31    19883.00    39315.31
 1841   20      1820    18495.80    18902.37    37398.16
 1841   21      1820    18382.38    18769.94    37152.32
 1841   21      1819    17430.86    17732.37    35163.23
 1841   22      1819    17322.52    17594.88    34917.39
 1841   22      1818    16631.48    16986.58    33618.06
