PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
BGR,1,1900,1900,1,1,13725,O,.,.,.,14,1
BGR,1,1900,1900,2,1,14014,O,.,.,.,14,1
BGR,1,1900,1900,3,1,13834,O,.,.,.,14,1
BGR,1,1900,1900,4,1,12619,O,.,.,.,14,1
BGR,1,1900,1900,5,1,13417,O,.,.,.,14,1
BGR,1,1900,1900,6,1,13048,O,.,.,.,14,1
BGR,1,1900,1900,7,1,14402,O,.,.,.,14,1
BGR,1,1900,1900,8,1,14087,O,.,.,.,14,1
BGR,1,1900,1900,9,1,14023,O,.,.,.,14,1
BGR,1,1900,1900,10,1,15780,O,.,.,.,14,1
BGR,1,1900,1900,11,1,10279,O,.,.,.,14,1
BGR,1,1900,1900,12,1,7734,O,.,.,.,14,1
BGR,1,1900,1900,TOT,1,156962,O,.,.,.,14,1
BGR,1,1905,1905,1,1,17379,O,.,.,.,14,1
BGR,1,1905,1905,2,1,15100,O,.,.,.,14,1
BGR,1,1905,1905,3,1,13865,O,.,.,.,14,1
BGR,1,1905,1905,4,1,13551,O,.,.,.,14,1
BGR,1,1905,1905,5,1,12640,O,.,.,.,14,1
BGR,1,1905,1905,6,1,13959,O,.,.,.,14,1
BGR,1,1905,1905,7,1,15884,O,.,.,.,14,1
BGR,1,1905,1905,8,1,15537,O,.,.,.,14,1
BGR,1,1905,1905,9,1,14915,O,.,.,.,14,1
BGR,1,1905,1905,10,1,16305,O,.,.,.,14,1
BGR,1,1905,1905,11,1,13645,O,.,.,.,14,1
BGR,1,1905,1905,12,1,11409,O,.,.,.,14,1
BGR,1,1905,1905,TOT,1,174189,O,.,.,.,14,1
BGR,1,1910,1910,1,1,17327,O,.,.,.,14,1
BGR,1,1910,1910,2,1,16771,O,.,.,.,14,1
BGR,1,1910,1910,3,1,16265,O,.,.,.,14,1
BGR,1,1910,1910,4,1,15285,O,.,.,.,14,1
BGR,1,1910,1910,5,1,13158,O,.,.,.,14,1
BGR,1,1910,1910,6,1,13169,O,.,.,.,14,1
BGR,1,1910,1910,7,1,15464,O,.,.,.,14,1
BGR,1,1910,1910,8,1,15267,O,.,.,.,14,1
BGR,1,1910,1910,9,1,16613,O,.,.,.,14,1
BGR,1,1910,1910,10,1,17625,O,.,.,.,14,1
BGR,1,1910,1910,11,1,12591,O,.,.,.,14,1
BGR,1,1910,1910,12,1,10028,O,.,.,.,14,1
