PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
BGR,1,1947,1947,1,f,0,1,TL,1,O,7303,4,5,.,1
BGR,1,1947,1947,1,f,0,1,TU,1,O,2894,.,.,.,1
BGR,1,1947,1947,1,f,1,1,TL,1,O,1312,.,.,.,1
BGR,1,1947,1947,1,f,1,1,TU,1,O,840,.,.,.,1
BGR,1,1947,1947,1,f,2,1,TL,1,O,520,.,.,.,1
BGR,1,1947,1947,1,f,2,1,TU,1,O,351,.,.,.,1
BGR,1,1947,1947,1,f,3,1,TL,1,O,238,.,.,.,1
BGR,1,1947,1947,1,f,3,1,TU,1,O,185,.,.,.,1
BGR,1,1947,1947,1,f,4,1,TL,1,O,161,.,.,.,1
BGR,1,1947,1947,1,f,4,1,TU,1,O,145,.,.,.,1
BGR,1,1947,1947,1,f,5,1,TL,1,O,108,.,.,.,1
BGR,1,1947,1947,1,f,5,1,TU,1,O,113,.,.,.,1
BGR,1,1947,1947,1,f,6,1,TL,1,O,93,.,.,.,1
BGR,1,1947,1947,1,f,6,1,TU,1,O,73,.,.,.,1
BGR,1,1947,1947,1,f,7,1,TL,1,O,64,.,.,.,1
BGR,1,1947,1947,1,f,7,1,TU,1,O,70,.,.,.,1
BGR,1,1947,1947,1,f,8,1,TL,1,O,67,.,.,.,1
BGR,1,1947,1947,1,f,8,1,TU,1,O,50,.,.,.,1
BGR,1,1947,1947,1,f,9,1,TL,1,O,51,.,.,.,1
BGR,1,1947,1947,1,f,9,1,TU,1,O,55,.,.,.,1
BGR,1,1947,1947,1,f,10,1,TL,1,O,69,.,.,.,1
BGR,1,1947,1947,1,f,10,1,TU,1,O,59,.,.,.,1
BGR,1,1947,1947,1,f,11,1,TL,1,O,58,.,.,.,1
BGR,1,1947,1947,1,f,11,1,TU,1,O,48,.,.,.,1
BGR,1,1947,1947,1,f,12,1,TL,1,O,59,.,.,.,1
BGR,1,1947,1947,1,f,12,1,TU,1,O,82,.,.,.,1
BGR,1,1947,1947,1,f,13,1,TL,1,O,71,.,.,.,1
BGR,1,1947,1947,1,f,13,1,TU,1,O,74,.,.,.,1
BGR,1,1947,1947,1,f,14,1,TL,1,O,82,.,.,.,1
BGR,1,1947,1947,1,f,14,1,TU,1,O,105,.,.,.,1
BGR,1,1947,1947,1,f,15,1,TL,1,O,103,.,.,.,1
BGR,1,1947,1947,1,f,15,1,TU,1,O,91,.,.,.,1
BGR,1,1947,1947,1,f,16,1,TL,1,O,99,.,.,.,1
BGR,1,1947,1947,1,f,16,1,TU,1,O,111,.,.,.,1
BGR,1,1947,1947,1,f,17,1,TL,1,O,155,.,.,.,1
BGR,1,1947,1947,1,f,17,1,TU,1,O,166,.,.,.,1
BGR,1,1947,1947,1,f,18,1,TL,1,O,149,.,.,.,1
BGR,1,1947,1947,1,f,18,1,TU,1,O,157,.,.,.,1
BGR,1,1947,1947,1,f,19,1,TL,1,O,172,.,.,.,1
BGR,1,1947,1947,1,f,19,1,TU,1,O,160,.,.,.,1
BGR,1,1947,1947,1,f,20,1,TL,1,O,194,.,.,.,1
BGR,1,1947,1947,1,f,20,1,TU,1,O,191,.,.,.,1
BGR,1,1947,1947,1,f,21,1,TL,1,O,186,.,.,.,1
BGR,1,1947,1947,1,f,21,1,TU,1,O,149,.,.,.,1
BGR,1,1947,1947,1,f,22,1,TL,1,O,177,.,.,.,1
BGR,1,1947,1947,1,f,22,1,TU,1,O,183,.,.,.,1
BGR,1,1947,1947,1,f,23,1,TL,1,O,187,.,.,.,1
BGR,1,1947,1947,1,f,23,1,TU,1,O,183,.,.,.,1
