Bulgaria, Exposure to risk (period 1x10), 	Last modified: 27 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0            231766.13       244246.80       476012.94
1947-1949        1            213037.37       222373.31       435410.68
1947-1949        2            200016.94       208337.71       408354.66
1947-1949        3            190144.03       197563.48       387707.51
1947-1949        4            182961.89       189895.11       372857.00
1947-1949        5            180177.81       187183.74       367361.55
1947-1949        6            179825.10       186865.42       366690.52
1947-1949        7            176880.70       183743.41       360624.11
1947-1949        8            175728.90       182078.75       357807.65
1947-1949        9            175102.89       181337.46       356440.35
1947-1949       10            178619.22       185259.91       363879.13
1947-1949       11            182249.39       189386.80       371636.20
1947-1949       12            192566.75       199842.12       392408.87
1947-1949       13            200647.28       207786.14       408433.42
1947-1949       14            208976.18       216097.44       425073.62
1947-1949       15            207850.12       215060.62       422910.74
1947-1949       16            205211.73       212985.80       418197.53
1947-1949       17            204232.08       212101.07       416333.16
1947-1949       18            204221.03       210678.09       414899.12
1947-1949       19            205896.49       210869.61       416766.10
1947-1949       20            208361.14       212230.94       420592.07
1947-1949       21            211176.08       217437.78       428613.87
1947-1949       22            216064.09       224422.38       440486.48
1947-1949       23            215359.45       221253.40       436612.85
1947-1949       24            213802.29       214289.63       428091.92
1947-1949       25            208657.08       205159.65       413816.73
1947-1949       26            201885.18       198712.16       400597.34
1947-1949       27            193831.45       192992.08       386823.53
1947-1949       28            169207.54       169572.64       338780.19
1947-1949       29            136287.91       136428.90       272716.80
1947-1949       30            106390.27       105134.15       211524.42
1947-1949       31            108433.01       106646.11       215079.12
1947-1949       32            136539.12       137162.30       273701.42
1947-1949       33            155090.53       157905.47       312996.00
1947-1949       34            158317.75       161471.18       319788.93
1947-1949       35            154968.81       157914.44       312883.26
1947-1949       36            157244.18       161145.45       318389.62
1947-1949       37            162800.40       168640.19       331440.60
1947-1949       38            158279.71       164179.46       322459.17
1947-1949       39            155775.83       161030.19       316806.02
1947-1949       40            152807.76       156879.97       309687.74
1947-1949       41            151929.89       156018.75       307948.64
1947-1949       42            149756.70       154258.90       304015.60
1947-1949       43            143481.19       148591.24       292072.43
1947-1949       44            136035.70       141349.90       277385.61
1947-1949       45            129095.35       133372.21       262467.56
1947-1949       46            126770.64       129386.65       256157.29
1947-1949       47            125663.02       126723.99       252387.01
1947-1949       48            119679.36       119972.52       239651.89
1947-1949       49            111128.37       112275.60       223403.97
1947-1949       50            104410.75       105478.48       209889.23
1947-1949       51            102892.20       102603.22       205495.43
1947-1949       52             99076.34        97536.56       196612.90
1947-1949       53             91269.15        89222.91       180492.06
1947-1949       54             82506.39        80358.26       162864.64
1947-1949       55             80086.83        73888.81       153975.64
1947-1949       56             85639.96        70425.48       156065.44
1947-1949       57             91151.64        67616.00       158767.64
1947-1949       58             91363.83        66633.61       157997.44
1947-1949       59             85410.08        66820.02       152230.10
1947-1949       60             83095.36        68684.22       151779.58
1947-1949       61             86300.35        72982.22       159282.57
1947-1949       62             88262.74        75533.24       163795.98
1947-1949       63             83984.35        73463.10       157447.46
1947-1949       64             73771.70        67629.05       141400.75
1947-1949       65             66894.25        62351.94       129246.19
1947-1949       66             65486.06        60106.44       125592.50
1947-1949       67             63125.02        55721.41       118846.43
1947-1949       68             56732.42        48885.41       105617.82
1947-1949       69             47684.17        42307.59        89991.76
1947-1949       70             43153.87        37933.87        81087.74
1947-1949       71             41928.55        35195.38        77123.92
1947-1949       72             38282.51        31365.98        69648.48
1947-1949       73             31981.54        26963.51        58945.05
1947-1949       74             24835.47        23000.80        47836.28
1947-1949       75             21995.81        20582.65        42578.46
1947-1949       76             22576.97        20284.45        42861.42
1947-1949       77             22648.03        20070.15        42718.18
1947-1949       78             19552.30        18274.32        37826.62
1947-1949       79             14882.93        14989.97        29872.90
1947-1949       80             12534.97        12496.30        25031.27
1947-1949       81             11621.00        11201.76        22822.76
1947-1949       82             10892.00        10387.97        21279.96
1947-1949       83              9651.49         9336.72        18988.21
1947-1949       84              7851.41         7675.25        15526.66
1947-1949       85              6583.07         6250.72        12833.79
1947-1949       86              6230.52         5608.46        11838.98
1947-1949       87              5761.02         5138.14        10899.16
1947-1949       88              4382.92         4004.63         8387.55
1947-1949       89              2976.97         2797.64         5774.60
1947-1949       90              2211.79         1996.06         4207.84
1947-1949       91              2036.08         1726.22         3762.30
1947-1949       92              1731.68         1464.39         3196.07
