Bulgaria, Life tables (period 5x10), Females	Last modified: 27 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.12408  0.11435  0.31  100000   11435   92157  5758467  57.58
1947-1949      1-4      0.01236  0.04784  1.28   88565    4237  342722  5666310  63.98
1947-1949      5-9      0.00237  0.01178  2.18   84329     993  418848  5323588  63.13
1947-1949     10-14     0.00188  0.00934  2.63   83336     779  414829  4904740  58.86
1947-1949     15-19     0.00348  0.01728  2.75   82557    1426  409572  4489911  54.39
1947-1949     20-24     0.00451  0.02229  2.45   81131    1808  401050  4080339  50.29
1947-1949     25-29     0.00404  0.01999  2.44   79323    1585  392548  3679289  46.38
1947-1949     30-34     0.00372  0.01840  2.42   77737    1430  384993  3286741  42.28
1947-1949     35-39     0.00383  0.01896  2.50   76307    1447  377915  2901748  38.03
1947-1949     40-44     0.00426  0.02110  2.52   74860    1579  370383  2523833  33.71
1947-1949     45-49     0.00522  0.02578  2.62   73281    1889  361906  2153450  29.39
1947-1949     50-54     0.00803  0.03941  2.60   71391    2814  350202  1791544  25.09
1947-1949     55-59     0.01160  0.05645  2.60   68578    3871  333613  1441342  21.02
1947-1949     60-64     0.01986  0.09476  2.58   64707    6132  308695  1107729  17.12
1947-1949     65-69     0.03035  0.14174  2.67   58575    8302  273542   799034  13.64
1947-1949     70-74     0.05548  0.24463  2.59   50273   12298  221669   525492  10.45
1947-1949     75-79     0.09001  0.36614  2.45   37974   13904  154465   303823   8.00
1947-1949     80-84     0.13504  0.49418  2.29   24071   11895   88085   149358   6.21
1947-1949     85-89     0.17616  0.58715  2.16   12175    7149   40581    61274   5.03
1947-1949     90-94     0.22316  0.67268  2.05    5027    3381   15152    20693   4.12
1947-1949     95-99     0.28226  0.76711  2.02    1645    1262    4472     5541   3.37
1947-1949    100-104    0.34775  0.83581  1.89     383     320     921     1069   2.79
1947-1949    105-109    0.41949  0.88847  1.76      63      56     133      148   2.35
1947-1949    110+       0.47806  1.00000  2.09       7       7      15       15   2.09
1950-1959        0      0.07634  0.07254  0.31  100000    7254   95025  6575243  65.75
1950-1959      1-4      0.00618  0.02429  1.20   92746    2253  364676  6480218  69.87
1950-1959      5-9      0.00100  0.00496  2.20   90494     449  451212  6115543  67.58
1950-1959     10-14     0.00081  0.00402  2.59   90045     362  449350  5664330  62.91
1950-1959     15-19     0.00142  0.00710  2.73   89683     637  446966  5214980  58.15
1950-1959     20-24     0.00192  0.00957  2.51   89046     852  443106  4768014  53.55
1950-1959     25-29     0.00195  0.00972  2.46   88194     857  438795  4324908  49.04
1950-1959     30-34     0.00188  0.00937  2.51   87337     818  434647  3886113  44.50
1950-1959     35-39     0.00227  0.01131  2.58   86518     978  430220  3451467  39.89
1950-1959     40-44     0.00300  0.01489  2.54   85540    1273  424567  3021247  35.32
