PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
CAN,02,f,1921,1921,1,O,123889,.,.,.,1
CAN,02,m,1921,1921,1,O,133839,.,.,.,1
CAN,02,f,1922,1922,1,O,123516,.,.,.,1
CAN,02,m,1922,1922,1,O,129055,.,.,.,1
CAN,02,f,1923,1923,1,O,116473,.,.,.,1
CAN,02,m,1923,1923,1,O,124003,.,.,.,1
CAN,02,f,1924,1924,1,O,118935,.,.,.,1
CAN,02,m,1924,1924,1,O,125590,.,.,.,1
CAN,02,f,1925,1925,1,O,117702,.,.,.,1
CAN,02,m,1925,1925,1,O,124686,.,.,.,1
CAN,02,f,1926,1926,1,O,112887,.,.,.,1
CAN,02,m,1926,1926,1,O,119863,.,.,.,1
CAN,02,f,1927,1927,1,O,113533,.,.,.,1
CAN,02,m,1927,1927,1,O,120655,.,.,.,1
CAN,02,f,1928,1928,1,O,115252,.,.,.,1
CAN,02,m,1928,1928,1,O,121505,.,.,.,1
CAN,02,f,1929,1929,1,O,114524,.,.,.,1
CAN,02,m,1929,1929,1,O,120891,.,.,.,1
CAN,02,f,1930,1930,1,O,118643,.,.,.,1
CAN,02,m,1930,1930,1,O,124852,.,.,.,1
CAN,02,f,1931,1931,1,O,116851,.,.,.,1
CAN,02,m,1931,1931,1,O,123622,.,.,.,1
CAN,02,f,1932,1932,1,O,114584,.,.,.,1
CAN,02,m,1932,1932,1,O,121082,.,.,.,1
CAN,02,f,1933,1933,1,O,108480,.,.,.,1
CAN,02,m,1933,1933,1,O,114388,.,.,.,1
CAN,02,f,1934,1934,1,O,107980,.,.,.,1
CAN,02,m,1934,1934,1,O,113323,.,.,.,1
CAN,02,f,1935,1935,1,O,108158,.,.,.,1
CAN,02,m,1935,1935,1,O,113293,.,.,.,1
CAN,02,f,1936,1936,1,O,107082,.,.,.,1
CAN,02,m,1936,1936,1,O,113289,.,.,.,1
CAN,02,f,1937,1937,1,O,107092,.,.,.,1
CAN,02,m,1937,1937,1,O,113143,.,.,.,1
CAN,02,f,1938,1938,1,O,111584,.,.,.,1
CAN,02,m,1938,1938,1,O,117862,.,.,.,1
CAN,02,f,1939,1939,1,O,111874,.,.,.,1
CAN,02,m,1939,1939,1,O,117594,.,.,.,1
CAN,02,f,1940,1940,1,O,119037,.,.,.,1
CAN,02,m,1940,1940,1,O,125279,.,.,.,1
CAN,02,f,1941,1941,1,O,124142,.,.,.,1
CAN,02,m,1941,1941,1,O,131175,.,.,.,1
CAN,02,f,1942,1942,1,O,131729,.,.,.,1
CAN,02,m,1942,1942,1,O,140584,.,.,.,1
CAN,02,f,1943,1943,1,O,137855,.,.,.,1
CAN,02,m,1943,1943,1,O,145725,.,.,.,1
CAN,02,f,1944,1944,1,O,137568,.,.,.,1
CAN,02,m,1944,1944,1,O,146652,.,.,.,1
CAN,02,f,1945,1945,1,O,139818,.,.,.,1
CAN,02,m,1945,1945,1,O,148912,.,.,.,1
CAN,02,f,1946,1946,1,O,160787,.,.,.,1
CAN,02,m,1946,1946,1,O,169945,.,.,.,1
CAN,02,f,1947,1947,1,O,175121,.,.,.,1
CAN,02,m,1947,1947,1,O,183973,.,.,.,1
CAN,02,f,1948,1948,1,O,169184,.,.,.,1
CAN,02,m,1948,1948,1,O,178123,.,.,.,1
CAN,01,f,1949,1949,1,O,177800,.,.,.,1
CAN,01,m,1949,1949,1,O,188339,.,.,.,1
CAN,01,f,1950,1950,1,O,180596,.,.,.,1
CAN,01,m,1950,1950,1,O,191413,.,.,.,1
CAN,01,f,1951,1951,1,O,185174,.,.,.,1
CAN,01,m,1951,1951,1,O,195918,.,.,.,1
CAN,01,f,1952,1952,1,O,195489,.,.,.,1
CAN,01,m,1952,1952,1,O,208270,.,.,.,1
CAN,01,f,1953,1953,1,O,203461,.,.,.,1
CAN,01,m,1953,1953,1,O,214423,.,.,.,1
CAN,01,f,1954,1954,1,O,212030,.,.,.,1
CAN,01,m,1954,1954,1,O,224168,.,.,.,1
CAN,01,f,1955,1955,1,O,215555,.,.,.,1
CAN,01,m,1955,1955,1,O,227382,.,.,.,1
CAN,01,f,1956,1956,1,O,219042,.,.,.,1
CAN,01,m,1956,1956,1,O,231697,.,.,.,1
CAN,01,f,1957,1957,1,O,228020,.,.,.,1
CAN,01,m,1957,1957,1,O,241073,.,.,.,1
CAN,01,f,1958,1958,1,O,228445,.,.,.,1
CAN,01,m,1958,1958,1,O,241675,.,.,.,1
CAN,01,f,1959,1959,1,O,233202,.,.,.,1
CAN,01,m,1959,1959,1,O,246073,.,.,.,1
CAN,01,f,1960,1960,1,O,232522,.,.,.,1
CAN,01,m,1960,1960,1,O,246029,.,.,.,1
CAN,01,f,1961,1961,1,O,231297,.,.,.,1
CAN,01,m,1961,1961,1,O,244403,.,.,.,1
CAN,01,f,1962,1962,1,O,228823,.,.,.,1
CAN,01,m,1962,1962,1,O,240870,.,.,.,1
CAN,01,f,1963,1963,1,O,226902,.,.,.,1
CAN,01,m,1963,1963,1,O,238865,.,.,.,1
CAN,01,f,1964,1964,1,O,220258,.,.,.,1
CAN,01,m,1964,1964,1,O,232657,.,.,.,1
CAN,01,f,1965,1965,1,O,203483,.,.,.,1
CAN,01,m,1965,1965,1,O,215112,.,.,.,1
CAN,01,f,1966,1966,1,O,188782,.,.,.,1
CAN,01,m,1966,1966,1,O,198928,.,.,.,1
CAN,01,f,1967,1967,1,O,181047,.,.,.,1
CAN,01,m,1967,1967,1,O,189847,.,.,.,1
CAN,01,f,1968,1968,1,O,176821,.,.,.,1
CAN,01,m,1968,1968,1,O,187489,.,.,.,1
CAN,01,f,1969,1969,1,O,179849,.,.,.,1
CAN,01,m,1969,1969,1,O,189798,.,.,.,1
CAN,01,f,1970,1970,1,O,180553,.,.,.,1
CAN,01,m,1970,1970,1,O,191435,.,.,.,1
CAN,01,f,1971,1971,1,O,175541,.,.,.,1
CAN,01,m,1971,1971,1,O,186646,.,.,.,1
CAN,01,f,1972,1972,1,O,168537,.,.,.,1
CAN,01,m,1972,1972,1,O,178782,.,.,.,1
CAN,01,f,1973,1973,1,O,166572,.,.,.,1
CAN,01,m,1973,1973,1,O,176801,.,.,.,1
CAN,01,f,1974,1974,1,O,170400,.,.,.,1
CAN,01,m,1974,1974,1,O,180250,.,.,.,1
CAN,01,f,1975,1975,1,O,174789,.,.,.,1
CAN,01,m,1975,1975,1,O,184534,.,.,.,1
CAN,01,f,1976,1976,1,O,175155,.,.,.,1
CAN,01,m,1976,1976,1,O,184832,.,.,.,1
CAN,01,f,1977,1977,1,O,175477,.,.,.,1
CAN,01,m,1977,1977,1,O,185923,.,.,.,1
CAN,01,f,1978,1978,1,O,174973,.,.,.,1
CAN,01,m,1978,1978,1,O,183879,.,.,.,1
CAN,01,f,1979,1979,1,O,177682,.,.,.,1
CAN,01,m,1979,1979,1,O,188382,.,.,.,1
CAN,01,f,1980,1980,1,O,180314,.,.,.,1
CAN,01,m,1980,1980,1,O,190395,.,.,.,1
CAN,01,f,1981,1981,1,O,180743,.,.,.,1
CAN,01,m,1981,1981,1,O,190603,.,.,.,1
CAN,01,f,1982,1982,1,O,181775,.,.,.,1
CAN,01,m,1982,1982,1,O,191307,.,.,.,1
CAN,01,f,1983,1983,1,O,181453,.,.,.,1
CAN,01,m,1983,1983,1,O,192236,.,.,.,1
CAN,01,f,1984,1984,1,O,183353,.,.,.,1
CAN,01,m,1984,1984,1,O,193678,.,.,.,1
CAN,01,f,1985,1985,1,O,182480,.,.,.,1
CAN,01,m,1985,1985,1,O,193247,.,.,.,1
CAN,01,f,1986,1986,1,O,181870,.,.,.,1
CAN,01,m,1986,1986,1,O,191043,.,.,.,1
CAN,01,f,1987,1987,1,O,180428,.,.,.,1
CAN,01,m,1987,1987,1,O,189314,.,.,.,1
CAN,01,f,1988,1988,1,O,183806,.,.,.,1
CAN,01,m,1988,1988,1,O,192989,.,.,.,1
CAN,01,f,1989,1989,1,O,191509,.,.,.,1
CAN,01,m,1989,1989,1,O,201152,.,.,.,1
CAN,01,f,1990,1990,1,O,197281,.,.,.,1
CAN,01,m,1990,1990,1,O,208205,.,.,.,1
CAN,01,f,1991,1991,1,O,195916,.,.,.,1
CAN,01,m,1991,1991,1,O,206612,.,.,.,1
CAN,01,f,1992,1992,1,O,194264,.,.,.,1
CAN,01,m,1992,1992,1,O,204378,.,.,.,1
CAN,01,f,1993,1993,1,O,188650,.,.,.,1
CAN,01,m,1993,1993,1,O,199744,.,.,.,1
CAN,01,f,1994,1994,1,O,186939,.,.,.,1
CAN,01,m,1994,1994,1,O,198173,.,.,.,1
CAN,01,f,1995,1995,1,O,184258,.,.,.,1
CAN,01,m,1995,1995,1,O,193753,.,.,.,1
CAN,01,f,1996,1996,1,O,177984,.,.,.,1
CAN,01,m,1996,1996,1,O,188216,.,.,.,1
CAN,01,f,1997,1997,1,O,169624,.,.,.,1
CAN,01,m,1997,1997,1,O,178974,.,.,.,1
CAN,01,f,1998,1998,1,O,167158,.,.,.,1
CAN,01,m,1998,1998,1,O,175253,.,.,.,1
CAN,01,f,1999,1999,1,O,164190,.,.,.,1
CAN,01,m,1999,1999,1,O,173054,.,.,.,1
CAN,01,f,2000,2000,1,O,159486,.,.,.,1
CAN,01,m,2000,2000,1,O,168380,.,.,.,1
CAN,01,f,2001,2001,4,O,162589,.,.,.,1
CAN,01,m,2001,2001,4,O,171153,.,.,.,1
CAN,01,f,2002,2002,12,O,159960,.,.,.,1
CAN,01,m,2002,2002,12,O,168842,.,.,.,1
CAN,01,f,2003,2003,11,O,163511,.,.,.,1
CAN,01,m,2003,2003,11,O,171691,.,.,.,1
CAN,01,f,2004,2004,10,O,163918,.,.,.,1
CAN,01,m,2004,2004,10,O,173154,.,.,.,1
CAN,01,f,2005,2005,9,O,166800,.,.,.,1
CAN,01,m,2005,2005,9,O,175376,.,.,.,1
CAN,01,f,2006,2006,15,O,172373,.,.,.,1
CAN,01,m,2006,2006,15,O,182238,.,.,.,1
CAN,01,f,2007,2007,15,O,179526,.,.,.,1
CAN,01,m,2007,2007,15,O,188337,.,.,.,1
CAN,01,f,2008,2008,16,O,184131,.,.,.,1
CAN,01,m,2008,2008,16,O,193754,.,.,.,1
CAN,01,f,2009,2009,16,O,185414,.,.,.,1
CAN,01,m,2009,2009,16,O,195442,.,.,.,1
CAN,01,f,2010,2010,21,O,183748,.,.,.,1
CAN,01,m,2010,2010,21,O,193465,.,.,.,1
CAN,01,f,2011,2011,21,O,184049,.,.,.,1
CAN,01,m,2011,2011,21,O,193587,.,.,.,1
CAN,01,f,2012,2012,25,O,185423,.,.,.,1
CAN,01,m,2012,2012,25,O,196446,.,.,.,1
CAN,01,f,2013,2013,25,O,185140,.,.,.,1
CAN,01,m,2013,2013,25,O,195183,.,.,.,1
CAN,01,f,2014,2014,25,O,187373,.,.,.,1
CAN,01,m,2014,2014,25,O,196727,.,.,.,1
CAN,01,f,2015,2015,25,O,186447,.,.,.,1
CAN,01,m,2015,2015,25,O,195945,.,.,.,1
CAN,01,f,2016,2016,25,O,186738,.,.,.,1
CAN,01,m,2016,2016,25,O,196364,.,.,.,1
CAN,01,f,2017,2017,29,O,183092,.,.,.,0
CAN,01,f,2017,2017,33,O,183602,.,.,.,1
CAN,01,m,2017,2017,29,O,193199,.,.,.,0
CAN,01,m,2017,2017,33,O,193706,.,.,.,1
CAN,01,f,2018,2018,29,O,181450,.,.,.,0
CAN,01,f,2018,2018,33,O,182333,.,.,.,1
CAN,01,m,2018,2018,29,O,190879,.,.,.,0
CAN,01,m,2018,2018,33,O,191716,.,.,.,1
CAN,01,f,2019,2019,33,O,181314,.,.,.,1
CAN,01,m,2019,2019,33,O,190724,.,.,.,1
