PopName,Area,Year,YearReg,Month,VitalStat,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
CAN,1,1921,1921,1,1,19,O,13762,.,.,.,1
CAN,1,1921,1921,2,1,19,O,12917,.,.,.,1
CAN,1,1921,1921,3,1,19,O,15261,.,.,.,1
CAN,1,1921,1921,4,1,19,O,14767,.,.,.,1
CAN,1,1921,1921,5,1,19,O,14941,.,.,.,1
CAN,1,1921,1921,6,1,19,O,13960,.,.,.,1
CAN,1,1921,1921,7,1,19,O,14342,.,.,.,1
CAN,1,1921,1921,8,1,19,O,14384,.,.,.,1
CAN,1,1921,1921,9,1,19,O,14278,.,.,.,1
CAN,1,1921,1921,10,1,19,O,13752,.,.,.,1
CAN,1,1921,1921,11,1,19,O,12888,.,.,.,1
CAN,1,1921,1921,12,1,19,O,13727,.,.,.,1
CAN,1,1921,1921,TOT,1,19,O,168979,.,.,.,1
CAN,1,1921,1921,UNK,1,19,O,0,.,.,.,1
CAN,1,1922,1922,1,1,19,O,14236,.,.,.,1
CAN,1,1922,1922,2,1,19,O,13202,.,.,.,1
CAN,1,1922,1922,3,1,19,O,15129,.,.,.,1
CAN,1,1922,1922,4,1,19,O,13986,.,.,.,1
CAN,1,1922,1922,5,1,19,O,14285,.,.,.,1
CAN,1,1922,1922,6,1,19,O,13798,.,.,.,1
CAN,1,1922,1922,7,1,19,O,14109,.,.,.,1
CAN,1,1922,1922,8,1,19,O,14233,.,.,.,1
CAN,1,1922,1922,9,1,19,O,13622,.,.,.,1
CAN,1,1922,1922,10,1,19,O,13021,.,.,.,1
CAN,1,1922,1922,11,1,19,O,12382,.,.,.,1
CAN,1,1922,1922,12,1,19,O,12191,.,.,.,1
CAN,1,1922,1922,TOT,1,19,O,164194,.,.,.,1
CAN,1,1922,1922,UNK,1,19,O,0,.,.,.,1
CAN,1,1923,1923,1,1,19,O,12946,.,.,.,1
CAN,1,1923,1923,2,1,19,O,12830,.,.,.,1
CAN,1,1923,1923,3,1,19,O,14254,.,.,.,1
CAN,1,1923,1923,4,1,19,O,13602,.,.,.,1
CAN,1,1923,1923,5,1,19,O,13809,.,.,.,1
CAN,1,1923,1923,6,1,19,O,13303,.,.,.,1
CAN,1,1923,1923,7,1,19,O,13531,.,.,.,1
CAN,1,1923,1923,8,1,19,O,13668,.,.,.,1
CAN,1,1923,1923,9,1,19,O,13196,.,.,.,1
CAN,1,1923,1923,10,1,19,O,12516,.,.,.,1
CAN,1,1923,1923,11,1,19,O,11492,.,.,.,1
CAN,1,1923,1923,12,1,19,O,11750,.,.,.,1
CAN,1,1923,1923,TOT,1,19,O,156897,.,.,.,1
CAN,1,1923,1923,UNK,1,19,O,0,.,.,.,1
CAN,2,1924,1924,1,1,19,O,12862,.,.,.,1
CAN,2,1924,1924,2,1,19,O,12764,.,.,.,1
CAN,2,1924,1924,3,1,19,O,14375,.,.,.,1
CAN,2,1924,1924,4,1,19,O,13763,.,.,.,1
CAN,2,1924,1924,5,1,19,O,13861,.,.,.,1
CAN,2,1924,1924,6,1,19,O,13355,.,.,.,1
CAN,2,1924,1924,7,1,19,O,13258,.,.,.,1
CAN,2,1924,1924,8,1,19,O,13207,.,.,.,1
CAN,2,1924,1924,9,1,19,O,13005,.,.,.,1
CAN,2,1924,1924,10,1,19,O,12773,.,.,.,1
CAN,2,1924,1924,11,1,19,O,12089,.,.,.,1
CAN,2,1924,1924,12,1,19,O,12406,.,.,.,1
CAN,2,1924,1924,TOT,1,19,O,157721,.,.,.,1
CAN,2,1924,1924,UNK,1,19,O,3,.,.,.,1
CAN,2,1925,1925,1,1,19,O,12664,.,.,.,1
CAN,2,1925,1925,2,1,19,O,12089,.,.,.,1
CAN,2,1925,1925,3,1,19,O,14173,.,.,.,1
CAN,2,1925,1925,4,1,19,O,13608,.,.,.,1
CAN,2,1925,1925,5,1,19,O,13932,.,.,.,1
CAN,2,1925,1925,6,1,19,O,13094,.,.,.,1
CAN,2,1925,1925,7,1,19,O,13450,.,.,.,1
CAN,2,1925,1925,8,1,19,O,13371,.,.,.,1
CAN,2,1925,1925,9,1,19,O,12638,.,.,.,1
CAN,2,1925,1925,10,1,19,O,12303,.,.,.,1
CAN,2,1925,1925,11,1,19,O,11686,.,.,.,1
CAN,2,1925,1925,12,1,19,O,11932,.,.,.,1
CAN,2,1925,1925,TOT,1,19,O,154940,.,.,.,1
CAN,2,1925,1925,UNK,1,19,O,0,.,.,.,1
CAN,4,1926,1926,1,1,19,O,19333,.,.,.,1
CAN,4,1926,1926,2,1,19,O,18294,.,.,.,1
CAN,4,1926,1926,3,1,19,O,21361,.,.,.,1
CAN,4,1926,1926,4,1,19,O,21073,.,.,.,1
CAN,4,1926,1926,5,1,19,O,20711,.,.,.,1
CAN,4,1926,1926,6,1,19,O,19486,.,.,.,1
CAN,4,1926,1926,7,1,19,O,19910,.,.,.,1
CAN,4,1926,1926,8,1,19,O,19691,.,.,.,1
CAN,4,1926,1926,9,1,19,O,19151,.,.,.,1
CAN,4,1926,1926,10,1,19,O,18518,.,.,.,1
CAN,4,1926,1926,11,1,19,O,17406,.,.,.,1
CAN,4,1926,1926,12,1,19,O,17917,.,.,.,1
CAN,4,1926,1926,TOT,1,19,O,232852,.,.,.,1
CAN,4,1926,1926,UNK,1,19,O,1,.,.,.,1
CAN,4,1927,1927,1,1,19,O,18056,.,.,.,1
CAN,4,1927,1927,2,1,19,O,17614,.,.,.,1
CAN,4,1927,1927,3,1,19,O,21402,.,.,.,1
CAN,4,1927,1927,4,1,19,O,20945,.,.,.,1
CAN,4,1927,1927,5,1,19,O,21022,.,.,.,1
CAN,4,1927,1927,6,1,19,O,20414,.,.,.,1
CAN,4,1927,1927,7,1,19,O,20665,.,.,.,1
CAN,4,1927,1927,8,1,19,O,19944,.,.,.,1
CAN,4,1927,1927,9,1,19,O,19393,.,.,.,1
CAN,4,1927,1927,10,1,19,O,18530,.,.,.,1
CAN,4,1927,1927,11,1,19,O,17782,.,.,.,1
CAN,4,1927,1927,12,1,19,O,18576,.,.,.,1
CAN,4,1927,1927,TOT,1,19,O,234343,.,.,.,1
CAN,4,1927,1927,UNK,1,19,O,0,.,.,.,1
CAN,4,1928,1928,1,1,19,O,19408,.,.,.,1
CAN,4,1928,1928,2,1,19,O,18805,.,.,.,1
CAN,4,1928,1928,3,1,19,O,21403,.,.,.,1
CAN,4,1928,1928,4,1,19,O,20512,.,.,.,1
CAN,4,1928,1928,5,1,19,O,21069,.,.,.,1
CAN,4,1928,1928,6,1,19,O,20114,.,.,.,1
CAN,4,1928,1928,7,1,19,O,20062,.,.,.,1
CAN,4,1928,1928,8,1,19,O,19957,.,.,.,1
CAN,4,1928,1928,9,1,19,O,19632,.,.,.,1
CAN,4,1928,1928,10,1,19,O,18892,.,.,.,1
CAN,4,1928,1928,11,1,19,O,18042,.,.,.,1
CAN,4,1928,1928,12,1,19,O,19113,.,.,.,1
CAN,4,1928,1928,TOT,1,19,O,237009,.,.,.,1
CAN,4,1928,1928,UNK,1,19,O,0,.,.,.,1
CAN,4,1929,1929,1,1,19,O,19423,.,.,.,1
CAN,4,1929,1929,2,1,19,O,17867,.,.,.,1
CAN,4,1929,1929,3,1,19,O,20921,.,.,.,1
CAN,4,1929,1929,4,1,19,O,20182,.,.,.,1
CAN,4,1929,1929,5,1,19,O,21195,.,.,.,1
CAN,4,1929,1929,6,1,19,O,20185,.,.,.,1
CAN,4,1929,1929,7,1,19,O,20732,.,.,.,1
CAN,4,1929,1929,8,1,19,O,20000,.,.,.,1
CAN,4,1929,1929,9,1,19,O,18649,.,.,.,1
CAN,4,1929,1929,10,1,19,O,18253,.,.,.,1
CAN,4,1929,1929,11,1,19,O,18384,.,.,.,1
CAN,4,1929,1929,12,1,19,O,19792,.,.,.,1
CAN,4,1929,1929,TOT,1,19,O,235583,.,.,.,1
CAN,4,1929,1929,UNK,1,19,O,0,.,.,.,1
CAN,4,1930,1930,1,1,19,O,20282,.,.,.,1
CAN,4,1930,1930,2,1,19,O,18947,.,.,.,1
CAN,4,1930,1930,3,1,19,O,22162,.,.,.,1
CAN,4,1930,1930,4,1,19,O,21173,.,.,.,1
CAN,4,1930,1930,5,1,19,O,21914,.,.,.,1
CAN,4,1930,1930,6,1,19,O,20888,.,.,.,1
CAN,4,1930,1930,7,1,19,O,21268,.,.,.,1
CAN,4,1930,1930,8,1,19,O,20778,.,.,.,1
CAN,4,1930,1930,9,1,19,O,20107,.,.,.,1
CAN,4,1930,1930,10,1,19,O,19313,.,.,.,1
CAN,4,1930,1930,11,1,19,O,18249,.,.,.,1
CAN,4,1930,1930,12,1,19,O,18691,.,.,.,1
CAN,4,1930,1930,TOT,1,19,O,243772,.,.,.,1
CAN,4,1930,1930,UNK,1,19,O,0,.,.,.,1
CAN,4,1931,1931,1,1,19,O,19805,.,.,.,1
CAN,4,1931,1931,2,1,19,O,18475,.,.,.,1
CAN,4,1931,1931,3,1,19,O,21391,.,.,.,1
CAN,4,1931,1931,4,1,19,O,20940,.,.,.,1
CAN,4,1931,1931,5,1,19,O,21524,.,.,.,1
CAN,4,1931,1931,6,1,19,O,20587,.,.,.,1
CAN,4,1931,1931,7,1,19,O,21090,.,.,.,1
CAN,4,1931,1931,8,1,19,O,20376,.,.,.,1
CAN,4,1931,1931,9,1,19,O,20162,.,.,.,1
CAN,4,1931,1931,10,1,19,O,19373,.,.,.,1
CAN,4,1931,1931,11,1,19,O,18129,.,.,.,1
CAN,4,1931,1931,12,1,19,O,18802,.,.,.,1
CAN,4,1931,1931,TOT,1,19,O,240654,.,.,.,1
CAN,4,1931,1931,UNK,1,19,O,0,.,.,.,1
CAN,4,1932,1932,1,1,19,O,19460,.,.,.,1
CAN,4,1932,1932,2,1,19,O,19197,.,.,.,1
CAN,4,1932,1932,3,1,19,O,21162,.,.,.,1
CAN,4,1932,1932,4,1,19,O,19925,.,.,.,1
CAN,4,1932,1932,5,1,19,O,20517,.,.,.,1
CAN,4,1932,1932,6,1,19,O,19425,.,.,.,1
CAN,4,1932,1932,7,1,19,O,20069,.,.,.,1
CAN,4,1932,1932,8,1,19,O,20463,.,.,.,1
