PopName,Year,Age,Area1,Area2,Sex,RefCode,Access,Type,Value,NoteCode1,NoteCode2,NoteCode3,LDB
CAN,1949,110,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,111,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,112,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,113,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,114,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,115,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,116,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,117,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,118,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,119,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,120,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,121,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,122,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,123,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,124,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,125,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,126,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,127,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,128,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,129,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,130,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,131,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,132,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,133,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,134,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,135,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,136,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,137,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,138,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,139,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,140,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,141,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,142,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,143,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,144,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,145,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,146,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,147,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,148,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,149,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,150,2,1,m,2,O,Vx,1.0228,.,.,.,1
CAN,1949,0,2,1,f,2,O,Vx,1.0318,.,.,.,1
CAN,1949,1,2,1,f,2,O,Vx,1.032,.,.,.,1
CAN,1949,2,2,1,f,2,O,Vx,1.0322,.,.,.,1
CAN,1949,3,2,1,f,2,O,Vx,1.0324,.,.,.,1
CAN,1949,4,2,1,f,2,O,Vx,1.0325,.,.,.,1
CAN,1949,5,2,1,f,2,O,Vx,1.0327,.,.,.,1
CAN,1949,6,2,1,f,2,O,Vx,1.0328,.,.,.,1
CAN,1949,7,2,1,f,2,O,Vx,1.0328,.,.,.,1
CAN,1949,8,2,1,f,2,O,Vx,1.0329,.,.,.,1
CAN,1949,9,2,1,f,2,O,Vx,1.0328,.,.,.,1
CAN,1949,10,2,1,f,2,O,Vx,1.0328,.,.,.,1
CAN,1949,11,2,1,f,2,O,Vx,1.0326,.,.,.,1
CAN,1949,12,2,1,f,2,O,Vx,1.0325,.,.,.,1
CAN,1949,13,2,1,f,2,O,Vx,1.0324,.,.,.,1
CAN,1949,14,2,1,f,2,O,Vx,1.0324,.,.,.,1
CAN,1949,15,2,1,f,2,O,Vx,1.0322,.,.,.,1
CAN,1949,16,2,1,f,2,O,Vx,1.0321,.,.,.,1
CAN,1949,17,2,1,f,2,O,Vx,1.0317,.,.,.,1
CAN,1949,18,2,1,f,2,O,Vx,1.0311,.,.,.,1
CAN,1949,19,2,1,f,2,O,Vx,1.0303,.,.,.,1
CAN,1949,20,2,1,f,2,O,Vx,1.0295,.,.,.,1
CAN,1949,21,2,1,f,2,O,Vx,1.0287,.,.,.,1
CAN,1949,22,2,1,f,2,O,Vx,1.0279,.,.,.,1
CAN,1949,23,2,1,f,2,O,Vx,1.0271,.,.,.,1
CAN,1949,24,2,1,f,2,O,Vx,1.0263,.,.,.,1
CAN,1949,25,2,1,f,2,O,Vx,1.0256,.,.,.,1
CAN,1949,26,2,1,f,2,O,Vx,1.0248,.,.,.,1
CAN,1949,27,2,1,f,2,O,Vx,1.0242,.,.,.,1
CAN,1949,28,2,1,f,2,O,Vx,1.0239,.,.,.,1
CAN,1949,29,2,1,f,2,O,Vx,1.0238,.,.,.,1
CAN,1949,30,2,1,f,2,O,Vx,1.0237,.,.,.,1
CAN,1949,31,2,1,f,2,O,Vx,1.0237,.,.,.,1
CAN,1949,32,2,1,f,2,O,Vx,1.0235,.,.,.,1
CAN,1949,33,2,1,f,2,O,Vx,1.0232,.,.,.,1
CAN,1949,34,2,1,f,2,O,Vx,1.0228,.,.,.,1
CAN,1949,35,2,1,f,2,O,Vx,1.0224,.,.,.,1
CAN,1949,36,2,1,f,2,O,Vx,1.022,.,.,.,1
CAN,1949,37,2,1,f,2,O,Vx,1.0217,.,.,.,1
CAN,1949,38,2,1,f,2,O,Vx,1.0213,.,.,.,1
