PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
CAN,1,1921,1921,1,1,13762,O,.,.,.,19,1
CAN,1,1921,1921,2,1,12917,O,.,.,.,19,1
CAN,1,1921,1921,3,1,15261,O,.,.,.,19,1
CAN,1,1921,1921,4,1,14767,O,.,.,.,19,1
CAN,1,1921,1921,5,1,14941,O,.,.,.,19,1
CAN,1,1921,1921,6,1,13960,O,.,.,.,19,1
CAN,1,1921,1921,7,1,14342,O,.,.,.,19,1
CAN,1,1921,1921,8,1,14384,O,.,.,.,19,1
CAN,1,1921,1921,9,1,14278,O,.,.,.,19,1
CAN,1,1921,1921,10,1,13752,O,.,.,.,19,1
CAN,1,1921,1921,11,1,12888,O,.,.,.,19,1
CAN,1,1921,1921,12,1,13727,O,.,.,.,19,1
CAN,1,1921,1921,UNK,1,0,O,.,.,.,19,1
CAN,1,1921,1921,TOT,1,168979,O,.,.,.,19,1
CAN,1,1922,1922,1,1,14236,O,.,.,.,19,1
CAN,1,1922,1922,2,1,13202,O,.,.,.,19,1
CAN,1,1922,1922,3,1,15129,O,.,.,.,19,1
CAN,1,1922,1922,4,1,13986,O,.,.,.,19,1
CAN,1,1922,1922,5,1,14285,O,.,.,.,19,1
CAN,1,1922,1922,6,1,13798,O,.,.,.,19,1
CAN,1,1922,1922,7,1,14109,O,.,.,.,19,1
CAN,1,1922,1922,8,1,14233,O,.,.,.,19,1
CAN,1,1922,1922,9,1,13622,O,.,.,.,19,1
CAN,1,1922,1922,10,1,13021,O,.,.,.,19,1
CAN,1,1922,1922,11,1,12382,O,.,.,.,19,1
CAN,1,1922,1922,12,1,12191,O,.,.,.,19,1
CAN,1,1922,1922,UNK,1,0,O,.,.,.,19,1
CAN,1,1922,1922,TOT,1,164194,O,.,.,.,19,1
CAN,1,1923,1923,1,1,12946,O,.,.,.,19,1
CAN,1,1923,1923,2,1,12830,O,.,.,.,19,1
CAN,1,1923,1923,3,1,14254,O,.,.,.,19,1
CAN,1,1923,1923,4,1,13602,O,.,.,.,19,1
CAN,1,1923,1923,5,1,13809,O,.,.,.,19,1
CAN,1,1923,1923,6,1,13303,O,.,.,.,19,1
CAN,1,1923,1923,7,1,13531,O,.,.,.,19,1
CAN,1,1923,1923,8,1,13668,O,.,.,.,19,1
CAN,1,1923,1923,9,1,13196,O,.,.,.,19,1
CAN,1,1923,1923,10,1,12516,O,.,.,.,19,1
CAN,1,1923,1923,11,1,11492,O,.,.,.,19,1
CAN,1,1923,1923,12,1,11750,O,.,.,.,19,1
CAN,1,1923,1923,UNK,1,0,O,.,.,.,19,1
CAN,1,1923,1923,TOT,1,156897,O,.,.,.,19,1
CAN,2,1924,1924,1,1,12862,O,.,.,.,19,1
CAN,2,1924,1924,2,1,12764,O,.,.,.,19,1
CAN,2,1924,1924,3,1,14375,O,.,.,.,19,1
CAN,2,1924,1924,4,1,13763,O,.,.,.,19,1
CAN,2,1924,1924,5,1,13861,O,.,.,.,19,1
CAN,2,1924,1924,6,1,13355,O,.,.,.,19,1
CAN,2,1924,1924,7,1,13258,O,.,.,.,19,1
CAN,2,1924,1924,8,1,13207,O,.,.,.,19,1
CAN,2,1924,1924,9,1,13005,O,.,.,.,19,1
CAN,2,1924,1924,10,1,12773,O,.,.,.,19,1
CAN,2,1924,1924,11,1,12089,O,.,.,.,19,1
CAN,2,1924,1924,12,1,12406,O,.,.,.,19,1
CAN,2,1924,1924,UNK,1,3,O,.,.,.,19,1
CAN,2,1924,1924,TOT,1,157721,O,.,.,.,19,1
CAN,2,1925,1925,1,1,12664,O,.,.,.,19,1
CAN,2,1925,1925,2,1,12089,O,.,.,.,19,1
CAN,2,1925,1925,3,1,14173,O,.,.,.,19,1
CAN,2,1925,1925,4,1,13608,O,.,.,.,19,1
CAN,2,1925,1925,5,1,13932,O,.,.,.,19,1
CAN,2,1925,1925,6,1,13094,O,.,.,.,19,1
CAN,2,1925,1925,7,1,13450,O,.,.,.,19,1
CAN,2,1925,1925,8,1,13371,O,.,.,.,19,1
CAN,2,1925,1925,9,1,12638,O,.,.,.,19,1
CAN,2,1925,1925,10,1,12303,O,.,.,.,19,1
CAN,2,1925,1925,11,1,11686,O,.,.,.,19,1
CAN,2,1925,1925,12,1,11932,O,.,.,.,19,1
CAN,2,1925,1925,UNK,1,0,O,.,.,.,19,1
CAN,2,1925,1925,TOT,1,154940,O,.,.,.,19,1
CAN,4,1926,1926,1,1,19333,O,.,.,.,19,1
CAN,4,1926,1926,2,1,18294,O,.,.,.,19,1
CAN,4,1926,1926,3,1,21361,O,.,.,.,19,1
CAN,4,1926,1926,4,1,21073,O,.,.,.,19,1
CAN,4,1926,1926,5,1,20711,O,.,.,.,19,1
CAN,4,1926,1926,6,1,19486,O,.,.,.,19,1
CAN,4,1926,1926,7,1,19910,O,.,.,.,19,1
CAN,4,1926,1926,8,1,19691,O,.,.,.,19,1
CAN,4,1926,1926,9,1,19151,O,.,.,.,19,1
CAN,4,1926,1926,10,1,18518,O,.,.,.,19,1
CAN,4,1926,1926,11,1,17406,O,.,.,.,19,1
CAN,4,1926,1926,12,1,17917,O,.,.,.,19,1
CAN,4,1926,1926,UNK,1,1,O,.,.,.,19,1
CAN,4,1926,1926,TOT,1,232852,O,.,.,.,19,1
CAN,4,1927,1927,1,1,18056,O,.,.,.,19,1
CAN,4,1927,1927,2,1,17614,O,.,.,.,19,1
CAN,4,1927,1927,3,1,21402,O,.,.,.,19,1
CAN,4,1927,1927,4,1,20945,O,.,.,.,19,1
CAN,4,1927,1927,5,1,21022,O,.,.,.,19,1
CAN,4,1927,1927,6,1,20414,O,.,.,.,19,1
CAN,4,1927,1927,7,1,20665,O,.,.,.,19,1
CAN,4,1927,1927,8,1,19944,O,.,.,.,19,1
CAN,4,1927,1927,9,1,19393,O,.,.,.,19,1
CAN,4,1927,1927,10,1,18530,O,.,.,.,19,1
CAN,4,1927,1927,11,1,17782,O,.,.,.,19,1
CAN,4,1927,1927,12,1,18576,O,.,.,.,19,1
CAN,4,1927,1927,UNK,1,0,O,.,.,.,19,1
CAN,4,1927,1927,TOT,1,234343,O,.,.,.,19,1
CAN,4,1928,1928,1,1,19408,O,.,.,.,19,1
CAN,4,1928,1928,2,1,18805,O,.,.,.,19,1
CAN,4,1928,1928,3,1,21403,O,.,.,.,19,1
CAN,4,1928,1928,4,1,20512,O,.,.,.,19,1
CAN,4,1928,1928,5,1,21069,O,.,.,.,19,1
CAN,4,1928,1928,6,1,20114,O,.,.,.,19,1
CAN,4,1928,1928,7,1,20062,O,.,.,.,19,1
CAN,4,1928,1928,8,1,19957,O,.,.,.,19,1
CAN,4,1928,1928,9,1,19632,O,.,.,.,19,1
CAN,4,1928,1928,10,1,18892,O,.,.,.,19,1
CAN,4,1928,1928,11,1,18042,O,.,.,.,19,1
CAN,4,1928,1928,12,1,19113,O,.,.,.,19,1
CAN,4,1928,1928,UNK,1,0,O,.,.,.,19,1
CAN,4,1928,1928,TOT,1,237009,O,.,.,.,19,1
CAN,4,1929,1929,1,1,19423,O,.,.,.,19,1
CAN,4,1929,1929,2,1,17867,O,.,.,.,19,1
CAN,4,1929,1929,3,1,20921,O,.,.,.,19,1
CAN,4,1929,1929,4,1,20182,O,.,.,.,19,1
CAN,4,1929,1929,5,1,21195,O,.,.,.,19,1
CAN,4,1929,1929,6,1,20185,O,.,.,.,19,1
CAN,4,1929,1929,7,1,20732,O,.,.,.,19,1
CAN,4,1929,1929,8,1,20000,O,.,.,.,19,1
CAN,4,1929,1929,9,1,18649,O,.,.,.,19,1
CAN,4,1929,1929,10,1,18253,O,.,.,.,19,1
CAN,4,1929,1929,11,1,18384,O,.,.,.,19,1
CAN,4,1929,1929,12,1,19792,O,.,.,.,19,1
CAN,4,1929,1929,UNK,1,0,O,.,.,.,19,1
CAN,4,1929,1929,TOT,1,235583,O,.,.,.,19,1
CAN,4,1930,1930,1,1,20282,O,.,.,.,19,1
CAN,4,1930,1930,2,1,18947,O,.,.,.,19,1
CAN,4,1930,1930,3,1,22162,O,.,.,.,19,1
CAN,4,1930,1930,4,1,21173,O,.,.,.,19,1
CAN,4,1930,1930,5,1,21914,O,.,.,.,19,1
CAN,4,1930,1930,6,1,20888,O,.,.,.,19,1
CAN,4,1930,1930,7,1,21268,O,.,.,.,19,1
CAN,4,1930,1930,8,1,20778,O,.,.,.,19,1
CAN,4,1930,1930,9,1,20107,O,.,.,.,19,1
CAN,4,1930,1930,10,1,19313,O,.,.,.,19,1
CAN,4,1930,1930,11,1,18249,O,.,.,.,19,1
CAN,4,1930,1930,12,1,18691,O,.,.,.,19,1
CAN,4,1930,1930,UNK,1,0,O,.,.,.,19,1
CAN,4,1930,1930,TOT,1,243772,O,.,.,.,19,1
CAN,4,1931,1931,1,1,19805,O,.,.,.,19,1
CAN,4,1931,1931,2,1,18475,O,.,.,.,19,1
CAN,4,1931,1931,3,1,21391,O,.,.,.,19,1
CAN,4,1931,1931,4,1,20940,O,.,.,.,19,1
CAN,4,1931,1931,5,1,21524,O,.,.,.,19,1
CAN,4,1931,1931,6,1,20587,O,.,.,.,19,1
CAN,4,1931,1931,7,1,21090,O,.,.,.,19,1
CAN,4,1931,1931,8,1,20376,O,.,.,.,19,1
CAN,4,1931,1931,9,1,20162,O,.,.,.,19,1
CAN,4,1931,1931,10,1,19373,O,.,.,.,19,1
CAN,4,1931,1931,11,1,18129,O,.,.,.,19,1
CAN,4,1931,1931,12,1,18802,O,.,.,.,19,1
CAN,4,1931,1931,UNK,1,0,O,.,.,.,19,1
CAN,4,1931,1931,TOT,1,240654,O,.,.,.,19,1
CAN,4,1932,1932,1,1,19460,O,.,.,.,19,1
