PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
CAN,02,f,0,1,O,1,6,1921,1,O,99454,.,.,.,1
CAN,02,f,1,1,O,1,6,1921,1,O,103358,.,.,.,1
CAN,02,f,2,1,O,1,6,1921,1,O,105984,.,.,.,1
CAN,02,f,3,1,O,1,6,1921,1,O,107469,.,.,.,1
CAN,02,f,4,1,O,1,6,1921,1,O,107935,.,.,.,1
CAN,02,f,5,1,O,1,6,1921,1,O,107509,.,.,.,1
CAN,02,f,6,1,O,1,6,1921,1,O,106319,.,.,.,1
CAN,02,f,7,1,O,1,6,1921,1,O,104489,.,.,.,1
CAN,02,f,8,1,O,1,6,1921,1,O,102152,.,.,.,1
CAN,02,f,9,1,O,1,6,1921,1,O,99431,.,.,.,1
CAN,02,f,10,1,O,1,6,1921,1,O,96323,.,.,.,1
CAN,02,f,11,1,O,1,6,1921,1,O,92826,.,.,.,1
CAN,02,f,12,1,O,1,6,1921,1,O,89717,.,.,.,1
CAN,02,f,13,1,O,1,6,1921,1,O,87380,.,.,.,1
CAN,02,f,14,1,O,1,6,1921,1,O,85554,.,.,.,1
CAN,02,f,15,1,O,1,6,1921,1,O,83594,.,.,.,1
CAN,02,f,16,1,O,1,6,1921,1,O,81638,.,.,.,1
CAN,02,f,17,1,O,1,6,1921,1,O,79774,.,.,.,1
CAN,02,f,18,1,O,1,6,1921,1,O,77991,.,.,.,1
CAN,02,f,19,1,O,1,6,1921,1,O,76303,.,.,.,1
CAN,02,f,20,1,O,1,6,1921,1,O,74708,.,.,.,1
CAN,02,f,21,1,O,1,6,1921,1,O,73158,.,.,.,1
CAN,02,f,22,1,O,1,6,1921,1,O,71867,.,.,.,1
CAN,02,f,23,1,O,1,6,1921,1,O,70936,.,.,.,1
CAN,02,f,24,1,O,1,6,1921,1,O,70231,.,.,.,1
CAN,02,f,25,1,O,1,6,1921,1,O,69562,.,.,.,1
CAN,02,f,26,1,O,1,6,1921,1,O,68998,.,.,.,1
CAN,02,f,27,1,O,1,6,1921,1,O,68213,.,.,.,1
CAN,02,f,28,1,O,1,6,1921,1,O,67025,.,.,.,1
CAN,02,f,29,1,O,1,6,1921,1,O,65602,.,.,.,1
CAN,02,f,30,1,O,1,6,1921,1,O,64215,.,.,.,1
CAN,02,f,31,1,O,1,6,1921,1,O,62733,.,.,.,1
CAN,02,f,32,1,O,1,6,1921,1,O,61578,.,.,.,1
CAN,02,f,33,1,O,1,6,1921,1,O,60954,.,.,.,1
CAN,02,f,34,1,O,1,6,1921,1,O,60620,.,.,.,1
CAN,02,f,35,1,O,1,6,1921,1,O,60174,.,.,.,1
CAN,02,f,36,1,O,1,6,1921,1,O,59773,.,.,.,1
CAN,02,f,37,1,O,1,6,1921,1,O,58828,.,.,.,1
CAN,02,f,38,1,O,1,6,1921,1,O,57034,.,.,.,1
CAN,02,f,39,1,O,1,6,1921,1,O,54691,.,.,.,1
CAN,02,f,40,1,O,1,6,1921,1,O,52418,.,.,.,1
CAN,02,f,41,1,O,1,6,1921,1,O,50102,.,.,.,1
CAN,02,f,42,1,O,1,6,1921,1,O,47937,.,.,.,1
CAN,02,f,43,1,O,1,6,1921,1,O,46087,.,.,.,1
CAN,02,f,44,1,O,1,6,1921,1,O,44456,.,.,.,1
CAN,02,f,45,1,O,1,6,1921,1,O,42760,.,.,.,1
CAN,02,f,46,1,O,1,6,1921,1,O,41025,.,.,.,1
CAN,02,f,47,1,O,1,6,1921,1,O,39466,.,.,.,1
CAN,02,f,48,1,O,1,6,1921,1,O,38152,.,.,.,1
CAN,02,f,49,1,O,1,6,1921,1,O,36997,.,.,.,1
CAN,02,f,50,1,O,1,6,1921,1,O,35876,.,.,.,1
CAN,02,f,51,1,O,1,6,1921,1,O,34850,.,.,.,1
CAN,02,f,52,1,O,1,6,1921,1,O,33661,.,.,.,1
CAN,02,f,53,1,O,1,6,1921,1,O,32177,.,.,.,1
CAN,02,f,54,1,O,1,6,1921,1,O,30536,.,.,.,1
CAN,02,f,55,1,O,1,6,1921,1,O,28959,.,.,.,1
CAN,02,f,56,1,O,1,6,1921,1,O,27350,.,.,.,1
CAN,02,f,57,1,O,1,6,1921,1,O,26059,.,.,.,1
CAN,02,f,58,1,O,1,6,1921,1,O,25263,.,.,.,1
CAN,02,f,59,1,O,1,6,1921,1,O,24769,.,.,.,1
CAN,02,f,60,1,O,1,6,1921,1,O,24234,.,.,.,1
CAN,02,f,61,1,O,1,6,1921,1,O,23765,.,.,.,1
CAN,02,f,62,1,O,1,6,1921,1,O,23019,.,.,.,1
CAN,02,f,63,1,O,1,6,1921,1,O,21798,.,.,.,1
CAN,02,f,64,1,O,1,6,1921,1,O,20284,.,.,.,1
CAN,02,f,65,1,O,1,6,1921,1,O,18845,.,.,.,1
CAN,02,f,66,1,O,1,6,1921,1,O,17403,.,.,.,1
CAN,02,f,67,1,O,1,6,1921,1,O,16099,.,.,.,1
CAN,02,f,68,1,O,1,6,1921,1,O,15030,.,.,.,1
CAN,02,f,69,1,O,1,6,1921,1,O,14123,.,.,.,1
CAN,02,f,70,1,O,1,6,1921,1,O,13192,.,.,.,1
CAN,02,f,71,1,O,1,6,1921,1,O,12283,.,.,.,1
CAN,02,f,72,1,O,1,6,1921,1,O,11384,.,.,.,1
CAN,02,f,73,1,O,1,6,1921,1,O,10474,.,.,.,1
CAN,02,f,74,1,O,1,6,1921,1,O,9567,.,.,.,1
CAN,02,f,75,1,O,1,6,1921,1,O,8713,.,.,.,1
CAN,02,f,76,1,O,1,6,1921,1,O,7890,.,.,.,1
CAN,02,f,77,1,O,1,6,1921,1,O,7115,.,.,.,1
CAN,02,f,78,1,O,1,6,1921,1,O,6384,.,.,.,1
CAN,02,f,79,1,O,1,6,1921,1,O,5698,.,.,.,1
CAN,02,f,80,1,O,1,6,1921,1,O,5049,.,.,.,1
CAN,02,f,81,1,O,1,6,1921,1,O,4440,.,.,.,1
CAN,02,f,82,1,O,1,6,1921,1,O,3865,.,.,.,1
CAN,02,f,83,1,O,1,6,1921,1,O,3324,.,.,.,1
CAN,02,f,84,1,O,1,6,1921,1,O,2822,.,.,.,1
CAN,02,f,85,1,O,1,6,1921,1,O,2365,.,.,.,1
CAN,02,f,86,1,O,1,6,1921,1,O,1954,.,.,.,1
CAN,02,f,87,1,O,1,6,1921,1,O,1591,.,.,.,1
CAN,02,f,88,1,O,1,6,1921,1,O,1276,.,.,.,1
CAN,02,f,89,1,O,1,6,1921,1,O,1014,.,.,.,1
CAN,02,f,90,+,O,1,6,1921,1,O,3000,.,.,.,1
CAN,02,m,0,1,O,1,6,1921,1,O,101634,.,.,.,1
CAN,02,m,1,1,O,1,6,1921,1,O,105307,.,.,.,1
CAN,02,m,2,1,O,1,6,1921,1,O,107783,.,.,.,1
CAN,02,m,3,1,O,1,6,1921,1,O,109175,.,.,.,1
CAN,02,m,4,1,O,1,6,1921,1,O,109601,.,.,.,1
CAN,02,m,5,1,O,1,6,1921,1,O,109176,.,.,.,1
CAN,02,m,6,1,O,1,6,1921,1,O,108016,.,.,.,1
CAN,02,m,7,1,O,1,6,1921,1,O,106241,.,.,.,1
CAN,02,m,8,1,O,1,6,1921,1,O,103963,.,.,.,1
CAN,02,m,9,1,O,1,6,1921,1,O,101304,.,.,.,1
CAN,02,m,10,1,O,1,6,1921,1,O,98248,.,.,.,1
CAN,02,m,11,1,O,1,6,1921,1,O,94792,.,.,.,1
CAN,02,m,12,1,O,1,6,1921,1,O,91679,.,.,.,1
CAN,02,m,13,1,O,1,6,1921,1,O,89270,.,.,.,1
CAN,02,m,14,1,O,1,6,1921,1,O,87311,.,.,.,1
CAN,02,m,15,1,O,1,6,1921,1,O,85244,.,.,.,1
CAN,02,m,16,1,O,1,6,1921,1,O,83265,.,.,.,1
CAN,02,m,17,1,O,1,6,1921,1,O,81098,.,.,.,1
CAN,02,m,18,1,O,1,6,1921,1,O,78573,.,.,.,1
CAN,02,m,19,1,O,1,6,1921,1,O,75920,.,.,.,1
CAN,02,m,20,1,O,1,6,1921,1,O,73453,.,.,.,1
CAN,02,m,21,1,O,1,6,1921,1,O,71014,.,.,.,1
CAN,02,m,22,1,O,1,6,1921,1,O,69346,.,.,.,1
CAN,02,m,23,1,O,1,6,1921,1,O,68826,.,.,.,1
CAN,02,m,24,1,O,1,6,1921,1,O,69061,.,.,.,1
CAN,02,m,25,1,O,1,6,1921,1,O,69321,.,.,.,1
CAN,02,m,26,1,O,1,6,1921,1,O,69755,.,.,.,1
CAN,02,m,27,1,O,1,6,1921,1,O,69996,.,.,.,1
CAN,02,m,28,1,O,1,6,1921,1,O,69795,.,.,.,1
CAN,02,m,29,1,O,1,6,1921,1,O,69333,.,.,.,1
CAN,02,m,30,1,O,1,6,1921,1,O,68951,.,.,.,1
CAN,02,m,31,1,O,1,6,1921,1,O,68470,.,.,.,1
