Canada, Life tables (period 1x10), Females	Last modified: 28 Sep 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1929        0      0.09584  0.08993  0.31  100000    8993   93832  5921201  59.21
1921-1929        1      0.01511  0.01500  0.50   91007    1365   90324  5827369  64.03
1921-1929        2      0.00698  0.00696  0.50   89642     624   89330  5737044  64.00
1921-1929        3      0.00483  0.00481  0.50   89018     429   88804  5647714  63.44
1921-1929        4      0.00388  0.00387  0.50   88590     343   88418  5558910  62.75
1921-1929        5      0.00300  0.00299  0.50   88246     264   88115  5470492  61.99
1921-1929        6      0.00263  0.00263  0.50   87983     231   87867  5382378  61.18
1921-1929        7      0.00230  0.00230  0.50   87751     202   87650  5294511  60.34
1921-1929        8      0.00210  0.00210  0.50   87549     184   87457  5206861  59.47
1921-1929        9      0.00193  0.00193  0.50   87365     169   87281  5119404  58.60
1921-1929       10      0.00176  0.00176  0.50   87196     153   87120  5032123  57.71
1921-1929       11      0.00173  0.00173  0.50   87043     151   86968  4945003  56.81
1921-1929       12      0.00187  0.00187  0.50   86893     163   86811  4858035  55.91
1921-1929       13      0.00207  0.00206  0.50   86730     179   86640  4771224  55.01
1921-1929       14      0.00214  0.00214  0.50   86551     185   86458  4684584  54.13
1921-1929       15      0.00233  0.00233  0.50   86366     201   86265  4598125  53.24
1921-1929       16      0.00272  0.00272  0.50   86165     234   86048  4511860  52.36
1921-1929       17      0.00281  0.00280  0.50   85930     241   85810  4425812  51.50
1921-1929       18      0.00307  0.00307  0.50   85690     263   85558  4340002  50.65
1921-1929       19      0.00344  0.00343  0.50   85427     293   85280  4254444  49.80
1921-1929       20      0.00373  0.00373  0.50   85133     317   84975  4169164  48.97
1921-1929       21      0.00380  0.00379  0.50   84816     322   84655  4084189  48.15
1921-1929       22      0.00414  0.00414  0.50   84494     349   84320  3999534  47.33
1921-1929       23      0.00429  0.00429  0.50   84145     361   83965  3915215  46.53
1921-1929       24      0.00412  0.00411  0.50   83784     345   83612  3831250  45.73
1921-1929       25      0.00388  0.00387  0.50   83440     323   83278  3747638  44.91
1921-1929       26      0.00426  0.00425  0.50   83117     353   82940  3664360  44.09
1921-1929       27      0.00436  0.00435  0.50   82764     360   82583  3581420  43.27
1921-1929       28      0.00454  0.00453  0.50   82403     374   82216  3498837  42.46
1921-1929       29      0.00424  0.00423  0.50   82030     347   81856  3416620  41.65
1921-1929       30      0.00451  0.00450  0.50   81682     368   81499  3334764  40.83
1921-1929       31      0.00399  0.00398  0.50   81315     324   81153  3253266  40.01
1921-1929       32      0.00489  0.00488  0.50   80991     395   80793  3172113  39.17
1921-1929       33      0.00472  0.00471  0.50   80596     380   80406  3091319  38.36
1921-1929       34      0.00474  0.00473  0.50   80216     380   80026  3010914  37.54
1921-1929       35      0.00528  0.00527  0.50   79836     421   79626  2930887  36.71
1921-1929       36      0.00531  0.00530  0.50   79416     421   79206  2851261  35.90
1921-1929       37      0.00512  0.00511  0.50   78995     404   78794  2772055  35.09
1921-1929       38      0.00617  0.00615  0.50   78592     484   78350  2693262  34.27
1921-1929       39      0.00575  0.00573  0.50   78108     448   77884  2614912  33.48
1921-1929       40      0.00602  0.00601  0.50   77661     466   77427  2537028  32.67
1921-1929       41      0.00527  0.00526  0.50   77194     406   76991  2459600  31.86
1921-1929       42      0.00694  0.00691  0.50   76788     531   76523  2382609  31.03
1921-1929       43      0.00624  0.00622  0.50   76257     474   76020  2306086  30.24
1921-1929       44      0.00624  0.00622  0.50   75783     471   75547  2230066  29.43
1921-1929       45      0.00713  0.00711  0.50   75312     535   75044  2154519  28.61
1921-1929       46      0.00684  0.00681  0.50   74777     509   74522  2079474  27.81
