PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
CHE,0,f,1871,1871,6,O,37829,.,.,.,1
CHE,0,m,1871,1871,6,O,39804,.,.,.,1
CHE,0,f,1872,1872,6,O,39061,.,.,.,1
CHE,0,m,1872,1872,6,O,41268,.,.,.,1
CHE,0,f,1873,1873,6,O,39198,.,.,.,1
CHE,0,m,1873,1873,6,O,41374,.,.,.,1
CHE,0,f,1874,1874,6,O,40592,.,.,.,1
CHE,0,m,1874,1874,6,O,42459,.,.,.,1
CHE,0,f,1875,1875,6,O,42942,.,.,.,1
CHE,0,m,1875,1875,6,O,44637,.,.,.,1
CHE,0,f,1876,1876,6,O,44042,.,.,.,1
CHE,0,m,1876,1876,6,O,46744,.,.,.,1
CHE,0,f,1877,1877,6,O,43252,.,.,.,1
CHE,0,m,1877,1877,6,O,45992,.,.,.,1
CHE,0,f,1878,1878,6,O,42940,.,.,.,1
CHE,0,m,1878,1878,6,O,44893,.,.,.,1
CHE,0,f,1879,1879,6,O,41998,.,.,.,1
CHE,0,m,1879,1879,6,O,44182,.,.,.,1
CHE,0,f,1880,1880,6,O,40979,.,.,.,1
CHE,0,m,1880,1880,6,O,43186,.,.,.,1
CHE,0,f,1881,1881,6,O,41613,.,.,.,1
CHE,0,m,1881,1881,6,O,43529,.,.,.,1
CHE,0,f,1882,1882,6,O,40249,.,.,.,1
CHE,0,m,1882,1882,6,O,42440,.,.,.,1
CHE,0,f,1883,1883,6,O,39852,.,.,.,1
CHE,0,m,1883,1883,6,O,42122,.,.,.,1
CHE,0,f,1884,1884,6,O,39725,.,.,.,1
CHE,0,m,1884,1884,6,O,41846,.,.,.,1
CHE,0,f,1885,1885,6,O,39265,.,.,.,1
CHE,0,m,1885,1885,6,O,41084,.,.,.,1
CHE,0,f,1886,1886,6,O,39619,.,.,.,1
CHE,0,m,1886,1886,6,O,41144,.,.,.,1
CHE,0,f,1887,1887,6,O,39783,.,.,.,1
CHE,0,m,1887,1887,6,O,41504,.,.,.,1
CHE,0,f,1888,1888,6,O,39532,.,.,.,1
CHE,0,m,1888,1888,6,O,41566,.,.,.,1
CHE,0,f,1889,1889,6,O,39720,.,.,.,1
CHE,0,m,1889,1889,6,O,41456,.,.,.,1
CHE,0,f,1890,1890,6,O,38454,.,.,.,1
CHE,0,m,1890,1890,6,O,40094,.,.,.,1
CHE,0,f,1891,1891,6,O,40868,.,.,.,1
CHE,0,m,1891,1891,6,O,42728,.,.,.,1
CHE,0,f,1892,1892,6,O,40665,.,.,.,1
CHE,0,m,1892,1892,6,O,42460,.,.,.,1
CHE,0,f,1893,1893,6,O,41481,.,.,.,1
CHE,0,m,1893,1893,6,O,43416,.,.,.,1
CHE,0,f,1894,1894,6,O,41224,.,.,.,1
CHE,0,m,1894,1894,6,O,42918,.,.,.,1
CHE,0,f,1895,1895,6,O,41154,.,.,.,1
CHE,0,m,1895,1895,6,O,43819,.,.,.,1
CHE,0,f,1896,1896,6,O,43238,.,.,.,1
CHE,0,m,1896,1896,6,O,45190,.,.,.,1
CHE,0,f,1897,1897,6,O,44070,.,.,.,1
CHE,0,m,1897,1897,6,O,46008,.,.,.,1
CHE,0,f,1898,1898,6,O,45234,.,.,.,1
CHE,0,m,1898,1898,6,O,46559,.,.,.,1
CHE,0,f,1899,1899,6,O,46190,.,.,.,1
CHE,0,m,1899,1899,6,O,48282,.,.,.,1
CHE,0,f,1900,1900,6,O,46093,.,.,.,1
CHE,0,m,1900,1900,6,O,48223,.,.,.,1
CHE,0,f,1901,1901,6,O,47709,.,.,.,1
CHE,0,m,1901,1901,6,O,49319,.,.,.,1
CHE,0,f,1902,1902,6,O,47014,.,.,.,1
CHE,0,m,1902,1902,6,O,49467,.,.,.,1
CHE,0,f,1903,1903,6,O,45988,.,.,.,1
CHE,0,m,1903,1903,6,O,47836,.,.,.,1
CHE,0,f,1904,1904,6,O,46394,.,.,.,1
CHE,0,m,1904,1904,6,O,48473,.,.,.,1
CHE,0,f,1905,1905,6,O,46326,.,.,.,1
CHE,0,m,1905,1905,6,O,48327,.,.,.,1
CHE,0,f,1906,1906,6,O,46658,.,.,.,1
CHE,0,m,1906,1906,6,O,48937,.,.,.,1
CHE,0,f,1907,1907,6,O,46063,.,.,.,1
CHE,0,m,1907,1907,6,O,48445,.,.,.,1
CHE,0,f,1908,1908,6,O,47084,.,.,.,1
CHE,0,m,1908,1908,6,O,49161,.,.,.,1
CHE,0,f,1909,1909,6,O,46145,.,.,.,1
CHE,0,m,1909,1909,6,O,47967,.,.,.,1
CHE,0,f,1910,1910,6,O,45593,.,.,.,1
CHE,0,m,1910,1910,6,O,47921,.,.,.,1
CHE,0,f,1911,1911,6,O,44762,.,.,.,1
CHE,0,m,1911,1911,6,O,46558,.,.,.,1
CHE,0,f,1912,1912,6,O,44865,.,.,.,1
CHE,0,m,1912,1912,6,O,47331,.,.,.,1
CHE,0,f,1913,1913,6,O,43752,.,.,.,1
CHE,0,m,1913,1913,6,O,46005,.,.,.,1
CHE,0,f,1914,1914,6,O,42372,.,.,.,1
CHE,0,m,1914,1914,6,O,44958,.,.,.,1
CHE,0,f,1915,1915,6,O,36978,.,.,.,1
CHE,0,m,1915,1915,6,O,38567,.,.,.,1
CHE,0,f,1916,1916,6,O,35803,.,.,.,1
CHE,0,m,1916,1916,6,O,37857,.,.,.,1
CHE,0,f,1917,1917,6,O,35269,.,.,.,1
CHE,0,m,1917,1917,6,O,36796,.,.,.,1
CHE,0,f,1918,1918,6,O,35354,.,.,.,1
CHE,0,m,1918,1918,6,O,37304,.,.,.,1
CHE,0,f,1919,1919,6,O,35279,.,.,.,1
CHE,0,m,1919,1919,6,O,36846,.,.,.,1
CHE,0,f,1920,1920,6,O,39322,.,.,.,1
CHE,0,m,1920,1920,6,O,41868,.,.,.,1
CHE,0,f,1921,1921,6,O,39456,.,.,.,1
CHE,0,m,1921,1921,6,O,41352,.,.,.,1
CHE,0,f,1922,1922,6,O,37168,.,.,.,1
CHE,0,m,1922,1922,6,O,39122,.,.,.,1
CHE,0,f,1923,1923,6,O,36774,.,.,.,1
CHE,0,m,1923,1923,6,O,38777,.,.,.,1
CHE,0,f,1924,1924,6,O,36102,.,.,.,1
CHE,0,m,1924,1924,6,O,37406,.,.,.,1
CHE,0,f,1925,1925,6,O,35450,.,.,.,1
CHE,0,m,1925,1925,6,O,37120,.,.,.,1
CHE,0,f,1926,1926,6,O,35269,.,.,.,1
CHE,0,m,1926,1926,6,O,36849,.,.,.,1
CHE,0,f,1927,1927,6,O,33694,.,.,.,1
CHE,0,m,1927,1927,6,O,35839,.,.,.,1
CHE,0,f,1928,1928,6,O,34005,.,.,.,1
CHE,0,m,1928,1928,6,O,35589,.,.,.,1
CHE,0,f,1929,1929,6,O,33891,.,.,.,1
CHE,0,m,1929,1929,6,O,35115,.,.,.,1
CHE,0,f,1930,1930,6,O,33989,.,.,.,1
CHE,0,m,1930,1930,6,O,35866,.,.,.,1
CHE,0,f,1931,1931,6,O,33298,.,.,.,1
CHE,0,m,1931,1931,6,O,34951,.,.,.,1
CHE,0,f,1932,1932,6,O,33435,.,.,.,1
CHE,0,m,1932,1932,6,O,35215,.,.,.,1
CHE,0,f,1933,1933,6,O,33195,.,.,.,1
CHE,0,m,1933,1933,6,O,34314,.,.,.,1
CHE,0,f,1934,1934,6,O,32686,.,.,.,1
CHE,0,m,1934,1934,6,O,34591,.,.,.,1
CHE,0,f,1935,1935,6,O,32137,.,.,.,1
CHE,0,m,1935,1935,6,O,34241,.,.,.,1
CHE,0,f,1936,1936,6,O,31747,.,.,.,1
CHE,0,m,1936,1936,6,O,33219,.,.,.,1
CHE,0,f,1937,1937,6,O,30529,.,.,.,1
CHE,0,m,1937,1937,6,O,31951,.,.,.,1
CHE,0,f,1938,1938,6,O,31083,.,.,.,1
CHE,0,m,1938,1938,6,O,32707,.,.,.,1
CHE,0,f,1939,1939,6,O,31086,.,.,.,1
CHE,0,m,1939,1939,6,O,32751,.,.,.,1
CHE,0,f,1940,1940,6,O,31483,.,.,.,1
CHE,0,m,1940,1940,6,O,32632,.,.,.,1
CHE,0,f,1941,1941,6,O,35216,.,.,.,1
CHE,0,m,1941,1941,6,O,36710,.,.,.,1
CHE,0,f,1942,1942,6,O,38511,.,.,.,1
CHE,0,m,1942,1942,6,O,40364,.,.,.,1
CHE,0,f,1943,1943,6,O,40609,.,.,.,1
CHE,0,m,1943,1943,6,O,42440,.,.,.,1
CHE,0,f,1944,1944,6,O,41632,.,.,.,1
CHE,0,m,1944,1944,6,O,43995,.,.,.,1
CHE,0,f,1945,1945,6,O,42862,.,.,.,1
CHE,0,m,1945,1945,6,O,45660,.,.,.,1
CHE,0,f,1946,1946,6,O,43344,.,.,.,1
CHE,0,m,1946,1946,6,O,45782,.,.,.,1
CHE,0,f,1947,1947,6,O,42549,.,.,.,1
CHE,0,m,1947,1947,6,O,45175,.,.,.,1
CHE,0,f,1948,1948,6,O,42806,.,.,.,1
CHE,0,m,1948,1948,6,O,44957,.,.,.,1
CHE,0,f,1949,1949,6,O,41475,.,.,.,1
CHE,0,m,1949,1949,6,O,43833,.,.,.,1
CHE,0,f,1950,1950,6,O,41115,.,.,.,1
CHE,0,m,1950,1950,6,O,43661,.,.,.,1
CHE,0,f,1951,1951,6,O,39694,.,.,.,1
CHE,0,m,1951,1951,6,O,42209,.,.,.,1
CHE,0,f,1952,1952,6,O,40649,.,.,.,1
CHE,0,m,1952,1952,6,O,42900,.,.,.,1
CHE,0,f,1953,1953,6,O,40458,.,.,.,1
CHE,0,m,1953,1953,6,O,42571,.,.,.,1
CHE,0,f,1954,1954,6,O,41027,.,.,.,1
