Switzerland,  Exposures (Lexis triangle)	Last modified: 28 Oct 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1876    0      1876    18779.68    19293.07    38072.76
 1876    0      1875    16435.53    16530.12    32965.65
 1876    1      1875    16994.77    17068.36    34063.12
 1876    1      1874    16382.40    16568.09    32950.49
 1876    2      1874    16227.44    16382.95    32610.38
 1876    2      1873    15866.76    16110.94    31977.70
 1876    3      1873    16192.69    16425.24    32617.93
 1876    3      1872    15958.15    16212.38    32170.53
 1876    4      1872    16051.32    16294.63    32345.95
 1876    4      1871    15588.39    15812.44    31400.83
 1876    5      1871    15914.83    16117.81    32032.64
 1876    5      1870    14593.50    14300.50    28894.00
 1876    6      1870    14527.50    14297.83    28825.33
 1876    6      1869    14657.67    14482.17    29139.83
 1876    7      1869    14536.00    14394.17    28930.17
 1876    7      1868    14281.33    14189.00    28470.33
 1876    8      1868    14196.17    14107.83    28304.00
 1876    8      1867    14198.33    14010.33    28208.67
 1876    9      1867    14118.00    13916.67    28034.67
 1876    9      1866    14112.33    13822.83    27935.17
 1876   10      1866    14040.17    13713.50    27753.67
 1876   10      1865    14024.67    13732.50    27757.17
 1876   11      1865    13963.67    13625.33    27589.00
 1876   11      1864    13944.50    13690.83    27635.33
 1876   12      1864    13889.50    13590.67    27480.17
 1876   12      1863    13862.00    13624.50    27486.50
 1876   13      1863    13813.50    13533.17    27346.67
 1876   13      1862    13596.00    13400.50    26996.50
 1876   14      1862    13547.83    13319.83    26867.67
 1876   14      1861    13334.17    13092.67    26426.83
 1876   15      1861    13288.33    12997.33    26285.67
 1876   15      1860    13080.00    12799.00    25879.00
 1876   16      1860    13031.50    12702.00    25733.50
 1876   16      1859    12830.67    12527.17    25357.83
 1876   17      1859    12787.00    12425.50    25212.50
 1876   17      1858    12582.33    12142.33    24724.67
 1876   18      1858    12536.00    12019.50    24555.50
 1876   18      1857    12236.33    11775.33    24011.67
 1876   19      1857    12163.83    11660.67    23824.50
 1876   19      1856    11892.17    11419.83    23312.00
 1876   20      1856    11804.50    11307.67    23112.17
 1876   20      1855    11410.50    11080.83    22491.33
 1876   21      1855    11335.17    10968.17    22303.33
 1876   21      1854    11167.83    10748.00    21915.83
 1876   22      1854    11062.00    10639.00    21701.00
 1876   22      1853    10930.67    10425.83    21356.50
 1876   23      1853    10795.83    10322.50    21118.33
 1876   23      1852    10868.17    10296.83    21165.00
 1876   24      1852    10740.67    10206.83    20947.50
