Switzerland, Life tables (cohort 1x10), Total	Last modified: 28 Oct 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1876-1879        0      0.24354  0.20832  0.31  100000   20832   85538  4595693  45.96
1876-1879        1      0.03961  0.03882  0.49   79168    3073   77596  4510155  56.97
1876-1879        2      0.02061  0.02040  0.51   76095    1552   75329  4432559  58.25
1876-1879        3      0.01501  0.01490  0.51   74543    1111   73995  4357229  58.45
1876-1879        4      0.01136  0.01130  0.50   73432     830   73015  4283234  58.33
1876-1879        5      0.00810  0.00807  0.51   72602     586   72316  4210219  57.99
1876-1879        6      0.00578  0.00576  0.52   72016     415   71816  4137904  57.46
1876-1879        7      0.00477  0.00476  0.52   71601     341   71438  4066088  56.79
1876-1879        8      0.00397  0.00397  0.51   71260     283   71123  3994650  56.06
1876-1879        9      0.00359  0.00359  0.51   70978     255   70853  3923527  55.28
1876-1879       10      0.00311  0.00311  0.50   70723     220   70614  3852674  54.48
1876-1879       11      0.00300  0.00300  0.52   70503     211   70401  3782061  53.64
1876-1879       12      0.00315  0.00315  0.50   70292     221   70182  3711660  52.80
1876-1879       13      0.00312  0.00312  0.52   70071     218   69966  3641478  51.97
1876-1879       14      0.00342  0.00342  0.51   69852     239   69736  3571512  51.13
1876-1879       15      0.00388  0.00387  0.52   69614     270   69483  3501776  50.30
1876-1879       16      0.00417  0.00416  0.51   69344     289   69202  3432292  49.50
1876-1879       17      0.00474  0.00472  0.52   69055     326   68898  3363090  48.70
1876-1879       18      0.00535  0.00533  0.52   68729     367   68552  3294193  47.93
1876-1879       19      0.00529  0.00528  0.51   68363     361   68186  3225641  47.18
1876-1879       20      0.00562  0.00560  0.51   68002     381   67816  3157455  46.43
1876-1879       21      0.00555  0.00553  0.51   67621     374   67439  3089638  45.69
1876-1879       22      0.00547  0.00546  0.51   67247     367   67067  3022200  44.94
1876-1879       23      0.00577  0.00575  0.51   66880     385   66690  2955133  44.19
1876-1879       24      0.00562  0.00561  0.49   66495     373   66306  2888443  43.44
1876-1879       25      0.00595  0.00594  0.51   66122     393   65930  2822137  42.68
1876-1879       26      0.00619  0.00617  0.51   65729     406   65529  2756207  41.93
1876-1879       27      0.00644  0.00642  0.51   65324     419   65117  2690678  41.19
1876-1879       28      0.00614  0.00612  0.51   64904     397   64709  2625561  40.45
1876-1879       29      0.00626  0.00624  0.51   64507     403   64310  2560853  39.70
1876-1879       30      0.00620  0.00619  0.50   64104     397   63908  2496543  38.94
1876-1879       31      0.00601  0.00599  0.50   63708     382   63519  2432635  38.18
1876-1879       32      0.00599  0.00597  0.51   63326     378   63143  2369116  37.41
1876-1879       33      0.00617  0.00615  0.51   62948     387   62759  2305974  36.63
1876-1879       34      0.00641  0.00639  0.51   62561     400   62366  2243215  35.86
1876-1879       35      0.00624  0.00622  0.51   62161     387   61971  2180849  35.08
1876-1879       36      0.00645  0.00643  0.51   61774     397   61578  2118878  34.30
1876-1879       37      0.00664  0.00662  0.50   61377     406   61175  2057300  33.52
1876-1879       38      0.00685  0.00682  0.52   60971     416   60773  1996125  32.74
1876-1879       39      0.00889  0.00885  0.49   60555     536   60283  1935352  31.96
1876-1879       40      0.00893  0.00889  0.49   60019     534   59745  1875069  31.24
1876-1879       41      0.00869  0.00865  0.49   59485     515   59223  1815324  30.52
1876-1879       42      0.00928  0.00924  0.49   58971     545   58695  1756100  29.78
1876-1879       43      0.00773  0.00770  0.51   58426     450   58206  1697406  29.05
1876-1879       44      0.00789  0.00786  0.50   57976     456   57750  1639200  28.27
1876-1879       45      0.00779  0.00776  0.51   57520     447   57303  1581450  27.49
1876-1879       46      0.00873  0.00870  0.51   57074     496   56829  1524147  26.70
1876-1879       47      0.00894  0.00890  0.50   56578     504   56328  1467318  25.93
1876-1879       48      0.00961  0.00956  0.50   56074     536   55808  1410990  25.16
1876-1879       49      0.01053  0.01048  0.51   55538     582   55250  1355182  24.40
1876-1879       50      0.01110  0.01104  0.51   54956     607   54659  1299932  23.65
1876-1879       51      0.01192  0.01185  0.51   54349     644   54032  1245273  22.91
1876-1879       52      0.01278  0.01270  0.50   53705     682   53367  1191241  22.18
1876-1879       53      0.01372  0.01363  0.51   53023     723   52666  1137874  21.46
1876-1879       54      0.01429  0.01419  0.50   52300     742   51931  1085208  20.75
1876-1879       55      0.01427  0.01418  0.51   51558     731   51201  1033277  20.04
1876-1879       56      0.01628  0.01615  0.50   50827     821   50420   982075  19.32
1876-1879       57      0.01687  0.01673  0.51   50006     836   49592   931655  18.63
1876-1879       58      0.01760  0.01745  0.51   49170     858   48746   882063  17.94
1876-1879       59      0.01843  0.01826  0.50   48312     882   47875   833317  17.25
1876-1879       60      0.02077  0.02056  0.50   47429     975   46943   785442  16.56
1876-1879       61      0.02187  0.02164  0.50   46454    1005   45956   738499  15.90
1876-1879       62      0.02369  0.02342  0.51   45449    1065   44930   692543  15.24
1876-1879       63      0.02558  0.02526  0.50   44385    1121   43827   647613  14.59
1876-1879       64      0.02638  0.02604  0.51   43264    1127   42709   603786  13.96
1876-1879       65      0.02937  0.02895  0.50   42137    1220   41532   561076  13.32
1876-1879       66      0.03180  0.03131  0.51   40917    1281   40287   519544  12.70
1876-1879       67      0.03543  0.03482  0.51   39636    1380   38955   479257  12.09
1876-1879       68      0.04045  0.03965  0.50   38256    1517   37504   440303  11.51
1876-1879       69      0.04397  0.04304  0.51   36739    1581   35961   402799  10.96
1876-1879       70      0.04721  0.04613  0.51   35158    1622   34356   366837  10.43
1876-1879       71      0.05137  0.05009  0.50   33536    1680   32701   332482   9.91
1876-1879       72      0.05472  0.05328  0.51   31856    1697   31021   299781   9.41
1876-1879       73      0.05960  0.05791  0.51   30159    1746   29302   268760   8.91
1876-1879       74      0.06463  0.06265  0.51   28412    1780   27542   239459   8.43
1876-1879       75      0.07062  0.06826  0.51   26632    1818   25743   211917   7.96
1876-1879       76      0.07990  0.07690  0.51   24814    1908   23881   186174   7.50
1876-1879       77      0.08721  0.08364  0.51   22906    1916   21967   162293   7.09
1876-1879       78      0.09460  0.09039  0.51   20990    1897   20056   140326   6.69
1876-1879       79      0.10368  0.09861  0.50   19093    1883   18160   120270   6.30
1876-1879       80      0.10952  0.10393  0.51   17210    1789   16333   102111   5.93
1876-1879       81      0.12006  0.11335  0.51   15421    1748   14560    85778   5.56
1876-1879       82      0.13489  0.12654  0.51   13673    1730   12827    71218   5.21
1876-1879       83      0.14709  0.13722  0.51   11943    1639   11142    58391   4.89
1876-1879       84      0.16052  0.14871  0.51   10304    1532    9546    47249   4.59
1876-1879       85      0.17814  0.16376  0.51    8772    1436    8063    37703   4.30
1876-1879       86      0.20014  0.18218  0.51    7336    1336    6677    29640   4.04
1876-1879       87      0.20724  0.18789  0.50    5999    1127    5439    22962   3.83
1876-1879       88      0.22437  0.20194  0.50    4872     984    4385    17523   3.60
1876-1879       89      0.25593  0.22715  0.51    3888     883    3451    13138   3.38
1876-1879       90      0.25906  0.22994  0.51    3005     691    2667     9687   3.22
1876-1879       91      0.28366  0.24850  0.50    2314     575    2027     7020   3.03
1876-1879       92      0.30163  0.26207  0.50    1739     456    1511     4993   2.87
1876-1879       93      0.32122  0.27759  0.51    1283     356    1109     3482   2.71
1876-1879       94      0.35274  0.29979  0.50     927     278     788     2373   2.56
1876-1879       95      0.36649  0.30967  0.50     649     201     548     1585   2.44
1876-1879       96      0.39786  0.33060  0.49     448     148     372     1037   2.31
1876-1879       97      0.39851  0.33270  0.50     300     100     250      665   2.22
1876-1879       98      0.42926  0.35593  0.52     200      71     166      414   2.07
1876-1879       99      0.46512  0.37939  0.51     129      49     105      248   1.92
1876-1879      100      0.62595  0.46996  0.47      80      38      60      143   1.79
1876-1879      101      0.47118  0.38667  0.54      42      16      35       83   1.95
1876-1879      102      0.45310  0.36957  0.50      26      10      21       48   1.85
1876-1879      103      0.67391  0.50000  0.48      16       8      12       27   1.64
1876-1879      104      0.42224  0.34483  0.47       8       3       7       15   1.79
