Switzerland, Life tables (cohort 1x5), Males	Last modified: 28 Oct 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1876-1879        0      0.26957  0.22673  0.30  100000   22673   84108  4392817  43.93
1876-1879        1      0.03935  0.03858  0.49   77327    2983   75802  4308709  55.72
1876-1879        2      0.02099  0.02077  0.51   74344    1544   73587  4232907  56.94
1876-1879        3      0.01543  0.01532  0.51   72799    1115   72249  4159320  57.13
1876-1879        4      0.01134  0.01127  0.50   71684     808   71278  4087071  57.01
1876-1879        5      0.00814  0.00811  0.51   70876     575   70595  4015793  56.66
1876-1879        6      0.00583  0.00581  0.51   70301     408   70103  3945198  56.12
1876-1879        7      0.00447  0.00446  0.52   69893     312   69742  3875095  55.44
1876-1879        8      0.00405  0.00404  0.52   69581     281   69446  3805353  54.69
1876-1879        9      0.00354  0.00354  0.51   69300     245   69180  3735907  53.91
1876-1879       10      0.00309  0.00309  0.50   69055     213   68949  3666727  53.10
1876-1879       11      0.00303  0.00303  0.52   68842     208   68742  3597778  52.26
1876-1879       12      0.00301  0.00301  0.49   68633     207   68528  3529036  51.42
1876-1879       13      0.00267  0.00267  0.52   68427     182   68339  3460508  50.57
1876-1879       14      0.00306  0.00305  0.51   68244     208   68142  3392169  49.71
1876-1879       15      0.00317  0.00317  0.51   68036     215   67930  3324027  48.86
1876-1879       16      0.00371  0.00370  0.51   67821     251   67697  3256097  48.01
1876-1879       17      0.00427  0.00426  0.52   67570     288   67432  3188400  47.19
1876-1879       18      0.00508  0.00507  0.51   67282     341   67116  3120968  46.39
1876-1879       19      0.00519  0.00517  0.51   66941     346   66770  3053852  45.62
1876-1879       20      0.00564  0.00562  0.51   66594     375   66409  2987082  44.85
1876-1879       21      0.00578  0.00576  0.51   66220     382   66034  2920673  44.11
1876-1879       22      0.00545  0.00544  0.51   65838     358   65664  2854639  43.36
1876-1879       23      0.00553  0.00552  0.51   65480     361   65302  2788975  42.59
1876-1879       24      0.00546  0.00545  0.49   65119     355   64938  2723673  41.83
1876-1879       25      0.00573  0.00571  0.51   64764     370   64582  2658735  41.05
1876-1879       26      0.00583  0.00582  0.51   64394     375   64210  2594153  40.29
1876-1879       27      0.00631  0.00629  0.50   64019     403   63817  2529943  39.52
1876-1879       28      0.00611  0.00609  0.51   63617     388   63427  2466126  38.77
1876-1879       29      0.00587  0.00585  0.51   63229     370   63046  2402699  38.00
1876-1879       30      0.00591  0.00589  0.51   62859     370   62678  2339652  37.22
1876-1879       31      0.00572  0.00570  0.50   62489     356   62310  2276974  36.44
1876-1879       32      0.00583  0.00582  0.51   62133     361   61957  2214664  35.64
1876-1879       33      0.00636  0.00634  0.51   61771     392   61579  2152707  34.85
1876-1879       34      0.00697  0.00694  0.51   61380     426   61171  2091127  34.07
1876-1879       35      0.00656  0.00654  0.50   60954     399   60755  2029956  33.30
1876-1879       36      0.00711  0.00709  0.51   60555     429   60343  1969201  32.52
1876-1879       37      0.00689  0.00687  0.50   60126     413   59921  1908859  31.75
1876-1879       38      0.00738  0.00736  0.52   59713     439   59504  1848938  30.96
1876-1879       39      0.00983  0.00978  0.50   59273     580   58981  1789434  30.19
1876-1879       40      0.00991  0.00986  0.48   58694     578   58396  1730453  29.48
1876-1879       41      0.00949  0.00945  0.48   58115     549   57832  1672057  28.77
1876-1879       42      0.01023  0.01018  0.49   57566     586   57270  1614225  28.04
1876-1879       43      0.00886  0.00882  0.50   56980     503   56731  1556956  27.32
1876-1879       44      0.00934  0.00929  0.51   56478     525   56219  1500224  26.56
1876-1879       45      0.00924  0.00920  0.51   55953     515   55700  1444006  25.81
1876-1879       46      0.01055  0.01050  0.50   55438     582   55149  1388306  25.04
1876-1879       47      0.01092  0.01086  0.51   54856     596   54562  1333157  24.30
1876-1879       48      0.01147  0.01141  0.50   54260     619   53954  1278595  23.56
1876-1879       49      0.01282  0.01274  0.51   53642     684   53305  1224642  22.83
1876-1879       50      0.01353  0.01344  0.51   52958     712   52610  1171337  22.12
1876-1879       51      0.01418  0.01408  0.51   52246     736   51887  1118727  21.41
1876-1879       52      0.01582  0.01570  0.51   51510     809   51112  1066840  20.71
1876-1879       53      0.01708  0.01693  0.51   50702     859   50281  1015728  20.03
1876-1879       54      0.01740  0.01725  0.50   49843     860   49414   965447  19.37
1876-1879       55      0.01656  0.01643  0.51   48983     805   48592   916033  18.70
1876-1879       56      0.02025  0.02005  0.50   48179     966   47699   867441  18.00
1876-1879       57      0.02083  0.02061  0.50   47213     973   46725   819742  17.36
1876-1879       58      0.02127  0.02105  0.51   46240     973   45758   773016  16.72
1876-1879       59      0.02220  0.02195  0.50   45266     994   44771   727258  16.07
1876-1879       60      0.02499  0.02468  0.50   44273    1093   43726   682487  15.42
1876-1879       61      0.02575  0.02543  0.50   43180    1098   42633   638761  14.79
1876-1879       62      0.02822  0.02783  0.51   42082    1171   41506   596128  14.17
1876-1879       63      0.03078  0.03031  0.50   40911    1240   40289   554622  13.56
1876-1879       64      0.03161  0.03112  0.51   39671    1235   39065   514333  12.97
1876-1879       65      0.03477  0.03418  0.50   38436    1314   37781   475268  12.37
1876-1879       66      0.03750  0.03681  0.50   37122    1367   36442   437487  11.78
1876-1879       67      0.04113  0.04031  0.50   35756    1441   35042   401045  11.22
1876-1879       68      0.04730  0.04622  0.51   34315    1586   33531   366003  10.67
1876-1879       69      0.05104  0.04979  0.51   32729    1629   31924   332473  10.16
1876-1879       70      0.05478  0.05333  0.50   31099    1658   30276   300549   9.66
1876-1879       71      0.05945  0.05775  0.50   29441    1700   28598   270272   9.18
1876-1879       72      0.06323  0.06133  0.51   27741    1701   26907   241674   8.71
1876-1879       73      0.06851  0.06627  0.51   26039    1726   25187   214767   8.25
1876-1879       74      0.07502  0.07237  0.51   24314    1759   23452   189581   7.80
1876-1879       75      0.08131  0.07819  0.51   22554    1764   21689   166129   7.37
1876-1879       76      0.09081  0.08692  0.51   20791    1807   19899   144440   6.95
1876-1879       77      0.09950  0.09486  0.51   18984    1801   18098   124540   6.56
1876-1879       78      0.10720  0.10181  0.51   17183    1749   16318   106442   6.19
1876-1879       79      0.11720  0.11075  0.50   15433    1709   14584    90124   5.84
1876-1879       80      0.12193  0.11502  0.51   13724    1579   12947    75540   5.50
1876-1879       81      0.13698  0.12829  0.51   12146    1558   11375    62593   5.15
1876-1879       82      0.15125  0.14078  0.51   10587    1490    9854    51218   4.84
1876-1879       83      0.16044  0.14885  0.51    9097    1354    8440    41364   4.55
1876-1879       84      0.17795  0.16350  0.50    7743    1266    7114    32924   4.25
1876-1879       85      0.19690  0.17966  0.51    6477    1164    5910    25810   3.98
1876-1879       86      0.22422  0.20167  0.50    5313    1072    4779    19900   3.75
1876-1879       87      0.22885  0.20557  0.51    4242     872    3810    15121   3.56
1876-1879       88      0.24836  0.22115  0.50    3370     745    3001    11311   3.36
1876-1879       89      0.26649  0.23565  0.51    2625     618    2321     8310   3.17
1876-1879       90      0.28469  0.24965  0.51    2006     501    1759     5989   2.99
1876-1879       91      0.31501  0.27190  0.50    1505     409    1299     4230   2.81
1876-1879       92      0.32847  0.28164  0.49    1096     309     940     2931   2.67
1876-1879       93      0.36829  0.31119  0.50     787     245     665     1991   2.53
1876-1879       94      0.38684  0.32390  0.50     542     176     454     1326   2.45
1876-1879       95      0.35719  0.30233  0.49     367     111     310      872   2.38
1876-1879       96      0.42599  0.34889  0.48     256      89     210      562   2.20
1876-1879       97      0.41530  0.34130  0.48     167      57     137      352   2.11
1876-1879       98      0.45687  0.37824  0.54     110      41      91      215   1.96
1876-1879       99      0.54017  0.42500  0.50      68      29      54      124   1.82
1876-1879      100      0.57303  0.43478  0.45      39      17      30       71   1.80
1876-1879      101      0.43718  0.35897  0.50      22       8      18       41   1.85
1876-1879      102      0.54951  0.44000  0.55      14       6      11       23   1.60
1876-1879      103      0.82662  0.57143  0.46       8       5       6       11   1.43
1876-1879      104      0.64178  0.50000  0.56       3       2       3        6   1.72
1876-1879      105      0.37475  0.33333  0.67       2       1       2        3   1.89
1876-1879      106      0.00000  0.00000  0.50       1       0       1        2   1.50
1876-1879      107      1.99519  1.00000  0.50       1       1       1        1   0.50
1876-1879      108            .        .     .       0       0       0        0      .
1876-1879      109            .        .     .       0       0       0        0      .
1876-1879      110+           .        .     .       0       0       0        0      .
1880-1884        0      0.21896  0.18983  0.30  100000   18983   86695  4747372  47.47
1880-1884        1      0.03506  0.03444  0.49   81017    2791   79591  4660678  57.53
1880-1884        2      0.01555  0.01543  0.50   78226    1207   77628  4581086  58.56
1880-1884        3      0.01149  0.01142  0.51   77020     880   76586  4503458  58.47
1880-1884        4      0.00869  0.00865  0.51   76140     659   75818  4426873  58.14
1880-1884        5      0.00648  0.00646  0.51   75481     488   75241  4351055  57.64
1880-1884        6      0.00571  0.00569  0.52   74993     427   74789  4275814  57.02
1880-1884        7      0.00527  0.00526  0.52   74566     392   74377  4201025  56.34
1880-1884        8      0.00427  0.00426  0.51   74174     316   74020  4126648  55.63
1880-1884        9      0.00379  0.00378  0.51   73858     279   73720  4052628  54.87
1880-1884       10      0.00329  0.00328  0.50   73579     241   73459  3978908  54.08
1880-1884       11      0.00273  0.00273  0.51   73337     200   73239  3905449  53.25
1880-1884       12      0.00267  0.00267  0.50   73137     195   73039  3832210  52.40
1880-1884       13      0.00254  0.00253  0.50   72942     185   72849  3759171  51.54
1880-1884       14      0.00243  0.00243  0.51   72757     177   72670  3686322  50.67
1880-1884       15      0.00303  0.00302  0.51   72581     219   72473  3613652  49.79
1880-1884       16      0.00314  0.00313  0.52   72361     227   72253  3541179  48.94
1880-1884       17      0.00395  0.00394  0.51   72135     285   71996  3468927  48.09
1880-1884       18      0.00451  0.00450  0.51   71850     324   71692  3396930  47.28
1880-1884       19      0.00510  0.00509  0.51   71527     364   71348  3325238  46.49
1880-1884       20      0.00526  0.00525  0.50   71163     373   70975  3253890  45.72
