PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
CHL,10,f,1907,1907,1,O,61567,.,.,.,1
CHL,10,m,1907,1907,1,O,64537,.,.,.,1
CHL,10,f,1908,1908,1,O,63402,.,.,.,1
CHL,10,m,1908,1908,1,O,66331,.,.,.,1
CHL,10,f,1909,1909,1,O,63167,.,.,.,1
CHL,10,m,1909,1909,1,O,66166,.,.,.,1
CHL,10,f,1910,1910,1,O,63311,.,.,.,1
CHL,10,m,1910,1910,1,O,66741,.,.,.,1
CHL,10,f,1911,1911,1,O,64433,.,.,.,1
CHL,10,m,1911,1911,1,O,69035,.,.,.,1
CHL,10,f,1912,1912,1,O,66442,.,.,.,1
CHL,10,m,1912,1912,1,O,68931,.,.,.,1
CHL,10,f,1913,1913,1,O,68916,.,.,.,1
CHL,10,m,1913,1913,1,O,71609,.,.,.,1
CHL,10,f,1914,1914,1,O,66352,.,.,.,1
CHL,10,m,1914,1914,1,O,70198,.,.,.,1
CHL,10,f,1915,1915,1,O,66547,.,.,.,1
CHL,10,m,1915,1915,1,O,70050,.,.,.,1
CHL,10,f,1916,1916,1,O,69958,.,.,.,1
CHL,10,m,1916,1916,1,O,74235,.,.,.,1
CHL,10,f,1917,1917,1,O,72915,.,.,.,1
CHL,10,m,1917,1917,1,O,76246,.,.,.,1
CHL,10,f,1918,1918,1,O,71573,.,.,.,1
CHL,10,m,1918,1918,1,O,74298,.,.,.,1
CHL,10,f,1919,1919,1,O,70618,.,.,.,1
CHL,10,m,1919,1919,1,O,74362,.,.,.,1
CHL,10,f,1920,1920,1,O,71905,.,.,.,1
CHL,10,m,1920,1920,1,O,74820,.,.,.,1
CHL,10,f,1921,1921,1,O,72476,.,.,.,1
CHL,10,m,1921,1921,1,O,75319,.,.,.,1
CHL,10,f,1922,1922,1,O,71512,.,.,.,1
CHL,10,m,1922,1922,1,O,75693,.,.,.,1
CHL,10,f,1923,1923,1,O,74170,.,.,.,1
CHL,10,m,1923,1923,1,O,77635,.,.,.,1
CHL,10,f,1924,1924,1,O,75725,.,.,.,1
CHL,10,m,1924,1924,1,O,79375,.,.,.,1
CHL,10,f,1925,1925,1,O,76064,.,.,.,1
CHL,10,m,1925,1925,1,O,80161,.,.,.,1
CHL,10,f,1926,1926,1,O,77351,.,.,.,1
CHL,10,m,1926,1926,1,O,82260,.,.,.,1
CHL,10,f,1927,1927,1,O,83028,.,.,.,1
CHL,10,m,1927,1927,1,O,89645,.,.,.,1
CHL,10,f,1928,1928,1,O,87148,.,.,.,1
CHL,10,m,1928,1928,1,O,92446,.,.,.,1
CHL,10,f,1929,1929,1,O,84375,.,.,.,1
CHL,10,m,1929,1929,1,O,91655,.,.,.,1
CHL,10,f,1930,1930,1,O,82193,.,.,.,1
CHL,10,m,1930,1930,1,O,87202,.,.,.,1
CHL,10,f,1931,1931,1,O,72324,.,.,.,1
CHL,10,m,1931,1931,1,O,77164,.,.,.,1
CHL,10,f,1932,1932,1,O,72360,.,.,.,1
CHL,10,m,1932,1932,1,O,77099,.,.,.,1
CHL,10,f,1933,1933,1,O,71457,.,.,.,1
CHL,10,m,1933,1933,1,O,76276,.,.,.,1
CHL,10,f,1934,1934,1,O,73306,.,.,.,1
CHL,10,m,1934,1934,1,O,77056,.,.,.,1
CHL,10,f,1935,1935,1,O,74462,.,.,.,1
CHL,10,m,1935,1935,1,O,78689,.,.,.,1
CHL,10,f,1936,1936,1,O,76560,.,.,.,1
CHL,10,m,1936,1936,1,O,80357,.,.,.,1
CHL,10,f,1937,1937,1,O,74611,.,.,.,1
CHL,10,m,1937,1937,1,O,78743,.,.,.,1
CHL,10,f,1938,1938,1,O,75526,.,.,.,1
CHL,10,m,1938,1938,1,O,79401,.,.,.,1
CHL,10,f,1939,1939,1,O,79824,.,.,.,1
CHL,10,m,1939,1939,1,O,83765,.,.,.,1
CHL,10,f,1940,1940,1,O,81244,.,.,.,1
CHL,10,m,1940,1940,1,O,85349,.,.,.,1
CHL,10,f,1941,1941,1,O,81024,.,.,.,1
CHL,10,m,1941,1941,1,O,83980,.,.,.,1
CHL,10,f,1942,1942,1,O,83236,.,.,.,1
CHL,10,m,1942,1942,1,O,86986,.,.,.,1
CHL,10,f,1943,1943,1,O,84215,.,.,.,1
CHL,10,m,1943,1943,1,O,87880,.,.,.,1
CHL,10,f,1944,1944,1,O,85616,.,.,.,1
CHL,10,m,1944,1944,1,O,89248,.,.,.,1
CHL,10,f,1945,1945,1,O,86833,.,.,.,1
CHL,10,m,1945,1945,1,O,91459,.,.,.,1
CHL,10,f,1946,1946,1,O,86066,.,.,.,1
CHL,10,m,1946,1946,1,O,89619,.,.,.,1
CHL,10,f,1947,1947,1,O,91541,.,.,.,1
CHL,10,m,1947,1947,1,O,95243,.,.,.,1
CHL,10,f,1948,1948,1,O,93671,.,.,.,1
CHL,10,m,1948,1948,1,O,95565,.,.,.,1
CHL,10,f,1949,1949,1,O,93107,.,.,.,1
CHL,10,m,1949,1949,1,O,96612,.,.,.,1
CHL,10,f,1950,1950,1,O,92873,.,.,.,1
CHL,10,m,1950,1950,1,O,95450,.,.,.,1
CHL,10,f,1951,1951,1,O,93981,.,.,.,1
CHL,10,m,1951,1951,1,O,97351,.,.,.,1
CHL,10,f,1952,1952,2,O,95994,.,.,.,1
CHL,10,m,1952,1952,2,O,99475,.,.,.,1
CHL,10,f,1953,1953,2,O,104444,.,.,.,1
CHL,10,m,1953,1953,2,O,107364,.,.,.,1
CHL,10,f,1954,1954,2,O,103892,.,.,.,1
CHL,10,m,1954,1954,2,O,106028,.,.,.,1
CHL,10,f,1955,1955,2,O,111040,.,.,.,1
CHL,10,m,1955,1955,2,O,114312,.,.,.,1
CHL,10,f,1956,1956,3,O,117008,.,.,.,1
CHL,10,m,1956,1956,3,O,120260,.,.,.,1
CHL,10,f,1957,1957,3,O,122220,.,.,.,1
CHL,10,m,1957,1957,3,O,127389,.,.,.,1
CHL,10,f,1958,1958,3,O,122815,.,.,.,1
CHL,10,m,1958,1958,3,O,127432,.,.,.,1
CHL,10,f,1959,1959,3,O,124985,.,.,.,1
CHL,10,m,1959,1959,3,O,129289,.,.,.,1
CHL,10,f,1960,1960,3,O,128135,.,.,.,1
CHL,10,m,1960,1960,3,O,132518,.,.,.,1
CHL,10,f,1961,1961,3,O,132624,.,.,.,1
CHL,10,m,1961,1961,3,O,136649,.,.,.,1
CHL,10,f,1962,1962,3,O,134725,.,.,.,1
CHL,10,m,1962,1962,3,O,139715,.,.,.,1
CHL,10,f,1963,1963,3,O,136258,.,.,.,1
CHL,10,m,1963,1963,3,O,140886,.,.,.,1
CHL,10,f,1964,1964,3,O,135470,.,.,.,1
CHL,10,m,1964,1964,3,O,139853,.,.,.,1
CHL,10,f,1965,1965,3,O,134748,.,.,.,1
CHL,10,m,1965,1965,3,O,139832,.,.,.,1
CHL,10,f,1966,1966,3,O,131438,.,.,.,1
CHL,10,m,1966,1966,3,O,136795,.,.,.,1
CHL,10,f,1967,1967,3,O,127173,.,.,.,1
CHL,10,m,1967,1967,3,O,132556,.,.,.,1
CHL,10,f,1968,1968,4,O,122442,.,.,.,1
CHL,10,m,1968,1968,4,O,126492,.,.,.,1
CHL,10,f,1969,1969,4,O,117739,.,.,.,1
CHL,10,m,1969,1969,4,O,121810,.,.,.,1
CHL,10,f,1970,1970,4,O,117111,.,.,.,1
CHL,10,m,1970,1970,4,O,121558,.,.,.,1
CHL,10,f,1971,1971,4,O,121524,.,.,.,1
CHL,10,m,1971,1971,4,O,126446,.,.,.,1
CHL,10,f,1972,1972,4,O,125258,.,.,.,1
CHL,10,m,1972,1972,4,O,130839,.,.,.,1
CHL,10,f,1973,1973,4,O,124126,.,.,.,1
CHL,10,m,1973,1973,4,O,130911,.,.,.,1
CHL,10,f,1974,1974,4,O,122938,.,.,.,1
CHL,10,m,1974,1974,4,O,127524,.,.,.,1
CHL,10,f,1975,1975,4,O,116131,.,.,.,1
CHL,10,m,1975,1975,4,O,121835,.,.,.,1
CHL,10,f,1976,1976,4,O,112251,.,.,.,1
CHL,10,m,1976,1976,4,O,116980,.,.,.,1
CHL,10,f,1977,1977,4,O,105940,.,.,.,1
CHL,10,m,1977,1977,4,O,110932,.,.,.,1
CHL,10,f,1978,1978,4,O,107341,.,.,.,1
CHL,10,m,1978,1978,4,O,111240,.,.,.,1
CHL,10,f,1979,1979,4,O,109108,.,.,.,1
CHL,10,m,1979,1979,4,O,113990,.,.,.,1
CHL,10,f,1980,1980,4,O,114841,.,.,.,1
CHL,10,m,1980,1980,4,O,119821,.,.,.,1
CHL,10,f,1981,1981,4,O,123287,.,.,.,1
CHL,10,m,1981,1981,4,O,128282,.,.,.,1
CHL,10,f,1982,1982,4,O,125261,.,.,.,1
CHL,10,m,1982,1982,4,O,131242,.,.,.,1
CHL,10,f,1983,1983,5,O,119688,.,.,.,1
CHL,10,m,1983,1983,5,O,124024,.,.,.,1
CHL,10,f,1984,1984,5,O,122970,.,.,.,1
CHL,10,m,1984,1984,5,O,128795,.,.,.,1
CHL,10,f,1985,1985,5,O,122019,.,.,.,1
CHL,10,m,1985,1985,5,O,126860,.,.,.,1
CHL,10,f,1986,1986,5,O,126872,.,.,.,1
CHL,10,m,1986,1986,5,O,132475,.,.,.,1
CHL,10,f,1987,1987,5,O,129548,.,.,.,1
CHL,10,m,1987,1987,5,O,136226,.,.,.,1
CHL,10,f,1988,1988,5,O,137542,.,.,.,1
CHL,10,m,1988,1988,5,O,144210,.,.,.,1
CHL,10,f,1989,1989,5,O,140708,.,.,.,1
CHL,10,m,1989,1989,5,O,147900,.,.,.,1
CHL,10,f,1990,1990,5,O,142144,.,.,.,1
CHL,10,m,1990,1990,5,O,150002,.,.,.,1
CHL,10,f,1991,1991,5,O,138833,.,.,.,1
CHL,10,m,1991,1991,5,O,145650,.,.,.,1
CHL,10,f,1992,1992,5,O,136375,.,.,.,1
CHL,10,m,1992,1992,5,O,142723,.,.,.,1
CHL,10,f,1993,1993,5,O,134612,.,.,.,1
CHL,10,m,1993,1993,5,O,141304,.,.,.,1
CHL,10,f,1994,1994,5,O,134020,.,.,.,1
CHL,10,m,1994,1994,5,O,139746,.,.,.,1
