Chile, Life expectancy at birth (period, 1x1)	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1992        77.48    71.46    74.50
  1993        77.66    71.42    74.56
  1994        78.19    71.82    75.03
  1995        78.24    71.64    74.95
  1996        78.61    71.87    75.24
  1997        79.08    72.54    75.83
  1998        79.05    72.77    75.94
  1999        79.18    73.03    76.13
  2000        79.93    73.71    76.86
  2001        79.83    73.58    76.73
  2002        80.39    74.07    77.26
  2003        80.40    74.20    77.33
  2004        80.40    74.29    77.38
  2005        80.74    74.72    77.77
  2006        81.07    75.17    78.17
  2007        80.56    74.63    77.63
  2008        81.19    75.20    78.24
  2009        81.39    75.36    78.42
  2010        81.03    75.27    78.19
  2011        81.54    75.97    78.82
  2012        81.42    76.11    78.82
  2013        81.74    76.19    79.01
  2014        81.79    76.33    79.11
  2015        81.97    76.55    79.31
  2016        82.12    76.90    79.57
  2017        82.24    77.10    79.73
