Chile, Exposure to risk (period 1x10), 	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1999        0           1037184.44      1084268.77      2121453.22
1992-1999        1           1045230.98      1091484.00      2136714.98
1992-1999        2           1059205.56      1105167.51      2164373.07
1992-1999        3           1078071.60      1123898.46      2201970.07
1992-1999        4           1099317.56      1146009.38      2245326.95
1992-1999        5           1106533.37      1153347.02      2259880.39
1992-1999        6           1098928.56      1143758.47      2242687.02
1992-1999        7           1086190.62      1128812.67      2215003.29
1992-1999        8           1067951.03      1108692.49      2176643.52
1992-1999        9           1050139.90      1088474.50      2138614.41
1992-1999       10           1035906.56      1072428.16      2108334.72
1992-1999       11           1016507.17      1052023.07      2068530.24
1992-1999       12            997218.13      1031153.52      2028371.65
1992-1999       13            979544.17      1012057.74      1991601.91
1992-1999       14            967271.11       999265.61      1966536.71
1992-1999       15            959544.52       989536.27      1949080.80
1992-1999       16            954712.48       981443.65      1936156.14
1992-1999       17            953946.28       978750.79      1932697.07
1992-1999       18            950467.23       974547.86      1925015.09
1992-1999       19            951281.45       971211.68      1922493.13
1992-1999       20            954394.05       966485.15      1920879.20
1992-1999       21            957406.91       963192.41      1920599.32
1992-1999       22            962335.35       963420.91      1925756.26
1992-1999       23            971038.20       967456.63      1938494.83
1992-1999       24            978669.25       970682.43      1949351.69
1992-1999       25            980117.82       966898.95      1947016.77
1992-1999       26            980156.32       960536.41      1940692.72
1992-1999       27            983794.57       959266.29      1943060.85
1992-1999       28            983523.93       956421.52      1939945.45
1992-1999       29            988556.95       958631.95      1947188.90
1992-1999       30            993392.78       960134.77      1953527.55
1992-1999       31            991228.87       955141.01      1946369.88
1992-1999       32            986334.73       947686.09      1934020.83
1992-1999       33            978830.58       940124.00      1918954.58
1992-1999       34            961430.02       924471.99      1885902.01
1992-1999       35            937200.31       900779.65      1837979.96
1992-1999       36            911547.80       873832.74      1785380.54
1992-1999       37            881190.39       841454.94      1722645.32
1992-1999       38            850503.88       810971.62      1661475.49
1992-1999       39            819168.82       780712.23      1599881.05
1992-1999       40            781900.06       743413.67      1525313.74
1992-1999       41            743064.43       705844.66      1448909.09
1992-1999       42            719624.42       684011.23      1403635.64
1992-1999       43            697663.96       662901.69      1360565.65
1992-1999       44            669543.52       635842.34      1305385.86
1992-1999       45            641142.84       607794.12      1248936.96
1992-1999       46            617058.93       584201.92      1201260.85
1992-1999       47            597310.43       565583.13      1162893.56
1992-1999       48            580195.24       550269.05      1130464.29
1992-1999       49            562659.21       532974.10      1095633.31
1992-1999       50            540910.57       509359.58      1050270.15
1992-1999       51            518748.05       487240.93      1005988.98
1992-1999       52            503175.55       472843.15       976018.70
1992-1999       53            489424.45       458759.82       948184.27
1992-1999       54            471800.11       438675.87       910475.98
1992-1999       55            454065.11       417428.27       871493.38
1992-1999       56            436593.00       398002.16       834595.16
1992-1999       57            419914.13       381118.80       801032.93
1992-1999       58            403945.82       366212.21       770158.03
1992-1999       59            391961.34       352963.77       744925.11
1992-1999       60            382277.67       338760.32       721037.99
1992-1999       61            372671.33       326957.95       699629.28
1992-1999       62            366671.57       320195.33       686866.91
1992-1999       63            359744.41       311913.66       671658.06
1992-1999       64            351095.37       302495.44       653590.81
1992-1999       65            344176.05       294373.23       638549.28
1992-1999       66            334392.11       283570.28       617962.38
1992-1999       67            321517.16       270700.31       592217.47
1992-1999       68            305382.66       255307.32       560689.98
1992-1999       69            286976.37       236908.76       523885.13
1992-1999       70            267039.44       216661.11       483700.55
1992-1999       71            246336.12       197319.23       443655.35
1992-1999       72            228890.19       181091.59       409981.78
1992-1999       73            213864.32       165931.17       379795.49
1992-1999       74            200493.46       152141.52       352634.98
1992-1999       75            189546.87       140191.85       329738.72
1992-1999       76            178918.19       128795.41       307713.60
1992-1999       77            168278.18       118358.47       286636.65
1992-1999       78            157705.78       108508.63       266214.41
1992-1999       79            147218.92        98530.26       245749.18
1992-1999       80            141915.17        88059.40       229974.57
1992-1999       81            130760.79        78788.43       209549.22
1992-1999       82            118837.12        69493.35       188330.47
1992-1999       83            106436.74        60158.91       166595.64
1992-1999       84             94109.30        51465.92       145575.21
1992-1999       85             82001.97        43329.89       125331.86
