Chile,  Exposures (Lexis triangle)	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1992    0      1992    68167.90    71248.05   139415.95
 1992    0      1991    68371.62    71556.58   139928.21
 1992    1      1991    68654.66    71822.14   140476.80
 1992    1      1990    67190.50    70241.28   137431.79
 1992    2      1990    67340.50    70381.32   137721.82
 1992    2      1989    71140.50    74132.06   145272.56
 1992    3      1989    70370.97    73314.35   143685.32
 1992    3      1988    73832.68    77006.41   150839.09
 1992    4      1988    71776.99    74853.34   146630.33
 1992    4      1987    74758.92    78272.42   153031.34
 1992    5      1987    72712.10    76128.03   148840.13
 1992    5      1986    64396.53    66684.35   131080.88
 1992    6      1986    62939.81    65176.06   128115.87
 1992    6      1985    61766.33    63620.85   125387.18
 1992    7      1985    60325.30    62135.07   122460.37
 1992    7      1984    60973.36    63129.40   124102.76
 1992    8      1984    58715.18    60787.25   119502.44
 1992    8      1983    59988.57    61844.49   121833.06
 1992    9      1983    59860.74    61709.42   121570.16
 1992    9      1982    62053.37    63748.31   125801.68
 1992   10      1982    63473.93    65203.79   128677.72
 1992   10      1981    65073.19    67156.32   132229.51
 1992   11      1981    63111.12    65125.04   128236.17
 1992   11      1980    60198.06    62625.16   122823.22
 1992   12      1980    60721.58    63163.87   123885.45
 1992   12      1979    59468.30    61041.87   120510.17
 1992   13      1979    59306.45    60870.41   120176.86
 1992   13      1978    58037.50    59324.45   117361.94
 1992   14      1978    57612.34    58882.30   116494.64
 1992   14      1977    58128.72    60257.87   118386.59
 1992   15      1977    57934.27    60048.66   117982.94
 1992   15      1976    56366.15    57939.40   114305.54
 1992   16      1976    57106.96    58690.30   115797.25
 1992   16      1975    58503.99    60181.71   118685.70
 1992   17      1975    59968.51    61671.69   121640.20
 1992   17      1974    62541.33    64625.51   127166.85
 1992   18      1974    61563.32    63591.72   125155.04
 1992   18      1973    63138.93    64862.03   128000.97
 1992   19      1973    62344.96    64016.24   126361.21
 1992   19      1972    61082.51    60598.75   121681.27
 1992   20      1972    61074.46    60554.77   121629.23
 1992   20      1971    62368.18    61263.90   123632.08
 1992   21      1971    59220.53    58129.60   117350.13
 1992   21      1970    61244.78    60933.64   122178.42
 1992   22      1970    58862.24    58519.61   117381.85
 1992   22      1969    60222.51    59763.89   119986.40
 1992   23      1969    60410.35    59908.14   120318.49
 1992   23      1968    61135.12    59761.73   120896.85
 1992   24      1968    61757.25    60324.62   122081.87
 1992   24      1967    61964.04    60218.22   122182.26
 1992   25      1967    61945.30    60150.54   122095.84
 1992   25      1966    62839.63    60449.76   123289.39
 1992   26      1966    60830.80    58469.94   119300.74
 1992   26      1965    63682.24    61173.51   124855.75
 1992   27      1965    62086.12    59594.72   121680.84
 1992   27      1964    64951.73    62633.97   127585.70
 1992   28      1964    62006.47    59750.11   121756.58
