Chile, Death rates (period 5x10), 	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1992-1999        0             0.011070        0.013239        0.012179
1992-1999      1-4             0.000523        0.000648        0.000587
1992-1999      5-9             0.000215        0.000295        0.000256
1992-1999     10-14            0.000214        0.000332        0.000274
1992-1999     15-19            0.000344        0.000850        0.000600
1992-1999     20-24            0.000399        0.001486        0.000943
1992-1999     25-29            0.000464        0.001711        0.001080
1992-1999     30-34            0.000621        0.001928        0.001262
1992-1999     35-39            0.000961        0.002292        0.001612
1992-1999     40-44            0.001507        0.003190        0.002327
1992-1999     45-49            0.002518        0.004729        0.003593
1992-1999     50-54            0.004034        0.007263        0.005597
1992-1999     55-59            0.006151        0.011365        0.008635
1992-1999     60-64            0.009768        0.017831        0.013527
1992-1999     65-69            0.015655        0.027413        0.021030
1992-1999     70-74            0.026161        0.043752        0.033922
1992-1999     75-79            0.044083        0.068005        0.053984
1992-1999     80-84            0.071341        0.105758        0.084081
1992-1999     85-89            0.120324        0.162893        0.134406
1992-1999     90-94            0.193836        0.238820        0.206840
1992-1999     95-99            0.286862        0.332932        0.298082
1992-1999    100-104           0.390682        0.436449        0.400116
1992-1999    105-109           0.394354        0.338825        0.380230
1992-1999    110+              0.262904        0.194868        0.243301
2000-2009        0             0.007756        0.009340        0.008565
2000-2009      1-4             0.000360        0.000448        0.000405
2000-2009      5-9             0.000162        0.000220        0.000192
2000-2009     10-14            0.000179        0.000253        0.000217
2000-2009     15-19            0.000295        0.000743        0.000523
2000-2009     20-24            0.000349        0.001233        0.000795
2000-2009     25-29            0.000416        0.001396        0.000905
2000-2009     30-34            0.000538        0.001631        0.001079
2000-2009     35-39            0.000775        0.001984        0.001368
2000-2009     40-44            0.001202        0.002663        0.001915
2000-2009     45-49            0.001961        0.003843        0.002877
2000-2009     50-54            0.003154        0.005796        0.004436
2000-2009     55-59            0.005054        0.009151        0.007029
2000-2009     60-64            0.008162        0.014557        0.011190
2000-2009     65-69            0.012867        0.022670        0.017390
2000-2009     70-74            0.020953        0.036233        0.027746
2000-2009     75-79            0.036021        0.057000        0.044880
2000-2009     80-84            0.062312        0.092091        0.073714
2000-2009     85-89            0.104465        0.144538        0.117685
2000-2009     90-94            0.173616        0.223037        0.187287
2000-2009     95-99            0.270211        0.327891        0.283495
2000-2009    100-104           0.403321        0.447919        0.411947
2000-2009    105-109           0.448690        0.394402        0.438771
2000-2009    110+              0.461272        0.300623        0.411605
2010-2017        0             0.006681        0.007797        0.007250
2010-2017      1-4             0.000267        0.000297        0.000282
2010-2017      5-9             0.000131        0.000156        0.000144
2010-2017     10-14            0.000157        0.000197        0.000178
2010-2017     15-19            0.000278        0.000653        0.000469
2010-2017     20-24            0.000326        0.000987        0.000660
2010-2017     25-29            0.000372        0.001142        0.000759
2010-2017     30-34            0.000500        0.001337        0.000917
2010-2017     35-39            0.000716        0.001704        0.001203
2010-2017     40-44            0.001118        0.002373        0.001731
2010-2017     45-49            0.001728        0.003406        0.002541
2010-2017     50-54            0.002681        0.005090        0.003841
2010-2017     55-59            0.004251        0.007728        0.005913
2010-2017     60-64            0.006817        0.012061        0.009299
2010-2017     65-69            0.011091        0.019377        0.014940
2010-2017     70-74            0.017943        0.030026        0.023367
2010-2017     75-79            0.030047        0.048440        0.037871
2010-2017     80-84            0.055505        0.081884        0.065923
2010-2017     85-89            0.109081        0.143256        0.121233
2010-2017     90-94            0.182665        0.219712        0.193796
2010-2017     95-99            0.278356        0.333538        0.291073
2010-2017    100-104           0.398922        0.453732        0.408527
2010-2017    105-109           0.504128        0.502626        0.503888
2010-2017    110+              0.409536        0.555850        0.433002
