Chile, Population size (1-year)	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1992           0            137242.61       143654.87       280897.48
  1992         1-4            569266.75       594547.77      1163814.52
  1992         5-9            614563.99       634130.11      1248694.10
  1992        10-14           599657.35       618611.84      1218269.19
  1992        15-19           603810.95       617021.79      1220832.74
  1992        20-24           609271.95       599439.68      1208711.63
  1992        25-29           625592.41       603077.14      1228669.55
  1992        30-34           569605.71       547918.11      1117523.82
  1992        35-39           472968.35       447646.70       920615.05
  1992        40-44           389782.65       369223.25       759005.90
  1992        45-49           331922.72       313252.47       645175.19
  1992        50-54           279748.77       258825.98       538574.75
  1992        55-59           232743.28       209122.86       441866.14
  1992        60-64           228552.65       198181.64       426734.29
  1992        65-69           163785.79       138206.43       301992.22
  1992        70-74           127950.56        99424.96       227375.52
  1992        75-79            96666.37        68169.49       164835.86
  1992        80-84            63105.15        38362.40       101467.55
  1992        85-89            30414.52        14938.56        45353.08
  1992        90-94            10007.94         4026.06        14034.00
  1992        95-99             2026.84          619.04         2645.88
  1992       100-104             264.93           79.43          344.36
  1992       105-109              26.98            8.68           35.66
  1992       110+                  5.00            1.00            6.00
  1993           0            135971.72       142020.78       277992.50
  1993         1-4            558416.80       582933.33      1141350.13
  1993         5-9            636359.29       659390.76      1295750.05
  1993        10-14           608992.54       627030.40      1236022.94
  1993        15-19           597484.06       615630.63      1213114.69
  1993        20-24           607233.89       599289.77      1206523.66
  1993        25-29           624483.33       602599.05      1227082.38
  1993        30-34           590662.65       567482.12      1158144.77
  1993        35-39           489997.13       464007.78       954004.91
  1993        40-44           405374.51       385153.88       790528.39
  1993        45-49           338519.99       318463.48       656983.47
  1993        50-54           289936.63       269790.99       559727.62
  1993        55-59           235597.79       212033.78       447631.57
  1993        60-64           230056.27       196958.50       427014.77
  1993        65-69           175940.84       149306.59       325247.43
  1993        70-74           128737.00       100295.99       229032.99
  1993        75-79            98765.97        69290.51       168056.48
  1993        80-84            66331.46        39661.30       105992.76
  1993        85-89            32001.48        15864.57        47866.05
  1993        90-94            10704.01         4432.42        15136.43
  1993        95-99             2160.37          658.32         2818.69
  1993       100-104             280.64           74.08          354.72
  1993       105-109              24.97           12.34           37.31
  1993       110+                  3.00            1.00            4.00
  1994           0            133162.33       139441.04       272603.37
  1994         1-4            549730.33       573694.93      1123425.26
  1994         5-9            660961.34       686472.65      1347433.99
  1994        10-14           612929.39       631952.95      1244882.34
  1994        15-19           587334.10       602673.47      1190007.57
  1994        20-24           609792.57       607367.22      1217159.79
  1994        25-29           622801.76       601629.55      1224431.31
  1994        30-34           606414.51       582264.54      1188679.05
  1994        35-39           506498.38       482778.50       989276.88
  1994        40-44           422119.89       401835.53       823955.42
  1994        45-49           346692.61       326366.54       673059.15
  1994        50-54           301492.42       282012.55       583504.97
  1994        55-59           241551.93       217377.61       458929.54
  1994        60-64           228447.25       197128.69       425575.94
  1994        65-69           186956.75       158301.98       345258.73
  1994        70-74           131453.62       102711.48       234165.10
  1994        75-79            99743.75        69686.61       169430.36
  1994        80-84            69728.95        41231.46       110960.41
  1994        85-89            33556.34        16660.41        50216.75
  1994        90-94            11445.48         4754.01        16199.49
  1994        95-99             2306.78          700.95         3007.73
  1994       100-104             292.92           80.71          373.63
  1994       105-109              32.72           10.89           43.61
  1994       110+                  4.00            1.45            5.45
  1995           0            132577.96       138010.56       270588.52
  1995         1-4            542060.55       566055.00      1108115.55
  1995         5-9            681764.78       708298.70      1390063.48
  1995        10-14           613816.35       634186.91      1248003.26
  1995        15-19           581568.21       594859.56      1176427.77
  1995        20-24           612907.68       614354.54      1227262.22
  1995        25-29           616104.95       598394.25      1214499.20
  1995        30-34           614675.83       591188.70      1205864.53
  1995        35-39           530792.82       507005.52      1037798.34
  1995        40-44           430625.06       409213.18       839838.24
  1995        45-49           363876.56       343577.21       707453.77
  1995        50-54           307252.00       287483.42       594735.42
  1995        55-59           255347.78       231171.35       486519.13
  1995        60-64           221909.69       193146.86       415056.55
  1995        65-69           200687.11       169042.16       369729.27
  1995        70-74           133424.67       105269.76       238694.43
  1995        75-79           104393.68        72777.05       177170.73
  1995        80-84            72825.97        42990.14       115816.11
  1995        85-89            35388.71        17636.05        53024.76
  1995        90-94            12260.12         5037.54        17297.66
  1995        95-99             2559.91          832.30         3392.21
  1995       100-104             313.09           86.95          400.04
  1995       105-109              35.79           11.11           46.90
  1995       110+                  3.46            2.00            5.46
  1996           0            128693.95       134359.32       263053.27
  1996         1-4            538177.67       561142.25      1099319.92
  1996         5-9            695464.06       723500.40      1418964.46
  1996        10-14           615275.44       635377.23      1250652.67
  1996        15-19           582915.57       597499.99      1180415.56
  1996        20-24           612257.00       615478.09      1227735.09
  1996        25-29           608620.70       594855.75      1203476.45
  1996        30-34           626797.86       602174.38      1228972.24
  1996        35-39           547809.00       525277.14      1073086.14
  1996        40-44           449268.08       424717.42       873985.50
  1996        45-49           373108.97       353744.52       726853.49
  1996        50-54           318112.50       297546.13       615658.63
  1996        55-59           263481.26       240325.69       503806.95
  1996        60-64           222128.32       193433.91       415562.23
  1996        65-69           207559.09       175859.41       383418.50
  1996        70-74           139038.56       109315.85       248354.41
  1996        75-79           105104.42        74132.80       179237.22
  1996        80-84            75110.98        43736.29       118847.27
  1996        85-89            37475.76        18765.50        56241.26
  1996        90-94            13076.34         5271.95        18348.29
  1996        95-99             2901.65          952.57         3854.22
  1996       100-104             347.58          100.95          448.53
  1996       105-109              38.41           14.56           52.97
  1996       110+                  3.46            1.00            4.46
  1997           0            127588.57       133761.67       261350.24
  1997         1-4            528733.93       550880.72      1079614.65
  1997         5-9            702251.22       731882.74      1434133.96
  1997        10-14           618836.01       640035.02      1258871.03
  1997        15-19           595893.64       611061.92      1206955.56
  1997        20-24           603728.62       608624.53      1212353.15
  1997        25-29           606831.30       595593.05      1202424.35
  1997        30-34           628079.49       604458.00      1232537.49
  1997        35-39           569863.83       546452.47      1116316.30
  1997        40-44           466801.91       442893.79       909695.70
  1997        45-49           387257.94       367202.91       754460.85
  1997        50-54           323096.12       303729.32       626825.44
  1997        55-59           272433.04       248484.42       520917.46
  1997        60-64           223990.60       196706.96       420697.56
  1997        65-69           212750.68       177795.93       390546.61
  1997        70-74           146420.76       116507.26       262928.02
  1997        75-79           107620.24        75747.90       183368.14
  1997        80-84            77335.28        45007.71       122342.99
  1997        85-89            39193.12        19788.51        58981.63
  1997        90-94            14131.49         5694.74        19826.23
  1997        95-99             3180.78         1055.74         4236.52
  1997       100-104             410.70          105.71          516.41
  1997       105-109              40.17           15.89           56.06
  1997       110+                  5.83            2.45            8.28
  1998           0            125176.21       131564.18       256740.39
  1998         1-4            519132.06       541453.27      1060585.33
  1998         5-9            696209.28       724806.36      1421015.64
  1998        10-14           635888.54       660544.52      1296433.06
  1998        15-19           606340.92       621056.56      1227397.48
  1998        20-24           594741.40       601287.96      1196029.36
  1998        25-29           607244.66       597985.67      1205230.33
  1998        30-34           625835.62       603030.79      1228866.41
  1998        35-39           594470.73       570213.16      1164683.89
  1998        40-44           481069.64       457672.81       938742.45
  1998        45-49           401622.64       382151.28       783773.92
  1998        50-54           329956.12       310977.42       640933.54
  1998        55-59           281415.38       257152.25       538567.63
  1998        60-64           229646.57       202737.99       432384.56
  1998        65-69           213223.69       177611.97       390835.66
  1998        70-74           156862.67       125339.97       282202.64
  1998        75-79           108897.29        77234.01       186131.30
  1998        80-84            79072.60        45987.07       125059.67
  1998        85-89            41654.46        20467.16        62121.62
  1998        90-94            14796.44         6035.52        20831.96
  1998        95-99             3362.85         1095.61         4458.46
  1998       100-104             421.09          103.84          524.93
  1998       105-109              42.66           14.23           56.89
  1998       110+                  5.46            2.00            7.46
  1999           0            124081.28       129023.86       253105.14
  1999         1-4            509830.78       531692.39      1041523.17
  1999         5-9            688775.89       717115.56      1405891.45
  1999        10-14           655299.15       680628.06      1335927.21
  1999        15-19           611463.26       629148.25      1240611.51
  1999        20-24           585700.25       590001.03      1175701.28
  1999        25-29           609633.80       603547.80      1213181.60
  1999        30-34           621471.74       599759.68      1221231.42
  1999        35-39           612077.02       588806.15      1200883.17
  1999        40-44           498611.26       474962.21       973573.47
  1999        45-49           416742.15       397753.63       814495.78
  1999        50-54           339331.81       320146.35       659478.16
  1999        55-59           291874.84       268000.00       559874.84
  1999        60-64           237022.91       209949.55       446972.46
  1999        65-69           210786.81       176849.26       387636.07
  1999        70-74           166672.60       132591.33       299263.93
  1999        75-79           111981.67        80162.10       192143.77
  1999        80-84            79989.85        46688.80       126678.65
  1999        85-89            44032.32        21298.36        65330.68
  1999        90-94            15499.82         6232.32        21732.14
  1999        95-99             3546.76         1177.60         4724.36
  1999       100-104             421.73           96.45          518.18
  1999       105-109              42.85           12.89           55.74
  1999       110+                  6.46            3.00            9.46
  2000           0            120064.33       125288.92       245353.25
  2000         1-4            499354.47       519861.37      1019215.84
  2000         5-9            678724.43       706379.99      1385104.42
  2000        10-14           676551.15       701330.79      1377881.94
  2000        15-19           612947.11       633059.13      1246006.24
  2000        20-24           579532.17       584065.18      1163597.35
  2000        25-29           611882.98       608053.06      1219936.04
  2000        30-34           614327.21       596170.61      1210497.82
  2000        35-39           617982.84       593996.28      1211979.12
  2000        40-44           526990.92       502948.37      1029939.29
  2000        45-49           425349.64       405391.48       830741.12
