Chile, Life tables (period 5x5), Females	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1992-1994        0      0.01269  0.01255  0.12  100000    1255   98899  7778117  77.78
1992-1994      1-4      0.00056  0.00223  1.45   98745     221  394415  7679218  77.77
1992-1994      5-9      0.00023  0.00115  2.32   98524     114  492315  7284803  73.94
1992-1994     10-14     0.00022  0.00110  2.61   98410     109  491792  6792487  69.02
1992-1994     15-19     0.00037  0.00184  2.46   98302     181  491049  6300696  64.10
1992-1994     20-24     0.00042  0.00210  2.50   98120     206  490087  5809647  59.21
1992-1994     25-29     0.00049  0.00246  2.57   97915     241  488987  5319560  54.33
1992-1994     30-34     0.00062  0.00310  2.60   97674     303  487642  4830573  49.46
1992-1994     35-39     0.00106  0.00530  2.71   97371     516  485670  4342931  44.60
1992-1994     40-44     0.00165  0.00820  2.70   96855     794  482446  3857262  39.83
1992-1994     45-49     0.00277  0.01378  2.65   96061    1323  477189  3374815  35.13
1992-1994     50-54     0.00427  0.02113  2.65   94738    2002  468985  2897626  30.59
1992-1994     55-59     0.00655  0.03225  2.67   92736    2991  456725  2428641  26.19
1992-1994     60-64     0.01033  0.05047  2.70   89745    4529  438303  1971916  21.97
1992-1994     65-69     0.01687  0.08122  2.70   85216    6921  410170  1533613  18.00
1992-1994     70-74     0.02801  0.13129  2.62   78295   10279  367015  1123443  14.35
1992-1994     75-79     0.04739  0.21298  2.63   68016   14486  305683   756428  11.12
1992-1994     80-84     0.07472  0.31583  2.55   53530   16907  226263   450746   8.42
1992-1994     85-89     0.12428  0.47225  2.46   36623   17295  139164   224483   6.13
1992-1994     90-94     0.19558  0.63583  2.25   19328   12290   62835    85319   4.41
1992-1994     95-99     0.29218  0.78601  2.06    7039    5532   18935    22484   3.19
1992-1994    100-104    0.41278  0.89020  1.81    1506    1341    3248     3549   2.36
1992-1994    105-109    0.54511  0.94752  1.56     165     157     287      301   1.82
1992-1994    110+       0.65263  1.00000  1.53       9       9      13       13   1.53
1995-1999        0      0.01004  0.00995  0.13  100000     995   99133  7884089  78.84
1995-1999      1-4      0.00051  0.00202  1.65   99005     200  395549  7784956  78.63
1995-1999      5-9      0.00020  0.00102  2.39   98805     101  493760  7389407  74.79
1995-1999     10-14     0.00021  0.00105  2.58   98704     104  493266  6895647  69.86
1995-1999     15-19     0.00033  0.00165  2.67   98600     163  492618  6402381  64.93
1995-1999     20-24     0.00039  0.00193  2.50   98437     190  491709  5909763  60.04
1995-1999     25-29     0.00045  0.00223  2.66   98247     219  490721  5418054  55.15
1995-1999     30-34     0.00062  0.00310  2.68   98028     304  489432  4927334  50.26
1995-1999     35-39     0.00092  0.00458  2.68   97723     448  487576  4437901  45.41
1995-1999     40-44     0.00145  0.00724  2.70   97276     704  484759  3950325  40.61
1995-1999     45-49     0.00241  0.01197  2.72   96572    1156  480220  3465566  35.89
1995-1999     50-54     0.00394  0.01952  2.68   95415    1863  472757  2985346  31.29
1995-1999     55-59     0.00600  0.02956  2.66   93552    2766  461284  2512590  26.86
1995-1999     60-64     0.00946  0.04631  2.69   90787    4204  444234  2051305  22.59
1995-1999     65-69     0.01519  0.07334  2.64   86583    6350  417955  1607071  18.56
1995-1999     70-74     0.02560  0.12079  2.67   80233    9691  378576  1189116  14.82
1995-1999     75-79     0.04253  0.19314  2.62   70542   13624  320307   810540  11.49
1995-1999     80-84     0.07024  0.29995  2.57   56917   17072  243057   490233   8.61
1995-1999     85-89     0.12040  0.46158  2.47   39845   18392  152751   247176   6.20
1995-1999     90-94     0.19583  0.63939  2.29   21453   13717   70048    94425   4.40
1995-1999     95-99     0.29621  0.79153  2.06    7736    6123   20673    24378   3.15
1995-1999    100-104    0.42401  0.89753  1.79    1613    1448    3414     3705   2.30
1995-1999    105-109    0.56331  0.95299  1.53     165     157     280      291   1.76
1995-1999    110+       0.67526  1.00000  1.48       8       8      12       12   1.48
2000-2004        0      0.00810  0.00804  0.13  100000     804   99302  8019552  80.20
2000-2004      1-4      0.00041  0.00163  1.60   99196     162  396394  7920250  79.84
2000-2004      5-9      0.00017  0.00087  2.34   99034      86  494939  7523856  75.97
2000-2004     10-14     0.00018  0.00092  2.67   98947      91  494526  7028917  71.04
2000-2004     15-19     0.00028  0.00141  2.60   98857     139  493950  6534391  66.10
2000-2004     20-24     0.00036  0.00179  2.58   98718     177  493162  6040441  61.19
