Chile, Life tables (period 1x10), Males	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1992-1999        0      0.01324  0.01309  0.12  100000    1309   98852  7208634  72.09
1992-1999        1      0.00103  0.00103  0.50   98691     102   98640  7109782  72.04
1992-1999        2      0.00070  0.00070  0.50   98589      69   98555  7011142  71.11
1992-1999        3      0.00051  0.00051  0.50   98520      51   98495  6912587  70.16
1992-1999        4      0.00036  0.00036  0.50   98469      35   98452  6814092  69.20
1992-1999        5      0.00034  0.00034  0.50   98434      33   98417  6715641  68.22
1992-1999        6      0.00029  0.00029  0.50   98401      28   98387  6617223  67.25
1992-1999        7      0.00030  0.00030  0.50   98372      29   98358  6518837  66.27
1992-1999        8      0.00028  0.00028  0.50   98343      28   98329  6420479  65.29
1992-1999        9      0.00027  0.00027  0.50   98315      26   98302  6322150  64.30
1992-1999       10      0.00028  0.00028  0.50   98289      27   98275  6223848  63.32
1992-1999       11      0.00029  0.00029  0.50   98262      29   98247  6125572  62.34
1992-1999       12      0.00028  0.00028  0.50   98233      27   98219  6027325  61.36
1992-1999       13      0.00034  0.00034  0.50   98206      34   98189  5929106  60.37
1992-1999       14      0.00047  0.00047  0.50   98172      47   98149  5830917  59.39
1992-1999       15      0.00054  0.00054  0.50   98125      53   98099  5732768  58.42
1992-1999       16      0.00069  0.00069  0.50   98072      68   98038  5634670  57.45
1992-1999       17      0.00088  0.00088  0.50   98004      86   97961  5536631  56.49
1992-1999       18      0.00098  0.00098  0.50   97918      96   97870  5438670  55.54
1992-1999       19      0.00116  0.00116  0.50   97822     113   97765  5340800  54.60
1992-1999       20      0.00135  0.00135  0.50   97709     132   97643  5243035  53.66
1992-1999       21      0.00140  0.00140  0.50   97577     136   97509  5145392  52.73
1992-1999       22      0.00153  0.00153  0.50   97441     149   97366  5047883  51.80
1992-1999       23      0.00158  0.00158  0.50   97292     154   97215  4950517  50.88
1992-1999       24      0.00156  0.00156  0.50   97138     152   97062  4853302  49.96
1992-1999       25      0.00162  0.00162  0.50   96986     157   96907  4756240  49.04
1992-1999       26      0.00172  0.00172  0.50   96828     166   96745  4659333  48.12
1992-1999       27      0.00171  0.00171  0.50   96662     166   96579  4562588  47.20
1992-1999       28      0.00176  0.00176  0.50   96497     170   96412  4466009  46.28
1992-1999       29      0.00174  0.00174  0.50   96327     168   96243  4369597  45.36
1992-1999       30      0.00187  0.00186  0.50   96159     179   96070  4273354  44.44
1992-1999       31      0.00183  0.00183  0.50   95980     175   95892  4177284  43.52
1992-1999       32      0.00196  0.00196  0.50   95805     187   95711  4081392  42.60
1992-1999       33      0.00197  0.00197  0.50   95617     188   95523  3985681  41.68
1992-1999       34      0.00202  0.00202  0.50   95429     193   95333  3890158  40.77
