PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
CZE,1,m,1947,1947,1,O,106656,1,.,.,1
CZE,1,m,1948,1948,2,O,102425,1,.,.,1
CZE,1,m,1949,1949,3,O,95638,1,.,.,1
CZE,1,m,1950,1950,4,O,97490,1,.,.,1
CZE,1,m,1951,1951,5,O,95778,1,.,.,1
CZE,1,m,1952,1952,6,O,93047,1,.,.,1
CZE,1,m,1953,1953,7,O,88949,2,.,.,1
CZE,1,m,1954,1954,8,O,86615,2,.,.,1
CZE,1,m,1955,1955,9,O,85580,2,.,.,1
CZE,1,m,1956,1956,10,O,83370,2,.,.,1
CZE,1,m,1957,1957,11,O,80212,2,.,.,1
CZE,1,m,1958,1958,12,O,72802,2,.,.,1
CZE,1,m,1959,1959,13,O,66472,2,.,.,1
CZE,1,m,1960,1960,14,O,66461,2,.,.,1
CZE,1,m,1961,1961,15,O,67358,2,.,.,1
CZE,1,m,1962,1962,16,O,68545,2,.,.,1
CZE,1,m,1963,1963,17,O,76395,2,.,.,1
CZE,1,m,1964,1964,18,O,79620,2,.,.,1
CZE,1,m,1965,1965,19,O,75942,3,.,.,1
CZE,1,m,1966,1966,20,O,72567,3,.,.,1
CZE,1,m,1967,1967,21,O,71266,3,.,.,1
CZE,1,m,1968,1968,22,O,70530,3,.,.,1
CZE,1,m,1969,1969,23,O,73818,3,.,.,1
CZE,1,m,1970,1970,24,O,75694,3,.,.,1
CZE,1,m,1971,1971,25,O,79107,3,.,.,1
CZE,1,m,1972,1972,26,O,84150,3,.,.,1
CZE,1,m,1973,1973,27,O,93925,3,.,.,1
CZE,1,m,1974,1974,28,O,99828,3,.,.,1
CZE,1,m,1975,1975,29,O,98037,3,.,.,1
CZE,1,m,1976,1976,30,O,96076,3,.,.,1
CZE,1,m,1977,1977,31,O,93228,3,.,.,1
CZE,1,m,1978,1978,32,O,91848,3,.,.,1
CZE,1,m,1979,1979,33,O,88442,3,.,.,1
CZE,1,m,1980,1980,34,O,79409,3,.,.,1
CZE,1,m,1981,1981,35,O,74063,3,.,.,1
CZE,1,m,1982,1982,36,O,72579,3,.,.,1
CZE,1,m,1983,1983,37,O,70719,3,.,.,1
CZE,1,m,1984,1984,38,O,70253,3,.,.,1
CZE,1,m,1985,1985,39,O,69662,3,.,.,1
CZE,1,m,1986,1986,40,O,68539,3,.,.,1
CZE,1,m,1987,1987,41,O,67305,3,.,.,1
CZE,1,m,1988,1988,42,O,67830,4,.,.,1
CZE,1,m,1989,1989,43,O,65669,4,.,.,1
CZE,1,m,1990,1990,44,O,66970,4,.,.,1
CZE,1,m,1991,1991,45,O,66644,4,.,.,1
CZE,1,m,1992,1992,46,O,62701,4,.,.,1
CZE,1,m,1993,1993,47,O,62115,4,.,.,1
CZE,1,m,1994,1994,48,O,54704,4,.,.,1
CZE,1,m,1995,1995,49,O,49405,4,.,.,1
CZE,1,m,1996,1996,50,O,46435,4,.,.,1
CZE,1,m,1997,1997,51,O,46570,4,.,.,1
CZE,1,m,1998,1998,52,O,46581,4,.,.,1
CZE,1,m,1999,1999,53,O,45829,4,.,.,1
CZE,1,m,2000,2000,54,O,47064,4,.,.,1
CZE,1,m,2001,2001,55,O,46616,4,.,.,1
CZE,1,m,2002,2002,63,O,47712,4,.,.,1
CZE,1,m,2003,2003,63,O,48131,4,.,.,1
CZE,1,m,2004,2004,65,O,50262,4,.,.,1
CZE,1,m,2005,2005,68,O,52453,4,.,.,1
CZE,1,m,2006,2006,68,O,54612,4,.,.,1
CZE,1,m,2007,2007,72,O,58475,4,.,.,1
CZE,1,m,2008,2008,73,O,61326,4,.,.,1
CZE,1,f,1947,1947,1,O,100089,1,.,.,1
CZE,1,f,1948,1948,2,O,95412,1,.,.,1
CZE,1,f,1949,1949,3,O,89846,1,.,.,1
CZE,1,f,1950,1950,4,O,90851,1,.,.,1
CZE,1,f,1951,1951,5,O,89792,1,.,.,1
CZE,1,f,1952,1952,6,O,87096,1,.,.,1
CZE,1,f,1953,1953,7,O,83598,2,.,.,1
CZE,1,f,1954,1954,8,O,81787,2,.,.,1
CZE,1,f,1955,1955,9,O,80294,2,.,.,1
CZE,1,f,1956,1956,10,O,79139,2,.,.,1
