PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
CZE,1,1919,1919,1,1,12342,O,.,.,.,90,1
CZE,1,1919,1919,2,1,11669,O,.,.,.,90,1
CZE,1,1919,1919,3,1,11692,O,.,.,.,90,1
CZE,1,1919,1919,4,1,10933,O,.,.,.,90,1
CZE,1,1919,1919,5,1,11576,O,.,.,.,90,1
CZE,1,1919,1919,6,1,10959,O,.,.,.,90,1
CZE,1,1919,1919,7,1,12905,O,.,.,.,90,1
CZE,1,1919,1919,8,1,21002,O,.,.,.,90,1
CZE,1,1919,1919,9,1,22103,O,.,.,.,90,1
CZE,1,1919,1919,10,1,22770,O,.,.,.,90,1
CZE,1,1919,1919,11,1,21702,O,.,.,.,90,1
CZE,1,1919,1919,12,1,20022,O,.,.,.,90,1
CZE,1,1919,1919,TOT,1,189675,O,.,.,.,90,1
CZE,1,1920,1920,1,1,21289,O,.,.,.,90,1
CZE,1,1920,1920,2,1,20239,O,.,.,.,90,1
CZE,1,1920,1920,3,1,21563,O,.,.,.,90,1
CZE,1,1920,1920,4,1,20416,O,.,.,.,90,1
CZE,1,1920,1920,5,1,22234,O,.,.,.,90,1
CZE,1,1920,1920,6,1,20196,O,.,.,.,90,1
CZE,1,1920,1920,7,1,22036,O,.,.,.,90,1
CZE,1,1920,1920,8,1,20558,O,.,.,.,90,1
CZE,1,1920,1920,9,1,19706,O,.,.,.,90,1
CZE,1,1920,1920,10,1,18971,O,.,.,.,90,1
CZE,1,1920,1920,11,1,18454,O,.,.,.,90,1
CZE,1,1920,1920,12,1,19006,O,.,.,.,90,1
CZE,1,1920,1920,TOT,1,244668,O,.,.,.,90,1
CZE,1,1921,1921,1,1,21739,O,.,.,.,90,1
CZE,1,1921,1921,2,1,20606,O,.,.,.,90,1
CZE,1,1921,1921,3,1,22331,O,.,.,.,90,1
CZE,1,1921,1921,4,1,21576,O,.,.,.,90,1
CZE,1,1921,1921,5,1,22902,O,.,.,.,90,1
CZE,1,1921,1921,6,1,21111,O,.,.,.,90,1
CZE,1,1921,1921,7,1,22618,O,.,.,.,90,1
CZE,1,1921,1921,8,1,20971,O,.,.,.,90,1
CZE,1,1921,1921,9,1,20587,O,.,.,.,90,1
CZE,1,1921,1921,10,1,21278,O,.,.,.,90,1
CZE,1,1921,1921,11,1,20539,O,.,.,.,90,1
CZE,1,1921,1921,12,1,21023,O,.,.,.,90,1
CZE,1,1921,1921,TOT,1,257281,O,.,.,.,90,1
CZE,1,1922,1922,1,1,22730,O,.,.,.,90,1
CZE,1,1922,1922,2,1,20745,O,.,.,.,90,1
CZE,1,1922,1922,3,1,22259,O,.,.,.,90,1
