PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
CZE,1,m,0,1,O,31,12,1947,1,O,100164,8,5,.,0
CZE,1,m,1,1,O,31,12,1947,1,O,92787,8,5,.,0
CZE,1,m,2,1,O,31,12,1947,1,O,77358,8,5,.,0
CZE,1,m,3,1,O,31,12,1947,1,O,79863,8,5,.,0
CZE,1,m,4,1,O,31,12,1947,1,O,80266,8,5,.,0
CZE,1,m,5,1,O,31,12,1947,1,O,70960,8,5,.,0
CZE,1,m,6,1,O,31,12,1947,1,O,67767,8,5,.,0
CZE,1,m,7,1,O,31,12,1947,1,O,67423,8,5,.,0
CZE,1,m,8,1,O,31,12,1947,1,O,58351,8,5,.,0
CZE,1,m,9,1,O,31,12,1947,1,O,56706,8,5,.,0
CZE,1,m,10,1,O,31,12,1947,1,O,54675,8,5,.,0
CZE,1,m,11,1,O,31,12,1947,1,O,54751,8,5,.,0
CZE,1,m,12,1,O,31,12,1947,1,O,55947,8,5,.,0
CZE,1,m,13,1,O,31,12,1947,1,O,58296,8,5,.,0
CZE,1,m,14,1,O,31,12,1947,1,O,60663,8,5,.,0
CZE,1,m,15,1,O,31,12,1947,1,O,65378,8,5,.,0
CZE,1,m,16,1,O,31,12,1947,1,O,68681,8,5,.,0
CZE,1,m,17,1,O,31,12,1947,1,O,73135,8,5,.,0
CZE,1,m,18,1,O,31,12,1947,1,O,70731,8,5,.,0
CZE,1,m,19,1,O,31,12,1947,1,O,72535,8,5,.,0
CZE,1,m,20,1,O,31,12,1947,1,O,70510,8,5,.,0
CZE,1,m,21,1,O,31,12,1947,1,O,71926,8,5,.,0
CZE,1,m,22,1,O,31,12,1947,1,O,72071,8,5,.,0
CZE,1,m,23,1,O,31,12,1947,1,O,70442,8,5,.,0
CZE,1,m,24,1,O,31,12,1947,1,O,76058,8,5,.,0
CZE,1,m,25,1,O,31,12,1947,1,O,76574,8,5,.,0
CZE,1,m,26,1,O,31,12,1947,1,O,76474,8,5,.,0
CZE,1,m,27,1,O,31,12,1947,1,O,70410,8,5,.,0
CZE,1,m,28,1,O,31,12,1947,1,O,56601,8,5,.,0
CZE,1,m,29,1,O,31,12,1947,1,O,32740,8,5,.,0
CZE,1,m,30,1,O,31,12,1947,1,O,34270,8,5,.,0
CZE,1,m,31,1,O,31,12,1947,1,O,37441,8,5,.,0
CZE,1,m,32,1,O,31,12,1947,1,O,51063,8,5,.,0
CZE,1,m,33,1,O,31,12,1947,1,O,70246,8,5,.,0
CZE,1,m,34,1,O,31,12,1947,1,O,73056,8,5,.,0
CZE,1,m,35,1,O,31,12,1947,1,O,73806,8,5,.,0
CZE,1,m,36,1,O,31,12,1947,1,O,74464,8,5,.,0
CZE,1,m,37,1,O,31,12,1947,1,O,76298,8,5,.,0
CZE,1,m,38,1,O,31,12,1947,1,O,76509,8,5,.,0
CZE,1,m,39,1,O,31,12,1947,1,O,75269,8,5,.,0
CZE,1,m,40,1,O,31,12,1947,1,O,73286,8,5,.,0
CZE,1,m,41,1,O,31,12,1947,1,O,73464,8,5,.,0
CZE,1,m,42,1,O,31,12,1947,1,O,68011,8,5,.,0
CZE,1,m,43,1,O,31,12,1947,1,O,69672,8,5,.,0
CZE,1,m,44,1,O,31,12,1947,1,O,68929,8,5,.,0
