Czechia,  Exposures (Lexis triangle)	Last modified: 23 May 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1950    0      1950    44353.37    47049.25    91402.62
 1950    0      1949    42107.93    44111.74    86219.67
 1950    1      1949    43058.50    45028.83    88087.33
 1950    1      1948    41800.01    43657.69    85457.70
 1950    2      1948    45271.24    47277.37    92548.61
 1950    2      1947    44930.85    46866.17    91797.02
 1950    3      1947    46673.75    48666.45    95340.20
 1950    3      1946    43949.37    45500.55    89449.92
 1950    4      1946    44706.27    46267.44    90973.71
 1950    4      1945    37040.70    38105.33    75146.04
 1950    5      1945    38545.09    39649.89    78194.98
 1950    5      1944    38134.53    39276.82    77411.35
 1950    6      1944    38137.44    39281.78    77419.22
 1950    6      1943    37841.07    39239.56    77080.63
 1950    7      1943    37856.52    39248.43    77104.94
 1950    7      1942    33747.06    35013.43    68760.49
 1950    8      1942    33771.50    35028.72    68800.22
 1950    8      1941    32076.96    33308.82    65385.78
 1950    9      1941    32124.71    33357.12    65481.83
 1950    9      1940    31048.12    32139.53    63187.65
 1950   10      1940    31089.06    32189.01    63278.06
 1950   10      1939    28880.04    29481.34    58361.38
 1950   11      1939    28922.17    29523.96    58446.13
 1950   11      1938    27135.72    27734.12    54869.84
 1950   12      1938    27178.56    27776.81    54955.37
 1950   12      1937    25927.99    26425.60    52353.59
 1950   13      1937    27205.60    27744.06    54949.66
 1950   13      1936    25835.86    26309.35    52145.20
 1950   14      1936    27230.24    27744.44    54974.68
 1950   14      1935    26100.81    26383.93    52484.74
 1950   15      1935    28297.80    28609.94    56907.75
 1950   15      1934    27462.28    27999.58    55461.86
 1950   16      1934    29626.95    30199.73    59826.68
 1950   16      1933    28724.88    29792.37    58517.25
 1950   17      1933    30733.25    31855.02    62588.27
 1950   17      1932    30442.27    31226.33    61668.60
 1950   18      1932    32609.81    33406.32    66016.13
 1950   18      1931    31565.50    32393.51    63959.00
 1950   19      1931    34104.08    34943.15    69047.23
 1950   19      1930    33547.99    34376.19    67924.18
 1950   20      1930    35153.47    35953.97    71107.44
 1950   20      1929    32707.70    33318.13    66025.83
 1950   21      1929    34828.98    35402.46    70231.44
 1950   21      1928    33377.13    33939.53    67316.66
 1950   22      1928    34961.02    35446.59    70407.61
 1950   22      1927    33007.84    34439.26    67447.10
 1950   23      1927    35722.33    37063.11    72785.43
 1950   23      1926    34588.25    36639.97    71228.22
 1950   24      1926    36495.11    38380.45    74875.57
 1950   24      1925    35702.84    34892.25    70595.09
 1950   25      1925    37284.94    36361.87    73646.80
 1950   25      1924    36241.92    34275.80    70517.73
 1950   26      1924    38770.52    36634.35    75404.87
 1950   26      1923    37686.58    36306.38    73992.96
 1950   27      1923    39915.86    38398.59    78314.45
