Czechia, Death rates (period 5x10), 	Last modified: 23 May 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0             0.032595        0.041624        0.037231
1950-1959      1-4             0.001581        0.001803        0.001695
1950-1959      5-9             0.000450        0.000695        0.000575
1950-1959     10-14            0.000401        0.000642        0.000523
1950-1959     15-19            0.000652        0.001355        0.001008
1950-1959     20-24            0.000903        0.001857        0.001385
1950-1959     25-29            0.001077        0.001868        0.001470
1950-1959     30-34            0.001329        0.002074        0.001694
1950-1959     35-39            0.001884        0.002647        0.002256
1950-1959     40-44            0.002723        0.003914        0.003306
1950-1959     45-49            0.003996        0.006232        0.005089
1950-1959     50-54            0.006211        0.011028        0.008520
1950-1959     55-59            0.009711        0.018392        0.013684
1950-1959     60-64            0.016176        0.029108        0.021816
1950-1959     65-69            0.028536        0.044983        0.035516
1950-1959     70-74            0.050685        0.069318        0.058426
1950-1959     75-79            0.087586        0.107157        0.095572
1950-1959     80-84            0.146255        0.169958        0.155766
1950-1959     85-89            0.230354        0.261950        0.242394
1950-1959     90-94            0.343452        0.376573        0.354940
1950-1959     95-99            0.465578        0.511939        0.479985
1950-1959    100-104           0.728421        0.881817        0.759685
1950-1959    105-109                 .              .              .
1950-1959    110+                    .              .              .
1960-1969        0             0.018231        0.024407        0.021400
1960-1969      1-4             0.000776        0.001086        0.000935
1960-1969      5-9             0.000337        0.000546        0.000444
1960-1969     10-14            0.000268        0.000475        0.000374
1960-1969     15-19            0.000490        0.001202        0.000853
1960-1969     20-24            0.000541        0.001759        0.001158
1960-1969     25-29            0.000643        0.001669        0.001160
1960-1969     30-34            0.000882        0.001911        0.001395
1960-1969     35-39            0.001329        0.002471        0.001889
1960-1969     40-44            0.002027        0.003770        0.002870
1960-1969     45-49            0.003285        0.005827        0.004509
1960-1969     50-54            0.005236        0.009775        0.007422
1960-1969     55-59            0.008286        0.016949        0.012404
1960-1969     60-64            0.013891        0.029304        0.020903
1960-1969     65-69            0.024443        0.046745        0.033800
1960-1969     70-74            0.043827        0.070896        0.054285
1960-1969     75-79            0.077186        0.106053        0.087819
1960-1969     80-84            0.132454        0.165161        0.144040
1960-1969     85-89            0.212341        0.247443        0.224332
1960-1969     90-94            0.313766        0.360829        0.328868
1960-1969     95-99            0.441240        0.520336        0.463177
1960-1969    100-104           0.635658        0.862981        0.680828
1960-1969    105-109           2.149068              .        2.149068
1960-1969    110+                    .              .              .
1970-1979        0             0.016233        0.022203        0.019292
1970-1979      1-4             0.000559        0.000725        0.000644
1970-1979      5-9             0.000293        0.000461        0.000379
1970-1979     10-14            0.000230        0.000431        0.000333
1970-1979     15-19            0.000440        0.001069        0.000762
1970-1979     20-24            0.000480        0.001452        0.000975
1970-1979     25-29            0.000563        0.001474        0.001025
1970-1979     30-34            0.000742        0.001782        0.001267
1970-1979     35-39            0.001153        0.002616        0.001885
1970-1979     40-44            0.001948        0.004195        0.003057
1970-1979     45-49            0.003244        0.006850        0.004989
1970-1979     50-54            0.005201        0.011356        0.008118
1970-1979     55-59            0.008347        0.018284        0.012987
1970-1979     60-64            0.014029        0.029697        0.021201
1970-1979     65-69            0.024017        0.048017        0.034473
1970-1979     70-74            0.043171        0.075742        0.056058
1970-1979     75-79            0.076226        0.115723        0.089855
1970-1979     80-84            0.131177        0.173191        0.144062
1970-1979     85-89            0.210614        0.257533        0.223979
1970-1979     90-94            0.319717        0.364990        0.331820
1970-1979     95-99            0.435532        0.457781        0.441251
1970-1979    100-104           0.483864        0.498270        0.487615
1970-1979    105-109           1.027549        2.057332        1.133880
1970-1979    110+                    .              .              .
1980-1989        0             0.011224        0.015470        0.013400
1980-1989      1-4             0.000432        0.000552        0.000493
1980-1989      5-9             0.000243        0.000378        0.000312
1980-1989     10-14            0.000188        0.000320        0.000256
1980-1989     15-19            0.000342        0.000819        0.000586
1980-1989     20-24            0.000388        0.001165        0.000785
1980-1989     25-29            0.000480        0.001265        0.000879
1980-1989     30-34            0.000666        0.001653        0.001165
1980-1989     35-39            0.001033        0.002509        0.001776
1980-1989     40-44            0.001781        0.004195        0.002988
1980-1989     45-49            0.003016        0.007158        0.005061
1980-1989     50-54            0.004961        0.011913        0.008320
1980-1989     55-59            0.008164        0.019444        0.013427
1980-1989     60-64            0.013625        0.030688        0.021244
1980-1989     65-69            0.023591        0.046935        0.033555
1980-1989     70-74            0.041867        0.073065        0.054372
1980-1989     75-79            0.073488        0.112445        0.087500
1980-1989     80-84            0.127242        0.172765        0.141106
1980-1989     85-89            0.207152        0.255023        0.219126
1980-1989     90-94            0.315544        0.362240        0.325750
1980-1989     95-99            0.444496        0.482767        0.452067
1980-1989    100-104           0.707381        0.661701        0.696696
1980-1989    105-109           1.487036        1.821306        1.543655
1980-1989    110+                    .              .              .
1990-1999        0             0.006937        0.008865        0.007927
1990-1999      1-4             0.000342        0.000418        0.000381
1990-1999      5-9             0.000185        0.000253        0.000220
1990-1999     10-14            0.000165        0.000260        0.000214
1990-1999     15-19            0.000323        0.000802        0.000568
1990-1999     20-24            0.000371        0.001125        0.000756
1990-1999     25-29            0.000390        0.001186        0.000797
1990-1999     30-34            0.000576        0.001485        0.001039
1990-1999     35-39            0.000957        0.002292        0.001632
1990-1999     40-44            0.001591        0.003847        0.002723
1990-1999     45-49            0.002643        0.006450        0.004536
1990-1999     50-54            0.004118        0.010417        0.007200
1990-1999     55-59            0.006793        0.016606        0.011468
1990-1999     60-64            0.011339        0.026492        0.018254
1990-1999     65-69            0.019395        0.040265        0.028291
1990-1999     70-74            0.033132        0.060019        0.043660
1990-1999     75-79            0.059339        0.093184        0.071428
1990-1999     80-84            0.106713        0.146011        0.119159
1990-1999     85-89            0.177656        0.217621        0.188436
1990-1999     90-94            0.285559        0.325091        0.294141
1990-1999     95-99            0.417990        0.461617        0.425565
1990-1999    100-104           0.562570        0.647499        0.574608
1990-1999    105-109           1.249972        6.000000        1.283237
1990-1999    110+                    .              .              .
2000-2009        0             0.003047        0.004035        0.003554
2000-2009      1-4             0.000201        0.000236        0.000219
2000-2009      5-9             0.000108        0.000156        0.000133
2000-2009     10-14            0.000126        0.000184        0.000156
2000-2009     15-19            0.000252        0.000587        0.000424
2000-2009     20-24            0.000288        0.000961        0.000633
2000-2009     25-29            0.000299        0.000940        0.000627
2000-2009     30-34            0.000428        0.001109        0.000777
2000-2009     35-39            0.000706        0.001617        0.001172
2000-2009     40-44            0.001268        0.002699        0.001996
2000-2009     45-49            0.002166        0.004837        0.003509
2000-2009     50-54            0.003478        0.008166        0.005798
2000-2009     55-59            0.005539        0.012969        0.009139
2000-2009     60-64            0.008583        0.019897        0.013889
2000-2009     65-69            0.014194        0.029978        0.021230
2000-2009     70-74            0.025058        0.045915        0.033672
2000-2009     75-79            0.046388        0.072031        0.055884
2000-2009     80-84            0.084034        0.114771        0.094006
2000-2009     85-89            0.152288        0.190429        0.163035
2000-2009     90-94            0.260070        0.306116        0.271052
2000-2009     95-99            0.388777        0.430014        0.396929
2000-2009    100-104           0.514484        0.580289        0.524701
2000-2009    105-109           0.741938        1.340400        0.775282
2000-2009    110+                    .              .              .
2010-2019        0             0.002236        0.002916        0.002584
2010-2019      1-4             0.000135        0.000170        0.000153
2010-2019      5-9             0.000088        0.000091        0.000090
2010-2019     10-14            0.000085        0.000116        0.000101
2010-2019     15-19            0.000202        0.000453        0.000331
2010-2019     20-24            0.000243        0.000739        0.000497
2010-2019     25-29            0.000263        0.000768        0.000522
2010-2019     30-34            0.000370        0.000918        0.000652
2010-2019     35-39            0.000573        0.001242        0.000917
2010-2019     40-44            0.000935        0.001946        0.001455
2010-2019     45-49            0.001638        0.003317        0.002497
2010-2019     50-54            0.002647        0.005803        0.004243
2010-2019     55-59            0.004421        0.009838        0.007097
2010-2019     60-64            0.007240        0.016431        0.011642
2010-2019     65-69            0.011680        0.024956        0.017781
2010-2019     70-74            0.019199        0.037056        0.026951
2010-2019     75-79            0.034127        0.057193        0.043354
2010-2019     80-84            0.067276        0.094999        0.077177
2010-2019     85-89            0.129027        0.161659        0.139019
2010-2019     90-94            0.223286        0.263056        0.233326
2010-2019     95-99            0.351855        0.407471        0.362998
2010-2019    100-104           0.528798        0.632373        0.544100
2010-2019    105-109           0.816478        1.529665        0.853000
2010-2019    110+                    .              .              .
