Czechia, Exposure to risk (cohort 1x5), 	Last modified: 23 May 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1871-1874        0                    .               .               .
1871-1874        1                    .               .               .
1871-1874        2                    .               .               .
1871-1874        3                    .               .               .
1871-1874        4                    .               .               .
1871-1874        5                    .               .               .
1871-1874        6                    .               .               .
1871-1874        7                    .               .               .
1871-1874        8                    .               .               .
1871-1874        9                    .               .               .
1871-1874       10                    .               .               .
1871-1874       11                    .               .               .
1871-1874       12                    .               .               .
1871-1874       13                    .               .               .
1871-1874       14                    .               .               .
1871-1874       15                    .               .               .
1871-1874       16                    .               .               .
1871-1874       17                    .               .               .
1871-1874       18                    .               .               .
1871-1874       19                    .               .               .
1871-1874       20                    .               .               .
1871-1874       21                    .               .               .
1871-1874       22                    .               .               .
1871-1874       23                    .               .               .
1871-1874       24                    .               .               .
1871-1874       25                    .               .               .
1871-1874       26                    .               .               .
1871-1874       27                    .               .               .
1871-1874       28                    .               .               .
1871-1874       29                    .               .               .
1871-1874       30                    .               .               .
1871-1874       31                    .               .               .
1871-1874       32                    .               .               .
1871-1874       33                    .               .               .
1871-1874       34                    .               .               .
1871-1874       35                    .               .               .
1871-1874       36                    .               .               .
1871-1874       37                    .               .               .
1871-1874       38                    .               .               .
1871-1874       39                    .               .               .
1871-1874       40                    .               .               .
1871-1874       41                    .               .               .
1871-1874       42                    .               .               .
1871-1874       43                    .               .               .
1871-1874       44                    .               .               .
1871-1874       45                    .               .               .
1871-1874       46                    .               .               .
1871-1874       47                    .               .               .
1871-1874       48                    .               .               .
1871-1874       49                    .               .               .
1871-1874       50                    .               .               .
1871-1874       51                    .               .               .
1871-1874       52                    .               .               .
1871-1874       53                    .               .               .
1871-1874       54                    .               .               .
1871-1874       55                    .               .               .
1871-1874       56                    .               .               .
1871-1874       57                    .               .               .
1871-1874       58                    .               .               .
1871-1874       59                    .               .               .
1871-1874       60                    .               .               .
1871-1874       61                    .               .               .
1871-1874       62                    .               .               .
1871-1874       63                    .               .               .
1871-1874       64                    .               .               .
1871-1874       65                    .               .               .
1871-1874       66                    .               .               .
1871-1874       67                    .               .               .
1871-1874       68                    .               .               .
1871-1874       69                    .               .               .
1871-1874       70                    .               .               .
1871-1874       71                    .               .               .
1871-1874       72                    .               .               .
1871-1874       73                    .               .               .
1871-1874       74                    .               .               .
1871-1874       75                    .               .               .
1871-1874       76                    .               .               .
1871-1874       77             32467.73        23635.08        56102.82
1871-1874       78             43021.78        30813.38        73835.16
1871-1874       79             50072.96        36000.56        86073.52
1871-1874       80             44774.01        31375.39        76149.40
1871-1874       81             39195.12        26893.26        66088.37
1871-1874       82             33912.62        22765.79        56678.41
1871-1874       83             28955.83        18997.66        47953.49
1871-1874       84             24418.45        15605.90        40024.34
1871-1874       85             20295.77        12586.85        32882.62
1871-1874       86             16618.77         9985.18        26603.95
1871-1874       87             13338.77         7785.18        21123.95
1871-1874       88             10474.11         5888.18        16362.28
1871-1874       89              8081.44         4338.84        12420.28
1871-1874       90              6060.11         3153.18         9213.28
1871-1874       91              4518.77         2261.84         6780.62
1871-1874       92              3300.44         1584.84         4885.28
1871-1874       93              2357.44         1099.84         3457.28
1871-1874       94              1664.11          731.84         2395.95
1871-1874       95              1137.11          466.18         1603.28
1871-1874       96               733.44          284.84         1018.28
1871-1874       97               454.11          172.51          626.62
1871-1874       98               272.11          111.84          383.95
1871-1874       99               162.44           77.18          239.62
1871-1874      100               107.11           50.84          157.95
1871-1874      101                69.49           33.40          102.89
1871-1874      102                42.55           20.79           63.35
1871-1874      103                25.90           11.69           37.60
1871-1874      104                15.95            5.55           21.50
1871-1874      105                 7.70            1.59            9.29
1871-1874      106                 2.87            0.11            2.98
1871-1874      107                 0.90            0.00            0.90
1871-1874      108                 0.12            0.00            0.12
1871-1874      109                 0.00            0.00            0.00
1871-1874      110+                0.00            0.00            0.00
1875-1879        0                    .               .               .
1875-1879        1                    .               .               .
1875-1879        2                    .               .               .
1875-1879        3                    .               .               .
1875-1879        4                    .               .               .
1875-1879        5                    .               .               .
1875-1879        6                    .               .               .
1875-1879        7                    .               .               .
1875-1879        8                    .               .               .
1875-1879        9                    .               .               .
1875-1879       10                    .               .               .
1875-1879       11                    .               .               .
1875-1879       12                    .               .               .
1875-1879       13                    .               .               .
1875-1879       14                    .               .               .
1875-1879       15                    .               .               .
1875-1879       16                    .               .               .
1875-1879       17                    .               .               .
1875-1879       18                    .               .               .
1875-1879       19                    .               .               .
1875-1879       20                    .               .               .
1875-1879       21                    .               .               .
1875-1879       22                    .               .               .
1875-1879       23                    .               .               .
1875-1879       24                    .               .               .
1875-1879       25                    .               .               .
1875-1879       26                    .               .               .
1875-1879       27                    .               .               .
1875-1879       28                    .               .               .
1875-1879       29                    .               .               .
1875-1879       30                    .               .               .
1875-1879       31                    .               .               .
1875-1879       32                    .               .               .
1875-1879       33                    .               .               .
1875-1879       34                    .               .               .
1875-1879       35                    .               .               .
1875-1879       36                    .               .               .
1875-1879       37                    .               .               .
1875-1879       38                    .               .               .
1875-1879       39                    .               .               .
1875-1879       40                    .               .               .
1875-1879       41                    .               .               .
1875-1879       42                    .               .               .
1875-1879       43                    .               .               .
1875-1879       44                    .               .               .
1875-1879       45                    .               .               .
1875-1879       46                    .               .               .
1875-1879       47                    .               .               .
1875-1879       48                    .               .               .
1875-1879       49                    .               .               .
1875-1879       50                    .               .               .
1875-1879       51                    .               .               .
1875-1879       52                    .               .               .
1875-1879       53                    .               .               .
1875-1879       54                    .               .               .
1875-1879       55                    .               .               .
1875-1879       56                    .               .               .
1875-1879       57                    .               .               .
1875-1879       58                    .               .               .
1875-1879       59                    .               .               .
1875-1879       60                    .               .               .
1875-1879       61                    .               .               .
1875-1879       62                    .               .               .
1875-1879       63                    .               .               .
1875-1879       64                    .               .               .
1875-1879       65                    .               .               .
1875-1879       66                    .               .               .
1875-1879       67                    .               .               .
1875-1879       68                    .               .               .
1875-1879       69                    .               .               .
1875-1879       70                    .               .               .
1875-1879       71                    .               .               .
1875-1879       72             51723.95        38447.40        90171.35
1875-1879       73             71305.36        52673.53       123978.88
1875-1879       74             87815.77        63880.16       151695.93
1875-1879       75            101432.93        72786.84       174219.77
1875-1879       76             93728.40        66007.72       159736.12
1875-1879       77             86028.53        59376.42       145404.95
1875-1879       78             78282.41        52862.48       131144.89
1875-1879       79             70624.33        46558.56       117182.89
