PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
DEUTE,1,m,1946,1946,13,O,98183,4,5,.,1
DEUTE,1,f,1946,1946,13,O,90496,4,5,.,1
DEUTE,1,m,1947,1947,13,O,128008,4,5,.,1
DEUTE,1,f,1947,1947,13,O,119267,4,5,.,1
DEUTE,1,m,1948,1948,13,O,126384,4,5,.,1
DEUTE,1,f,1948,1948,13,O,116927,4,5,.,1
DEUTE,1,m,1949,1949,13,O,141790,4,5,.,1
DEUTE,1,f,1949,1949,13,O,132232,4,5,.,1
DEUTE,1,m,1950,1950,13,O,157247,4,5,.,1
DEUTE,1,f,1950,1950,13,O,146619,4,5,.,1
DEUTE,1,m,1951,1951,13,O,161117,4,5,.,1
DEUTE,1,f,1951,1951,13,O,149655,4,5,.,1
DEUTE,1,m,1952,1952,13,O,158109,4,5,.,1
DEUTE,1,f,1952,1952,13,O,147895,4,5,.,1
DEUTE,1,m,1953,1953,13,O,154745,4,5,.,1
DEUTE,1,f,1953,1953,13,O,144188,4,5,.,1
DEUTE,1,m,1954,1954,13,O,151693,4,5,.,1
DEUTE,1,f,1954,1954,13,O,142022,4,5,.,1
DEUTE,1,m,1955,1955,13,O,151844,4,5,.,1
DEUTE,1,f,1955,1955,13,O,141436,4,5,.,1
DEUTE,1,m,1956,1956,13,O,145012,4,5,.,1
DEUTE,1,f,1956,1956,13,O,136270,4,5,.,1
DEUTE,1,m,1957,1957,13,O,141221,4,5,.,1
DEUTE,1,f,1957,1957,13,O,132106,4,5,.,1
DEUTE,1,m,1958,1958,13,O,140234,4,5,.,1
DEUTE,1,f,1958,1958,13,O,131171,4,5,.,1
DEUTE,1,m,1959,1959,13,O,150586,4,5,.,1
DEUTE,1,f,1959,1959,13,O,141394,4,5,.,1
DEUTE,1,m,1960,1960,13,O,150746,4,5,.,1
DEUTE,1,f,1960,1960,13,O,142239,4,5,.,1
DEUTE,1,m,1961,1961,13,O,154827,4,5,.,1
DEUTE,1,f,1961,1961,13,O,145991,4,5,.,1
DEUTE,1,m,1962,1962,13,O,153482,1,4,5,1
DEUTE,1,f,1962,1962,13,O,144500,1,4,5,1
DEUTE,1,m,1963,1963,13,O,155174,1,4,5,1
DEUTE,1,f,1963,1963,13,O,146298,1,4,5,1
DEUTE,1,m,1964,1964,13,O,150067,1,4,5,1
DEUTE,1,f,1964,1964,13,O,141800,1,4,5,1
DEUTE,1,m,1965,1965,13,O,145270,1,4,5,1
DEUTE,1,f,1965,1965,13,O,135788,1,4,5,1
DEUTE,1,m,1966,1966,13,O,137561,1,4,5,1
DEUTE,1,f,1966,1966,13,O,130397,1,4,5,1
DEUTE,1,m,1967,1967,13,O,130015,1,4,5,1
DEUTE,1,f,1967,1967,13,O,122802,1,4,5,1
DEUTE,1,m,1968,1968,13,O,126171,1,4,5,1
DEUTE,1,f,1968,1968,13,O,118972,1,4,5,1
DEUTE,1,m,1969,1969,13,O,123013,1,4,5,1
DEUTE,1,f,1969,1969,13,O,115897,1,4,5,1
DEUTE,1,m,1970,1970,13,O,121601,1,4,5,1
DEUTE,1,f,1970,1970,13,O,115328,1,4,5,1
DEUTE,1,m,1971,1971,13,O,120938,1,4,5,1
