PopName,Area,Year,YearReg,Month,Births,Access,NoteCode1,NoteCode2,NoteCode3,RefCode,LDB
DEUTE,1,1946,1946,1,12016,O,.,.,.,43,1
DEUTE,1,1946,1946,2,11831,O,.,.,.,43,1
DEUTE,1,1946,1946,3,14481,O,.,.,.,43,1
DEUTE,1,1946,1946,4,13094,O,.,.,.,43,1
DEUTE,1,1946,1946,5,13522,O,.,.,.,43,1
DEUTE,1,1946,1946,6,13832,O,.,.,.,43,1
DEUTE,1,1946,1946,7,15564,O,.,.,.,43,1
DEUTE,1,1946,1946,8,16609,O,.,.,.,43,1
DEUTE,1,1946,1946,9,19499,O,.,.,.,43,1
DEUTE,1,1946,1946,10,20443,O,.,.,.,43,1
DEUTE,1,1946,1946,11,18019,O,.,.,.,43,1
DEUTE,1,1946,1946,12,19769,O,.,.,.,43,1
DEUTE,1,1946,1946,TOT,188679,O,.,.,.,43,1
DEUTE,1,1947,1947,1,22587,O,.,.,.,43,1
DEUTE,1,1947,1947,2,20703,O,.,.,.,43,1
DEUTE,1,1947,1947,3,21920,O,.,.,.,43,1
DEUTE,1,1947,1947,4,20039,O,.,.,.,43,1
DEUTE,1,1947,1947,5,21352,O,.,.,.,43,1
DEUTE,1,1947,1947,6,21096,O,.,.,.,43,1
DEUTE,1,1947,1947,7,21096,O,.,.,.,43,1
DEUTE,1,1947,1947,8,20636,O,.,.,.,43,1
DEUTE,1,1947,1947,9,21818,O,.,.,.,43,1
DEUTE,1,1947,1947,10,19730,O,.,.,.,43,1
DEUTE,1,1947,1947,11,17731,O,.,.,.,43,1
DEUTE,1,1947,1947,12,18567,O,.,.,.,43,1
DEUTE,1,1947,1947,TOT,247275,O,.,.,.,43,1
DEUTE,1,1948,1948,1,20935,O,.,.,.,43,1
DEUTE,1,1948,1948,2,19333,O,.,.,.,43,1
DEUTE,1,1948,1948,3,19448,O,.,.,.,43,1
DEUTE,1,1948,1948,4,17720,O,.,.,.,43,1
DEUTE,1,1948,1948,5,18895,O,.,.,.,43,1
DEUTE,1,1948,1948,6,19234,O,.,.,.,43,1
DEUTE,1,1948,1948,7,20633,O,.,.,.,43,1
DEUTE,1,1948,1948,8,20854,O,.,.,.,43,1
DEUTE,1,1948,1948,9,23206,O,.,.,.,43,1
DEUTE,1,1948,1948,10,21602,O,.,.,.,43,1
DEUTE,1,1948,1948,11,20268,O,.,.,.,43,1
DEUTE,1,1948,1948,12,21183,O,.,.,.,43,1
DEUTE,1,1948,1948,TOT,243311,O,.,.,.,43,1
DEUTE,1,1949,1949,1,22449,O,.,.,.,43,1
DEUTE,1,1949,1949,2,21357,O,.,.,.,43,1
DEUTE,1,1949,1949,3,22202,O,.,.,.,43,1
DEUTE,1,1949,1949,4,20491,O,.,.,.,43,1
DEUTE,1,1949,1949,5,22412,O,.,.,.,43,1
DEUTE,1,1949,1949,6,22750,O,.,.,.,43,1
DEUTE,1,1949,1949,7,24438,O,.,.,.,43,1
DEUTE,1,1949,1949,8,24488,O,.,.,.,43,1
DEUTE,1,1949,1949,9,25219,O,.,.,.,43,1
DEUTE,1,1949,1949,10,23501,O,.,.,.,43,1
DEUTE,1,1949,1949,11,22026,O,.,.,.,43,1
DEUTE,1,1949,1949,12,22689,O,.,.,.,43,1
DEUTE,1,1949,1949,TOT,274022,O,.,.,.,43,1
DEUTE,1,1950,1950,1,26049,O,.,.,.,43,1
DEUTE,1,1950,1950,2,24720,O,.,.,.,43,1
DEUTE,1,1950,1950,3,27864,O,.,.,.,43,1
DEUTE,1,1950,1950,4,26091,O,.,.,.,43,1
DEUTE,1,1950,1950,5,26343,O,.,.,.,43,1
DEUTE,1,1950,1950,6,25225,O,.,.,.,43,1
DEUTE,1,1950,1950,7,25024,O,.,.,.,43,1
DEUTE,1,1950,1950,8,24399,O,.,.,.,43,1
DEUTE,1,1950,1950,9,25713,O,.,.,.,43,1
DEUTE,1,1950,1950,10,24853,O,.,.,.,43,1
DEUTE,1,1950,1950,11,23508,O,.,.,.,43,1
DEUTE,1,1950,1950,12,24077,O,.,.,.,43,1
DEUTE,1,1950,1950,TOT,303866,O,.,.,.,43,1
DEUTE,1,1951,1951,1,25577,O,.,.,.,43,1
DEUTE,1,1951,1951,2,23844,O,.,.,.,43,1
DEUTE,1,1951,1951,3,26951,O,.,.,.,43,1
DEUTE,1,1951,1951,4,25727,O,.,.,.,43,1
DEUTE,1,1951,1951,5,27713,O,.,.,.,43,1
DEUTE,1,1951,1951,6,26343,O,.,.,.,43,1
DEUTE,1,1951,1951,7,26275,O,.,.,.,43,1
DEUTE,1,1951,1951,8,26096,O,.,.,.,43,1
DEUTE,1,1951,1951,9,26595,O,.,.,.,43,1
DEUTE,1,1951,1951,10,25509,O,.,.,.,43,1
DEUTE,1,1951,1951,11,24633,O,.,.,.,43,1
DEUTE,1,1951,1951,12,25509,O,.,.,.,43,1
DEUTE,1,1951,1951,TOT,310772,O,.,.,.,43,1
DEUTE,1,1952,1952,1,27071,O,.,.,.,43,1
DEUTE,1,1952,1952,2,25701,O,.,.,.,43,1
DEUTE,1,1952,1952,3,28000,O,.,.,.,43,1
DEUTE,1,1952,1952,4,26202,O,.,.,.,43,1
DEUTE,1,1952,1952,5,26409,O,.,.,.,43,1
DEUTE,1,1952,1952,6,24320,O,.,.,.,43,1
DEUTE,1,1952,1952,7,25021,O,.,.,.,43,1
DEUTE,1,1952,1952,8,24544,O,.,.,.,43,1
DEUTE,1,1952,1952,9,26865,O,.,.,.,43,1
DEUTE,1,1952,1952,10,24540,O,.,.,.,43,1
DEUTE,1,1952,1952,11,23544,O,.,.,.,43,1
DEUTE,1,1952,1952,12,23787,O,.,.,.,43,1
DEUTE,1,1952,1952,TOT,306004,O,.,.,.,43,1
DEUTE,1,1953,1953,1,25522,O,.,.,.,43,1
DEUTE,1,1953,1953,2,23724,O,.,.,.,43,1
DEUTE,1,1953,1953,3,27576,O,.,.,.,43,1
DEUTE,1,1953,1953,4,25938,O,.,.,.,43,1
DEUTE,1,1953,1953,5,26914,O,.,.,.,43,1
DEUTE,1,1953,1953,6,24336,O,.,.,.,43,1
DEUTE,1,1953,1953,7,25198,O,.,.,.,43,1
DEUTE,1,1953,1953,8,24332,O,.,.,.,43,1
DEUTE,1,1953,1953,9,25921,O,.,.,.,43,1
DEUTE,1,1953,1953,10,23716,O,.,.,.,43,1
DEUTE,1,1953,1953,11,22182,O,.,.,.,43,1
DEUTE,1,1953,1953,12,23574,O,.,.,.,43,1
DEUTE,1,1953,1953,TOT,298933,O,.,.,.,43,1
DEUTE,1,1954,1954,1,24873,O,.,.,.,43,1
DEUTE,1,1954,1954,2,23346,O,.,.,.,43,1
DEUTE,1,1954,1954,3,25017,O,.,.,.,43,1
DEUTE,1,1954,1954,4,25197,O,.,.,.,43,1
DEUTE,1,1954,1954,5,26999,O,.,.,.,43,1
DEUTE,1,1954,1954,6,24554,O,.,.,.,43,1
DEUTE,1,1954,1954,7,25211,O,.,.,.,43,1
DEUTE,1,1954,1954,8,24415,O,.,.,.,43,1
DEUTE,1,1954,1954,9,24878,O,.,.,.,43,1
DEUTE,1,1954,1954,10,22977,O,.,.,.,43,1
DEUTE,1,1954,1954,11,22584,O,.,.,.,43,1
DEUTE,1,1954,1954,12,23664,O,.,.,.,43,1
DEUTE,1,1954,1954,TOT,293715,O,.,.,.,43,1
DEUTE,1,1955,1955,1,25993,O,.,.,.,43,1
DEUTE,1,1955,1955,2,24044,O,.,.,.,43,1
DEUTE,1,1955,1955,3,27129,O,.,.,.,43,1
DEUTE,1,1955,1955,4,25306,O,.,.,.,43,1
DEUTE,1,1955,1955,5,25587,O,.,.,.,43,1
DEUTE,1,1955,1955,6,24274,O,.,.,.,43,1
DEUTE,1,1955,1955,7,24286,O,.,.,.,43,1
DEUTE,1,1955,1955,8,23260,O,.,.,.,43,1
DEUTE,1,1955,1955,9,24497,O,.,.,.,43,1
DEUTE,1,1955,1955,10,23083,O,.,.,.,43,1
DEUTE,1,1955,1955,11,22365,O,.,.,.,43,1
DEUTE,1,1955,1955,12,23456,O,.,.,.,43,1
DEUTE,1,1955,1955,TOT,293280,O,.,.,.,43,1
DEUTE,1,1956,1956,1,24354,O,.,.,.,43,1
DEUTE,1,1956,1956,2,24268,O,.,.,.,43,1
DEUTE,1,1956,1956,3,25960,O,.,.,.,43,1
DEUTE,1,1956,1956,4,23960,O,.,.,.,43,1
DEUTE,1,1956,1956,5,24358,O,.,.,.,43,1
DEUTE,1,1956,1956,6,22307,O,.,.,.,43,1
DEUTE,1,1956,1956,7,23427,O,.,.,.,43,1
DEUTE,1,1956,1956,8,22568,O,.,.,.,43,1
DEUTE,1,1956,1956,9,23650,O,.,.,.,43,1
DEUTE,1,1956,1956,10,22014,O,.,.,.,43,1
DEUTE,1,1956,1956,11,21765,O,.,.,.,43,1
DEUTE,1,1956,1956,12,22651,O,.,.,.,43,1
DEUTE,1,1956,1956,TOT,281282,O,.,.,.,43,1
DEUTE,1,1957,1957,1,23343,O,.,.,.,43,1
DEUTE,1,1957,1957,2,22291,O,.,.,.,43,1
DEUTE,1,1957,1957,3,24509,O,.,.,.,43,1
DEUTE,1,1957,1957,4,23544,O,.,.,.,43,1
DEUTE,1,1957,1957,5,23547,O,.,.,.,43,1
DEUTE,1,1957,1957,6,22336,O,.,.,.,43,1
DEUTE,1,1957,1957,7,21944,O,.,.,.,43,1
DEUTE,1,1957,1957,8,21910,O,.,.,.,43,1
DEUTE,1,1957,1957,9,23633,O,.,.,.,43,1
DEUTE,1,1957,1957,10,22794,O,.,.,.,43,1
DEUTE,1,1957,1957,11,21344,O,.,.,.,43,1
DEUTE,1,1957,1957,12,22132,O,.,.,.,43,1
DEUTE,1,1957,1957,TOT,273327,O,.,.,.,43,1
DEUTE,1,1958,1958,1,24347,O,.,.,.,43,1
DEUTE,1,1958,1958,2,22340,O,.,.,.,43,1
DEUTE,1,1958,1958,3,24825,O,.,.,.,43,1
DEUTE,1,1958,1958,4,22592,O,.,.,.,43,1
DEUTE,1,1958,1958,5,22981,O,.,.,.,43,1
DEUTE,1,1958,1958,6,20569,O,.,.,.,43,1
DEUTE,1,1958,1958,7,20257,O,.,.,.,43,1
DEUTE,1,1958,1958,8,21019,O,.,.,.,43,1
DEUTE,1,1958,1958,9,24333,O,.,.,.,43,1
DEUTE,1,1958,1958,10,22481,O,.,.,.,43,1
DEUTE,1,1958,1958,11,22426,O,.,.,.,43,1
DEUTE,1,1958,1958,12,23235,O,.,.,.,43,1
DEUTE,1,1958,1958,TOT,271405,O,.,.,.,43,1
DEUTE,1,1959,1959,1,24336,O,.,.,.,43,1
DEUTE,1,1959,1959,2,23410,O,.,.,.,43,1
DEUTE,1,1959,1959,3,26203,O,.,.,.,43,1
DEUTE,1,1959,1959,4,25654,O,.,.,.,43,1
DEUTE,1,1959,1959,5,25687,O,.,.,.,43,1
DEUTE,1,1959,1959,6,23757,O,.,.,.,43,1
DEUTE,1,1959,1959,7,24425,O,.,.,.,43,1
DEUTE,1,1959,1959,8,23618,O,.,.,.,43,1
DEUTE,1,1959,1959,9,24886,O,.,.,.,43,1
DEUTE,1,1959,1959,10,23731,O,.,.,.,43,1
DEUTE,1,1959,1959,11,22813,O,.,.,.,43,1
DEUTE,1,1959,1959,12,23460,O,.,.,.,43,1
DEUTE,1,1959,1959,TOT,291980,O,.,.,.,43,1
DEUTE,1,1960,1960,1,24742,O,.,.,.,43,1
DEUTE,1,1960,1960,2,24710,O,.,.,.,43,1
DEUTE,1,1960,1960,3,25968,O,.,.,.,43,1
DEUTE,1,1960,1960,4,24591,O,.,.,.,43,1
DEUTE,1,1960,1960,5,24934,O,.,.,.,43,1
DEUTE,1,1960,1960,6,23472,O,.,.,.,43,1
DEUTE,1,1960,1960,7,24626,O,.,.,.,43,1
DEUTE,1,1960,1960,8,24486,O,.,.,.,43,1
DEUTE,1,1960,1960,9,25114,O,.,.,.,43,1
DEUTE,1,1960,1960,10,23646,O,.,.,.,43,1
DEUTE,1,1960,1960,11,23030,O,.,.,.,43,1
DEUTE,1,1960,1960,12,23666,O,.,.,.,43,1
DEUTE,1,1960,1960,TOT,292985,O,.,.,.,43,1
DEUTE,1,1961,1961,1,25646,O,.,.,.,43,1
DEUTE,1,1961,1961,2,24534,O,.,.,.,43,1
DEUTE,1,1961,1961,3,26876,O,.,.,.,43,1
DEUTE,1,1961,1961,4,25847,O,.,.,.,43,1
DEUTE,1,1961,1961,5,25988,O,.,.,.,43,1
DEUTE,1,1961,1961,6,23881,O,.,.,.,43,1
DEUTE,1,1961,1961,7,24346,O,.,.,.,43,1
DEUTE,1,1961,1961,8,24351,O,.,.,.,43,1
DEUTE,1,1961,1961,9,25374,O,.,.,.,43,1
DEUTE,1,1961,1961,10,24570,O,.,.,.,43,1
DEUTE,1,1961,1961,11,23920,O,.,.,.,43,1
DEUTE,1,1961,1961,12,25485,O,.,.,.,43,1
DEUTE,1,1961,1961,TOT,300818,O,.,.,.,43,1
DEUTE,1,1962,1962,1,25698,O,.,.,.,43,1
DEUTE,1,1962,1962,2,23779,O,.,.,.,43,1
DEUTE,1,1962,1962,3,26599,O,.,.,.,43,1
DEUTE,1,1962,1962,4,25437,O,.,.,.,43,1
DEUTE,1,1962,1962,5,25627,O,.,.,.,43,1
DEUTE,1,1962,1962,6,24248,O,.,.,.,43,1
DEUTE,1,1962,1962,7,24897,O,.,.,.,43,1
DEUTE,1,1962,1962,8,24551,O,.,.,.,43,1
DEUTE,1,1962,1962,9,25208,O,.,.,.,43,1
DEUTE,1,1962,1962,10,23843,O,.,.,.,43,1
DEUTE,1,1962,1962,11,23915,O,.,.,.,43,1
DEUTE,1,1962,1962,12,24180,O,.,.,.,43,1
DEUTE,1,1962,1962,TOT,297982,O,.,.,.,43,1
DEUTE,1,1963,1963,1,25914,O,.,.,.,43,1
DEUTE,1,1963,1963,2,24167,O,.,.,.,43,1
DEUTE,1,1963,1963,3,27631,O,.,.,.,43,1
DEUTE,1,1963,1963,4,25471,O,.,.,.,43,1
DEUTE,1,1963,1963,5,25931,O,.,.,.,43,1
DEUTE,1,1963,1963,6,24019,O,.,.,.,43,1
DEUTE,1,1963,1963,7,24846,O,.,.,.,43,1
DEUTE,1,1963,1963,8,24181,O,.,.,.,43,1
DEUTE,1,1963,1963,9,25795,O,.,.,.,43,1
DEUTE,1,1963,1963,10,24381,O,.,.,.,43,1
DEUTE,1,1963,1963,11,24180,O,.,.,.,43,1
DEUTE,1,1963,1963,12,24956,O,.,.,.,43,1
DEUTE,1,1963,1963,TOT,301472,O,.,.,.,43,1
DEUTE,1,1964,1964,1,26486,O,.,.,.,43,1
DEUTE,1,1964,1964,2,25009,O,.,.,.,43,1
DEUTE,1,1964,1964,3,25861,O,.,.,.,43,1
DEUTE,1,1964,1964,4,25602,O,.,.,.,43,1
DEUTE,1,1964,1964,5,25279,O,.,.,.,43,1
DEUTE,1,1964,1964,6,23417,O,.,.,.,43,1
DEUTE,1,1964,1964,7,24297,O,.,.,.,43,1
DEUTE,1,1964,1964,8,23593,O,.,.,.,43,1
DEUTE,1,1964,1964,9,24607,O,.,.,.,43,1
DEUTE,1,1964,1964,10,22479,O,.,.,.,43,1
DEUTE,1,1964,1964,11,21998,O,.,.,.,43,1
DEUTE,1,1964,1964,12,23239,O,.,.,.,43,1
DEUTE,1,1964,1964,TOT,291867,O,.,.,.,43,1
DEUTE,1,1965,1965,1,24432,O,.,.,.,43,1
DEUTE,1,1965,1965,2,23584,O,.,.,.,43,1
