PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
DEUTE,1,1956,1956,1,f,0,1,TL,1,O,4419,4,.,.,1
DEUTE,1,1956,1956,1,f,0,1,TU,1,O,1134,4,.,.,1
DEUTE,1,1956,1956,1,f,1,1,TL,1,O,239,4,.,.,1
DEUTE,1,1956,1956,1,f,1,1,TU,1,O,225,4,.,.,1
DEUTE,1,1956,1956,1,f,2,1,TL,1,O,111,4,.,.,1
DEUTE,1,1956,1956,1,f,2,1,TU,1,O,109,4,.,.,1
DEUTE,1,1956,1956,1,f,3,1,TL,1,O,62,4,.,.,1
DEUTE,1,1956,1956,1,f,3,1,TU,1,O,64,4,.,.,1
DEUTE,1,1956,1956,1,f,4,1,TL,1,O,43,4,.,.,1
DEUTE,1,1956,1956,1,f,4,1,TU,1,O,65,4,.,.,1
DEUTE,1,1956,1956,1,f,5,1,TL,1,O,41,4,.,.,1
DEUTE,1,1956,1956,1,f,5,1,TU,1,O,31,4,.,.,1
DEUTE,1,1956,1956,1,f,6,1,TL,1,O,28,4,.,.,1
DEUTE,1,1956,1956,1,f,6,1,TU,1,O,24,4,.,.,1
DEUTE,1,1956,1956,1,f,7,1,TL,1,O,20,4,.,.,1
DEUTE,1,1956,1956,1,f,7,1,TU,1,O,20,4,.,.,1
DEUTE,1,1956,1956,1,f,8,1,TL,1,O,21,4,.,.,1
DEUTE,1,1956,1956,1,f,8,1,TU,1,O,17,4,.,.,1
DEUTE,1,1956,1956,1,f,9,1,TL,1,O,19,4,.,.,1
DEUTE,1,1956,1956,1,f,9,1,TU,1,O,15,4,.,.,1
DEUTE,1,1956,1956,1,f,10,1,TL,1,O,12,4,.,.,1
DEUTE,1,1956,1956,1,f,10,1,TU,1,O,11,4,.,.,1
DEUTE,1,1956,1956,1,f,11,1,TL,1,O,16,4,.,.,1
DEUTE,1,1956,1956,1,f,11,1,TU,1,O,25,4,.,.,1
DEUTE,1,1956,1956,1,f,12,1,TL,1,O,26,4,.,.,1
DEUTE,1,1956,1956,1,f,12,1,TU,1,O,16,4,.,.,1
DEUTE,1,1956,1956,1,f,13,1,TL,1,O,18,4,.,.,1
DEUTE,1,1956,1956,1,f,13,1,TU,1,O,36,4,.,.,1
DEUTE,1,1956,1956,1,f,14,1,TL,1,O,22,4,.,.,1
DEUTE,1,1956,1956,1,f,14,1,TU,1,O,27,4,.,.,1
DEUTE,1,1956,1956,1,f,15,1,TL,1,O,32,4,.,.,1
DEUTE,1,1956,1956,1,f,15,1,TU,1,O,48,4,.,.,1
DEUTE,1,1956,1956,1,f,16,1,TL,1,O,41,4,.,.,1
DEUTE,1,1956,1956,1,f,16,1,TU,1,O,45,4,.,.,1
DEUTE,1,1956,1956,1,f,17,1,TL,1,O,44,4,.,.,1
DEUTE,1,1956,1956,1,f,17,1,TU,1,O,56,4,.,.,1
DEUTE,1,1956,1956,1,f,18,1,TL,1,O,58,4,.,.,1
DEUTE,1,1956,1956,1,f,18,1,TU,1,O,47,4,.,.,1
DEUTE,1,1956,1956,1,f,19,1,TL,1,O,44,4,.,.,1
