PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
DEUTE,1,f,0,1,O,31,12,1955,5,O,136585,4,.,.,1
DEUTE,1,f,1,1,O,31,12,1955,5,O,135461,4,.,.,1
DEUTE,1,f,2,1,O,31,12,1955,5,O,136343,4,.,.,1
DEUTE,1,f,3,1,O,31,12,1955,5,O,137001,4,.,.,1
DEUTE,1,f,4,1,O,31,12,1955,5,O,136826,4,.,.,1
DEUTE,1,f,5,1,O,31,12,1955,5,O,130897,4,.,.,1
DEUTE,1,f,6,1,O,31,12,1955,5,O,115617,4,.,.,1
DEUTE,1,f,7,1,O,31,12,1955,5,O,99938,4,.,.,1
DEUTE,1,f,8,1,O,31,12,1955,5,O,97714,4,.,.,1
DEUTE,1,f,9,1,O,31,12,1955,5,O,74145,4,.,.,1
DEUTE,1,f,10,1,O,31,12,1955,5,O,85916,4,.,.,1
DEUTE,1,f,11,1,O,31,12,1955,5,O,122429,4,.,.,1
DEUTE,1,f,12,1,O,31,12,1955,5,O,127675,4,.,.,1
DEUTE,1,f,13,1,O,31,12,1955,5,O,127042,4,.,.,1
DEUTE,1,f,14,1,O,31,12,1955,5,O,157009,4,.,.,1
DEUTE,1,f,15,1,O,31,12,1955,5,O,167225,4,.,.,1
DEUTE,1,f,16,1,O,31,12,1955,5,O,167372,4,.,.,1
DEUTE,1,f,17,1,O,31,12,1955,5,O,157078,4,.,.,1
DEUTE,1,f,18,1,O,31,12,1955,5,O,146747,4,.,.,1
DEUTE,1,f,19,1,O,31,12,1955,5,O,147328,4,.,.,1
DEUTE,1,f,20,1,O,31,12,1955,5,O,145794,4,.,.,1
DEUTE,1,f,21,1,O,31,12,1955,5,O,137690,4,.,.,1
DEUTE,1,f,22,1,O,31,12,1955,5,O,110296,4,.,.,1
DEUTE,1,f,23,1,O,31,12,1955,5,O,110228,4,.,.,1
DEUTE,1,f,24,1,O,31,12,1955,5,O,112105,4,.,.,1
DEUTE,1,f,25,1,O,31,12,1955,5,O,123728,4,.,.,1
DEUTE,1,f,26,1,O,31,12,1955,5,O,120480,4,.,.,1
DEUTE,1,f,27,1,O,31,12,1955,5,O,120984,4,.,.,1
DEUTE,1,f,28,1,O,31,12,1955,5,O,115718,4,.,.,1
DEUTE,1,f,29,1,O,31,12,1955,5,O,119596,4,.,.,1
DEUTE,1,f,30,1,O,31,12,1955,5,O,123809,4,.,.,1
DEUTE,1,f,31,1,O,31,12,1955,5,O,116235,4,.,.,1
DEUTE,1,f,32,1,O,31,12,1955,5,O,117426,4,.,.,1
DEUTE,1,f,33,1,O,31,12,1955,5,O,127240,4,.,.,1
DEUTE,1,f,34,1,O,31,12,1955,5,O,139620,4,.,.,1
DEUTE,1,f,35,1,O,31,12,1955,5,O,149334,4,.,.,1
DEUTE,1,f,36,1,O,31,12,1955,5,O,110222,4,.,.,1
DEUTE,1,f,37,1,O,31,12,1955,5,O,70153,4,.,.,1
DEUTE,1,f,38,1,O,31,12,1955,5,O,66662,4,.,.,1
DEUTE,1,f,39,1,O,31,12,1955,5,O,75941,4,.,.,1
DEUTE,1,f,40,1,O,31,12,1955,5,O,108044,4,.,.,1
DEUTE,1,f,41,1,O,31,12,1955,5,O,141158,4,.,.,1
DEUTE,1,f,42,1,O,31,12,1955,5,O,149455,4,.,.,1
DEUTE,1,f,43,1,O,31,12,1955,5,O,155896,4,.,.,1
DEUTE,1,f,44,1,O,31,12,1955,5,O,149228,4,.,.,1
DEUTE,1,f,45,1,O,31,12,1955,5,O,159196,4,.,.,1
DEUTE,1,f,46,1,O,31,12,1955,5,O,165003,4,.,.,1
DEUTE,1,f,47,1,O,31,12,1955,5,O,163751,4,.,.,1
DEUTE,1,f,48,1,O,31,12,1955,5,O,162015,4,.,.,1
DEUTE,1,f,49,1,O,31,12,1955,5,O,162574,4,.,.,1
DEUTE,1,f,50,1,O,31,12,1955,5,O,156212,4,.,.,1
DEUTE,1,f,51,1,O,31,12,1955,5,O,157525,4,.,.,1
DEUTE,1,f,52,1,O,31,12,1955,5,O,152543,4,.,.,1
