East Germany,  Exposures (Lexis triangle)	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1956    0      1956    68286.63    72228.28   140514.91
 1956    0      1955    66215.08    70310.07   136525.15
 1956    1      1955    68910.56    73056.08   141966.64
 1956    1      1954    66566.20    70099.93   136666.13
 1956    2      1954    67957.92    71517.42   139475.35
 1956    2      1953    66534.84    70219.14   136753.99
 1956    3      1953    68806.01    72567.48   141373.48
 1956    3      1952    66816.55    70275.02   137091.56
 1956    4      1952    69203.48    72810.35   142013.84
 1956    4      1951    68022.02    71692.67   139714.69
 1956    5      1951    67879.56    71563.15   139442.71
 1956    5      1950    64049.56    66957.38   131006.93
 1956    6      1950    65869.98    68811.25   134681.23
 1956    6      1949    58422.44    60764.66   119187.09
 1956    7      1949    56321.66    58574.97   114896.63
 1956    7      1948    50897.94    52668.49   103566.43
 1956    8      1948    48258.34    49960.24    98218.58
 1956    8      1947    47330.91    48880.24    96211.15
 1956    9      1947    49496.47    51146.59   100643.06
 1956    9      1946    40611.10    42282.99    82894.09
 1956   10      1946    32937.40    34294.46    67231.86
 1956   10      1945    42956.17    43436.50    86392.67
 1956   11      1945    42132.67    42623.33    84756.00
 1956   11      1944    61210.33    62885.50   124095.83
 1956   12      1944    60168.83    61745.00   121913.83
 1956   12      1943    63834.83    66398.00   130232.83
 1956   13      1943    62733.00    65263.83   127996.83
 1956   13      1942    63515.00    65576.50   129091.50
 1956   14      1942    62262.67    64318.67   126581.33
 1956   14      1941    78500.00    81211.17   159711.17
 1956   15      1941    76693.83    79603.67   156297.50
 1956   15      1940    83604.50    86278.33   169882.83
 1956   16      1940    81592.33    84506.17   166098.50
 1956   16      1939    83678.50    86638.33   170316.83
 1956   17      1939    81364.33    84052.17   165416.50
 1956   17      1938    78529.67    80644.50   159174.17
 1956   18      1938    75417.67    76865.50   152283.17
 1956   18      1937    73365.67    74277.50   147643.17
 1956   19      1937    70024.83    71031.00   141055.83
 1956   19      1936    73654.17    74060.00   147714.17
 1956   20      1936    70491.67    71200.67   141692.33
 1956   20      1935    72888.83    74225.50   147114.33
 1956   21      1935    70081.67    71779.00   141860.67
 1956   21      1934    68836.17    70467.33   139303.50
 1956   22      1934    66571.83    68486.00   135057.83
 1956   22      1933    55141.17    55856.17   110997.33
 1956   23      1933    53475.67    54645.33   108121.00
 1956   23      1932    55103.00    53182.67   108285.67
 1956   24      1932    53662.17    52101.33   105763.50
 1956   24      1931    56043.67    51627.33   107671.00
 1956   25      1931    54702.67    50540.83   105243.50
 1956   25      1930    61855.50    54951.83   116807.33
 1956   26      1930    60424.00    53895.83   114319.83
 1956   26      1929    60229.50    52485.67   112715.17
 1956   27      1929    58926.67    51629.17   110555.83
 1956   27      1928    60480.67    51016.67   111497.33
 1956   28      1928    59224.33    50187.17   109411.50
 1956   28      1927    57850.00    44610.83   102460.83
 1956   29      1927    56550.83    43772.83   100323.67
 1956   29      1926    59787.67    41519.00   101306.67
 1956   30      1926    58521.33    40730.17    99251.50
 1956   30      1925    61893.00    40982.33   102875.33
 1956   31      1925    60518.67    40171.67   100690.33
 1956   31      1924    58104.50    36048.83    94153.33
 1956   32      1924    56772.83    35281.83    92054.67
 1956   32      1923    58698.83    35372.67    94071.50
 1956   33      1923    57444.00    34717.83    92161.83
 1956   33      1922    63602.00    38952.50   102554.50
 1956   34      1922    62244.50    38149.00   100393.50
 1956   34      1921    69789.50    42697.67   112487.17
 1956   35      1921    68328.83    41898.33   110227.17
 1956   35      1920    74644.33    44880.50   119524.83
