East Germany, Life tables (period 5x10), Males	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1956-1959        0      0.05088  0.04888  0.19  100000    4888   96062  6623316  66.23
1956-1959      1-4      0.00216  0.00860  1.39   95112     818  378314  6527254  68.63
1956-1959      5-9      0.00075  0.00372  2.36   94295     351  470547  6148940  65.21
1956-1959     10-14     0.00056  0.00279  2.61   93944     262  469093  5678393  60.44
1956-1959     15-19     0.00116  0.00578  2.83   93682     541  467237  5209301  55.61
1956-1959     20-24     0.00164  0.00815  2.47   93141     760  463785  4742064  50.91
1956-1959     25-29     0.00165  0.00823  2.50   92381     760  460007  4278278  46.31
1956-1959     30-34     0.00183  0.00913  2.58   91621     836  456081  3818272  41.67
1956-1959     35-39     0.00236  0.01174  2.57   90784    1066  451336  3362190  37.03
1956-1959     40-44     0.00328  0.01628  2.66   89719    1460  445170  2910854  32.44
1956-1959     45-49     0.00514  0.02541  2.68   88259    2243  436094  2465684  27.94
1956-1959     50-54     0.00880  0.04310  2.70   86016    3708  421551  2029589  23.60
1956-1959     55-59     0.01539  0.07432  2.69   82308    6118  397394  1608038  19.54
1956-1959     60-64     0.02436  0.11514  2.62   76191    8772  360110  1210645  15.89
1956-1959     65-69     0.03756  0.17225  2.60   67418   11613  309216   850535  12.62
1956-1959     70-74     0.05942  0.25964  2.57   55805   14489  243849   541319   9.70
1956-1959     75-79     0.09595  0.38693  2.50   41316   15987  166613   297470   7.20
1956-1959     80-84     0.15710  0.55557  2.37   25330   14072   89579   130856   5.17
1956-1959     85-89     0.24635  0.72641  2.18   11257    8177   33194    41278   3.67
1956-1959     90-94     0.36621  0.85898  1.91    3080    2645    7224     8083   2.62
1956-1959     95-99     0.49789  0.93212  1.64     434     405     813      859   1.98
1956-1959    100-104    0.63424  0.96832  1.41      29      29      45       46   1.57
1956-1959    105-109    0.75331  0.98368  1.24       1       1       1        1   1.33
1956-1959    110+       0.83481  1.00000  1.20       0       0       0        0   1.20
1960-1969        0      0.03166  0.03082  0.13  100000    3082   97324  6768638  67.69
1960-1969      1-4      0.00141  0.00563  1.51   96918     545  386316  6671314  68.83
1960-1969      5-9      0.00057  0.00285  2.32   96373     275  481130  6284998  65.22
1960-1969     10-14     0.00048  0.00241  2.59   96098     231  479935  5803868  60.40
1960-1969     15-19     0.00115  0.00572  2.94   95867     549  478207  5323933  55.53
1960-1969     20-24     0.00163  0.00814  2.43   95318     775  474602  4845726  50.84
1960-1969     25-29     0.00151  0.00750  2.50   94543     709  470943  4371124  46.23
1960-1969     30-34     0.00174  0.00866  2.55   93834     812  467181  3900181  41.56
1960-1969     35-39     0.00224  0.01114  2.62   93021    1036  462641  3433000  36.91
1960-1969     40-44     0.00326  0.01618  2.66   91985    1488  456439  2970359  32.29
1960-1969     45-49     0.00511  0.02525  2.67   90497    2285  447168  2513920  27.78
1960-1969     50-54     0.00845  0.04146  2.70   88213    3657  432639  2066752  23.43
1960-1969     55-59     0.01453  0.07029  2.70   84555    5944  409106  1634113  19.33
1960-1969     60-64     0.02503  0.11819  2.65   78611    9291  371197  1225007  15.58
1960-1969     65-69     0.04035  0.18395  2.60   69321   12752  316012   853810  12.32
1960-1969     70-74     0.06246  0.27087  2.55   56569   15323  245334   537797   9.51
1960-1969     75-79     0.09851  0.39488  2.49   41246   16287  165343   292464   7.09
1960-1969     80-84     0.16070  0.56440  2.36   24959   14087   87659   127121   5.09
1960-1969     85-89     0.24858  0.72846  2.16   10872    7920   31860    39462   3.63
1960-1969     90-94     0.37425  0.86421  1.89    2952    2551    6817     7602   2.58
1960-1969     95-99     0.50337  0.93416  1.63     401     374     744      785   1.96
1960-1969    100-104    0.63923  0.96918  1.41      26      26      40       41   1.56
1960-1969    105-109    0.75723  0.98403  1.24       1       1       1        1   1.32
1960-1969    110+       0.83771  1.00000  1.19       0       0       0        0   1.19
1970-1979        0      0.01791  0.01763  0.11  100000    1763   98437  6868796  68.69
1970-1979      1-4      0.00080  0.00320  1.64   98237     315  392204  6770359  68.92
1970-1979      5-9      0.00047  0.00237  2.36   97922     232  488998  6378155  65.13
1970-1979     10-14     0.00041  0.00205  2.65   97690     200  487981  5889158  60.28
1970-1979     15-19     0.00114  0.00571  2.91   97490     556  486285  5401177  55.40
1970-1979     20-24     0.00150  0.00745  2.42   96933     722  482806  4914892  50.70
1970-1979     25-29     0.00140  0.00697  2.53   96212     670  479403  4432086  46.07
1970-1979     30-34     0.00164  0.00818  2.59   95541     781  475824  3952683  41.37
1970-1979     35-39     0.00227  0.01129  2.67   94760    1070  471312  3476859  36.69
1970-1979     40-44     0.00363  0.01797  2.66   93690    1684  464510  3005547  32.08
1970-1979     45-49     0.00559  0.02760  2.64   92006    2540  454041  2541036  27.62
1970-1979     50-54     0.00880  0.04311  2.67   89467    3856  438360  2086996  23.33
1970-1979     55-59     0.01437  0.06952  2.68   85610    5952  414221  1648636  19.26
1970-1979     60-64     0.02377  0.11261  2.67   79658    8971  377394  1234415  15.50
1970-1979     65-69     0.04031  0.18400  2.63   70688   13007  322656   857021  12.12
1970-1979     70-74     0.06667  0.28672  2.56   57681   16538  248058   534365   9.26
1970-1979     75-79     0.10459  0.41337  2.47   41143   17007  162605   286308   6.96
1970-1979     80-84     0.16093  0.56434  2.35   24135   13620   84634   123702   5.13
1970-1979     85-89     0.24304  0.71986  2.17   10515    7569   31144    39068   3.72
1970-1979     90-94     0.35677  0.84897  1.91    2946    2501    7009     7925   2.69
1970-1979     95-99     0.47796  0.92338  1.68     445     411     859      915   2.06
1970-1979    100-104    0.60688  0.96268  1.45      34      33      54       56   1.64
1970-1979    105-109    0.72354  0.98054  1.28       1       1       2        2   1.38
1970-1979    110+       0.80660  1.00000  1.24       0       0       0        0   1.24
1980-1989        0      0.01159  0.01148  0.13  100000    1148   98997  6946725  69.47
1980-1989      1-4      0.00062  0.00248  1.61   98852     245  394822  6847728  69.27
1980-1989      5-9      0.00034  0.00170  2.44   98607     167  492607  6452906  65.44
1980-1989     10-14     0.00030  0.00151  2.67   98440     149  491851  5960300  60.55
1980-1989     15-19     0.00099  0.00496  2.87   98291     487  490415  5468448  55.64
1980-1989     20-24     0.00129  0.00641  2.47   97804     627  487432  4978033  50.90
1980-1989     25-29     0.00136  0.00677  2.58   97177     658  484290  4490602  46.21
1980-1989     30-34     0.00168  0.00838  2.60   96519     809  480654  4006311  41.51
1980-1989     35-39     0.00227  0.01128  2.63   95710    1079  475987  3525658  36.84
1980-1989     40-44     0.00351  0.01741  2.68   94631    1648  469335  3049670  32.23
1980-1989     45-49     0.00577  0.02846  2.70   92983    2646  458832  2580335  27.75
1980-1989     50-54     0.00954  0.04666  2.68   90337    4215  441896  2121503  23.48
1980-1989     55-59     0.01502  0.07255  2.64   86122    6248  415866  1679608  19.50
1980-1989     60-64     0.02308  0.10941  2.63   79874    8739  378637  1263742  15.82
1980-1989     65-69     0.03770  0.17297  2.62   71135   12304  326373   885104  12.44
1980-1989     70-74     0.06215  0.27006  2.58   58831   15888  255638   558731   9.50
1980-1989     75-79     0.10108  0.40322  2.49   42943   17315  171305   303093   7.06
1980-1989     80-84     0.15989  0.56191  2.36   25627   14400   90062   131787   5.14
1980-1989     85-89     0.24350  0.72094  2.17   11227    8094   33241    41725   3.72
1980-1989     90-94     0.35401  0.84796  1.93    3133    2657    7505     8484   2.71
1980-1989     95-99     0.47801  0.92344  1.68     476     440     920      980   2.06
1980-1989    100-104    0.60744  0.96282  1.45      36      35      58       60   1.64
1980-1989    105-109    0.72447  0.98065  1.28       1       1       2        2   1.38
1980-1989    110+       0.80766  1.00000  1.24       0       0       0        0   1.24
1990-1999        0      0.00653  0.00649  0.14  100000     649   99439  7108035  71.08
1990-1999      1-4      0.00047  0.00187  1.64   99351     186  396965  7008596  70.54
1990-1999      5-9      0.00023  0.00113  2.38   99165     112  495532  6611630  66.67
1990-1999     10-14     0.00024  0.00119  2.79   99053     118  495007  6116098  61.75
1990-1999     15-19     0.00102  0.00509  3.10   98936     503  493724  5621091  56.82
1990-1999     20-24     0.00130  0.00648  2.40   98432     637  490503  5127367  52.09
1990-1999     25-29     0.00129  0.00645  2.58   97795     631  487448  4636864  47.41
1990-1999     30-34     0.00179  0.00892  2.65   97164     867  483782  4149416  42.71
1990-1999     35-39     0.00274  0.01362  2.67   96297    1311  478427  3665634  38.07
1990-1999     40-44     0.00399  0.01977  2.65   94986    1877  470513  3187207  33.55
1990-1999     45-49     0.00570  0.02814  2.63   93108    2620  459342  2716694  29.18
1990-1999     50-54     0.00876  0.04293  2.65   90488    3885  443293  2257352  24.95
1990-1999     55-59     0.01336  0.06479  2.65   86603    5611  419838  1814059  20.95
1990-1999     60-64     0.02108  0.10038  2.63   80993    8130  385720  1394221  17.21
1990-1999     65-69     0.03225  0.14968  2.61   72863   10906  338205  1008501  13.84
1990-1999     70-74     0.04944  0.22070  2.57   61956   13674  276555   670296  10.82
1990-1999     75-79     0.08018  0.33497  2.54   48282   16173  201698   393740   8.15
1990-1999     80-84     0.12977  0.48585  2.41   32109   15600  120212   192042   5.98
1990-1999     85-89     0.19956  0.64563  2.27   16509   10659   53412    71830   4.35
1990-1999     90-94     0.29831  0.79468  2.06    5850    4649   15585    18418   3.15
1990-1999     95-99     0.41259  0.88959  1.80    1201    1069    2590     2833   2.36
1990-1999    100-104    0.54023  0.94576  1.56     133     125     232      243   1.83
1990-1999    105-109    0.66378  0.97278  1.37       7       7      11       11   1.50
1990-1999    110+       0.75624  1.00000  1.32       0       0       0        0   1.32
2000-2009        0      0.00377  0.00376  0.14  100000     376   99678  7520165  75.20
2000-2009      1-4      0.00022  0.00087  1.61   99624      87  398289  7420487  74.48
2000-2009      5-9      0.00012  0.00062  2.39   99537      62  497525  7022198  70.55
2000-2009     10-14     0.00015  0.00076  2.84   99475      76  497213  6524673  65.59
2000-2009     15-19     0.00061  0.00302  3.08   99400     300  496421  6027460  60.64
2000-2009     20-24     0.00081  0.00405  2.42   99099     402  494461  5531038  55.81
2000-2009     25-29     0.00077  0.00384  2.53   98698     379  492551  5036577  51.03
2000-2009     30-34     0.00095  0.00472  2.66   98319     464  490509  4544027  46.22
2000-2009     35-39     0.00159  0.00792  2.72   97855     775  487505  4053517  41.42
2000-2009     40-44     0.00279  0.01385  2.72   97079    1344  482333  3566012  36.73
2000-2009     45-49     0.00460  0.02277  2.66   95735    2180  473581  3083679  32.21
2000-2009     50-54     0.00687  0.03382  2.64   93555    3164  460317  2610098  27.90
2000-2009     55-59     0.00979  0.04783  2.64   90391    4323  441753  2149781  23.78
2000-2009     60-64     0.01441  0.06965  2.62   86068    5994  416081  1708028  19.85
2000-2009     65-69     0.02212  0.10513  2.64   80074    8418  380512  1291947  16.13
2000-2009     70-74     0.03571  0.16456  2.62   71655   11792  330191   911435  12.72
2000-2009     75-79     0.05779  0.25353  2.58   59864   15177  262608   581244   9.71
2000-2009     80-84     0.09496  0.38416  2.52   44686   17167  180778   318635   7.13
2000-2009     85-89     0.16172  0.56853  2.39   27519   15646   96744   137858   5.01
2000-2009     90-94     0.26372  0.75301  2.15   11874    8941   33904    41114   3.46
2000-2009     95-99     0.39289  0.87918  1.86    2933    2578    6562     7210   2.46
2000-2009    100-104    0.54103  0.94739  1.57     354     336     620      648   1.83
2000-2009    105-109    0.68382  0.97630  1.34      19      18      27       27   1.46
2000-2009    110+       0.78707  1.00000  1.27       0       0       1        1   1.27
2010-2017        0      0.00295  0.00294  0.14  100000     294   99748  7713256  77.13
2010-2017      1-4      0.00017  0.00070  1.61   99706      70  398657  7613508  76.36
2010-2017      5-9      0.00008  0.00041  2.44   99636      41  498076  7214851  72.41
2010-2017     10-14     0.00010  0.00052  2.54   99595      52  497848  6716775  67.44
2010-2017     15-19     0.00034  0.00168  3.03   99543     167  497388  6218927  62.47
2010-2017     20-24     0.00057  0.00285  2.55   99376     284  496186  5721538  57.57
2010-2017     25-29     0.00060  0.00301  2.62   99093     299  494753  5225352  52.73
2010-2017     30-34     0.00077  0.00385  2.63   98794     380  493068  4730599  47.88
2010-2017     35-39     0.00109  0.00544  2.67   98414     535  490821  4237531  43.06
2010-2017     40-44     0.00192  0.00954  2.72   97878     934  487262  3746710  38.28
2010-2017     45-49     0.00348  0.01729  2.71   96945    1676  480886  3259448  33.62
2010-2017     50-54     0.00598  0.02948  2.70   95269    2808  469878  2778562  29.17
2010-2017     55-59     0.00941  0.04602  2.65   92461    4255  452314  2308684  24.97
2010-2017     60-64     0.01381  0.06687  2.62   88206    5898  426992  1856370  21.05
2010-2017     65-69     0.01942  0.09275  2.59   82308    7634  393129  1429378  17.37
2010-2017     70-74     0.02813  0.13180  2.62   74673    9842  349925  1036249  13.88
2010-2017     75-79     0.04673  0.21035  2.63   64831   13637  291804   686324  10.59
2010-2017     80-84     0.08270  0.34431  2.57   51194   17626  213144   394520   7.71
2010-2017     85-89     0.14413  0.52595  2.43   33568   17655  122497   181376   5.40
