Germany, Exposure to risk (period 5x5), 	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1994        0           2036323.21      2146148.74      4182471.95
1990-1994      1-4           8669104.85      9126995.92     17796100.78
1990-1994      5-9          10661828.39     11217416.83     21879245.22
1990-1994     10-14         10400684.96     10930816.74     21331501.70
1990-1994     15-19         10316765.85     10861361.93     21178127.78
1990-1994     20-24         14221362.12     14979722.93     29201085.06
1990-1994     25-29         16965096.73     18170929.87     35136026.61
1990-1994     30-34         15948309.88     16980428.33     32928738.20
1990-1994     35-39         14261414.57     14924315.33     29185729.91
1990-1994     40-44         13122589.17     13598814.39     26721403.56
1990-1994     45-49         11882074.92     12326544.85     24208619.77
1990-1994     50-54         14803223.67     15171786.50     29975010.17
1990-1994     55-59         12763715.17     12686633.17     25450348.33
1990-1994     60-64         11280181.83     10245957.33     21526139.17
1990-1994     65-69         11510735.83      7726431.17     19237167.00
1990-1994     70-74          9304325.16      5080011.84     14384337.00
1990-1994     75-79          7639079.50      3626298.00     11265377.50
1990-1994     80-84          6786598.05      2745150.32      9531748.37
1990-1994     85-89          3344672.44      1158053.60      4502726.05
1990-1994     90-94          1010152.27       275974.47      1286126.74
1990-1994     95-99           167117.20        34753.61       201870.80
1990-1994    100-104           12853.66         2470.67        15324.33
1990-1994    105-109             481.33           86.50          567.83
1990-1994    110+                  6.67            0.17            6.83
1995-1999        0           1912103.54      2017826.45      3929929.99
1995-1999      1-4           7802461.44      8222591.35     16025052.78
1995-1999      5-9          10982314.90     11553009.14     22535324.04
1995-1999     10-14         10981477.50     11541553.33     22523030.83
1995-1999     15-19         10808501.08     11343086.01     22151587.09
1995-1999     20-24         11123293.14     11564486.64     22687779.78
1995-1999     25-29         14747860.00     15606241.48     30354101.47
1995-1999     30-34         17273669.86     18410738.44     35684408.30
1995-1999     35-39         16210456.47     17100498.32     33310954.79
1995-1999     40-44         14430964.10     14922213.84     29353177.94
1995-1999     45-49         13155697.78     13429665.61     26585363.39
1995-1999     50-54         11769282.97     11958654.63     23727937.60
1995-1999     55-59         14599887.00     14537921.17     29137808.17
1995-1999     60-64         12436649.50     11819516.67     24256166.17
1995-1999     65-69         10770377.67      9130479.67     19900857.33
1995-1999     70-74         10584173.33      6490235.33     17074408.67
1995-1999     75-79          7997667.00      3845424.33     11843091.33
1995-1999     80-84          5699451.55      2245784.91      7945236.46
1995-1999     85-89          4022521.54      1295926.12      5318447.65
1995-1999     90-94          1347152.16       353949.89      1701102.05
1995-1999     95-99           236314.46        47484.95       283799.41
1995-1999    100-104           19905.51         2967.61        22873.11
1995-1999    105-109             800.66          138.67          939.33
1995-1999    110+                  8.33            1.50            9.83
