Germany,  Exposures (Lexis triangle)	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1990    0      1990   222886.46   235324.11   458210.57
 1990    0      1989   213885.50   224817.58   438703.08
 1990    1      1989   218526.56   229411.10   447937.66
 1990    1      1988   218475.75   230461.91   448937.66
 1990    2      1988   223951.66   236145.96   460097.62
 1990    2      1987   212885.95   225224.15   438110.10
 1990    3      1987   217429.79   230002.32   447432.11
 1990    3      1986   210694.60   221160.51   431855.11
 1990    4      1986   213643.39   224393.28   438036.67
 1990    4      1985   200854.93   211162.56   412017.49
 1990    5      1985   207828.73   218552.72   426381.44
 1990    5      1984   201104.14   211874.05   412978.20
 1990    6      1984   205506.29   216463.61   421969.90
 1990    6      1983   201469.07   211970.06   413439.13
 1990    7      1983   209365.44   220341.18   429706.62
 1990    7      1982   208465.27   219600.69   428065.96
 1990    8      1982   213612.74   225009.81   438622.55
 1990    8      1981   207665.61   217636.22   425301.83
 1990    9      1981   214208.44   224454.79   438663.23
 1990    9      1980   210068.88   220104.14   430173.01
 1990   10      1980   214576.06   224793.40   439369.46
 1990   10      1979   197985.01   208232.48   406217.49
 1990   11      1979   203083.07   213492.83   416575.90
 1990   11      1978   192914.33   203386.45   396300.78
 1990   12      1978   202536.45   213612.01   416148.47
 1990   12      1977   193058.98   203694.63   396753.60
 1990   13      1977   199544.95   210720.64   410265.59
 1990   13      1976   189357.06   199173.74   388530.80
 1990   14      1976   198274.19   208622.84   406897.03
 1990   14      1975   182329.28   192780.93   375110.20
 1990   15      1975   193718.91   205038.42   398757.33
 1990   15      1974   187298.70   197533.58   384832.28
 1990   16      1974   199260.00   210019.51   409279.51
 1990   16      1973   191032.09   201408.40   392440.49
 1990   17      1973   204775.85   215372.37   420148.21
 1990   17      1972   208306.04   219154.44   427460.48
 1990   18      1972   234725.15   246455.03   481180.18
 1990   18      1971   241778.40   254278.88   496057.28
 1990   19      1971   261057.69   273377.03   534434.72
 1990   19      1970   258001.18   269592.54   527593.72
 1990   20      1970   275348.34   286705.02   562053.36
 1990   20      1969   279854.11   291817.37   571671.47
 1990   21      1969   306231.11   319680.41   625911.51
 1990   21      1968   298396.04   311263.49   609659.53
 1990   22      1968   323250.22   338716.49   661966.72
 1990   22      1967   312215.10   326766.96   638982.06
 1990   23      1967   332854.92   350141.14   682996.06
 1990   23      1966   323531.73   340779.41   664311.14
 1990   24      1966   343885.91   363691.91   707577.83
 1990   24      1965   325789.73   346606.35   672396.08
 1990   25      1965   345895.52   369310.21   715205.73
 1990   25      1964   333181.92   355274.12   688456.04
 1990   26      1964   354350.09   378704.14   733054.23
 1990   26      1963   332885.26   355506.06   688391.32
 1990   27      1963   351283.58   376010.19   727293.78
 1990   27      1962   326010.09   346581.38   672591.48
 1990   28      1962   339416.06   361321.47   700737.53
 1990   28      1961   323357.98   341110.80   664468.79
 1990   29      1961   336962.30   356150.37   693112.67
 1990   29      1960   313181.50   330406.87   643588.37
 1990   30      1960   328103.73   347130.72   675234.45
 1990   30      1959   303947.80   321756.37   625704.17
 1990   31      1959   319661.88   338947.43   658609.32
 1990   31      1958   290919.95   308774.69   599694.64
 1990   32      1958   301393.35   320287.45   621680.79
 1990   32      1957   286269.58   303541.29   589810.87
 1990   33      1957   298118.86   316414.24   614533.11
 1990   33      1956   280236.01   295884.37   576120.37
 1990   34      1956   293615.88   310546.19   604162.07
