Germany, Life tables (period 5x10), Total	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1990-1999        0      0.00557  0.00554  0.14  100000     554   99522  7652339  76.52
1990-1999      1-4      0.00033  0.00131  1.63   99446     130  397474  7552817  75.95
1990-1999      5-9      0.00016  0.00079  2.37   99316      79  496371  7155343  72.05
1990-1999     10-14     0.00016  0.00081  2.70   99237      81  496000  6658972  67.10
1990-1999     15-19     0.00054  0.00268  3.00   99156     266  495249  6162972  62.15
1990-1999     20-24     0.00070  0.00351  2.46   98890     347  493570  5667723  57.31
1990-1999     25-29     0.00072  0.00358  2.56   98543     352  491857  5174153  52.51
1990-1999     30-34     0.00093  0.00464  2.64   98191     456  489878  4682297  47.69
1990-1999     35-39     0.00139  0.00694  2.67   97735     678  487094  4192418  42.90
1990-1999     40-44     0.00216  0.01075  2.67   97057    1044  482848  3705324  38.18
1990-1999     45-49     0.00333  0.01654  2.67   96013    1588  476358  3222476  33.56
1990-1999     50-54     0.00520  0.02568  2.66   94425    2425  466440  2746117  29.08
1990-1999     55-59     0.00797  0.03913  2.67   92000    3600  451594  2279678  24.78
1990-1999     60-64     0.01283  0.06229  2.66   88400    5506  429113  1828084  20.68
1990-1999     65-69     0.01979  0.09454  2.63   82894    7836  395903  1398971  16.88
1990-1999     70-74     0.03087  0.14381  2.62   75057   10794  349606  1003069  13.36
1990-1999     75-79     0.05172  0.23024  2.62   64263   14796  286076   653463  10.17
1990-1999     80-84     0.08972  0.36739  2.54   49467   18174  202553   367386   7.43
1990-1999     85-89     0.15130  0.54294  2.40   31294   16991  112297   164833   5.27
1990-1999     90-94     0.24507  0.72454  2.18   14303   10363   42286    52536   3.67
1990-1999     95-99     0.36870  0.86163  1.91    3940    3395    9207    10250   2.60
1990-1999    100-104    0.51587  0.93954  1.62     545     512     993     1042   1.91
1990-1999    105-109    0.66331  0.97353  1.37      33      32      48       50   1.50
1990-1999    110+       0.77266  1.00000  1.29       1       1       1        1   1.29
2000-2009        0      0.00398  0.00397  0.14  100000     397   99659  7910277  79.10
2000-2009      1-4      0.00022  0.00086  1.59   99603      86  398207  7810618  78.42
2000-2009      5-9      0.00010  0.00051  2.37   99518      50  497456  7412411  74.48
