Germany, Life tables (period 5x10), Females	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1990-1999        0      0.00488  0.00486  0.14  100000     486   99581  7959227  79.59
1990-1999      1-4      0.00029  0.00117  1.60   99514     116  397777  7859645  78.98
1990-1999      5-9      0.00014  0.00068  2.36   99398      68  496810  7461868  75.07
1990-1999     10-14     0.00013  0.00067  2.65   99330      66  496493  6965059  70.12
1990-1999     15-19     0.00031  0.00157  2.81   99264     156  495976  6468565  65.17
1990-1999     20-24     0.00035  0.00174  2.47   99107     173  495100  5972589  60.26
1990-1999     25-29     0.00039  0.00194  2.60   98935     192  494212  5477489  55.36
1990-1999     30-34     0.00056  0.00278  2.69   98742     274  493078  4983277  50.47
1990-1999     35-39     0.00089  0.00447  2.68   98468     440  491322  4490199  45.60
1990-1999     40-44     0.00146  0.00726  2.68   98028     712  488492  3998877  40.79
1990-1999     45-49     0.00227  0.01127  2.66   97316    1097  484017  3510385  36.07
1990-1999     50-54     0.00338  0.01679  2.65   96220    1615  477297  3026369  31.45
1990-1999     55-59     0.00501  0.02476  2.66   94605    2343  467548  2549071  26.94
1990-1999     60-64     0.00814  0.03993  2.68   92262    3684  452778  2081524  22.56
1990-1999     65-69     0.01352  0.06554  2.68   88578    5805  429445  1628746  18.39
1990-1999     70-74     0.02332  0.11060  2.67   82773    9154  392553  1199301  14.49
1990-1999     75-79     0.04224  0.19224  2.67   73618   14152  335064   806749  10.96
1990-1999     80-84     0.07810  0.32852  2.58   59466   19536  250134   471685   7.93
1990-1999     85-89     0.13888  0.51251  2.44   39930   20465  147351   221550   5.55
1990-1999     90-94     0.23297  0.70637  2.21   19465   13750   59019    74199   3.81
1990-1999     95-99     0.35986  0.85526  1.93    5716    4888   13584    15180   2.66
1990-1999    100-104    0.51100  0.93813  1.63     827     776    1519     1596   1.93
1990-1999    105-109    0.66173  0.97337  1.37      51      50      75       77   1.51
1990-1999    110+       0.77266  1.00000  1.29       1       1       2        2   1.29
2000-2009        0      0.00355  0.00353  0.14  100000     353   99697  8182826  81.83
2000-2009      1-4      0.00020  0.00079  1.59   99647      79  398396  8083130  81.12
2000-2009      5-9      0.00009  0.00044  2.31   99568      44  497720  7684733  77.18
2000-2009     10-14     0.00010  0.00050  2.71   99524      50  497504  7187013  72.21
2000-2009     15-19     0.00022  0.00111  2.78   99474     110  497124  6689509  67.25
2000-2009     20-24     0.00026  0.00129  2.47   99363     128  496493  6192385  62.32
2000-2009     25-29     0.00028  0.00139  2.59   99235     138  495844  5695892  57.40
2000-2009     30-34     0.00038  0.00190  2.67   99097     188  495050  5200048  52.47
2000-2009     35-39     0.00063  0.00314  2.71   98909     311  493834  4704999  47.57
2000-2009     40-44     0.00108  0.00540  2.72   98598     532  491781  4211164  42.71
2000-2009     45-49     0.00189  0.00939  2.69   98066     921  488208  3719383  37.93
2000-2009     50-54     0.00293  0.01456  2.65   97145    1414  482404  3231175  33.26
2000-2009     55-59     0.00435  0.02155  2.64   95731    2063  473792  2748772  28.71
2000-2009     60-64     0.00642  0.03160  2.64   93668    2960  461343  2274980  24.29
2000-2009     65-69     0.00995  0.04864  2.68   90708    4412  443304  1813637  19.99
2000-2009     70-74     0.01745  0.08387  2.70   86296    7238  414871  1370333  15.88
2000-2009     75-79     0.03255  0.15136  2.69   79059   11966  367652   955462  12.09
2000-2009     80-84     0.06279  0.27320  2.63   67092   18330  291929   587809   8.76
2000-2009     85-89     0.11932  0.46009  2.51   48763   22435  188028   295880   6.07
2000-2009     90-94     0.21080  0.67016  2.28   26328   17644   83701   107852   4.10
2000-2009     95-99     0.34054  0.84008  1.98    8684    7295   21422    24151   2.78
2000-2009    100-104    0.50078  0.93532  1.65    1389    1299    2594     2729   1.96
2000-2009    105-109    0.66270  0.97389  1.37      90      87     132      135   1.50
2000-2009    110+       0.78089  1.00000  1.28       2       2       3        3   1.28
2010-2017        0      0.00310  0.00309  0.14  100000     309   99735  8302205  83.02
2010-2017      1-4      0.00015  0.00058  1.61   99691      58  398626  8202470  82.28
2010-2017      5-9      0.00007  0.00037  2.33   99633      36  498068  7803844  78.33
2010-2017     10-14     0.00008  0.00039  2.74   99597      39  497896  7305776  73.35
2010-2017     15-19     0.00016  0.00082  2.75   99558      81  497606  6807881  68.38
2010-2017     20-24     0.00020  0.00098  2.52   99477      97  497142  6310274  63.43
2010-2017     25-29     0.00023  0.00117  2.65   99379     116  496625  5813133  58.49
2010-2017     30-34     0.00034  0.00170  2.67   99263     169  495923  5316508  53.56
2010-2017     35-39     0.00051  0.00257  2.70   99094     255  494887  4820584  48.65
2010-2017     40-44     0.00087  0.00432  2.71   98840     427  493220  4325697  43.76
2010-2017     45-49     0.00150  0.00748  2.73   98413     736  490396  3832477  38.94
2010-2017     50-54     0.00256  0.01271  2.70   97677    1242  485528  3342082  34.22
2010-2017     55-59     0.00405  0.02005  2.66   96435    1934  477659  2856554  29.62
2010-2017     60-64     0.00626  0.03082  2.65   94502    2913  465662  2378895  25.17
2010-2017     65-69     0.00946  0.04627  2.64   91589    4238  447943  1913232  20.89
2010-2017     70-74     0.01466  0.07086  2.66   87351    6189  422273  1465289  16.77
2010-2017     75-79     0.02641  0.12453  2.71   81162   10107  382713  1043017  12.85
2010-2017     80-84     0.05390  0.23954  2.68   71055   17021  315807   660303   9.29
2010-2017     85-89     0.10812  0.42750  2.55   54034   23100  213643   344497   6.38
2010-2017     90-94     0.20038  0.65101  2.31   30935   20139  100502   130853   4.23
2010-2017     95-99     0.33555  0.83685  2.01   10796    9035   26924    30351   2.81
2010-2017    100-104    0.50579  0.93792  1.65    1761    1652    3266     3427   1.95
2010-2017    105-109    0.67699  0.97620  1.36     109     107     158      161   1.47
2010-2017    110+       0.79899  1.00000  1.25       3       3       3        3   1.25
