Germany, Life tables (period 1x10), Males	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1990-1999        0      0.00622  0.00619  0.14  100000     619   99466  7313552  73.14
1990-1999        1      0.00054  0.00054  0.50   99381      54   99354  7214086  72.59
1990-1999        2      0.00038  0.00038  0.50   99327      37   99308  7114732  71.63
1990-1999        3      0.00029  0.00029  0.50   99290      29   99275  7015424  70.66
1990-1999        4      0.00023  0.00023  0.50   99261      23   99249  6916149  69.68
1990-1999        5      0.00020  0.00020  0.50   99238      20   99228  6816899  68.69
1990-1999        6      0.00019  0.00019  0.50   99217      18   99208  6717672  67.71
1990-1999        7      0.00018  0.00018  0.50   99199      17   99190  6618463  66.72
1990-1999        8      0.00017  0.00017  0.50   99182      17   99173  6519273  65.73
1990-1999        9      0.00015  0.00015  0.50   99164      15   99157  6420100  64.74
1990-1999       10      0.00015  0.00015  0.50   99149      15   99142  6320943  63.75
1990-1999       11      0.00017  0.00017  0.50   99134      17   99125  6221802  62.76
1990-1999       12      0.00018  0.00018  0.50   99117      17   99108  6122676  61.77
1990-1999       13      0.00020  0.00020  0.50   99100      20   99089  6023568  60.78
1990-1999       14      0.00025  0.00025  0.50   99079      25   99067  5924478  59.80
1990-1999       15      0.00033  0.00033  0.50   99055      33   99038  5825412  58.81
1990-1999       16      0.00052  0.00052  0.50   99022      51   98996  5726374  57.83
1990-1999       17      0.00068  0.00068  0.50   98970      67   98937  5627378  56.86
1990-1999       18      0.00109  0.00109  0.50   98903     108   98849  5528441  55.90
1990-1999       19      0.00112  0.00112  0.50   98795     111   98740  5429592  54.96
1990-1999       20      0.00107  0.00107  0.50   98684     106   98632  5330852  54.02
1990-1999       21      0.00108  0.00108  0.50   98579     107   98525  5232220  53.08
1990-1999       22      0.00104  0.00104  0.50   98472     102   98421  5133695  52.13
1990-1999       23      0.00103  0.00103  0.50   98370     101   98319  5035274  51.19
1990-1999       24      0.00099  0.00099  0.50   98269      97   98220  4936955  50.24
1990-1999       25      0.00099  0.00099  0.50   98172      97   98123  4838735  49.29
1990-1999       26      0.00098  0.00098  0.50   98074      96   98026  4740612  48.34
1990-1999       27      0.00101  0.00101  0.50   97978      99   97928  4642586  47.38
1990-1999       28      0.00105  0.00104  0.50   97879     102   97828  4544658  46.43
1990-1999       29      0.00109  0.00109  0.50   97776     106   97723  4446831  45.48
1990-1999       30      0.00114  0.00114  0.50   97670     111   97614  4349107  44.53
1990-1999       31      0.00119  0.00119  0.50   97559     116   97501  4251493  43.58
1990-1999       32      0.00126  0.00126  0.50   97443     122   97382  4153992  42.63
1990-1999       33      0.00137  0.00137  0.50   97320     133   97254  4056610  41.68
1990-1999       34      0.00145  0.00145  0.50   97187     141   97117  3959357  40.74
1990-1999       35      0.00156  0.00156  0.50   97046     151   96970  3862240  39.80
1990-1999       36      0.00171  0.00171  0.50   96895     166   96812  3765269  38.86
1990-1999       37      0.00186  0.00186  0.50   96729     180   96639  3668458  37.93
1990-1999       38      0.00200  0.00199  0.50   96549     192   96453  3571818  36.99
1990-1999       39      0.00220  0.00220  0.50   96356     212   96251  3475366  36.07
1990-1999       40      0.00238  0.00238  0.50   96145     229   96030  3379115  35.15
1990-1999       41      0.00260  0.00260  0.50   95916     249   95791  3283085  34.23
1990-1999       42      0.00284  0.00283  0.50   95667     271   95531  3187293  33.32
1990-1999       43      0.00308  0.00307  0.50   95396     293   95249  3091762  32.41
1990-1999       44      0.00332  0.00331  0.50   95103     315   94945  2996513  31.51
1990-1999       45      0.00366  0.00366  0.50   94788     346   94614  2901567  30.61
1990-1999       46      0.00395  0.00394  0.50   94441     372   94255  2806953  29.72
1990-1999       47      0.00432  0.00432  0.50   94069     406   93866  2712698  28.84
1990-1999       48      0.00474  0.00473  0.50   93663     443   93441  2618832  27.96
1990-1999       49      0.00520  0.00519  0.50   93220     484   92978  2525391  27.09
1990-1999       50      0.00585  0.00583  0.50   92736     541   92465  2432414  26.23
1990-1999       51      0.00629  0.00627  0.50   92195     578   91906  2339948  25.38
1990-1999       52      0.00694  0.00692  0.50   91617     634   91300  2248042  24.54
1990-1999       53      0.00756  0.00753  0.50   90983     686   90640  2156743  23.70
1990-1999       54      0.00827  0.00824  0.50   90297     744   89925  2066103  22.88
1990-1999       55      0.00902  0.00898  0.50   89553     804   89151  1976177  22.07
1990-1999       56      0.00988  0.00983  0.50   88749     873   88313  1887026  21.26
1990-1999       57      0.01089  0.01083  0.50   87877     952   87401  1798713  20.47
1990-1999       58      0.01184  0.01177  0.50   86925    1023   86413  1711312  19.69
1990-1999       59      0.01324  0.01316  0.50   85902    1130   85337  1624899  18.92
1990-1999       60      0.01465  0.01455  0.50   84772    1233   84155  1539562  18.16
1990-1999       61      0.01615  0.01602  0.50   83539    1338   82869  1455407  17.42
1990-1999       62      0.01783  0.01767  0.50   82200    1452   81474  1372537  16.70
1990-1999       63      0.01964  0.01945  0.50   80748    1570   79963  1291063  15.99
1990-1999       64      0.02152  0.02129  0.50   79177    1686   78335  1211101  15.30
1990-1999       65      0.02352  0.02325  0.50   77492    1801   76591  1132766  14.62
1990-1999       66      0.02563  0.02531  0.50   75690    1915   74733  1056175  13.95
1990-1999       67      0.02810  0.02771  0.50   73775    2045   72753   981442  13.30
1990-1999       68      0.03069  0.03023  0.50   71730    2168   70646   908690  12.67
1990-1999       69      0.03343  0.03288  0.50   69562    2287   68418   838044  12.05
1990-1999       70      0.03681  0.03614  0.50   67275    2431   66059   769625  11.44
1990-1999       71      0.04021  0.03941  0.50   64844    2556   63566   703566  10.85
1990-1999       72      0.04383  0.04289  0.50   62288    2671   60952   640000  10.27
1990-1999       73      0.04801  0.04688  0.50   59617    2795   58219   579048   9.71
1990-1999       74      0.05276  0.05140  0.50   56822    2921   55361   520829   9.17
1990-1999       75      0.05885  0.05717  0.50   53901    3081   52360   465468   8.64
1990-1999       76      0.06469  0.06267  0.50   50819    3185   49227   413108   8.13
1990-1999       77      0.07171  0.06923  0.50   47635    3298   45986   363881   7.64
1990-1999       78      0.07942  0.07639  0.50   44337    3387   42643   317895   7.17
1990-1999       79      0.08848  0.08474  0.50   40950    3470   39215   275252   6.72
1990-1999       80      0.09832  0.09371  0.50   37480    3512   35724   236037   6.30
1990-1999       81      0.10986  0.10414  0.50   33968    3537   32199   200313   5.90
1990-1999       82      0.12052  0.11367  0.50   30431    3459   28701   168114   5.52
1990-1999       83      0.13288  0.12460  0.50   26971    3361   25291   139413   5.17
1990-1999       84      0.14607  0.13613  0.50   23611    3214   22004   114121   4.83
1990-1999       85      0.16103  0.14903  0.50   20397    3040   18877    92118   4.52
1990-1999       86      0.17667  0.16233  0.50   17357    2818   15948    73241   4.22
1990-1999       87      0.19416  0.17698  0.50   14539    2573   13253    57293   3.94
1990-1999       88      0.21206  0.19173  0.50   11966    2294   10819    44040   3.68
1990-1999       89      0.23323  0.20887  0.50    9672    2020    8662    33221   3.43
1990-1999       90      0.25735  0.22801  0.50    7652    1745    6779    24559   3.21
1990-1999       91      0.27766  0.24382  0.50    5907    1440    5187    17780   3.01
1990-1999       92      0.30249  0.26275  0.50    4467    1174    3880    12593   2.82
1990-1999       93      0.32861  0.28223  0.50    3293     929    2828     8713   2.65
1990-1999       94      0.35975  0.30490  0.50    2364     721    2003     5885   2.49
1990-1999       95      0.37800  0.31791  0.50    1643     522    1382     3881   2.36
1990-1999       96      0.40533  0.33702  0.50    1121     378     932     2499   2.23
1990-1999       97      0.43325  0.35611  0.50     743     265     611     1568   2.11
1990-1999       98      0.46161  0.37505  0.50     478     179     389      957   2.00
1990-1999       99      0.49022  0.39372  0.50     299     118     240      568   1.90
1990-1999      100      0.51889  0.41200  0.50     181      75     144      328   1.81
1990-1999      101      0.54744  0.42980  0.50     107      46      84      184   1.73
1990-1999      102      0.57568  0.44701  0.50      61      27      47      101   1.65
1990-1999      103      0.60343  0.46357  0.50      34      16      26       53   1.59
1990-1999      104      0.63054  0.47940  0.50      18       9      14       28   1.53
1990-1999      105      0.65684  0.49445  0.50       9       5       7       14   1.47
1990-1999      106      0.68222  0.50870  0.50       5       2       4        7   1.42
1990-1999      107      0.70656  0.52211  0.50       2       1       2        3   1.38
1990-1999      108      0.72977  0.53467  0.50       1       1       1        1   1.34
1990-1999      109      0.75179  0.54640  0.50       1       0       0        1   1.31
1990-1999      110+     0.77257  1.00000  1.29       0       0       0        0   1.29
2000-2009        0      0.00439  0.00437  0.14  100000     437   99624  7617801  76.18
2000-2009        1      0.00039  0.00039  0.50   99563      39   99543  7518177  75.51
2000-2009        2      0.00021  0.00021  0.50   99524      21   99513  7418634  74.54
2000-2009        3      0.00018  0.00018  0.50   99503      18   99494  7319121  73.56
2000-2009        4      0.00014  0.00014  0.50   99484      14   99477  7219627  72.57
2000-2009        5      0.00013  0.00013  0.50   99470      13   99464  7120150  71.58
2000-2009        6      0.00012  0.00012  0.50   99458      12   99452  7020686  70.59
2000-2009        7      0.00011  0.00011  0.50   99446      11   99441  6921234  69.60
2000-2009        8      0.00011  0.00011  0.50   99435      11   99430  6821793  68.61
2000-2009        9      0.00010  0.00010  0.50   99424      10   99419  6722364  67.61
2000-2009       10      0.00009  0.00009  0.50   99414       9   99409  6622945  66.62
2000-2009       11      0.00012  0.00012  0.50   99404      12   99398  6523536  65.63
2000-2009       12      0.00013  0.00013  0.50   99392      13   99386  6424137  64.63
2000-2009       13      0.00013  0.00013  0.50   99379      13   99373  6324752  63.64
2000-2009       14      0.00018  0.00018  0.50   99366      17   99357  6225379  62.65
2000-2009       15      0.00022  0.00022  0.50   99349      22   99338  6126022  61.66
2000-2009       16      0.00036  0.00036  0.50   99326      36   99309  6026684  60.68
2000-2009       17      0.00045  0.00045  0.50   99291      44   99269  5927376  59.70
2000-2009       18      0.00072  0.00072  0.50   99246      71   99211  5828107  58.72
2000-2009       19      0.00072  0.00072  0.50   99175      72   99139  5728896  57.77
2000-2009       20      0.00075  0.00075  0.50   99104      74   99067  5629757  56.81
2000-2009       21      0.00073  0.00073  0.50   99030      72   98994  5530690  55.85
2000-2009       22      0.00071  0.00071  0.50   98958      70   98923  5431696  54.89
2000-2009       23      0.00069  0.00069  0.50   98888      69   98853  5332774  53.93
2000-2009       24      0.00070  0.00070  0.50   98819      69   98785  5233920  52.96
2000-2009       25      0.00070  0.00070  0.50   98750      69   98716  5135136  52.00
2000-2009       26      0.00071  0.00071  0.50   98682      70   98647  5036420  51.04
2000-2009       27      0.00071  0.00071  0.50   98612      70   98577  4937773  50.07
2000-2009       28      0.00071  0.00071  0.50   98542      70   98507  4839196  49.11
2000-2009       29      0.00072  0.00072  0.50   98472      71   98436  4740689  48.14
2000-2009       30      0.00075  0.00075  0.50   98401      74   98364  4642253  47.18
2000-2009       31      0.00081  0.00081  0.50   98327      79   98287  4543889  46.21
2000-2009       32      0.00084  0.00084  0.50   98248      82   98207  4445601  45.25
2000-2009       33      0.00087  0.00087  0.50   98165      86   98123  4347395  44.29
2000-2009       34      0.00095  0.00095  0.50   98080      93   98033  4249272  43.32
2000-2009       35      0.00103  0.00103  0.50   97987     101   97936  4151239  42.37
2000-2009       36      0.00110  0.00110  0.50   97886     107   97832  4053303  41.41
2000-2009       37      0.00118  0.00118  0.50   97779     115   97721  3955471  40.45
2000-2009       38      0.00133  0.00133  0.50   97663     130   97598  3857750  39.50
2000-2009       39      0.00147  0.00147  0.50   97533     143   97462  3760151  38.55
2000-2009       40      0.00166  0.00166  0.50   97390     161   97310  3662689  37.61
2000-2009       41      0.00181  0.00180  0.50   97229     175   97141  3565380  36.67
2000-2009       42      0.00203  0.00203  0.50   97054     197   96955  3468238  35.74
2000-2009       43      0.00231  0.00230  0.50   96857     223   96745  3371283  34.81
2000-2009       44      0.00255  0.00255  0.50   96634     246   96511  3274538  33.89
2000-2009       45      0.00286  0.00286  0.50   96388     275   96250  3178027  32.97
2000-2009       46      0.00320  0.00320  0.50   96113     307   95959  3081776  32.06
2000-2009       47      0.00356  0.00356  0.50   95805     341   95635  2985817  31.17
2000-2009       48      0.00394  0.00393  0.50   95465     375   95277  2890182  30.27
2000-2009       49      0.00433  0.00433  0.50   95089     411   94884  2794905  29.39
2000-2009       50      0.00472  0.00471  0.50   94678     446   94455  2700021  28.52
2000-2009       51      0.00519  0.00518  0.50   94232     488   93988  2605566  27.65
2000-2009       52      0.00571  0.00569  0.50   93744     534   93477  2511578  26.79
2000-2009       53      0.00617  0.00615  0.50   93210     573   92924  2418101  25.94
2000-2009       54      0.00680  0.00678  0.50   92637     628   92323  2325178  25.10
2000-2009       55      0.00736  0.00733  0.50   92009     675   91672  2232855  24.27
2000-2009       56      0.00792  0.00789  0.50   91334     721   90974  2141183  23.44
