West Germany, Exposure to risk (period 5x10), 	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1956-1959        0           1672245.70      1767645.37      3439891.06
1956-1959      1-4           6200691.13      6520529.18     12721220.31
1956-1959      5-9           7452489.27      7818131.43     15270620.70
1956-1959     10-14          6814803.13      7073152.63     13887955.76
1956-1959     15-19          9072337.83      9403982.00     18476319.83
1956-1959     20-24          8258056.67      8559193.68     16817250.35
1956-1959     25-29          7327260.00      7486858.84     14814118.84
1956-1959     30-34          8150895.16      6724528.34     14875423.51
1956-1959     35-39          7832122.50      5684037.17     13516159.67
1956-1959     40-44          7081285.66      5226342.99     12307628.65
1956-1959     45-49          9176153.00      7138569.49     16314722.49
1956-1959     50-54          8671067.66      7404263.98     16075331.65
1956-1959     55-59          7702367.66      6501628.00     14203995.66
1956-1959     60-64          6535210.16      4645719.34     11180929.51
1956-1959     65-69          5193285.33      3592227.47      8785512.80
1956-1959     70-74          3843017.49      2762075.12      6605092.61
1956-1959     75-79          2482408.65      1838631.44      4321040.10
1956-1959     80-84          1283757.56       956882.94      2240640.50
1956-1959     85-89           390815.19       272006.06       662821.25
1956-1959     90-94            77676.78        44709.54       122386.32
1956-1959     95-99             7920.37         3838.94        11759.31
1956-1959    100-104             287.73          104.57          392.30
1956-1959    105-109               1.78            0.00            1.78
1956-1959    110+                  0.00            0.00            0.00
1960-1969        0           4840214.79      5092724.83      9932939.63
1960-1969      1-4          18785796.46     19741798.67     38527595.13
1960-1969      5-9          21179032.78     22264677.75     43443710.53
1960-1969     10-14         19178778.69     20141936.47     39320715.16
1960-1969     15-19         18459947.23     19397233.05     37857180.28
1960-1969     20-24         20844591.64     22115009.17     42959600.81
1960-1969     25-29         21779559.50     23623076.69     45402636.19
1960-1969     30-34         19691138.67     20947327.51     40638466.17
1960-1969     35-39         20047733.33     18636564.68     38684298.01
1960-1969     40-44         20033211.83     15628788.51     35662000.34
1960-1969     45-49         18791561.00     13783497.16     32575058.16
1960-1969     50-54         20670173.33     15577555.98     36247729.31
1960-1969     55-59         21744213.83     17183697.80     38927911.63
1960-1969     60-64         19410321.33     15233413.49     34643734.82
1960-1969     65-69         16137927.33     11129806.17     27267733.49
1960-1969     70-74         12172306.15      7435212.14     19607518.29
1960-1969     75-79          7916485.63      4816018.77     12732504.40
1960-1969     80-84          4170742.73      2599992.78      6770735.51
1960-1969     85-89          1524896.04       948867.65      2473763.69
1960-1969     90-94           322478.37       187297.54       509775.91
1960-1969     95-99            35010.83        16887.52        51898.35
1960-1969    100-104            1673.31          619.28         2292.59
1960-1969    105-109              16.05           11.71           27.76
1960-1969    110+                  0.00            2.17            2.17
1970-1979        0           3183603.44      3348563.00      6532166.44
1970-1979      1-4          14578026.62     15284899.69     29862926.31
1970-1979      5-9          22660734.27     23799255.87     46459990.14
1970-1979     10-14         23936989.68     25172179.63     49109169.31
1970-1979     15-19         21876617.26     23048204.51     44924821.77
1970-1979     20-24         20724745.87     21554209.02     42278954.90
1970-1979     25-29         19817870.07     21203344.13     41021214.20
1970-1979     30-34         21365544.34     23270221.78     44635766.12
1970-1979     35-39         22209754.84     24120038.01     46329792.84
1970-1979     40-44         19906025.50     21029224.18     40935249.68
1970-1979     45-49         19882459.66     18133890.18     38016349.85
1970-1979     50-54         19471462.84     14749358.18     34220821.02
1970-1979     55-59         17938387.33     12566300.33     30504687.66
1970-1979     60-64         19293593.99     13330738.47     32624332.46
1970-1979     65-69         19411440.99     13271438.63     32682879.62
1970-1979     70-74         15745340.65      9997494.15     25742834.80
1970-1979     75-79         10918365.16      5728625.67     16646990.83
1970-1979     80-84          6029130.01      2692948.99      8722079.00
1970-1979     85-89          2327360.83      1026163.98      3353524.81
1970-1979     90-94           562183.63       251455.49       813639.12
1970-1979     95-99            72405.68        31308.32       103714.00
1970-1979    100-104            3852.00         1430.94         5282.94
1970-1979    105-109             141.80           47.30          189.10
1970-1979    110+                  1.83            0.00            1.83
1980-1989        0           3013182.23      3174272.00      6187454.23
1980-1989      1-4          11694010.73     12298451.77     23992462.50
1980-1989      5-9          14789877.23     15474891.64     30264768.87
1980-1989     10-14         18003635.40     18885428.61     36889064.01
1980-1989     15-19         23278497.61     24625593.50     47904091.11
1980-1989     20-24         24947754.48     26452225.95     51399980.43
1980-1989     25-29         22869738.51     24212747.81     47082486.31
1980-1989     30-34         21011802.79     22018354.50     43030157.29
1980-1989     35-39         19716167.32     20606522.00     40322689.32
