West Germany, Life tables (period 1x5), Total	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1956-1959        0      0.03803  0.03687  0.17  100000    3687   96943  6897185  68.97
1956-1959        1      0.00256  0.00255  0.50   96313     246   96190  6800243  70.61
1956-1959        2      0.00136  0.00136  0.50   96068     131   96002  6704052  69.78
1956-1959        3      0.00100  0.00100  0.50   95937      96   95889  6608050  68.88
1956-1959        4      0.00083  0.00083  0.50   95841      79   95801  6512161  67.95
1956-1959        5      0.00070  0.00070  0.50   95761      67   95728  6416360  67.00
1956-1959        6      0.00061  0.00061  0.50   95694      59   95665  6320632  66.05
1956-1959        7      0.00056  0.00056  0.50   95636      53   95609  6224968  65.09
1956-1959        8      0.00048  0.00048  0.50   95582      46   95559  6129359  64.13
1956-1959        9      0.00045  0.00045  0.50   95537      43   95515  6033799  63.16
1956-1959       10      0.00039  0.00039  0.50   95494      37   95475  5938284  62.18
1956-1959       11      0.00039  0.00039  0.50   95457      38   95438  5842809  61.21
1956-1959       12      0.00041  0.00041  0.50   95419      39   95400  5747371  60.23
1956-1959       13      0.00041  0.00041  0.50   95380      39   95361  5651971  59.26
1956-1959       14      0.00053  0.00053  0.50   95342      50   95317  5556610  58.28
1956-1959       15      0.00063  0.00063  0.50   95291      60   95261  5461293  57.31
1956-1959       16      0.00075  0.00075  0.50   95231      71   95196  5366032  56.35
1956-1959       17      0.00083  0.00083  0.50   95160      79   95121  5270836  55.39
1956-1959       18      0.00104  0.00104  0.50   95081      99   95032  5175716  54.43
1956-1959       19      0.00121  0.00121  0.50   94982     115   94925  5080684  53.49
1956-1959       20      0.00133  0.00133  0.50   94867     127   94804  4985760  52.56
1956-1959       21      0.00134  0.00134  0.50   94741     127   94677  4890956  51.62
1956-1959       22      0.00133  0.00133  0.50   94614     125   94551  4796278  50.69
1956-1959       23      0.00131  0.00131  0.50   94488     124   94426  4701727  49.76
1956-1959       24      0.00130  0.00130  0.50   94364     123   94303  4607301  48.82
