PopName,Area,Year,YearReg,Month,VitalStat,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
ESP,10,1878,1878,TOT,1,56,O,604354.97,34,.,.,0
ESP,10,1879,1879,TOT,1,56,O,603954.08,34,.,.,0
ESP,10,1880,1880,TOT,1,56,O,601047.37,34,.,.,0
ESP,10,1881,1881,TOT,1,56,O,632617.3,34,.,.,0
ESP,10,1882,1882,TOT,1,56,O,619928.44,34,.,.,0
ESP,10,1883,1883,TOT,1,56,O,619947.53,34,.,.,0
ESP,10,1884,1884,TOT,1,56,O,640071.46,34,.,.,0
ESP,10,1885,1885,TOT,1,57,O,631966.22,34,.,.,0
ESP,10,1886,1886,TOT,1,58,O,641192.75,34,.,.,0
ESP,10,1887,1887,TOT,1,58,O,634802.6,34,.,.,0
ESP,10,1888,1888,TOT,1,58,O,643188.16,34,.,.,0
ESP,10,1889,1889,TOT,1,58,O,650643.33,34,.,.,0
ESP,10,1890,1890,TOT,1,58,O,618448.46,34,.,.,0
ESP,10,1891,1891,TOT,1,58,O,635939.97,34,.,.,0
ESP,10,1892,1892,TOT,1,58,O,648426.88,34,.,.,0
ESP,10,1893,1893,TOT,1,58,O,647994.84,34,.,.,0
ESP,10,1894,1894,TOT,1,58,O,635536.06,34,.,.,0
ESP,10,1895,1895,TOT,1,58,O,639145.09,34,.,.,0
ESP,10,1896,1896,TOT,1,58,O,657899.56,34,.,.,0
ESP,10,1897,1897,TOT,1,58,O,628212.52,34,.,.,0
ESP,10,1898,1898,TOT,1,58,O,615190.09,34,.,.,0
ESP,10,1899,1899,TOT,1,58,O,635586.3,34,.,.,0
ESP,10,1900,1900,1,1,59,O,63853.68,34,.,.,1
ESP,10,1900,1900,2,1,59,O,59697.87,34,.,.,1
ESP,10,1900,1900,3,1,59,O,60528.93,34,.,.,1
ESP,10,1900,1900,4,1,59,O,55282.3,34,.,.,1
ESP,10,1900,1900,5,1,59,O,52134.46,34,.,.,1
ESP,10,1900,1900,6,1,59,O,46418.01,34,.,.,1
ESP,10,1900,1900,7,1,59,O,47738.26,34,.,.,1
ESP,10,1900,1900,8,1,59,O,47467.56,34,.,.,1
ESP,10,1900,1900,9,1,59,O,49470.86,34,.,.,1
ESP,10,1900,1900,10,1,59,O,50930.09,34,.,.,1
ESP,10,1900,1900,11,1,59,O,47831.06,34,.,.,1
ESP,10,1900,1900,12,1,59,O,49366.04,34,.,.,1
ESP,10,1900,1900,TOT,1,59,O,630719.12,34,.,.,1
ESP,10,1901,1901,1,1,59,O,58261.19,34,.,.,1
ESP,10,1901,1901,2,1,59,O,60055.68,34,.,.,1
ESP,10,1901,1901,3,1,59,O,66004.47,34,.,.,1
ESP,10,1901,1901,4,1,59,O,57390.95,34,.,.,1
ESP,10,1901,1901,5,1,59,O,56000.1,34,.,.,1
ESP,10,1901,1901,6,1,59,O,50928.72,34,.,.,1
ESP,10,1901,1901,7,1,59,O,49342.67,34,.,.,1
ESP,10,1901,1901,8,1,59,O,49576.73,34,.,.,1
ESP,10,1901,1901,9,1,59,O,52480.1,34,.,.,1
ESP,10,1901,1901,10,1,59,O,53397.36,34,.,.,1
