PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
EST,01,m,1959,1959,2,O,10303,1,.,.,1
EST,01,m,1960,1960,2,O,10415,1,.,.,1
EST,01,m,1961,1961,2,O,10308,1,.,.,1
EST,01,m,1962,1962,2,O,10412,1,.,.,1
EST,01,m,1963,1963,2,O,9972,1,.,.,1
EST,01,m,1964,1964,2,O,10223,1,.,.,1
EST,01,m,1965,1965,2,O,9666,1,.,.,1
EST,01,m,1966,1966,2,O,9614,1,.,.,1
EST,01,m,1967,1967,2,O,9485,1,.,.,1
EST,01,m,1968,1968,2,O,10197,1,.,.,1
EST,01,m,1969,1969,2,O,10734,1,.,.,1
EST,01,m,1970,1970,1,O,10975,1,.,.,1
EST,01,m,1971,1971,1,O,11432,1,.,.,1
EST,01,m,1972,1972,1,O,11179,1,.,.,1
EST,01,m,1973,1973,1,O,10945,1,.,.,1
EST,01,m,1974,1974,1,O,10946,1,.,.,1
EST,01,m,1975,1975,1,O,11123,1,.,.,1
EST,01,m,1976,1976,1,O,11121,1,.,.,1
EST,01,m,1977,1977,1,O,11335,1,.,.,1
EST,01,m,1978,1978,1,O,11164,1,.,.,1
EST,01,m,1979,1979,1,O,11305,1,.,.,1
EST,01,m,1980,1980,1,O,11409,1,.,.,1
EST,01,m,1981,1981,1,O,11831,1,.,.,1
EST,01,m,1982,1982,1,O,11862,1,.,.,1
EST,01,m,1983,1983,1,O,12406,1,.,.,1
EST,01,m,1984,1984,1,O,12341,1,.,.,1
EST,01,m,1985,1985,1,O,12062,1,.,.,1
EST,01,m,1986,1986,1,O,12385,1,.,.,1
EST,01,m,1987,1987,1,O,12994,1,.,.,1
EST,01,m,1988,1988,1,O,12773,1,.,.,1
EST,01,m,1989,1989,1,O,12563,1,.,.,1
EST,01,m,1990,1990,1,O,11482,1,.,.,1
EST,01,m,1991,1991,1,O,9963,1,.,.,1
EST,01,m,1992,1992,1,O,9260,2,.,.,1
EST,01,m,1993,1993,1,O,7935,2,.,.,1
EST,01,m,1994,1994,1,O,7230,2,.,.,1
EST,01,m,1995,1995,1,O,6942,2,.,.,1
EST,01,m,1996,1996,1,O,6813,2,.,.,1
EST,01,m,1997,1997,1,O,6528,2,.,.,1
EST,01,m,1998,1998,1,O,6283,2,.,.,1
EST,01,m,1999,1999,1,O,6367,2,.,.,1
EST,01,m,2000,2000,1,O,6824,2,.,.,1
EST,01,m,2001,2001,1,O,6531,2,.,.,1
EST,01,m,2002,2002,1,O,6619,2,.,.,1
EST,01,m,2003,2003,1,O,6627,2,.,.,1
EST,01,m,2004,2004,1,O,7176,2,.,.,1
EST,01,m,2005,2005,1,O,7486,2,.,.,1
EST,01,f,1959,1959,2,O,9643,1,.,.,1
EST,01,f,1960,1960,2,O,9768,1,.,.,1
EST,01,f,1961,1961,2,O,9946,1,.,.,1
EST,01,f,1962,1962,2,O,9549,1,.,.,1
EST,01,f,1963,1963,2,O,9308,1,.,.,1
EST,01,f,1964,1964,2,O,9415,1,.,.,1
EST,01,f,1965,1965,2,O,9248,1,.,.,1
EST,01,f,1966,1966,2,O,9027,1,.,.,1
EST,01,f,1967,1967,2,O,9208,1,.,.,1
EST,01,f,1968,1968,2,O,9595,1,.,.,1
EST,01,f,1969,1969,2,O,10132,1,.,.,1
EST,01,f,1970,1970,1,O,10577,1,.,.,1
EST,01,f,1971,1971,1,O,10686,1,.,.,1
EST,01,f,1972,1972,1,O,10578,1,.,.,1
EST,01,f,1973,1973,1,O,10294,1,.,.,1
EST,01,f,1974,1974,1,O,10515,1,.,.,1
EST,01,f,1975,1975,1,O,10237,1,.,.,1
EST,01,f,1976,1976,1,O,10680,1,.,.,1
EST,01,f,1977,1977,1,O,10642,1,.,.,1
EST,01,f,1978,1978,1,O,10678,1,.,.,1
EST,01,f,1979,1979,1,O,10574,1,.,.,1
EST,01,f,1980,1980,1,O,10795,1,.,.,1
EST,01,f,1981,1981,1,O,11106,1,.,.,1
EST,01,f,1982,1982,1,O,11266,1,.,.,1
EST,01,f,1983,1983,1,O,11749,1,.,.,1
EST,01,f,1984,1984,1,O,11893,1,.,.,1
EST,01,f,1985,1985,1,O,11568,1,.,.,1
EST,01,f,1986,1986,1,O,11721,1,.,.,1
EST,01,f,1987,1987,1,O,12092,1,.,.,1
EST,01,f,1988,1988,1,O,12287,1,.,.,1
EST,01,f,1989,1989,1,O,11755,1,.,.,1
EST,01,f,1990,1990,1,O,10822,1,.,.,1
EST,01,f,1991,1991,1,O,9450,1,.,.,1
EST,01,f,1992,1992,1,O,8778,2,.,.,1
EST,01,f,1993,1993,1,O,7318,2,.,.,1
EST,01,f,1994,1994,1,O,6946,2,.,.,1
EST,01,f,1995,1995,1,O,6567,2,.,.,1
EST,01,f,1996,1996,1,O,6429,2,.,.,1
EST,01,f,1997,1997,1,O,6049,2,.,.,1
EST,01,f,1998,1998,1,O,5884,2,.,.,1
EST,01,f,1999,1999,1,O,6058,2,.,.,1
EST,01,f,2000,2000,1,O,6243,2,.,.,1
EST,01,f,2001,2001,1,O,6101,2,.,.,1
EST,01,f,2002,2002,1,O,6382,2,.,.,1
EST,01,f,2003,2003,1,O,6409,2,.,.,1
EST,01,f,2004,2004,1,O,6816,2,.,.,1
EST,01,f,2005,2005,1,O,6864,2,.,.,1
EST,01,m,2006,2006,14,O,7756,2,.,.,1
EST,01,f,2006,2006,14,O,7121,2,.,.,1
EST,01,m,2007,2007,14,O,8100,2,.,.,1
EST,01,f,2007,2007,14,O,7675,2,.,.,1
EST,01,m,2008,2008,17,O,8259,2,.,.,1
EST,01,f,2008,2008,17,O,7769,2,.,.,1
EST,01,m,2009,2009,17,O,8022,2,.,.,1
EST,01,f,2009,2009,17,O,7741,2,.,.,1
EST,01,m,2010,2010,20,O,8166,2,.,.,1
EST,01,f,2010,2010,20,O,7659,2,.,.,1
EST,01,m,2011,2011,25,O,7555,2,.,.,1
EST,01,f,2011,2011,25,O,7124,2,.,.,1
EST,01,m,2012,2012,26,O,7192,2,.,.,1
EST,01,f,2012,2012,26,O,6864,2,.,.,1
EST,01,m,2013,2013,26,O,6901,2,.,.,1
EST,01,f,2013,2013,26,O,6630,2,.,.,1
EST,01,m,2014,2014,32,O,6921,2,.,.,1
EST,01,f,2014,2014,32,O,6630,2,.,.,1
EST,01,m,2015,2015,35,O,7172,2,.,.,1
EST,01,f,2015,2015,35,O,6735,2,.,.,1
EST,01,m,2016,2016,35,O,7365,2,.,.,1
EST,01,f,2016,2016,35,O,6688,2,.,.,1
EST,01,m,2017,2017,35,O,7191,2,.,.,1
EST,01,f,2017,2017,35,O,6593,2,.,.,1
EST,01,m,2018,2018,40,O,7345,2,.,.,1
EST,01,f,2018,2018,40,O,7022,2,.,.,1
EST,01,m,2019,2019,40,O,7212,2,.,.,1
EST,01,f,2019,2019,40,O,6887,2,.,.,1
