Estonia,  Exposures (Lexis triangle)	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1959    0      1959     4962.81     5284.26    10247.07
 1959    0      1958     4624.65     4913.10     9537.75
 1959    1      1958     4600.85     4883.07     9483.92
 1959    1      1957     4513.82     4774.71     9288.52
 1959    2      1957     4507.99     4767.88     9275.87
 1959    2      1956     4614.23     4811.46     9425.68
 1959    3      1956     4611.62     4806.82     9418.44
 1959    3      1955     4865.29     5031.54     9896.82
 1959    4      1955     4863.95     5028.06     9892.01
 1959    4      1954     4797.83     5018.52     9816.36
 1959    5      1954     4796.34     5015.20     9811.54
 1959    5      1953     4554.04     4800.40     9354.44
 1959    6      1953     4552.03     4796.39     9348.42
 1959    6      1952     4722.72     4922.97     9645.69
 1959    7      1952     4721.24     4919.50     9640.74
 1959    7      1951     4595.94     4895.62     9491.55
 1959    8      1951     4593.90     4893.64     9487.54
 1959    8      1950     4471.90     4750.59     9222.49
 1959    9      1950     4469.59     4748.06     9217.65
 1959    9      1949     4658.08     4943.76     9601.84
 1959   10      1949     4656.60     4941.15     9597.75
 1959   10      1948     4650.61     4860.11     9510.72
 1959   11      1948     4648.94     4858.11     9507.05
 1959   11      1947     4362.18     4600.27     8962.45
 1959   12      1947     4360.35     4598.10     8958.45
 1959   12      1946     4295.42     4442.43     8737.84
 1959   13      1946     4293.58     4439.59     8733.17
 1959   13      1945     3586.04     3703.90     7289.94
 1959   14      1945     3584.37     3700.74     7285.11
 1959   14      1944     3523.33     3556.31     7079.63
 1959   15      1944     3521.66     3552.84     7074.49
 1959   15      1943     3478.97     3613.37     7092.34
 1959   16      1943     3477.64     3609.37     7087.00
 1959   16      1942     4107.69     4172.09     8279.78
 1959   17      1942     4105.53     4168.42     8273.95
 1959   17      1941     4934.42     4977.26     9911.68
 1959   18      1941     4931.75     4971.60     9903.35
 1959   18      1940     4502.53     4522.78     9025.31
 1959   19      1940     4500.03     4515.61     9015.64
 1959   19      1939     4807.12     4801.08     9608.20
 1959   20      1939     4803.42     4792.38     9595.80
 1959   20      1938     5080.50     5272.84    10353.34
 1959   21      1938     5075.50     5261.30    10336.79
 1959   21      1937     5158.84     5462.82    10621.66
 1959   22      1937     5154.35     5451.70    10606.05
 1959   22      1936     5188.96     4924.39    10113.35
 1959   23      1936     5184.79     4914.03    10098.81
 1959   23      1935     4774.22     4799.07     9573.29
 1959   24      1935     4770.40     4788.76     9559.16
 1959   24      1934     4637.07     4504.57     9141.64
 1959   25      1934     4634.06     4493.64     9127.70
 1959   25      1933     4942.42     4642.96     9585.38
 1959   26      1933     4938.24     4632.18     9570.42
 1959   26      1932     5425.54     4960.44    10385.98
 1959   27      1932     5420.87     4950.42    10371.30
 1959   27      1931     5440.10     5017.83    10457.92
 1959   28      1931     5435.26     5007.50    10442.75
 1959   28      1930     5722.35     5341.28    11063.63
 1959   29      1930     5718.03     5331.82    11049.85
 1959   29      1929     5431.61     4957.62    10389.23
 1959   30      1929     5427.93     4946.76    10374.69
 1959   30      1928     6115.33     5092.39    11207.72
 1959   31      1928     6110.83     5077.66    11188.49
 1959   31      1927     5373.02     4689.26    10062.28
 1959   32      1927     5366.84     4677.92    10044.75
 1959   32      1926     5765.28     4291.84    10057.12
 1959   33      1926     5758.79     4283.79    10042.58
 1959   33      1925     5467.29     3672.37     9139.66
 1959   34      1925     5462.13     3663.04     9125.17
 1959   34      1924     5393.76     3475.85     8869.61
 1959   35      1924     5387.43     3465.93     8853.35
 1959   35      1923     5508.65     3482.03     8990.68
 1959   36      1923     5501.66     3472.88     8974.54
 1959   36      1922     5127.16     3177.16     8304.31
 1959   37      1922     5121.66     3168.81     8290.47
 1959   37      1921     4601.82     2962.46     7564.28
 1959   38      1921     4596.82     2953.79     7550.61
 1959   38      1920     4124.33     2849.31     6973.63
 1959   39      1920     4120.00     2840.46     6960.46
 1959   39      1919     3478.45     2472.12     5950.57
 1959   40      1919     3473.44     2463.67     5937.11
 1959   40      1918     3876.42     2790.72     6667.13
 1959   41      1918     3870.08     2782.21     6652.30
 1959   41      1917     2784.64     1984.36     4769.00
 1959   42      1917     2777.64     1975.53     4753.16
 1959   42      1916     3369.17     2362.24     5731.41
 1959   43      1916     3361.67     2354.91     5716.58
 1959   43      1915     3850.15     2759.24     6609.39
 1959   44      1915     3840.97     2750.06     6591.03
 1959   44      1914     4425.82     3084.43     7510.25
 1959   45      1914     4416.33     3070.96     7487.30
 1959   45      1913     4571.69     3172.21     7743.90
 1959   46      1913     4562.51     3159.37     7721.88
 1959   46      1912     4634.38     3245.52     7879.90
 1959   47      1912     4622.03     3233.02     7855.05
 1959   47      1911     4506.16     3162.15     7668.31
 1959   48      1911     4491.32     3147.65     7638.97
 1959   48      1910     4899.16     3299.54     8198.70
 1959   49      1910     4884.33     3281.21     8165.54
 1959   49      1909     4463.43     3101.36     7564.79
 1959   50      1909     4448.78     3078.85     7527.63
 1959   50      1908     4560.31     3013.52     7573.83
 1959   51      1908     4545.48     2993.84     7539.32
 1959   51      1907     4282.46     2951.51     7233.97
 1959   52      1907     4267.96     2931.19     7199.15
 1959   52      1906     4547.16     3192.25     7739.42
 1959   53      1906     4527.30     3167.58     7694.89
