PopName,Area,Year,YearReg,Month,Vital,RefCode,Access,Births,Note1,Note2,Note3,LDB
FIN,1,1865,1865,1,1,44,O,6228,.,.,.,1
FIN,1,1865,1865,2,1,44,O,5044,.,.,.,1
FIN,1,1865,1865,3,1,44,O,5454,.,.,.,1
FIN,1,1865,1865,4,1,44,O,5098,.,.,.,1
FIN,1,1865,1865,5,1,44,O,5425,.,.,.,1
FIN,1,1865,1865,6,1,44,O,5439,.,.,.,1
FIN,1,1865,1865,7,1,44,O,5431,.,.,.,1
FIN,1,1865,1865,8,1,44,O,5014,.,.,.,1
FIN,1,1865,1865,9,1,44,O,5285,.,.,.,1
FIN,1,1865,1865,10,1,44,O,4901,.,.,.,1
FIN,1,1865,1865,11,1,44,O,4550,.,.,.,1
FIN,1,1865,1865,12,1,44,O,4821,.,.,.,1
FIN,1,1866,1866,1,1,44,O,5338,.,.,.,1
FIN,1,1866,1866,2,1,44,O,4723,.,.,.,1
FIN,1,1866,1866,3,1,44,O,5282,.,.,.,1
FIN,1,1866,1866,4,1,44,O,4875,.,.,.,1
FIN,1,1866,1866,5,1,44,O,4977,.,.,.,1
FIN,1,1866,1866,6,1,44,O,5161,.,.,.,1
FIN,1,1866,1866,7,1,44,O,5333,.,.,.,1
FIN,1,1866,1866,8,1,44,O,4773,.,.,.,1
FIN,1,1866,1866,9,1,44,O,5268,.,.,.,1
FIN,1,1866,1866,10,1,44,O,4531,.,.,.,1
FIN,1,1866,1866,11,1,44,O,4163,.,.,.,1
FIN,1,1866,1866,12,1,44,O,4429,.,.,.,1
FIN,1,1867,1867,1,1,44,O,5080,.,.,.,1
FIN,1,1867,1867,2,1,44,O,4274,.,.,.,1
FIN,1,1867,1867,3,1,44,O,4849,.,.,.,1
FIN,1,1867,1867,4,1,44,O,4653,.,.,.,1
FIN,1,1867,1867,5,1,44,O,5102,.,.,.,1
FIN,1,1867,1867,6,1,44,O,5189,.,.,.,1
FIN,1,1867,1867,7,1,44,O,5515,.,.,.,1
FIN,1,1867,1867,8,1,44,O,5335,.,.,.,1
FIN,1,1867,1867,9,1,44,O,5533,.,.,.,1
FIN,1,1867,1867,10,1,44,O,4661,.,.,.,1
FIN,1,1867,1867,11,1,44,O,4631,.,.,.,1
FIN,1,1867,1867,12,1,44,O,4342,.,.,.,1
FIN,1,1868,1868,1,1,44,O,4557,.,.,.,1
FIN,1,1868,1868,2,1,44,O,3661,.,.,.,1
FIN,1,1868,1868,3,1,44,O,4004,.,.,.,1
FIN,1,1868,1868,4,1,44,O,4059,.,.,.,1
FIN,1,1868,1868,5,1,44,O,4203,.,.,.,1
FIN,1,1868,1868,6,1,44,O,4101,.,.,.,1
FIN,1,1868,1868,7,1,44,O,4039,.,.,.,1
FIN,1,1868,1868,8,1,44,O,3526,.,.,.,1
FIN,1,1868,1868,9,1,44,O,3549,.,.,.,1
FIN,1,1868,1868,10,1,44,O,2982,.,.,.,1
FIN,1,1868,1868,11,1,44,O,2571,.,.,.,1
FIN,1,1868,1868,12,1,44,O,2505,.,.,.,1
FIN,1,1869,1869,1,1,45,O,2743,.,.,.,1
FIN,1,1869,1869,2,1,45,O,2656,.,.,.,1
FIN,1,1869,1869,3,1,45,O,3482,.,.,.,1
FIN,1,1869,1869,4,1,45,O,3855,.,.,.,1
FIN,1,1869,1869,5,1,45,O,5110,.,.,.,1
FIN,1,1869,1869,6,1,45,O,5928,.,.,.,1
FIN,1,1869,1869,7,1,45,O,6457,.,.,.,1
FIN,1,1869,1869,8,1,45,O,6037,.,.,.,1
FIN,1,1869,1869,9,1,45,O,6186,.,.,.,1
FIN,1,1869,1869,10,1,45,O,5636,.,.,.,1
FIN,1,1869,1869,11,1,45,O,5029,.,.,.,1
FIN,1,1869,1869,12,1,45,O,5275,.,.,.,1
FIN,1,1870,1870,1,1,45,O,5744,.,.,.,1
FIN,1,1870,1870,2,1,45,O,5075,.,.,.,1
FIN,1,1870,1870,3,1,45,O,5454,.,.,.,1
FIN,1,1870,1870,4,1,45,O,5480,.,.,.,1
FIN,1,1870,1870,5,1,45,O,5652,.,.,.,1
FIN,1,1870,1870,6,1,45,O,5686,.,.,.,1
FIN,1,1870,1870,7,1,45,O,5874,.,.,.,1
FIN,1,1870,1870,8,1,45,O,5280,.,.,.,1
FIN,1,1870,1870,9,1,45,O,5636,.,.,.,1
FIN,1,1870,1870,10,1,45,O,4676,.,.,.,1
FIN,1,1870,1870,11,1,45,O,4471,.,.,.,1
FIN,1,1870,1870,12,1,45,O,4720,.,.,.,1
FIN,1,1871,1871,1,1,45,O,5660,.,.,.,1
FIN,1,1871,1871,2,1,45,O,5072,.,.,.,1
FIN,1,1871,1871,3,1,45,O,5490,.,.,.,1
FIN,1,1871,1871,4,1,45,O,5175,.,.,.,1
FIN,1,1871,1871,5,1,45,O,5494,.,.,.,1
FIN,1,1871,1871,6,1,45,O,5725,.,.,.,1
FIN,1,1871,1871,7,1,45,O,5987,.,.,.,1
FIN,1,1871,1871,8,1,45,O,5754,.,.,.,1
FIN,1,1871,1871,9,1,45,O,5630,.,.,.,1
FIN,1,1871,1871,10,1,45,O,5271,.,.,.,1
FIN,1,1871,1871,11,1,45,O,5372,.,.,.,1
FIN,1,1871,1871,12,1,45,O,5937,.,.,.,1
FIN,1,1872,1872,1,1,45,O,6390,.,.,.,1
FIN,1,1872,1872,2,1,45,O,5696,.,.,.,1
FIN,1,1872,1872,3,1,45,O,6120,.,.,.,1
FIN,1,1872,1872,4,1,45,O,5482,.,.,.,1
FIN,1,1872,1872,5,1,45,O,5568,.,.,.,1
FIN,1,1872,1872,6,1,45,O,5419,.,.,.,1
FIN,1,1872,1872,7,1,45,O,5449,.,.,.,1
FIN,1,1872,1872,8,1,45,O,4927,.,.,.,1
FIN,1,1872,1872,9,1,45,O,5364,.,.,.,1
FIN,1,1872,1872,10,1,45,O,4977,.,.,.,1
