PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
FIN,1,f,0,5,O,1,1,1878,18,O,139384,.,.,.,1
FIN,1,f,5,5,O,1,1,1878,18,O,106616,.,.,.,1
FIN,1,f,10,5,O,1,1,1878,18,O,92877,.,.,.,1
FIN,1,f,15,5,O,1,1,1878,18,O,93139,.,.,.,1
FIN,1,f,20,5,O,1,1,1878,18,O,85000,.,.,.,1
FIN,1,f,25,5,O,1,1,1878,18,O,81212,.,.,.,1
FIN,1,f,30,5,O,1,1,1878,18,O,73715,.,.,.,1
FIN,1,f,35,5,O,1,1,1878,18,O,66849,.,.,.,1
FIN,1,f,40,5,O,1,1,1878,18,O,54686,.,.,.,1
FIN,1,f,45,5,O,1,1,1878,18,O,50586,.,.,.,1
FIN,1,f,50,5,O,1,1,1878,18,O,48087,.,.,.,1
FIN,1,f,55,5,O,1,1,1878,18,O,39635,.,.,.,1
FIN,1,f,60,5,O,1,1,1878,18,O,30458,.,.,.,1
FIN,1,f,65,5,O,1,1,1878,18,O,20280,.,.,.,1
FIN,1,f,70,5,O,1,1,1878,18,O,13293,.,.,.,1
FIN,1,f,75,5,O,1,1,1878,18,O,7969,.,.,.,1
FIN,1,f,80,5,O,1,1,1878,18,O,3420,.,.,.,1
FIN,1,f,85,5,O,1,1,1878,18,O,896,.,.,.,1
FIN,1,f,90,+,O,1,1,1878,18,O,196,.,.,.,1
FIN,1,m,0,5,O,1,1,1878,18,O,140753,.,.,.,1
FIN,1,m,5,5,O,1,1,1878,18,O,107675,.,.,.,1
FIN,1,m,10,5,O,1,1,1878,18,O,93092,.,.,.,1
FIN,1,m,15,5,O,1,1,1878,18,O,93492,.,.,.,1
FIN,1,m,20,5,O,1,1,1878,18,O,84917,.,.,.,1
FIN,1,m,25,5,O,1,1,1878,18,O,78008,.,.,.,1
FIN,1,m,30,5,O,1,1,1878,18,O,70449,.,.,.,1
FIN,1,m,35,5,O,1,1,1878,18,O,63666,.,.,.,1
FIN,1,m,40,5,O,1,1,1878,18,O,51497,.,.,.,1
FIN,1,m,45,5,O,1,1,1878,18,O,46292,.,.,.,1
FIN,1,m,50,5,O,1,1,1878,18,O,42532,.,.,.,1
FIN,1,m,55,5,O,1,1,1878,18,O,33734,.,.,.,1
FIN,1,m,60,5,O,1,1,1878,18,O,24754,.,.,.,1
FIN,1,m,65,5,O,1,1,1878,18,O,15193,.,.,.,1
FIN,1,m,70,5,O,1,1,1878,18,O,9470,.,.,.,1
FIN,1,m,75,5,O,1,1,1878,18,O,5139,.,.,.,1
FIN,1,m,80,5,O,1,1,1878,18,O,1960,.,.,.,1
FIN,1,m,85,5,O,1,1,1878,18,O,440,.,.,.,1
FIN,1,m,90,+,O,1,1,1878,18,O,70,.,.,.,1
