Finland, Exposure to risk (period 5x10), 	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1878-1879        0             66142.73        68740.81       134883.54
1878-1879      1-4            215139.26       216903.43       432042.70
1878-1879      5-9            228194.64       230503.87       458698.51
1878-1879     10-14           176866.65       177738.55       354605.20
1878-1879     15-19           189192.96       189052.07       378245.02
1878-1879     20-24           171035.04       171518.10       342553.15
1878-1879     25-29           163518.70       158063.01       321581.70
1878-1879     30-34           148914.12       142458.88       291373.00
1878-1879     35-39           137156.64       130061.96       267218.60
1878-1879     40-44           113137.35       106831.86       219969.21
1878-1879     45-49            99070.38        90805.87       189876.25
1878-1879     50-54            96890.58        86051.09       182941.67
1878-1879     55-59            81514.95        69452.45       150967.40
1878-1879     60-64            63776.75        51719.29       115496.04
1878-1879     65-69            42703.87        32333.62        75037.48
1878-1879     70-74            25479.40        18041.50        43520.90
1878-1879     75-79            16260.29        10658.41        26918.70
1878-1879     80-84             6790.14         3959.82        10749.96
1878-1879     85-89             1897.86          960.14         2857.99
1878-1879     90-94              309.97          106.12          416.09
1878-1879     95-99               40.09           19.05           59.13
1878-1879    100-104               0.25            1.94            2.19
1878-1879    105-109               0.00            0.00            0.00
1878-1879    110+                  0.00            0.00            0.00
1880-1889        0            334484.21       345385.58       679869.79
1880-1889      1-4           1164394.02      1177781.77      2342175.79
1880-1889      5-9           1256721.52      1267453.23      2524174.75
1880-1889     10-14          1098800.25      1107515.48      2206315.73
1880-1889     15-19           954455.93       960309.87      1914765.79
1880-1889     20-24           895062.10       893110.18      1788172.28
1880-1889     25-29           845884.86       837759.78      1683644.64
1880-1889     30-34           784933.16       762007.26      1546940.42
1880-1889     35-39           726763.21       694075.64      1420838.85
1880-1889     40-44           651626.25       615303.51      1266929.76
1880-1889     45-49           556853.08       515945.59      1072798.67
1880-1889     50-54           483191.89       435014.93       918206.82
1880-1889     55-59           437169.15       377936.23       815105.38
1880-1889     60-64           367390.93       303494.14       670885.07
1880-1889     65-69           265395.93       208533.04       473928.97
1880-1889     70-74           161247.13       117766.29       279013.41
1880-1889     75-79            83946.52        55670.12       139616.64
1880-1889     80-84            36584.91        21796.60        58381.50
1880-1889     85-89            11645.09         5722.71        17367.81
1880-1889     90-94             2075.64          787.20         2862.84
1880-1889     95-99              236.37           59.93          296.29
1880-1889    100-104              16.18            2.50           18.68
1880-1889    105-109               0.25            0.00            0.25
1880-1889    110+                  0.00            0.00            0.00
1890-1899        0            380420.75       393218.24       773638.99
1890-1899      1-4           1280486.26      1296812.53      2577298.79
1890-1899      5-9           1410841.29      1427183.73      2838025.03
1890-1899     10-14          1302285.85      1318463.33      2620749.18
1890-1899     15-19          1178198.75      1189361.48      2367560.23
1890-1899     20-24           967355.19       969486.25      1936841.44
1890-1899     25-29           954788.39       943647.46      1898435.85
1890-1899     30-34           801079.56       789802.41      1590881.96
1890-1899     35-39           787707.41       768314.72      1556022.13
1890-1899     40-44           705047.93       674852.29      1379900.23
1890-1899     45-49           658715.63       620490.30      1279205.93
1890-1899     50-54           561616.63       513002.60      1074619.22
1890-1899     55-59           480071.52       426067.21       906138.73
1890-1899     60-64           410587.34       349167.73       759755.07
1890-1899     65-69           315559.08       256451.51       572010.58
1890-1899     70-74           219431.02       167487.91       386918.93
1890-1899     75-79           119187.20        84352.24       203539.44
1890-1899     80-84            46225.48        27484.14        73709.62
1890-1899     85-89            12805.87         6190.78        18996.65
1890-1899     90-94             2322.33          940.09         3262.41
1890-1899     95-99              263.20           91.16          354.36
1890-1899    100-104              12.41            2.44           14.85
1890-1899    105-109               0.74            0.00            0.74
1890-1899    110+                  0.00            0.00            0.00
1900-1909        0            401258.82       416903.35       818162.17
1900-1909      1-4           1406553.82      1432499.60      2839053.41
1900-1909      5-9           1565806.18      1592395.01      3158201.19
1900-1909     10-14          1422758.76      1448928.22      2871686.99
1900-1909     15-19          1305072.08      1317448.16      2622520.24
1900-1909     20-24          1169425.59      1154461.23      2323886.82
1900-1909     25-29          1052346.86      1017778.73      2070125.59
1900-1909     30-34           932803.93       902821.48      1835625.41
1900-1909     35-39           800688.02       775177.40      1575865.43
1900-1909     40-44           743696.84       715776.29      1459473.13
1900-1909     45-49           693174.17       658361.68      1351535.85
1900-1909     50-54           631716.34       581005.63      1212721.97
1900-1909     55-59           562405.47       500648.61      1063054.08
1900-1909     60-64           472225.50       402582.29       874807.79
1900-1909     65-69           357090.85       292166.63       649257.48
1900-1909     70-74           247557.66       192206.10       439763.77
1900-1909     75-79           152195.17       109404.95       261600.12
1900-1909     80-84            68821.78        42784.59       111606.37
1900-1909     85-89            19818.46        10492.67        30311.13
1900-1909     90-94             3190.85         1224.93         4415.78
1900-1909     95-99              285.21           77.30          362.51
1900-1909    100-104               4.43            1.44            5.87
1900-1909    105-109               0.00            0.00            0.00
1900-1909    110+                  0.00            0.00            0.00
1910-1919        0            387305.80       405337.53       792643.33
1910-1919      1-4           1479780.43      1525313.60      3005094.03
1910-1919      5-9           1784518.03      1826427.20      3610945.23
1910-1919     10-14          1648701.22      1683996.15      3332697.37
1910-1919     15-19          1459352.47      1489818.28      2949170.75
1910-1919     20-24          1279148.27      1268229.93      2547378.21
1910-1919     25-29          1175044.42      1125826.35      2300870.77
1910-1919     30-34          1065049.89      1010983.15      2076033.05
1910-1919     35-39           958117.60       904885.15      1863002.75
1910-1919     40-44           835015.40       790811.01      1625826.41
1910-1919     45-49           707259.34       657861.23      1365120.57
1910-1919     50-54           651141.58       590902.10      1242043.67
1910-1919     55-59           592402.39       513854.43      1106256.82
1910-1919     60-64           514661.25       428783.73       943444.98
1910-1919     65-69           424102.38       332594.66       756697.03
1910-1919     70-74           303568.27       228514.36       532082.62
1910-1919     75-79           176671.01       124479.84       301150.85
1910-1919     80-84            78109.73        48260.74       126370.47
1910-1919     85-89            25501.01        13595.42        39096.42
1910-1919     90-94             4898.39         2181.72         7080.11
1910-1919     95-99              428.58          165.35          593.92
1910-1919    100-104              11.65            1.81           13.47
1910-1919    105-109               0.00            0.00            0.00
1910-1919    110+                  0.00            0.00            0.00
1920-1929        0            359462.14       376955.08       736417.22
1920-1929      1-4           1343045.42      1392830.17      2735875.59
1920-1929      5-9           1666355.74      1719446.85      3385802.59
1920-1929     10-14          1729524.52      1784312.38      3513836.89
1920-1929     15-19          1709278.82      1753037.44      3462316.26
1920-1929     20-24          1531354.18      1521155.07      3052509.25
1920-1929     25-29          1318801.40      1256430.62      2575232.02
1920-1929     30-34          1161798.51      1070917.56      2232716.07
1920-1929     35-39          1084833.26       992789.29      2077622.55
1920-1929     40-44           985700.06       895127.70      1880827.77
1920-1929     45-49           876307.56       790950.96      1667258.52
1920-1929     50-54           754253.24       672080.70      1426333.95
1920-1929     55-59           626183.07       529560.29      1155743.36
1920-1929     60-64           546876.01       440983.43       987859.44
1920-1929     65-69           456887.32       349791.17       806678.49
1920-1929     70-74           339278.15       244792.16       584070.31
1920-1929     75-79           215646.64       142893.31       358539.96
1920-1929     80-84            98328.97        58030.42       156359.38
1920-1929     85-89            30577.71        16040.36        46618.07
1920-1929     90-94             5584.22         2471.17         8055.38
1920-1929     95-99              613.00          174.67          787.67
1920-1929    100-104              21.33           11.83           33.17
1920-1929    105-109               0.00            0.00            0.00
1920-1929    110+                  0.00            0.00            0.00
1930-1939        0            333069.22       349301.71       682370.93
1930-1939      1-4           1288511.92      1333758.37      2622270.28
1930-1939      5-9           1679585.47      1735069.13      3414654.60
1930-1939     10-14          1674233.49      1730004.36      3404237.84
1930-1939     15-19          1627441.14      1679641.20      3307082.34
1930-1939     20-24          1667912.13      1708698.32      3376610.46
1930-1939     25-29          1606744.65      1620549.04      3227293.69
1930-1939     30-34          1429362.75      1388847.68      2818210.43
1930-1939     35-39          1241473.24      1158801.90      2400275.15
1930-1939     40-44          1093924.73       984610.90      2078535.64
1930-1939     45-49          1009011.03       896114.87      1905125.90
1930-1939     50-54           897192.94       776710.10      1673903.04
1930-1939     55-59           777454.65       646408.79      1423863.44
1930-1939     60-64           642488.57       504229.15      1146717.71
1930-1939     65-69           482933.81       363341.05       846274.86
1930-1939     70-74           372030.30       256474.94       628505.24
1930-1939     75-79           247288.67       154315.17       401603.84
1930-1939     80-84           123351.34        73176.21       196527.56
1930-1939     85-89            43184.55        24508.16        67692.71
1930-1939     90-94             9036.12         4616.42        13652.54
1930-1939     95-99              910.58          356.08         1266.66
1930-1939    100-104              33.50            4.83           38.33
1930-1939    105-109               1.83            0.00            1.83
1930-1939    110+                  0.00            0.00            0.00
1940-1949        0            415704.19       436717.92       852422.11
1940-1949      1-4           1466042.01      1528210.07      2994252.08
1940-1949      5-9           1633220.23      1687900.95      3321121.18
1940-1949     10-14          1608123.82      1654905.51      3263029.33
1940-1949     15-19          1657391.67      1699832.61      3357224.28
1940-1949     20-24          1616362.70      1551403.34      3167766.04
1940-1949     25-29          1552225.90      1406781.89      2959007.80
1940-1949     30-34          1569960.32      1437530.24      3007490.56
1940-1949     35-39          1517290.12      1397566.79      2914856.91
1940-1949     40-44          1346588.87      1218034.81      2564623.68
1940-1949     45-49          1162085.60      1018815.63      2180901.23
1940-1949     50-54          1002304.95       847346.49      1849651.43
1940-1949     55-59           889953.82       707843.66      1597797.49
1940-1949     60-64           763234.34       565642.46      1328876.81
1940-1949     65-69           614488.31       426836.82      1041325.13
1940-1949     70-74           441053.84       284865.27       725919.11
1940-1949     75-79           265231.34       157235.79       422467.13
1940-1949     80-84           130606.92        64832.44       195439.37
1940-1949     85-89            48342.06        26322.33        74664.39
1940-1949     90-94            11186.27         6686.04        17872.31
1940-1949     95-99             1119.43          514.63         1634.06
1940-1949    100-104              32.50            5.00           37.50
1940-1949    105-109               1.33            0.00            1.33
1940-1949    110+                  0.00            0.00            0.00
1950-1959        0            433264.99       452876.34       886141.32
1950-1959      1-4           1808291.58      1884563.99      3692855.57
1950-1959      5-9           2190959.76      2285732.62      4476692.38
