Finland,  Exposures (Lexis triangle)	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1878    0      1878    17728.96    18656.27    36385.23
 1878    0      1877    15426.28    15811.14    31237.42
 1878    1      1877    14838.04    15096.50    29934.54
 1878    1      1876    13845.34    13934.30    27779.65
 1878    2      1876    13645.81    13768.94    27414.75
 1878    2      1875    12599.03    12499.99    25099.02
 1878    3      1875    13317.68    13273.72    26591.40
 1878    3      1874    13008.31    12976.27    25984.58
 1878    4      1874    12892.11    12915.25    25807.36
 1878    4      1873    12870.87    13145.93    26016.81
 1878    5      1873    12771.97    13101.28    25873.25
 1878    5      1872    11320.37    11423.75    22744.12
 1878    6      1872    12053.42    12165.25    24218.67
 1878    6      1871    11902.42    11917.89    23820.31
 1878    7      1871    11777.99    11796.90    23574.89
 1878    7      1870    10968.96    11041.59    22010.54
 1878    8      1870    11728.39    11808.73    23537.13
 1878    8      1869    11200.81    11281.39    22482.20
 1878    9      1869     9004.06     9072.26    18076.32
 1878    9      1868     7505.01     7747.38    15252.38
 1878   10      1868     8921.11     9214.88    18135.99
 1878   10      1867     8135.66     8158.38    16294.04
 1878   11      1867     8101.42     8103.16    16204.57
 1878   11      1866     8164.90     8213.79    16378.69
 1878   12      1866     8551.11     8575.76    17126.86
 1878   12      1865     8751.99     8769.79    17521.78
 1878   13      1865     9268.53     9262.02    18530.56
 1878   13      1864    10353.99    10302.46    20656.44
 1878   14      1864    10189.85    10117.95    20307.79
 1878   14      1863    10350.34    10425.40    20775.74
 1878   15      1863    10180.10    10233.21    20413.31
 1878   15      1862     9509.67     9427.64    18937.31
 1878   16      1862     9419.28     9316.46    18735.74
 1878   16      1861     9520.26     9449.35    18969.61
 1878   17      1861     9432.95     9341.85    18774.80
 1878   17      1860     9335.58     9320.37    18655.95
 1878   18      1860     9245.55     9211.98    18457.53
 1878   18      1859     8887.57     9046.75    17934.32
 1878   19      1859     8797.91     8936.21    17734.11
 1878   19      1858     9267.86     9457.92    18725.78
 1878   20      1858     9167.87     9334.81    18502.68
 1878   20      1857     8579.72     8612.32    17192.04
 1878   21      1857     8509.85     8526.05    17035.90
 1878   21      1856     8332.41     8360.32    16692.73
 1878   22      1856     8265.84     8279.55    16545.39
 1878   22      1855     8462.44     8521.35    16983.79
 1878   23      1855     8396.95     8440.86    16837.81
 1878   23      1854     8600.61     8485.73    17086.34
 1878   24      1854     8537.26     8406.24    16943.49
 1878   24      1853     8478.27     8426.61    16904.88
 1878   25      1853     8412.39     8344.12    16756.51
 1878   25      1852     8290.34     8185.22    16475.56
 1878   26      1852     8247.15     8125.08    16372.22
 1878   26      1851     8321.50     7911.31    16232.81
 1878   27      1851     8282.74     7856.62    16139.36
 1878   27      1850     7980.37     7625.76    15606.13
 1878   28      1850     7937.07     7572.83    15509.91
 1878   28      1849     7998.92     7649.90    15648.81
 1878   29      1849     7958.59     7590.84    15549.43
 1878   29      1848     7960.98     7580.14    15541.12
 1878   30      1848     7913.01     7519.17    15432.18
 1878   30      1847     7440.48     7140.12    14580.60
 1878   31      1847     7431.23     7138.65    14569.88
 1878   31      1846     7202.15     6902.51    14104.66
 1878   32      1846     7195.34     6906.88    14102.22
 1878   32      1845     7417.31     7136.15    14553.45
 1878   33      1845     7417.62     7145.19    14562.81
 1878   33      1844     7249.38     6913.38    14162.76
 1878   34      1844     7247.40     6913.07    14160.46
 1878   34      1843     7497.94     7085.12    14583.06
 1878   35      1843     7495.33     7084.09    14579.43
 1878   35      1842     7348.14     7025.35    14373.49
 1878   36      1842     7304.83     6967.95    14272.78
 1878   36      1841     6844.11     6477.55    13321.66
 1878   37      1841     6796.72     6421.91    13218.63
 1878   37      1840     6559.28     6192.43    12751.70
 1878   38      1840     6521.48     6137.55    12659.03
 1878   38      1839     6380.82     6117.42    12498.24
 1878   39      1839     6348.99     6059.70    12408.70
 1878   39      1838     6238.34     5966.80    12205.13
 1878   40      1838     6205.55     5914.19    12119.75
 1878   40      1837     5803.51     5493.75    11297.26
 1878   41      1837     5790.68     5481.07    11271.75
 1878   41      1836     5569.74     5262.91    10832.65
 1878   42      1836     5562.82     5250.93    10813.75
 1878   42      1835     5439.45     5162.88    10602.33
 1878   43      1835     5430.10     5150.05    10580.15
 1878   43      1834     5553.98     5163.35    10717.33
 1878   44      1834     5542.11     5147.42    10689.53
 1878   44      1833     4924.26     4608.43     9532.70
 1878   45      1833     4909.69     4585.52     9495.21
 1878   45      1832     4970.23     4586.93     9557.15
 1878   46      1832     4873.77     4482.13     9355.90
 1878   46      1831     4877.72     4447.89     9325.61
 1878   47      1831     4786.28     4353.07     9139.35
 1878   47      1830     4970.87     4557.48     9528.35
 1878   48      1830     4870.19     4461.80     9331.99
 1878   48      1829     5102.54     4641.45     9743.99
 1878   49      1829     4998.08     4533.98     9532.05
 1878   49      1828     5324.64     4852.92    10177.56
 1878   50      1828     5221.16     4735.44     9956.60
 1878   50      1827     5035.80     4555.02     9590.82
 1878   51      1827     4944.28     4447.93     9392.21
 1878   51      1826     4853.89     4302.37     9156.27
 1878   52      1826     4757.48     4201.79     8959.27
 1878   52      1825     4813.29     4241.43     9054.72
 1878   53      1825     4714.25     4144.63     8858.88
 1878   53      1824     4699.41     4132.85     8832.26
 1878   54      1824     4600.03     4034.82     8634.85
 1878   54      1823     4579.15     3958.42     8537.57
 1878   55      1823     4482.03     3861.78     8343.81
 1878   55      1822     4096.26     3620.07     7716.33
 1878   56      1822     4082.82     3565.47     7648.29
 1878   56      1821     4108.73     3554.48     7663.21
 1878   57      1821     4091.70     3495.18     7586.89
 1878   57      1820     3981.25     3387.95     7369.19
 1878   58      1820     3955.63     3334.16     7289.78
 1878   58      1819     3899.40     3222.91     7122.32
 1878   59      1819     3878.38     3174.58     7052.96
 1878   59      1818     3656.41     2998.77     6655.18
 1878   60      1818     3635.68     2940.19     6575.86
 1878   60      1817     3480.39     2874.78     6355.17
 1878   61      1817     3461.20     2836.85     6298.05
 1878   61      1816     3190.53     2627.79     5818.32
 1878   62      1816     3161.67     2599.19     5760.86
 1878   62      1815     3026.09     2449.83     5475.92
 1878   63      1815     2992.63     2412.97     5405.59
 1878   63      1814     2889.91     2325.42     5215.33
 1878   64      1814     2861.23     2281.10     5142.33
 1878   64      1813     2544.66     2002.32     4546.98
 1878   65      1813     2514.82     1960.92     4475.74
 1878   65      1812     2404.34     1828.09     4232.42
 1878   66      1812     2342.42     1773.50     4115.92
 1878   66      1811     2218.61     1660.14     3878.75
 1878   67      1811     2152.49     1613.53     3766.01
 1878   67      1810     2087.85     1588.33     3676.18
 1878   68      1810     2012.99     1547.48     3560.47
 1878   68      1809     1795.29     1303.74     3099.03
 1878   69      1809     1716.75     1246.17     2962.92
 1878   69      1808     1535.37     1133.31     2668.67
 1878   70      1808     1470.68     1079.75     2550.43
 1878   70      1807     1331.53      973.20     2304.73
 1878   71      1807     1232.61      887.59     2120.20
 1878   71      1806     1323.53      947.56     2271.09
 1878   72      1806     1214.04      866.14     2080.18
 1878   72      1805     1365.08      929.94     2295.02
 1878   73      1805     1245.69      846.29     2091.98
 1878   73      1804     1344.19      962.86     2307.05
 1878   74      1804     1230.24      865.71     2095.95
 1878   74      1803     1186.77      844.58     2031.35
 1878   75      1803     1069.07      749.52     1818.59
 1878   75      1802      992.57      680.42     1672.99
 1878   76      1802      909.84      620.27     1530.11
 1878   76      1801      859.39      556.13     1415.51
 1878   77      1801      794.43      506.67     1301.10
 1878   77      1800      802.57      497.17     1299.74
 1878   78      1800      736.33      451.39     1187.71
 1878   78      1799      684.05      431.13     1115.18
 1878   79      1799      610.13      382.80      992.93
 1878   79      1798      555.06      344.46      899.52
 1878   80      1798      470.46      296.52      766.99
 1878   80      1797      457.85      277.83      735.68
 1878   81      1797      405.26      242.28      647.54
 1878   81      1796      391.94      225.11      617.05
 1878   82      1796      347.05      193.49      540.54
 1878   82      1795      336.00      189.07      525.07
 1878   83      1795      295.74      161.01      456.75
 1878   83      1794      258.76      144.64      403.40
 1878   84      1794      225.25      123.86      349.11
 1878   84      1793      194.96      106.89      301.85
 1878   85      1793      165.10       88.46      253.56
 1878   85      1792      151.77       82.32      234.09
 1878   86      1792      129.71       67.53      197.23
 1878   86      1791      101.57       55.78      157.34
 1878   87      1791       87.53       45.90      133.43
 1878   87      1790       73.19       37.91      111.11
 1878   88      1790       60.02       29.09       89.10
 1878   88      1789       56.95       23.69       80.65
 1878   89      1789       46.00       17.59       63.58
 1878   89      1788       39.07       14.05       53.13
 1878   90      1788       31.94       11.36       43.30
 1878   90      1787       27.38        9.96       37.34
 1878   91      1787       23.65        7.79       31.43
 1878   91      1786       17.11        7.24       24.35
 1878   92      1786       14.47        5.08       19.55
 1878   92      1785       11.20        3.70       14.90
 1878   93      1785        8.18        2.19       10.37
 1878   93      1784        6.39        1.60        7.99
 1878   94      1784        4.52        1.25        5.78
 1878   94      1783        4.25        1.75        6.00
 1878   95      1783        3.40        1.75        5.15
 1878   95      1782        4.60        1.76        6.36
 1878   96      1782        3.77        1.76        5.53
 1878   96      1781        3.25        1.24        4.48
 1878   97      1781        2.25        1.07        3.31
 1878   97      1780        1.26        0.17        1.43
 1878   98      1780        0.76        0.00        0.76
 1878   98      1779        0.00        0.53        0.53
 1878   99      1779        0.00        0.53        0.53
 1878   99      1778        0.26        0.47        0.73
 1878   100     1778        0.09        0.47        0.55
 1878   100     1777        0.16        0.00        0.16
 1878   101     1777        0.00        0.00        0.00
 1878   101     1776        0.00        0.00        0.00
 1878   102     1776        0.00        0.00        0.00
 1878   102     1775        0.00        0.00        0.00
 1878   103     1775        0.00        0.00        0.00
 1878   103     1774        0.00        0.00        0.00
 1878   104     1774        0.00        0.00        0.00
 1878   104     1773        0.00        0.00        0.00
 1878   105     1773        0.00        0.00        0.00
 1878   105     1772        0.00        0.00        0.00
 1878   106     1772        0.00        0.00        0.00
 1878   106     1771        0.00        0.00        0.00
 1878   107     1771        0.00        0.00        0.00
 1878   107     1770        0.00        0.00        0.00
 1878   108     1770        0.00        0.00        0.00
 1878   108     1769        0.00        0.00        0.00
 1878   109     1769        0.00        0.00        0.00
 1878   109     1768        0.00        0.00        0.00
 1878   110+       .        0.00        0.00        0.00
 1879    0      1879    17718.21    18348.01    36066.21
 1879    0      1878    15269.28    15925.39    31194.67
 1879    1      1878    15751.89    16238.46    31990.35
 1879    1      1877    14232.25    14478.32    28710.58
 1879    2      1877    14140.70    14340.18    28480.88
 1879    2      1876    13101.20    13231.09    26332.30
 1879    3      1876    13233.98    13364.28    26598.26
 1879    3      1875    12046.24    12007.44    24053.68
 1879    4      1875    13087.12    13073.71    26160.83
 1879    4      1874    12528.69    12559.04    25087.73
 1879    5      1874    12757.76    12823.67    25581.42
 1879    5      1873    12464.65    12789.20    25253.84
 1879    6      1873    12498.68    12830.66    25329.34
 1879    6      1872    11262.67    11369.16    22631.83
 1879    7      1872    11839.36    11940.90    23780.26
 1879    7      1871    11864.68    11885.82    23750.50
 1879    8      1871    11595.11    11605.75    23200.86
 1879    8      1870    10939.31    11016.92    21956.23
 1879    9      1870    11563.30    11623.45    23186.75
 1879    9      1869    11175.73    11261.92    22437.65
 1879   10      1869     8880.41     8927.72    17808.13
 1879   10      1868     7487.45     7735.37    15222.82
 1879   11      1868     8918.30     9199.88    18118.18
 1879   11      1867     7999.26     8000.30    15999.56
 1879   12      1867     8124.59     8113.11    16237.71
 1879   12      1866     8024.22     8047.27    16071.49
 1879   13      1866     8570.57     8584.30    17154.87
 1879   13      1865     8604.82     8600.62    17205.44
 1879   14      1865     9294.55     9282.00    18576.54
 1879   14      1864    10173.60    10104.40    20277.99
 1879   15      1864    10215.78    10143.78    20359.56
 1879   15      1863    10163.06    10216.99    20380.05
 1879   16      1863    10213.60    10266.25    20479.85
 1879   16      1862     9403.50     9302.43    18705.93
 1879   17      1862     9441.38     9341.80    18783.18
 1879   17      1861     9416.46     9327.57    18744.03
 1879   18      1861     9458.34     9369.39    18827.72
 1879   18      1860     9230.00     9194.40    18424.40
 1879   19      1860     9272.26     9230.29    18502.55
 1879   19      1859     8781.84     8917.45    17699.29
 1879   20      1859     8826.01     8942.06    17768.07
 1879   20      1858     9150.06     9313.03    18463.09
 1879   21      1858     9106.31     9256.10    18362.41
 1879   21      1857     8492.65     8507.34    16999.99
 1879   22      1857     8445.90     8454.22    16900.12
 1879   22      1856     8246.76     8258.17    16504.93
 1879   23      1856     8201.23     8212.32    16413.55
 1879   23      1855     8380.18     8422.40    16802.58
 1879   24      1855     8335.23     8373.94    16709.16
 1879   24      1854     8519.52     8384.69    16904.21
 1879   25      1854     8470.13     8334.48    16804.61
 1879   25      1853     8395.01     8323.75    16718.76
 1879   26      1853     8422.89     8340.65    16763.54
 1879   26      1852     8227.80     8101.78    16329.57
 1879   27      1852     8255.31     8118.82    16374.13
 1879   27      1851     8262.54     7837.48    16100.01
 1879   28      1851     8292.87     7860.78    16153.65
 1879   28      1850     7916.35     7553.29    15469.64
 1879   29      1850     7944.21     7579.71    15523.92
 1879   29      1849     7941.54     7570.48    15512.02
 1879   30      1849     7972.50     7592.44    15564.94
 1879   30      1848     7890.95     7497.30    15388.26
