Finland, Death rates (period 5x1), 	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1878           0             0.183018        0.210547        0.197049
  1878         1-4             0.045983        0.044745        0.045362
  1878         5-9             0.010904        0.010372        0.010637
  1878        10-14            0.005584        0.004718        0.005150
  1878        15-19            0.005951        0.005419        0.005685
  1878        20-24            0.006352        0.007354        0.006853
  1878        25-29            0.007728        0.008006        0.007865
  1878        30-34            0.007931        0.008023        0.007976
  1878        35-39            0.009213        0.009790        0.009494
  1878        40-44            0.010838        0.012691        0.011737
  1878        45-49            0.010989        0.015142        0.012974
  1878        50-54            0.014890        0.020629        0.017588
  1878        55-59            0.021699        0.028145        0.024662
  1878        60-64            0.035783        0.044299        0.039598
  1878        65-69            0.053992        0.061130        0.057059
  1878        70-74            0.083511        0.096049        0.088721
  1878        75-79            0.127785        0.131994        0.129445
  1878        80-84            0.190645        0.221348        0.201910
  1878        85-89            0.257987        0.324454        0.280364
  1878        90-94            0.288439        0.423838        0.323407
  1878        95-99            0.409452        0.107875        0.312410
  1878       100-104           4.026846        0.000000        1.392111
  1878       105-109                 .              .              .
  1878       110+                    .              .              .
  1879           0             0.143085        0.169869        0.156733
  1879         1-4             0.032140        0.031759        0.031948
  1879         5-9             0.007647        0.006991        0.007317
  1879        10-14            0.004171        0.004261        0.004216
  1879        15-19            0.004425        0.004889        0.004657
  1879        20-24            0.006126        0.006932        0.006530
  1879        25-29            0.006258        0.007624        0.006930
  1879        30-34            0.008638        0.007968        0.008311
  1879        35-39            0.009319        0.009526        0.009420
  1879        40-44            0.009299        0.010314        0.009793
  1879        45-49            0.009638        0.012781        0.011142
  1879        50-54            0.013334        0.017623        0.015353
  1879        55-59            0.019694        0.023895        0.021628
  1879        60-64            0.031660        0.037961        0.034481
  1879        65-69            0.046481        0.052043        0.048884
  1879        70-74            0.072357        0.089275        0.079353
  1879        75-79            0.113740        0.126323        0.118740
  1879        80-84            0.176408        0.200590        0.185350
  1879        85-89            0.212775        0.247076        0.224276
  1879        90-94            0.379137        0.405792        0.385855
  1879        95-99            0.243348        0.204604        0.230858
  1879       100-104                 .        0.000000        0.000000
  1879       105-109                 .              .              .
  1879       110+                    .              .              .
  1880           0             0.164321        0.202668        0.183793
  1880         1-4             0.040004        0.042912        0.041468
  1880         5-9             0.010971        0.010447        0.010708
  1880        10-14            0.006027        0.005971        0.005999
  1880        15-19            0.006643        0.005634        0.006139
  1880        20-24            0.006773        0.008606        0.007691
  1880        25-29            0.008095        0.007915        0.008006
  1880        30-34            0.008882        0.008338        0.008616
  1880        35-39            0.010362        0.010166        0.010267
  1880        40-44            0.011275        0.013119        0.012171
  1880        45-49            0.012435        0.017432        0.014826
  1880        50-54            0.016045        0.022650        0.019155
  1880        55-59            0.024072        0.030280        0.026941
  1880        60-64            0.034106        0.041870        0.037584
  1880        65-69            0.055069        0.061336        0.057783
  1880        70-74            0.091064        0.103238        0.096097
  1880        75-79            0.132315        0.149547        0.139158
  1880        80-84            0.205193        0.232353        0.215351
  1880        85-89            0.244971        0.360283        0.282551
  1880        90-94            0.362867        0.489644        0.396301
  1880        95-99            0.448598        0.102564        0.343303
  1880       100-104           0.000000        0.662252        0.569801
  1880       105-109                 .              .              .
  1880       110+                    .              .              .
  1881           0             0.189861        0.220290        0.205356
  1881         1-4             0.045657        0.048540        0.047109
  1881         5-9             0.013745        0.013219        0.013481
  1881        10-14            0.006695        0.007135        0.006916
  1881        15-19            0.006946        0.006596        0.006771
  1881        20-24            0.007382        0.008608        0.007995
  1881        25-29            0.007670        0.008596        0.008130
  1881        30-34            0.008769        0.008366        0.008573
  1881        35-39            0.009508        0.009833        0.009666
  1881        40-44            0.010722        0.012450        0.011561
  1881        45-49            0.012141        0.015393        0.013700
  1881        50-54            0.014502        0.020096        0.017136
  1881        55-59            0.021174        0.026680        0.023720
  1881        60-64            0.032494        0.040039        0.035879
  1881        65-69            0.054395        0.061067        0.057302
  1881        70-74            0.081999        0.096629        0.088042
  1881        75-79            0.135703        0.150789        0.141681
  1881        80-84            0.200405        0.225054        0.209648
  1881        85-89            0.286816        0.293608        0.288973
  1881        90-94            0.394006        0.466119        0.414500
  1881        95-99            0.453789        0.443951        0.450934
  1881       100-104           0.000000        1.342282        0.505051
  1881       105-109                 .              .              .
  1881       110+                    .              .              .
