Finland, Life tables (period 5x10), Total	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1878-1879        0      0.17695  0.15759  0.31  100000   15759   89062  4204584  42.05
1878-1879      1-4      0.03831  0.13950  1.43   84241   11751  306727  4115522  48.85
1878-1879      5-9      0.00878  0.04281  2.08   72490    3103  353374  3808796  52.54
1878-1879     10-14     0.00472  0.02329  2.39   69386    1616  342709  3455422  49.80
1878-1879     15-19     0.00517  0.02554  2.58   67770    1731  334658  3112713  45.93
1878-1879     20-24     0.00669  0.03292  2.51   66039    2174  324787  2778055  42.07
1878-1879     25-29     0.00740  0.03631  2.51   63865    2319  313546  2453268  38.41
1878-1879     30-34     0.00814  0.03987  2.48   61546    2454  301541  2139722  34.77
1878-1879     35-39     0.00947  0.04625  2.52   59092    2733  288674  1838181  31.11
1878-1879     40-44     0.01076  0.05239  2.51   56359    2952  274438  1549507  27.49
1878-1879     45-49     0.01205  0.05855  2.60   53406    3127  259529  1275069  23.87
1878-1879     50-54     0.01648  0.07918  2.53   50279    3981  241562  1015540  20.20
1878-1879     55-59     0.02318  0.10970  2.57   46298    5079  219147   773978  16.72
1878-1879     60-64     0.03711  0.16992  2.52   41220    7004  188756   554830  13.46
1878-1879     65-69     0.05322  0.23541  2.55   34215    8055  151342   366074  10.70
1878-1879     70-74     0.08369  0.34712  2.54   26161    9081  108501   214732   8.21
1878-1879     75-79     0.12442  0.46977  2.39   17080    8024   64489   106231   6.22
1878-1879     80-84     0.19373  0.63056  2.23    9056    5711   29477    41742   4.61
1878-1879     85-89     0.25454  0.73155  2.09    3346    2448    9616    12265   3.67
1878-1879     90-94     0.32576  0.81650  1.95     898     733    2251     2649   2.95
1878-1879     95-99     0.40552  0.88074  1.79     165     145     358      398   2.41
1878-1879    100-104    0.49036  0.92497  1.63      20      18      37       40   2.02
1878-1879    105-109    0.57582  0.95317  1.49       1       1       2        3   1.73
1878-1879    110+       0.64393  1.00000  1.55       0       0       0        0   1.55
1880-1889        0      0.17577  0.15665  0.31  100000   15665   89125  4212478  42.12
1880-1889      1-4      0.03673  0.13445  1.48   84335   11339  308743  4123353  48.89
1880-1889      5-9      0.01006  0.04886  2.07   72996    3567  354545  3814609  52.26
1880-1889     10-14     0.00478  0.02358  2.33   69429    1637  342773  3460064  49.84
1880-1889     15-19     0.00534  0.02638  2.68   67792    1789  334802  3117291  45.98
1880-1889     20-24     0.00698  0.03432  2.49   66004    2265  324343  2782489  42.16
1880-1889     25-29     0.00730  0.03585  2.48   63739    2285  312935  2458146  38.57
1880-1889     30-34     0.00813  0.03984  2.51   61453    2448  301174  2145211  34.91
1880-1889     35-39     0.00920  0.04496  2.54   59005    2653  288502  1844037  31.25
1880-1889     40-44     0.01063  0.05180  2.52   56352    2919  274512  1555534  27.60
1880-1889     45-49     0.01239  0.06012  2.55   53433    3213  259282  1281022  23.97
1880-1889     50-54     0.01614  0.07766  2.57   50221    3900  241622  1021740  20.34
1880-1889     55-59     0.02295  0.10867  2.57   46321    5034  219361   780118  16.84
1880-1889     60-64     0.03391  0.15678  2.60   41287    6473  190869   560757  13.58
1880-1889     65-69     0.05315  0.23522  2.56   34814    8189  154060   369888  10.62
1880-1889     70-74     0.08349  0.34509  2.49   26625    9188  110046   215828   8.11
1880-1889     75-79     0.12919  0.48290  2.39   17437    8420   65174   105782   6.07
1880-1889     80-84     0.19477  0.63474  2.26    9017    5723   29385    40608   4.50
1880-1889     85-89     0.27456  0.76511  2.11    3293    2520    9178    11223   3.41
1880-1889     90-94     0.36505  0.85578  1.90     774     662    1814     2046   2.64
1880-1889     95-99     0.47368  0.91944  1.67     112     103     217      232   2.08
1880-1889    100-104    0.57857  0.95493  1.49       9       9      15       15   1.72
1880-1889    105-109    0.67740  0.97407  1.34       0       0       1        1   1.47
1880-1889    110+       0.75276  1.00000  1.33       0       0       0        0   1.33
1890-1899        0      0.14691  0.13332  0.31  100000   13332   90745  4496488  44.96
1890-1899      1-4      0.03142  0.11644  1.47   86668   10092  321152  4405743  50.83
1890-1899      5-9      0.00870  0.04244  2.12   76576    3250  373509  4084591  53.34
1890-1899     10-14     0.00462  0.02283  2.36   73326    1674  362209  3711082  50.61
1890-1899     15-19     0.00537  0.02652  2.71   71652    1901  353918  3348873  46.74
1890-1899     20-24     0.00716  0.03515  2.36   69752    2451  342296  2994955  42.94
1890-1899     25-29     0.00683  0.03360  2.58   67301    2261  331041  2652659  39.42
1890-1899     30-34     0.00793  0.03887  2.46   65039    2528  318782  2321618  35.70
1890-1899     35-39     0.00856  0.04190  2.55   62511    2619  306127  2002836  32.04
1890-1899     40-44     0.00978  0.04771  2.48   59892    2857  292270  1696709  28.33
1890-1899     45-49     0.01153  0.05607  2.57   57035    3198  277412  1404439  24.62
1890-1899     50-54     0.01560  0.07518  2.58   53837    4048  259401  1127027  20.93
1890-1899     55-59     0.02092  0.09947  2.54   49789    4953  236748   867626  17.43
1890-1899     60-64     0.03000  0.14009  2.64   44837    6281  209363   630878  14.07
1890-1899     65-69     0.04935  0.22040  2.58   38556    8498  172195   421515  10.93
1890-1899     70-74     0.07949  0.33156  2.50   30058    9966  125377   249320   8.29
1890-1899     75-79     0.12393  0.46889  2.41   20092    9421   76020   123943   6.17
1890-1899     80-84     0.19155  0.62705  2.25   10671    6691   34932    47924   4.49
1890-1899     85-89     0.28313  0.77178  2.05    3980    3071   10848    12992   3.26
1890-1899     90-94     0.41345  0.88328  1.76     908     802    1940     2143   2.36
1890-1899     95-99     0.51636  0.93783  1.61     106      99     193      203   1.91
1890-1899    100-104    0.63922  0.96869  1.40       7       6      10       10   1.56
1890-1899    105-109    0.74753  0.98291  1.25       0       0       0        0   1.34
1890-1899    110+       0.82366  1.00000  1.21       0       0       0        0   1.21
1900-1909        0      0.13944  0.12713  0.31  100000   12713   91174  4593863  45.94
1900-1909      1-4      0.02733  0.10224  1.47   87287    8924  326540  4502688  51.58
1900-1909      5-9      0.00869  0.04241  2.16   78363    3323  382367  4176149  53.29
1900-1909     10-14     0.00509  0.02511  2.42   75039    1884  370340  3793782  50.56
1900-1909     15-19     0.00605  0.02981  2.59   73155    2181  360525  3423442  46.80
1900-1909     20-24     0.00743  0.03649  2.51   70975    2590  348423  3062917  43.16
1900-1909     25-29     0.00770  0.03775  2.47   68385    2582  335392  2714495  39.69
1900-1909     30-34     0.00778  0.03814  2.48   65803    2510  322693  2379103  36.16
1900-1909     35-39     0.00858  0.04202  2.53   63293    2659  309888  2056410  32.49
1900-1909     40-44     0.00966  0.04718  2.50   60634    2861  296008  1746522  28.80
1900-1909     45-49     0.01107  0.05387  2.52   57773    3112  281155  1450514  25.11
1900-1909     50-54     0.01456  0.07028  2.56   54661    3842  263916  1169359  21.39
1900-1909     55-59     0.02019  0.09626  2.58   50819    4892  242255   905443  17.82
1900-1909     60-64     0.03018  0.14069  2.59   45928    6462  214079   663189  14.44
1900-1909     65-69     0.04596  0.20677  2.58   39466    8160  177552   449110  11.38
1900-1909     70-74     0.07344  0.31048  2.51   31306    9720  132341   271558   8.67
1900-1909     75-79     0.11569  0.44635  2.44   21586    9635   83279   139217   6.45
1900-1909     80-84     0.18106  0.60655  2.28   11951    7249   40035    55937   4.68
1900-1909     85-89     0.27164  0.75845  2.09    4702    3566   13129    15902   3.38
1900-1909     90-94     0.39828  0.87453  1.79    1136     993    2494     2773   2.44
1900-1909     95-99     0.50291  0.93295  1.63     143     133     264      280   1.96
1900-1909    100-104    0.62606  0.96628  1.42      10       9      15       15   1.59
1900-1909    105-109    0.73632  0.98181  1.27       0       0       0        0   1.36
1900-1909    110+       0.81491  1.00000  1.23       0       0       0        0   1.23
1910-1919        0      0.12064  0.11132  0.31  100000   11132   92272  4588757  45.89
1910-1919      1-4      0.02229  0.08440  1.46   88868    7500  336420  4496485  50.60
1910-1919      5-9      0.00680  0.03336  2.16   81368    2714  399140  4160066  51.13
1910-1919     10-14     0.00466  0.02302  2.47   78654    1811  388681  3760926  47.82
1910-1919     15-19     0.00779  0.03830  2.76   76843    2943  377636  3372245  43.88
1910-1919     20-24     0.01106  0.05377  2.46   73900    3973  359398  2994610  40.52
1910-1919     25-29     0.01048  0.05106  2.45   69926    3570  340536  2635212  37.69
1910-1919     30-34     0.01015  0.04947  2.48   66356    3282  323508  2294676  34.58
1910-1919     35-39     0.01050  0.05117  2.50   63074    3227  307301  1971169  31.25
1910-1919     40-44     0.01151  0.05593  2.50   59846    3347  290878  1663868  27.80
1910-1919     45-49     0.01347  0.06517  2.52   56499    3682  273364  1372990  24.30
1910-1919     50-54     0.01625  0.07819  2.58   52817    4130  254103  1099625  20.82
1910-1919     55-59     0.02257  0.10700  2.57   48688    5209  230768   845523  17.37
1910-1919     60-64     0.03202  0.14856  2.58   43478    6459  201735   614755  14.14
1910-1919     65-69     0.04789  0.21450  2.57   37019    7941  165821   413020  11.16
1910-1919     70-74     0.07544  0.31720  2.49   29078    9224  122265   247199   8.50
1910-1919     75-79     0.11899  0.45564  2.43   19855    9047   76028   124934   6.29
1910-1919     80-84     0.19004  0.62600  2.27   10808    6766   35603    48906   4.52
1910-1919     85-89     0.28122  0.77195  2.08    4042    3120   11096    13303   3.29
1910-1919     90-94     0.40660  0.88612  1.82     922     817    2009     2207   2.39
1910-1919     95-99     0.52273  0.94018  1.59     105      99     189      198   1.89
1910-1919    100-104    0.64748  0.97019  1.39       6       6       9       10   1.54
1910-1919    105-109    0.75612  0.98375  1.24       0       0       0        0   1.32
1910-1919    110+       0.83163  1.00000  1.20       0       0       0        0   1.20
1920-1929        0      0.10096  0.09435  0.31  100000    9435   93450  5183705  51.84
1920-1929      1-4      0.01332  0.05148  1.35   90565    4662  349900  5090255  56.21
1920-1929      5-9      0.00387  0.01917  2.26   85903    1647  425012  4740355  55.18
1920-1929     10-14     0.00344  0.01706  2.57   84257    1437  417788  4315344  51.22
1920-1929     15-19     0.00556  0.02745  2.71   82820    2273  408890  3897556  47.06
1920-1929     20-24     0.00795  0.03896  2.42   80546    3138  394631  3488666  43.31
1920-1929     25-29     0.00752  0.03691  2.47   77408    2857  379815  3094035  39.97
1920-1929     30-34     0.00755  0.03705  2.45   74551    2762  365723  2714221  36.41
