Finland, Exposure to risk (cohort 5x10), 	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1807-1809        0                    .               .               .
1807-1809      1-4                    .               .               .
1807-1809      5-9                    .               .               .
1807-1809     10-14                   .               .               .
1807-1809     15-19                   .               .               .
1807-1809     20-24                   .               .               .
1807-1809     25-29                   .               .               .
1807-1809     30-34                   .               .               .
1807-1809     35-39                   .               .               .
1807-1809     40-44                   .               .               .
1807-1809     45-49                   .               .               .
1807-1809     50-54                   .               .               .
1807-1809     55-59                   .               .               .
1807-1809     60-64                   .               .               .
1807-1809     65-69                   .               .               .
1807-1809     70-74            34899.01        24430.21        59329.22
1807-1809     75-79            22912.28        14863.70        37775.99
1807-1809     80-84            10334.57         5863.90        16198.48
1807-1809     85-89             3255.96         1487.41         4743.37
1807-1809     90-94              638.22          235.06          873.28
1807-1809     95-99               80.18           23.78          103.96
1807-1809    100-104               2.90            0.18            3.07
1807-1809    105-109               0.00            0.00            0.00
1807-1809    110+                  0.00            0.00            0.00
1810-1819        0                    .               .               .
1810-1819      1-4                    .               .               .
1810-1819      5-9                    .               .               .
1810-1819     10-14                   .               .               .
1810-1819     15-19                   .               .               .
1810-1819     20-24                   .               .               .
1810-1819     25-29                   .               .               .
1810-1819     30-34                   .               .               .
1810-1819     35-39                   .               .               .
1810-1819     40-44                   .               .               .
1810-1819     45-49                   .               .               .
1810-1819     50-54                   .               .               .
1810-1819     55-59                   .               .               .
1810-1819     60-64           130904.87       105522.12       236426.99
1810-1819     65-69           217615.38       168979.55       386594.93
1810-1819     70-74           178119.77       132164.59       310284.36
1810-1819     75-79           107926.33        75302.57       183228.90
1810-1819     80-84            51097.99        30505.93        81603.92
1810-1819     85-89            17247.99         8675.48        25923.47
1810-1819     90-94             3482.50         1404.89         4887.39
1810-1819     95-99              369.70          123.03          492.73
1810-1819    100-104              13.54            4.49           18.03
1810-1819    105-109               0.00            0.00            0.00
1810-1819    110+                  0.00            0.00            0.00
1820-1829        0                    .               .               .
1820-1829      1-4                    .               .               .
1820-1829      5-9                    .               .               .
1820-1829     10-14                   .               .               .
1820-1829     15-19                   .               .               .
1820-1829     20-24                   .               .               .
1820-1829     25-29                   .               .               .
1820-1829     30-34                   .               .               .
1820-1829     35-39                   .               .               .
1820-1829     40-44                   .               .               .
1820-1829     45-49                   .               .               .
1820-1829     50-54           195374.14       173389.43       368763.56
1820-1829     55-59           383887.28       329828.64       713715.92
1820-1829     60-64           382552.24       318487.14       701039.38
1820-1829     65-69           310314.47       249741.14       560055.61
1820-1829     70-74           231194.11       177273.93       408468.04
1820-1829     75-79           148374.09       106595.74       254969.83
1820-1829     80-84            72964.32        45440.12       118404.44
1820-1829     85-89            25386.26        13667.77        39054.03
1820-1829     90-94             5123.67         2191.19         7314.87
1820-1829     95-99              583.98          174.37          758.35
1820-1829    100-104              23.00            9.00           32.00
1820-1829    105-109               1.67            0.00            1.67
1820-1829    110+                  0.00            0.00            0.00
1830-1839        0                    .               .               .
1830-1839      1-4                    .               .               .
1830-1839      5-9                    .               .               .
1830-1839     10-14                   .               .               .
1830-1839     15-19                   .               .               .
1830-1839     20-24                   .               .               .
1830-1839     25-29                   .               .               .
1830-1839     30-34                   .               .               .
1830-1839     35-39                   .               .               .
1830-1839     40-44           233108.91       220593.78       453702.69
1830-1839     45-49           465019.28       430360.55       895379.84
1830-1839     50-54           489618.52       443818.80       933437.32
1830-1839     55-59           453835.87       401017.27       854853.14
1830-1839     60-64           418214.80       358691.73       776906.53
1830-1839     65-69           335721.25       276827.11       612548.36
1830-1839     70-74           254037.25       196875.86       450913.10
1830-1839     75-79           163789.35       116800.50       280589.85
1830-1839     80-84            79278.87        49124.85       128403.72
1830-1839     85-89            26990.54        14380.56        41371.10
1830-1839     90-94             5866.50         2630.00         8496.50
1830-1839     95-99              705.47          222.00          927.47
1830-1839    100-104              30.67            5.00           35.67
1830-1839    105-109               0.00            0.00            0.00
1830-1839    110+                  0.00            0.00            0.00
1840-1849        0                    .               .               .
1840-1849      1-4                    .               .               .
1840-1849      5-9                    .               .               .
1840-1849     10-14                   .               .               .
1840-1849     15-19                   .               .               .
1840-1849     20-24                   .               .               .
1840-1849     25-29                   .               .               .
1840-1849     30-34           300504.83       286880.63       587385.46
1840-1849     35-39           627086.91       596133.11      1223220.02
1840-1849     40-44           678309.46       640831.09      1319140.56
1840-1849     45-49           641611.82       598770.93      1240382.75
1840-1849     50-54           585095.07       535040.38      1120135.45
1840-1849     55-59           548223.08       488215.54      1036438.62
1840-1849     60-64           489244.32       411768.64       901012.96
1840-1849     65-69           412797.44       326333.65       739131.09
1840-1849     70-74           313024.81       231997.94       545022.75
1840-1849     75-79           204010.42       137379.54       341389.96
1840-1849     80-84           105080.70        61476.15       166556.85
1840-1849     85-89            39593.03        21659.82        61252.85
1840-1849     90-94             9614.47         5086.85        14701.32
1840-1849     95-99             1048.29          551.44         1599.73
1840-1849    100-104              32.00            8.00           40.00
1840-1849    105-109               1.67            0.00            1.67
1840-1849    110+                  0.00            0.00            0.00
1850-1859        0                    .               .               .
1850-1859      1-4                    .               .               .
1850-1859      5-9                    .               .               .
1850-1859     10-14                   .               .               .
1850-1859     15-19                   .               .               .
1850-1859     20-24           344725.88       345753.65       690479.54
1850-1859     25-29           726469.82       717030.30      1443500.12
1850-1859     30-34           799681.77       783697.77      1583379.55
1850-1859     35-39           771574.41       750029.96      1521604.37
1850-1859     40-44           712308.42       685492.25      1397800.66
1850-1859     45-49           683801.70       651643.72      1335445.43
