Finland, Life tables (period 1x5), Males	Last modified: 02 Aug 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1878-1879        0      0.19027  0.16788  0.30  100000   16788   88234  4099103  40.99
1878-1879        1      0.06752  0.06531  0.50   83212    5435   80495  4010869  48.20
1878-1879        2      0.03793  0.03722  0.50   77777    2895   76330  3930374  50.53
1878-1879        3      0.02528  0.02496  0.50   74882    1869   73948  3854044  51.47
1878-1879        4      0.01751  0.01735  0.50   73013    1267   72379  3780097  51.77
1878-1879        5      0.01263  0.01255  0.50   71746     900   71296  3707717  51.68
1878-1879        6      0.00961  0.00956  0.50   70846     678   70507  3636422  51.33
1878-1879        7      0.00816  0.00813  0.50   70168     571   69883  3565915  50.82
1878-1879        8      0.00643  0.00641  0.50   69598     446   69374  3496032  50.23
1878-1879        9      0.00544  0.00543  0.50   69151     375   68964  3426658  49.55
1878-1879       10      0.00514  0.00513  0.50   68776     353   68600  3357694  48.82
1878-1879       11      0.00477  0.00476  0.50   68423     326   68261  3289094  48.07
1878-1879       12      0.00481  0.00479  0.50   68098     326   67934  3220833  47.30
1878-1879       13      0.00381  0.00380  0.50   67771     258   67642  3152899  46.52
1878-1879       14      0.00408  0.00407  0.50   67513     275   67376  3085257  45.70
1878-1879       15      0.00487  0.00486  0.50   67238     327   67075  3017881  44.88
1878-1879       16      0.00441  0.00440  0.50   66912     294   66764  2950806  44.10
1878-1879       17      0.00461  0.00460  0.50   66617     306   66464  2884041  43.29
1878-1879       18      0.00576  0.00574  0.50   66311     381   66121  2817577  42.49
1878-1879       19      0.00618  0.00617  0.50   65930     407   65727  2751456  41.73
1878-1879       20      0.00724  0.00721  0.50   65524     472   65288  2685729  40.99
1878-1879       21      0.00649  0.00647  0.50   65051     421   64841  2620441  40.28
1878-1879       22      0.00767  0.00764  0.50   64630     494   64383  2555600  39.54
1878-1879       23      0.00661  0.00659  0.50   64137     423   63925  2491217  38.84
1878-1879       24      0.00771  0.00768  0.50   63714     489   63469  2427292  38.10
1878-1879       25      0.00738  0.00736  0.50   63224     465   62992  2363823  37.39
1878-1879       26      0.00862  0.00858  0.50   62759     539   62490  2300831  36.66
1878-1879       27      0.00732  0.00729  0.50   62221     454   61994  2238341  35.97
1878-1879       28      0.00767  0.00764  0.50   61767     472   61531  2176347  35.23
1878-1879       29      0.00808  0.00805  0.50   61295     493   61049  2114816  34.50
1878-1879       30      0.00884  0.00880  0.50   60802     535   60534  2053767  33.78
1878-1879       31      0.00800  0.00797  0.50   60267     480   60027  1993233  33.07
1878-1879       32      0.00717  0.00715  0.50   59787     427   59573  1933206  32.34
1878-1879       33      0.00763  0.00760  0.50   59359     451   59134  1873633  31.56
1878-1879       34      0.00829  0.00825  0.50   58908     486   58665  1814499  30.80
1878-1879       35      0.00959  0.00955  0.50   58422     558   58143  1755834  30.05
1878-1879       36      0.00870  0.00866  0.50   57864     501   57614  1697691  29.34
1878-1879       37      0.00931  0.00927  0.50   57363     532   57097  1640077  28.59
1878-1879       38      0.01061  0.01056  0.50   56831     600   56531  1582980  27.85
1878-1879       39      0.01021  0.01016  0.50   56231     571   55946  1526449  27.15
1878-1879       40      0.01123  0.01116  0.50   55660     621   55350  1470503  26.42
