PopName,Year,Age,Area1,Area2,Sex,Refcode,Access,Type,Value,NoteCode1,NoteCode2,NoteCode3,LDB
FRACNP,1861,0,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,1,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,2,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,3,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,4,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,5,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,6,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,7,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,8,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,9,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,10,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,11,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,12,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,13,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,14,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,15,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,16,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,17,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,18,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,19,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,20,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,21,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,22,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,23,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,24,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,25,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,26,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,27,20,90,f,30,O,Vx,1.018,50,.,.,1
FRACNP,1861,28,20,90,f,30,O,Vx,1.018,50,.,.,1
