France, Civilian Population, Life tables (cohort 1x10), Males	Last modified: 29 Aug 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1816-1819        0      0.22586  0.19499  0.30  100000   19499   86333  3743454  37.43
1816-1819        1      0.06102  0.05912  0.47   80501    4760   78000  3657120  45.43
1816-1819        2      0.04310  0.04219  0.50   75742    3195   74136  3579120  47.25
1816-1819        3      0.02862  0.02821  0.49   72546    2047   71511  3504984  48.31
1816-1819        4      0.01986  0.01966  0.50   70500    1386   69804  3433473  48.70
1816-1819        5      0.01655  0.01641  0.50   69114    1134   68547  3363669  48.67
1816-1819        6      0.01429  0.01419  0.50   67979     965   67498  3295122  48.47
1816-1819        7      0.01217  0.01210  0.50   67015     811   66609  3227624  48.16
1816-1819        8      0.01015  0.01010  0.50   66204     669   65869  3161015  47.75
1816-1819        9      0.00829  0.00825  0.50   65535     541   65264  3095146  47.23
1816-1819       10      0.00660  0.00658  0.50   64994     428   64780  3029882  46.62
1816-1819       11      0.00545  0.00543  0.50   64567     351   64392  2965103  45.92
1816-1819       12      0.00490  0.00488  0.50   64216     314   64061  2900710  45.17
1816-1819       13      0.00461  0.00460  0.50   63902     294   63756  2836650  44.39
1816-1819       14      0.00477  0.00476  0.51   63608     303   63459  2772893  43.59
1816-1819       15      0.00534  0.00533  0.51   63305     337   63140  2709434  42.80
1816-1819       16      0.00598  0.00597  0.50   62968     376   62782  2646294  42.03
1816-1819       17      0.00669  0.00667  0.51   62592     417   62386  2583513  41.28
1816-1819       18      0.00750  0.00747  0.50   62175     464   61944  2521126  40.55
1816-1819       19      0.00859  0.00856  0.51   61711     528   61450  2459182  39.85
1816-1819       20      0.01050  0.01045  0.51   61183     639   60867  2397732  39.19
1816-1819       21      0.01289  0.01281  0.51   60543     775   60160  2336865  38.60
1816-1819       22      0.01474  0.01463  0.50   59768     874   59333  2276705  38.09
1816-1819       23      0.01535  0.01524  0.50   58894     897   58445  2217372  37.65
1816-1819       24      0.01434  0.01424  0.49   57996     826   57579  2158927  37.23
1816-1819       25      0.01205  0.01198  0.49   57171     685   56821  2101347  36.76
1816-1819       26      0.01034  0.01028  0.50   56486     581   56193  2044526  36.20
1816-1819       27      0.00963  0.00959  0.50   55905     536   55637  1988333  35.57
1816-1819       28      0.00937  0.00932  0.50   55369     516   55111  1932696  34.91
1816-1819       29      0.00979  0.00975  0.51   54853     535   54590  1877585  34.23
1816-1819       30      0.01023  0.01018  0.50   54318     553   54041  1822995  33.56
1816-1819       31      0.01000  0.00995  0.50   53765     535   53496  1768954  32.90
1816-1819       32      0.00971  0.00966  0.50   53230     514   52971  1715459  32.23
1816-1819       33      0.00921  0.00916  0.49   52716     483   52470  1662487  31.54
1816-1819       34      0.00937  0.00933  0.51   52233     487   51993  1610017  30.82
1816-1819       35      0.01026  0.01021  0.51   51745     528   51484  1558024  30.11
1816-1819       36      0.01060  0.01055  0.50   51217     540   50948  1506540  29.41
1816-1819       37      0.01069  0.01063  0.50   50677     539   50409  1455592  28.72
1816-1819       38      0.01048  0.01042  0.50   50138     523   49874  1405184  28.03
1816-1819       39      0.01031  0.01026  0.50   49615     509   49361  1355309  27.32
1816-1819       40      0.01064  0.01058  0.50   49107     520   48849  1305948  26.59
1816-1819       41      0.01101  0.01095  0.50   48587     532   48323  1257099  25.87
1816-1819       42      0.01129  0.01123  0.50   48055     540   47786  1208776  25.15
1816-1819       43      0.01148  0.01141  0.50   47515     542   47245  1160990  24.43
1816-1819       44      0.01194  0.01187  0.51   46973     558   46698  1113745  23.71
1816-1819       45      0.01264  0.01256  0.51   46415     583   46129  1067047  22.99
1816-1819       46      0.01388  0.01378  0.51   45832     632   45523  1020918  22.28
1816-1819       47      0.01512  0.01501  0.51   45200     678   44866   975395  21.58
1816-1819       48      0.01626  0.01613  0.51   44522     718   44168   930529  20.90
1816-1819       49      0.01730  0.01715  0.51   43804     751   43432   886361  20.23
1816-1819       50      0.01869  0.01852  0.51   43053     797   42662   842929  19.58
1816-1819       51      0.02141  0.02119  0.52   42255     895   41821   800267  18.94
1816-1819       52      0.02327  0.02300  0.50   41360     951   40888   758446  18.34
1816-1819       53      0.02378  0.02350  0.50   40408     950   39938   717558  17.76
1816-1819       54      0.02359  0.02332  0.50   39459     920   38999   677620  17.17
1816-1819       55      0.02244  0.02219  0.50   38539     855   38108   638621  16.57
1816-1819       56      0.02244  0.02219  0.51   37684     836   37271   600513  15.94
1816-1819       57      0.02383  0.02356  0.50   36847     868   36417   563243  15.29
1816-1819       58      0.02572  0.02540  0.51   35979     914   35528   526826  14.64
1816-1819       59      0.02806  0.02768  0.51   35065     970   34586   491297  14.01
1816-1819       60      0.03063  0.03017  0.51   34095    1029   33586   456712  13.40
1816-1819       61      0.03308  0.03255  0.51   33066    1076   32534   423126  12.80
1816-1819       62      0.03554  0.03493  0.51   31990    1117   31437   390591  12.21
1816-1819       63      0.03795  0.03725  0.50   30873    1150   30303   359154  11.63
1816-1819       64      0.04048  0.03969  0.51   29723    1180   29140   328851  11.06
1816-1819       65      0.04343  0.04252  0.51   28543    1214   27944   299711  10.50
1816-1819       66      0.04677  0.04572  0.51   27329    1249   26713   271767   9.94
1816-1819       67      0.05061  0.04937  0.51   26080    1288   25444   245054   9.40
1816-1819       68      0.05543  0.05395  0.51   24792    1338   24132   219610   8.86
1816-1819       69      0.06182  0.05999  0.51   23455    1407   22760   195478   8.33
1816-1819       70      0.06931  0.06703  0.51   22048    1478   21321   172718   7.83
1816-1819       71      0.07948  0.07650  0.51   20570    1574   19798   151397   7.36
1816-1819       72      0.08915  0.08539  0.51   18996    1622   18197   131598   6.93
1816-1819       73      0.09955  0.09490  0.51   17374    1649   16564   113402   6.53
1816-1819       74      0.11088  0.10513  0.51   15725    1653   14910    96838   6.16
1816-1819       75      0.12057  0.11381  0.51   14072    1602   13283    81928   5.82
1816-1819       76      0.12833  0.12066  0.50   12470    1505   11725    68645   5.50
