PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBRCENW,01,f,0,5,C,06,06,1841,8,O,1057900,2,.,.,1
GBRCENW,01,f,5,5,C,06,06,1841,8,O,951700,2,.,.,1
GBRCENW,01,f,10,5,C,06,06,1841,8,O,851700,2,.,.,1
GBRCENW,01,f,15,5,C,06,06,1841,8,O,805200,2,.,.,1
GBRCENW,01,f,20,5,C,06,06,1841,8,O,827100,2,.,.,1
GBRCENW,01,f,25,5,C,06,06,1841,8,O,672000,2,.,.,1
GBRCENW,01,f,30,5,C,06,06,1841,8,O,602300,2,.,.,1
GBRCENW,01,f,35,5,C,06,06,1841,8,O,449500,2,.,.,1
GBRCENW,01,f,40,5,C,06,06,1841,8,O,452400,2,.,.,1
GBRCENW,01,f,45,5,C,06,06,1841,8,O,325100,2,.,.,1
GBRCENW,01,f,50,5,C,06,06,1841,8,O,327100,2,.,.,1
GBRCENW,01,f,55,5,C,06,06,1841,8,O,202100,2,.,.,1
GBRCENW,01,f,60,5,C,06,06,1841,8,O,230700,2,.,.,1
GBRCENW,01,f,65,5,C,06,06,1841,8,O,138800,2,.,.,1
GBRCENW,01,f,70,5,C,06,06,1841,8,O,120200,2,.,.,1
GBRCENW,01,f,75,5,C,06,06,1841,8,O,64300,2,.,.,1
GBRCENW,01,f,80,5,C,06,06,1841,8,O,39400,2,.,.,1
GBRCENW,01,f,85,+,C,06,06,1841,8,O,19000,2,.,.,1
GBRCENW,01,f,TOT,.,C,06,06,1841,8,O,8136500,1,.,.,1
GBRCENW,01,m,0,5,C,06,06,1841,8,O,1048400,2,.,.,1
GBRCENW,01,m,5,5,C,06,06,1841,8,O,953200,2,.,.,1
GBRCENW,01,m,10,5,C,06,06,1841,8,O,880400,2,.,.,1
GBRCENW,01,m,15,5,C,06,06,1841,8,O,781600,2,.,.,1
GBRCENW,01,m,20,5,C,06,06,1841,8,O,723400,2,.,.,1
GBRCENW,01,m,25,5,C,06,06,1841,8,O,610900,2,.,.,1
GBRCENW,01,m,30,5,C,06,06,1841,8,O,564700,2,.,.,1
GBRCENW,01,m,35,5,C,06,06,1841,8,O,435000,2,.,.,1
GBRCENW,01,m,40,5,C,06,06,1841,8,O,435600,2,.,.,1
GBRCENW,01,m,45,5,C,06,06,1841,8,O,313500,2,.,.,1
GBRCENW,01,m,50,5,C,06,06,1841,8,O,307300,2,.,.,1
GBRCENW,01,m,55,5,C,06,06,1841,8,O,189700,2,.,.,1
GBRCENW,01,m,60,5,C,06,06,1841,8,O,209100,2,.,.,1
GBRCENW,01,m,65,5,C,06,06,1841,8,O,120800,2,.,.,1
GBRCENW,01,m,70,5,C,06,06,1841,8,O,104100,2,.,.,1
GBRCENW,01,m,75,5,C,06,06,1841,8,O,55600,2,.,.,1
GBRCENW,01,m,80,5,C,06,06,1841,8,O,31100,2,.,.,1
GBRCENW,01,m,85,+,C,06,06,1841,8,O,13200,2,.,.,1
GBRCENW,01,m,TOT,.,C,06,06,1841,8,O,7777600,1,.,.,1
GBRCENW,01,f,0,5,C,30,03,1851,8,O,1171200,2,.,.,1
GBRCENW,01,f,5,5,C,30,03,1851,8,O,1042100,2,.,.,1
GBRCENW,01,f,10,5,C,30,03,1851,8,O,949400,2,.,.,1
GBRCENW,01,f,15,5,C,30,03,1851,8,O,884000,2,.,.,1
GBRCENW,01,f,20,5,C,30,03,1851,8,O,871200,2,.,.,1
GBRCENW,01,f,25,5,C,30,03,1851,8,O,771100,2,.,.,1
GBRCENW,01,f,30,5,C,30,03,1851,8,O,658200,2,.,.,1
GBRCENW,01,f,35,5,C,30,03,1851,8,O,555900,2,.,.,1
GBRCENW,01,f,40,5,C,30,03,1851,8,O,494400,2,.,.,1
GBRCENW,01,f,45,5,C,30,03,1851,8,O,406100,2,.,.,1
GBRCENW,01,f,50,5,C,30,03,1851,8,O,362700,2,.,.,1
GBRCENW,01,f,55,5,C,30,03,1851,8,O,271400,2,.,.,1
GBRCENW,01,f,60,5,C,30,03,1851,8,O,254100,2,.,.,1
GBRCENW,01,f,65,5,C,30,03,1851,8,O,175900,2,.,.,1
GBRCENW,01,f,70,5,C,30,03,1851,8,O,135400,2,.,.,1
GBRCENW,01,f,75,5,C,30,03,1851,8,O,81100,2,.,.,1
GBRCENW,01,f,80,5,C,30,03,1851,8,O,42200,2,.,.,1
GBRCENW,01,f,85,+,C,30,03,1851,8,O,20000,2,.,.,1
GBRCENW,01,f,TOT,.,C,30,03,1851,8,O,9146400,1,.,.,1
GBRCENW,01,m,0,5,C,30,03,1851,8,O,1176900,2,.,.,1
GBRCENW,01,m,5,5,C,30,03,1851,8,O,1050200,2,.,.,1
GBRCENW,01,m,10,5,C,30,03,1851,8,O,964000,2,.,.,1
GBRCENW,01,m,15,5,C,30,03,1851,8,O,873200,2,.,.,1
GBRCENW,01,m,20,5,C,30,03,1851,8,O,795500,2,.,.,1
GBRCENW,01,m,25,5,C,30,03,1851,8,O,699300,2,.,.,1
GBRCENW,01,m,30,5,C,30,03,1851,8,O,617900,2,.,.,1
GBRCENW,01,m,35,5,C,30,03,1851,8,O,532700,2,.,.,1
GBRCENW,01,m,40,5,C,30,03,1851,8,O,474200,2,.,.,1
GBRCENW,01,m,45,5,C,30,03,1851,8,O,392900,2,.,.,1
GBRCENW,01,m,50,5,C,30,03,1851,8,O,346100,2,.,.,1
GBRCENW,01,m,55,5,C,30,03,1851,8,O,254900,2,.,.,1
GBRCENW,01,m,60,5,C,30,03,1851,8,O,227200,2,.,.,1
GBRCENW,01,m,65,5,C,30,03,1851,8,O,151600,2,.,.,1
GBRCENW,01,m,70,5,C,30,03,1851,8,O,114700,2,.,.,1
GBRCENW,01,m,75,5,C,30,03,1851,8,O,65000,2,.,.,1
GBRCENW,01,m,80,5,C,30,03,1851,8,O,31700,2,.,.,1
GBRCENW,01,m,85,+,C,30,03,1851,8,O,13200,2,.,.,1
GBRCENW,01,m,TOT,.,C,30,03,1851,8,O,8781200,1,.,.,1
GBRCENW,01,f,0,5,C,07,04,1861,8,O,1345800,2,.,.,1
GBRCENW,01,f,5,5,C,07,04,1861,8,O,1171100,2,.,.,1
GBRCENW,01,f,10,5,C,07,04,1861,8,O,1045300,2,.,.,1
GBRCENW,01,f,15,5,C,07,04,1861,8,O,974700,2,.,.,1
GBRCENW,01,f,20,5,C,07,04,1861,8,O,969300,2,.,.,1
GBRCENW,01,f,25,5,C,07,04,1861,8,O,834900,2,.,.,1
